Organism,Seq,Positions,,
Haloferax_phv3,1,215-316,375-419,
Haloferax_phv4,2,411-484,,
Haloferax_phv5,3,,,
Haloferax_phv6,4,269-454,,
Haloferax_phv7,5,45-95,405-460,
Haloferax_phv8,6,347-392,396-450,
Haloferax_phv9,7,373-500,,
Haloferax_phv10,8,388-451,,
Haloferax_phv11,9,422-463,,
Haloferax_phv12,10,403-486,,
Haloferax_phv13,11,227-274,402-447,
Haloferax_phv14,12,377-419,,
Haloferax_phv15,13,366-542,,
Haloferax_phv16,14,397-471,,
Haloferax_phv17,15,386-471,,
Haloferax_phv18,16,400-490,,
Haloferax_phv19,17,288-355,407-443,
Haloferax_phv20,18,400-459,,
Haloferax_phv21,19,386-509,,
Haloferax_phv22,20,315-450,,
Haloferax_phv23,21,367-454,,
Haloferax_phv24,22,389-465,,
Haloferax_phv25,23,414-459,,
Haloferax_phv26,24,364-421,,
Haloferax_phv27,25,20-81,382-461,
Haloferax_phv28,26,95-138,446-499,
Haloferax_phv29,27,408-456,553-613,
Haloferax_phv30,28,399-436,,
Haloferax_phv31,29,107-260,316-386,
Haloferax_phv32,30,157-287,,
Haloferax_phv33,31,297-343,399-448,
Haloferax_phv34,32,394-474,,
Haloferax_phv35,33,204-269,382-472,
Haloferax_phv36,34,7-95,376-457,
Haloferax_phv37,35,195-238,,
Haloferax_phv38,36,266-436,,
Haloferax_phv39,37,401-447,,
Haloferax_phv40,38,292-393,,
Haloferax_phv41,39,262-355,397-439,
Haloferax_phv42,40,413-456,,
Haloferax_phv43,41,258-427,,
Haloferax_phv44,42,380-565,,
Haloferax_phv45,43,401-457,,
Haloferax_phv46,44,415-454,,
Haloferax_phv47,45,419-509,,
Haloferax_phv48,46,,,
Haloferax_phv49,47,322-367,,
Haloferax_phv50,48,19-69,382-450,
Haloferax_phv51,49,,,
Haloferax_phv52,50,429-466,,
Haloferax_phv53,51,183-231,,
Haloferax_phv54,52,412-450,,
Haloferax_phv55,53,333-394,400-508,
Haloferax_phv56,54,405-458,,
Haloferax_phv57,55,333-439,,
Haloferax_phv58,56,258-343,403-469,
Haloferax_phv59,57,64-109,170-223,409-449
Haloferax_phv60,58,388-454,,
Haloferax_phv61,59,0-62,353-446,
Haloferax_phv62,60,561-597,,
Haloferax_phv63,61,,,
Haloferax_phv64,62,381-461,,
Haloferax_phv65,63,391-479,,
Haloferax_phv66,64,231-277,,
Haloferax_phv67,65,226-301,,
Haloferax_phv68,66,400-440,,
Haloferax_phv69,67,380-444,,
Haloferax_phv70,68,305-356,,
Haloferax_phv71,69,,,
Haloferax_phv72,70,281-364,371-501,
Haloferax_phv73,71,201-244,364-417,
Haloferax_phv74,72,317-374,379-458,
Haloferax_phv75,73,349-449,,
Haloferax_phv76,74,,,
Haloferax_phv77,75,,,
Haloferax_phv78,76,364-451,,
Haloferax_phv79,77,310-367,419-471,
Haloferax_phv80,78,397-435,,
Haloferax_phv81,79,223-287,395-454,
Haloferax_phv82,80,400-463,,
Haloferax_phv83,81,19-102,159-207,
Haloferax_phv84,82,403-462,,
Haloferax_phv85,83,403-471,,
Haloferax_phv86,84,355-485,,
Haloferax_phv87,85,257-308,419-495,
Haloferax_phv88,86,246-286,,
Haloferax_phv89,87,382-480,,
Haloferax_phv90,88,401-463,,
Haloferax_phv91,89,392-469,,
Haloferax_phv92,90,294-351,,
Haloferax_phv93,91,53-151,450-509,
Haloferax_phv94,92,412-480,,
Haloferax_phv95,93,400-499,,
Haloferax_phv96,94,403-479,,
Haloferax_phv97,95,403-484,,
Haloferax_phv98,96,378-450,,
Haloferax_phv99,97,252-306,,
Haloferax_phv100,98,202-245,401-454,
Haloferax_phv101,99,401-472,,
