"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31"
"a",-0.163174607520804,-0.219404436315994,-0.173862169716512,0.068421034777433,-0.0948873541069203,0.032711487361393,-0.323738697260054,0.205032433408992,-0.0804065332872009,0.204525790762335,-0.153461216743166,0.115963064352975,0.0553812306421759,0.03166679761263,0.180658272898041,-0.0220643271328821,-0.00883693518106901,-0.221516080431545,-0.0626689752486594,-0.213390637689614,0.146664668558123,0.192999187821091,0.154390040712338,0.334779428153743,0.319176649515484,-0.0795525266705902,-0.158448232342768,-0.400437009678262,-0.123212693208234,0.0688152690261765,0.063730485011644
"b",-0.180950533388055,-0.0543937516644328,-0.200210494053867,0.336398559722896,0.28693021299517,0.191519068888135,0.055982317932681,-0.274225637272389,-0.400693369503212,-0.144725663143946,-0.036472689599434,-0.152110075296317,-0.0635683295110682,-0.0801755839307798,-0.310357703554072,-0.449245042552596,-0.156525575116322,0.0913198993559492,-0.0227619369297997,-0.19484377188525,0.0915138775827558,-0.0321651984380359,0.0747377949194451,0.0311957625856123,-0.0217363726235628,-0.0833426600911031,0.0573064812447889,-0.0265825843632192,-0.0174895159230212,0.00323116579088099,0.0105703281418792
"c",-0.146862894458323,-0.229602303487149,0.0822519506221214,-0.0594204619359782,-0.0693040067734977,0.0984025468916883,0.0902273236136719,0.0433367487087012,0.0580741818825591,0.00651952967121437,0.0159413967897427,0.196843144776737,0.23236688073745,-0.218439831387672,0.00486994128789416,-0.0785918743351364,-0.150103097999489,0.137075006612053,0.011496613990705,-0.0532238502183841,0.0802899161594745,-0.146932284261791,-0.175109263426885,-0.252935688124043,0.219679526105846,0.123246883375847,-0.0529623621633042,0.189702752357123,-0.579073144915889,0.32662046562393,-0.171397646621954
"d",-0.176430192409434,-0.204700311352524,-0.176747957710727,-0.134854579443798,0.0153018874823851,-0.157200064654173,0.182803830013011,-0.00935945569086368,-0.27444959300849,0.075329684513567,0.262821013869353,0.116687450374226,0.124795334381597,0.142665645065222,0.0562714450197013,0.0864857074455574,0.316576064462952,-0.429943734439562,-0.035372296580819,-0.29623622693232,-0.0134967385687375,-0.188085729983976,-0.113279308779531,-0.0661068249946932,-0.399085876980208,-0.0672057010751813,0.0880109375478798,0.038528168063447,-0.0576223512692432,0.0710166709209349,0.0247404941463024
"e",-0.146107505681744,-0.191362163230477,0.140905620013906,-0.177135086083913,0.0623134440828637,-0.0401070884067262,-0.14098153435388,-0.156842878389444,-0.127764427348827,0.114423376099983,0.188680664164726,0.035460084762263,-0.00398817248650919,0.0157177919089894,0.196675022782336,-0.172499169846796,-0.108729587216736,-0.0140269881813663,-0.115103009563339,0.21659683872852,-0.178952120754294,0.37035142945891,-0.116145928546143,0.126156408977599,0.112433127079729,-0.430581641060743,0.0535358702079537,0.4573133666948,0.069602488066777,0.0417985782838233,0.135847297713945
"f",-0.135865121636134,-0.211538271320546,0.205182970421426,-0.0419457839448809,0.00266059561469618,0.0906235897490101,-0.0645370933118283,-0.2647054979593,0.0859921879303494,-0.0189712162183505,-0.0402568806574745,-0.0176464853424719,-0.020068191939642,-0.05085650115485,0.0852811828613448,0.0423023552273513,0.0573500102922379,-0.033029350288533,-0.219132253176665,-0.0742499098209309,-0.0748114877158184,0.165565576398411,0.110863235273283,-0.0958272269388042,-0.10061905316785,-0.0102055347607577,0.0407645940488068,-0.164335089413338,0.110341558055103,-0.177273314602661,-0.770616323081253
"g",-0.229780935384503,0.261103944338758,-0.275438028264541,-0.0250562903860569,-0.113435997309176,-0.0271696013849224,-0.0728315297494247,0.201105934995911,-0.154500823720207,-0.0243563519814289,-0.00848291887558586,0.0428045338629406,0.0318749211843722,0.143464318111133,-0.0356648276963675,-0.0491901504612367,0.0544674339606665,-0.0288978584353654,0.314292056437334,0.0488419890828505,0.138843296154663,-0.0971678870861269,-0.262925244938365,-0.0538049626522695,0.306410593122365,-0.0589012474640081,-0.0792989652199727,0.207237395447217,0.389970637539924,0.116372201232375,-0.416650197668529
"h",-0.143479763999403,-0.211897728066351,0.187115223302963,0.02161092077531,-0.0929784529773187,0.0502462395868761,0.00737707973853867,-0.210778306096056,0.114972545692763,-0.107763601326853,-0.152940797643408,0.0263891744995545,0.0375054009181309,-0.0486667018883693,-0.0399209813366413,0.0226208676164621,0.114361473849787,-0.0118603290807328,-0.02568753421191,-0.0998713313034449,0.050480175456124,0.150317077316288,-0.102069023758117,-0.311490750209183,0.0696696168206806,0.122063211289971,0.0678386410978271,-0.181006813036782,0.488163482437479,0.499541965976109,0.295257087548936
"i",-0.145371123364304,-0.198035847309368,0.126679866321887,-0.0739442820848088,0.0617825482370237,0.244543392089452,-0.246272338757479,0.0471668850614691,0.135699793141236,0.00425028305074525,0.1814328861843,0.10769781892683,-0.0262489121998261,-0.220148299035609,-0.00835113298758362,0.0903336498985312,-0.162245509474651,0.176991983029877,0.0786071310367608,-0.0359168901983044,-0.014770973909212,-0.534810989530817,0.0312242457687445,0.32253974219786,-0.247881184404728,-0.123921362764278,-0.242764841547321,0.0226572742342658,0.270163261624485,0.0714543655805001,0.0244224041442414
"j",-0.150539989549127,-0.238673755263863,0.0720058115802454,0.051060162231672,-0.071098646168409,-0.00633936495224051,-0.0123058791165865,-0.0326201182194111,0.00673076070222638,-0.00809185581114125,-0.192698496531347,0.162026431974429,0.116144967338056,0.0165076894317026,0.161649935169142,-0.0848226374179432,0.039254435575404,0.163142192212764,0.142056781355975,-0.225414756173724,0.00987565675440496,-0.0726161337654044,-0.29359723172918,-0.166148700042526,0.111572813234267,0.110666580519739,-0.00300054302385713,0.0636628014682538,0.104844692993907,-0.699031338068557,0.221286513627061
