Organism,Seq,Positions,,
Strepto,1,,,
Strepto,2,475-548,,
Strepto,3,257-352,,
Strepto,4,513-600,,
Strepto,5,,,
Strepto,6,123-227,251-332,
Strepto,7,386-471,,
Strepto,8,,,
Strepto,9,,,
Strepto,10,,,
Strepto,11,366-440,,
Strepto,12,,,
Strepto,13,342-449,488-613,
Strepto,14,241-331,,
Strepto,15,341-457,,
Strepto,16,386-457,,
Strepto,17,,,
Strepto,18,359-451,,
Strepto,19,522-612,,
Strepto,20,49-148,180-254,
Strepto,21,387-468,,
Strepto,22,420-491,541-613,
Strepto,23,,,
Strepto,24,434-521,,
Strepto,25,,,
Strepto,26,387-494,,
Strepto,27,16-88,,
Strepto,28,317-392,,
Strepto,29,355-491,,
Strepto,30,321-464,,
Strepto,31,371-473,,
Strepto,32,396-473,,
Strepto,33,351-468,,
Strepto,34,327-548,,
Strepto,35,,,
Strepto,36,,,
Strepto,37,,,
Strepto,38,,,
Strepto,39,416-516,,
Strepto,40,,,
Strepto,41,257-328,397-468,
Strepto,42,302-455,,
Strepto,43,390-461,,
Strepto,44,388-466,,
Strepto,45,381-481,,
Strepto,46,373-492,,
Strepto,47,,,
Strepto,48,355-432,,
Strepto,49,423-514,,
Strepto,50,465-582,,
Strepto,51,367-447,,
Strepto,52,,,
Strepto,53,367-457,,
Strepto,54,248-320,389-463,
Strepto,55,317-445,,
Strepto,56,,,
Strepto,57,409-480,,
Strepto,58,278-378,,
Strepto,59,,,
Strepto,60,,,
Strepto,61,314-404,469-558,
Strepto,62,272-367,,
Strepto,63,,,
Strepto,64,413-547,,
Strepto,65,382-455,,
Strepto,66,375-446,,
Strepto,67,536-613,,
Strepto,68,,,
Strepto,69,,,
Strepto,70,,,
Strepto,71,313-454,,
Strepto,72,346-433,,
Strepto,73,381-467,,
Strepto,74,,,
Strepto,75,,,
Strepto,76,347-452,,
Strepto,77,345-475,,
Strepto,78,,,
Strepto,79,218-312,,
Strepto,80,185-270,,
Strepto,81,,,
Strepto,82,367-450,455-526,
Strepto,83,345-464,,
Strepto,84,,,
Strepto,85,,,
Strepto,86,,,
Strepto,87,0-84,,
Strepto,88,446-589,,
Strepto,89,376-502,,
Strepto,90,263-437,,
Strepto,91,224-298,357-436,
Strepto,92,,,
Strepto,93,203-295,,
Strepto,94,366-450,,
Strepto,95,,,
Strepto,96,,,
Strepto,97,,,
Strepto,98,,,
Strepto,99,375-468,,
Strepto,100,,,
Strepto,101,362-485,,
Strepto,102,324-441,,
Strepto,103,510-613,,
Strepto,104,,,
Strepto,105,392-465,,
Strepto,106,383-459,,
Strepto,107,,,
Strepto,108,423-499,,
Strepto,109,,,
Strepto,110,342-419,,
Strepto,111,410-499,,
