Organism,Seq,Positions,,,
Synecho,1,423-470,,,
Synecho,2,393-452,,,
Synecho,3,,,,
Synecho,4,0-142,,,
Synecho,5,,,,
Synecho,6,173-228,535-613,,
Synecho,7,,,,
Synecho,8,91-128,147-184,,
Synecho,9,25-66,168-217,347-421,
Synecho,10,234-302,,,
Synecho,11,397-475,,,
Synecho,12,253-329,333-374,387-441,446-500
Synecho,13,47-127,,,
Synecho,14,381-495,,,
Synecho,15,239-308,,,
Synecho,16,0-52,,,
Synecho,17,342-392,402-467,,
Synecho,18,241-288,402-520,,
Synecho,19,215-315,,,
Synecho,20,200-238,270-404,,
Synecho,21,390-470,498-582,,
Synecho,22,,,,
Synecho,23,396-465,,,
Synecho,24,0-134,,,
Synecho,25,,,,
Synecho,26,374-428,,,
Synecho,27,413-489,,,
Synecho,28,482-526,,,
Synecho,29,243-313,326-373,,
Synecho,30,,,,
Synecho,31,175-216,403-454,497-604,
Synecho,32,342-419,,,
Synecho,33,309-348,394-483,,
Synecho,34,103-149,156-251,300-369,
Synecho,35,,,,
Synecho,36,,,,
Synecho,37,385-473,,,
Synecho,38,,,,
Synecho,39,351-387,445-481,,
Synecho,40,348-439,,,
Synecho,41,0-51,,,
Synecho,42,,,,
Synecho,43,,,,
Synecho,44,334-481,,,
Synecho,45,427-547,,,
Synecho,46,,,,
Synecho,47,190-226,,,
Synecho,48,344-461,,,
Synecho,49,403-483,,,
Synecho,50,505-600,,,
Synecho,51,48-130,,,
Synecho,52,97-140,186-231,,
Synecho,53,281-329,457-519,,
Synecho,54,50-89,,,
Synecho,55,306-411,,,
Synecho,56,415-473,,,
Synecho,57,417-553,559-613,,
Synecho,58,445-518,575-613,,
Synecho,59,,,,
Synecho,60,382-465,471-556,,
Synecho,61,332-493,,,
Synecho,62,305-395,399-464,490-541,
Synecho,63,72-117,275-340,494-554,
Synecho,64,316-356,412-459,,
Synecho,65,316-364,514-561,,
Synecho,66,78-151,432-519,,
Synecho,67,,,,
Synecho,68,268-484,,,
Synecho,69,396-498,537-613,,
Synecho,70,231-414,,,
Synecho,71,0-80,150-278,393-429,
Synecho,72,381-460,,,
Synecho,73,323-396,,,
Synecho,74,0-54,357-427,,
Synecho,75,,,,
Synecho,76,102-157,220-360,438-499,
Synecho,77,,,,
Synecho,78,26-62,,,
Synecho,79,,,,
Synecho,80,,,,
Synecho,81,235-273,282-319,391-463,
Synecho,82,,,,
Synecho,83,320-380,,,
Synecho,84,462-504,,,
Synecho,85,0-146,,,
Synecho,86,10-144,252-289,,
Synecho,87,239-300,308-357,,
Synecho,88,434-568,573-613,,
Synecho,89,448-500,,,
Synecho,90,420-478,,,
Synecho,91,21-95,153-266,,
Synecho,92,348-414,,,
Synecho,93,409-504,531-571,,
Synecho,94,465-503,,,
Synecho,95,536-579,,,
Synecho,96,356-466,,,
Synecho,97,,,,
Synecho,98,234-295,335-393,,
Synecho,99,332-406,453-489,,
Synecho,100,448-487,,,
Synecho,101,,,,
Synecho,102,377-430,,,
Synecho,103,,,,
Synecho,104,92-140,177-254,,
Synecho,105,321-382,,,
Synecho,106,25-100,,,
Synecho,107,340-508,,,
Synecho,108,431-574,,,
Synecho,109,488-529,,,
Synecho,110,,,,
Synecho,111,53-91,212-286,401-456,
Synecho,112,0-59,133-216,358-412,
Synecho,113,345-483,,,
Synecho,114,433-519,,,
Synecho,115,,,,
Synecho,116,432-482,,,
Synecho,117,44-105,,,
Synecho,118,244-347,,,
Synecho,119,0-182,,,
Synecho,120,296-364,,,
Synecho,121,426-492,,,
Synecho,122,322-461,,,
Synecho,123,0-57,338-464,,
Synecho,124,304-410,,,
Synecho,125,239-284,,,
Synecho,126,256-368,424-477,,
Synecho,127,338-386,430-479,512-550,
Synecho,128,351-408,,,
Synecho,129,311-388,,,
Synecho,130,356-498,529-613,,
Synecho,131,,,,
Synecho,132,87-133,232-349,414-511,
Synecho,133,0-148,,,
Synecho,134,372-442,527-566,,
Synecho,135,343-383,571-613,,
Synecho,136,294-391,414-482,,
Synecho,137,313-351,355-408,,
Synecho,138,60-137,302-339,424-467,
Synecho,139,398-454,,,
Synecho,140,13-81,392-438,,
Synecho,141,344-486,,,
Synecho,142,,,,
Synecho,143,232-316,473-511,,
Synecho,144,81-150,281-360,455-525,
Synecho,145,,,,
Synecho,146,345-384,389-585,,
Synecho,147,0-192,,,
Synecho,148,292-354,,,
Synecho,149,546-601,,,
Synecho,150,190-367,,,
Synecho,151,,,,
Synecho,152,87-129,188-228,,
Synecho,153,409-590,,,
Synecho,154,2-124,220-265,,
Synecho,155,,,,
Synecho,158,335-388,456-537,,
Synecho,159,568-613,,,
Synecho,160,256-298,302-347,,
Synecho,161,,,,
Synecho,162,34-76,217-272,361-404,427-496
Synecho,163,,,,
Synecho,164,144-180,461-606,,
Synecho,165,326-440,484-544,,
Synecho,166,232-322,,,
Synecho,167,204-261,371-417,,
Synecho,168,311-402,,,
Synecho,169,294-355,425-505,,
Synecho,170,,,,
Synecho,171,93-139,188-261,,
Synecho,172,299-353,420-533,,
Synecho,173,0-49,385-481,,
Synecho,174,,,,
Synecho,175,45-81,,,
Synecho,176,354-524,,,
Synecho,177,0-53,349-389,524-582,
Synecho,178,276-331,,,
Synecho,179,0-113,146-188,469-528,
Synecho,180,436-477,,,
Synecho,181,431-488,,,
Synecho,182,245-294,440-484,488-524,
Synecho,183,156-211,520-562,,
Synecho,184,168-204,,,
Synecho,185,,,,
Synecho,186,386-462,,,
Synecho,187,417-521,,,
Synecho,188,186-225,506-567,,
Synecho,189,370-464,,,
Synecho,190,,,,
Synecho,191,379-471,,,
Synecho,192,257-325,,,
Synecho,193,326-530,,,
Synecho,194,24-86,367-468,,
Synecho,195,388-459,,,
Synecho,196,12-77,358-498,,
Synecho,197,230-299,,,
Synecho,198,445-495,520-600,,
Synecho,199,185-222,250-348,417-464,
Synecho,200,,,,
Synecho,201,337-435,,,
Synecho,202,,,,
Synecho,203,0-68,364-477,,
Synecho,204,63-102,199-342,,
Synecho,205,,,,
Synecho,206,253-304,311-348,,
