Organism,Seq,Positions,,,,
Myco,1,392-456,,,,
Myco,2,0-64,152-216,392-448,,
Myco,3,56-144,272-304,408-440,,
Myco,4,0-48,136-200,296-368,472-560,
Myco,5,304-408,,,,
Myco,6,,,,,
Myco,7,56-176,296-472,,,
Myco,8,184-216,,,,
Myco,9,40-208,480-544,,,
Myco,10,176-320,,,,
Myco,11,136-224,384-456,,,
Myco,12,360-504,,,,
Myco,13,0-96,232-408,,,
Myco,14,72-232,312-392,504-560,,
Myco,15,200-328,,,,
Myco,16,368-496,,,,
Myco,17,24-48,152-224,512-520,,
Myco,18,0-128,488-520,,,
Myco,19,72-232,352-384,,,
Myco,20,208-240,376-440,,,
Myco,21,80-128,352-424,,,
Myco,22,416-464,,,,
Myco,23,216-240,416-544,,,
Myco,24,0-32,328-480,,,
Myco,25,368-416,,,,
Myco,26,8-120,248-320,520-560,,
Myco,27,296-432,,,,
Myco,28,336-504,,,,
Myco,29,224-264,360-464,,,
Myco,30,0-16,168-264,424-552,,
Myco,31,208-240,504-528,,,
Myco,32,24-56,320-360,440-464,,
Myco,33,216-280,408-512,,,
Myco,34,192-224,376-440,,,
Myco,35,232-272,360-464,,,
Myco,36,408-416,,,,
Myco,37,216-280,416-440,,,
Myco,38,144-192,384-440,,,
Myco,39,48-64,272-288,328-408,472-560,
Myco,40,0-16,392-432,,,
Myco,41,0-88,336-408,,,
Myco,42,264-408,512-560,,,
Myco,43,0-16,360-456,,,
Myco,44,264-560,,,,
Myco,45,24-80,120-208,296-416,,
Myco,46,56-96,264-544,,,
Myco,47,400-440,,,,
Myco,48,208-312,384-448,,,
Myco,49,384-464,,,,
Myco,50,0-96,208-264,528-552,,
Myco,51,360-408,,,,
Myco,52,360-432,520-536,,,
Myco,53,344-488,,,,
Myco,54,328-448,,,,
Myco,55,208-232,400-464,,,
Myco,56,0-40,312-392,,,
Myco,57,360-536,,,,
Myco,58,72-280,416-448,,,
Myco,59,360-384,536-560,,,
Myco,60,288-432,,,,
Myco,61,232-304,,,,
Myco,62,104-248,368-432,,,
Myco,63,280-368,456-472,,,
Myco,64,312-400,,,,
Myco,65,392-440,,,,
Myco,66,384-448,,,,
Myco,67,392-432,,,,
Myco,68,352-512,,,,
Myco,69,104-376,,,,
Myco,70,0-32,192-248,368-440,,
Myco,71,352-496,,,,
Myco,72,24-64,328-472,,,
Myco,73,256-384,,,,
Myco,74,0-56,272-416,,,
Myco,75,304-464,,,,
Myco,76,0-272,368-456,,,
Myco,77,128-208,320-560,,,
Myco,78,368-416,,,,
Myco,79,328-464,,,,
Myco,80,264-328,,,,
Myco,81,,,,,
Myco,82,248-400,,,,
Myco,83,288-456,,,,
Myco,84,64-120,440-480,,,
Myco,85,72-104,504-560,,,
Myco,86,0-136,328-368,,,
Myco,87,0-88,,,,
Myco,88,0-24,176-200,,,
Myco,89,32-72,344-392,504-536,,
Myco,90,0-16,368-536,,,
Myco,91,0-40,344-392,,,
Myco,92,208-288,456-560,,,
Myco,93,96-248,360-560,,,
