Organism,Seq,Positions,,,,
Methano,1,180-448,,,,
Methano,2,460-537,,,,
Methano,3,0-58,367-475,,,
Methano,4,168-238,,,,
Methano,5,,,,,
Methano,6,22-65,164-301,346-443,,
Methano,7,316-378,445-581,,,
Methano,8,373-447,,,,
Methano,9,262-443,,,,
Methano,10,351-481,,,,
Methano,11,249-407,,,,
Methano,12,394-569,,,,
Methano,13,136-329,,,,
Methano,14,308-492,,,,
Methano,15,259-538,,,,
Methano,16,259-357,,,,
Methano,17,181-322,398-460,,,
Methano,18,363-452,470-512,,,
Methano,19,,,,,
Methano,20,,,,,
Methano,21,,,,,
Methano,22,64-127,148-269,,,
Methano,23,204-267,295-338,,,
Methano,24,316-406,,,,
Methano,25,207-313,,,,
Methano,26,354-427,,,,
Methano,27,212-406,442-491,,,
Methano,28,199-281,296-363,,,
Methano,29,214-270,352-458,,,
Methano,30,272-369,397-465,,,
Methano,31,224-316,432-496,,,
Methano,32,180-225,368-459,506-602,,
Methano,33,304-469,,,,
Methano,34,249-292,296-350,,,
Methano,35,,,,,
Methano,36,184-233,240-348,368-463,,
Methano,37,,,,,
Methano,38,318-426,503-550,,,
Methano,39,289-487,,,,
Methano,40,203-482,,,,
Methano,41,84-157,,,,
Methano,42,218-282,376-451,563-613,,
Methano,43,,,,,
Methano,44,522-613,,,,
Methano,45,188-236,364-467,569-613,,
Methano,46,573-613,,,,
Methano,47,250-492,,,,
Methano,48,374-461,,,,
Methano,49,256-348,,,,
Methano,50,200-257,287-432,,,
Methano,51,65-113,179-235,540-610,,
Methano,52,377-448,,,,
Methano,53,259-316,479-538,,,
Methano,54,291-350,438-555,,,
Methano,55,271-475,,,,
Methano,56,309-423,480-530,,,
Methano,57,234-321,,,,
Methano,58,42-119,282-321,,,
Methano,59,376-474,,,,
Methano,60,56-93,374-425,434-519,,
Methano,61,379-592,,,,
Methano,62,198-293,300-477,,,
Methano,63,230-309,320-439,,,
Methano,64,191-246,,,,
Methano,65,192-300,309-405,,,
Methano,66,379-452,470-507,577-613,,
