Organism,Seq,Positions,,,
Ecoli,1,377-481,,,
Ecoli,2,20-70,373-438,,
Ecoli,3,340-439,,,
Ecoli,4,320-395,435-492,,
Ecoli,5,339-474,,,
Ecoli,6,296-528,,,
Ecoli,7,268-329,397-468,,
Ecoli,8,343-467,,,
Ecoli,9,0-63,80-130,151-260,
Ecoli,10,364-428,459-534,,
Ecoli,11,298-515,,,
Ecoli,12,298-338,347-448,455-544,
Ecoli,13,362-483,487-574,,
Ecoli,14,43-108,389-469,,
Ecoli,15,221-277,,,
Ecoli,16,263-316,415-495,,
Ecoli,17,249-321,342-451,,
Ecoli,18,337-410,,,
Ecoli,19,314-417,428-478,537-593,
Ecoli,20,383-531,,,
Ecoli,21,318-371,376-475,,
Ecoli,22,,,,
Ecoli,23,259-325,341-511,,
Ecoli,24,380-508,,,
Ecoli,25,325-412,,,
Ecoli,26,367-457,473-539,,
Ecoli,27,302-509,,,
Ecoli,28,236-336,461-515,,
Ecoli,29,417-490,,,
Ecoli,30,444-513,,,
Ecoli,31,379-474,,,
Ecoli,32,289-425,,,
Ecoli,33,270-376,,,
Ecoli,34,277-394,470-556,,
Ecoli,35,247-291,315-357,409-448,
Ecoli,36,275-328,411-554,,
Ecoli,37,319-418,,,
Ecoli,38,265-418,479-544,,
Ecoli,39,528-593,,,
Ecoli,40,318-408,,,
Ecoli,41,327-379,393-479,,
Ecoli,42,149-195,307-346,,
Ecoli,43,,,,
Ecoli,44,367-447,,,
Ecoli,45,502-549,,,
Ecoli,46,172-450,,,
Ecoli,47,326-433,,,
Ecoli,48,306-407,454-523,,
Ecoli,49,259-319,366-496,,
Ecoli,50,362-418,,,
Ecoli,51,325-521,,,
Ecoli,52,243-362,424-478,482-522,
Ecoli,53,426-491,,,
Ecoli,54,234-271,396-513,,
Ecoli,55,402-504,,,
Ecoli,56,203-482,,,
Ecoli,57,65-102,253-314,448-519,
Ecoli,58,464-554,,,
Ecoli,59,,,,
Ecoli,60,321-569,,,
Ecoli,61,22-91,253-301,428-487,
Ecoli,62,411-490,,,
Ecoli,63,450-499,,,
Ecoli,64,232-447,,,
Ecoli,65,210-373,,,
Ecoli,66,259-330,430-493,,
Ecoli,67,271-355,410-505,,
Ecoli,68,436-489,,,
Ecoli,69,401-500,,,
Ecoli,70,534-575,,,
Ecoli,71,19-66,438-488,,
Ecoli,72,,,,
Ecoli,73,255-345,359-499,,
Ecoli,74,409-477,,,
Ecoli,75,421-552,,,
Ecoli,76,328-607,,,
Ecoli,77,208-462,,,
Ecoli,78,340-406,436-483,,
Ecoli,79,360-408,427-550,563-613,
Ecoli,80,395-515,,,
Ecoli,81,367-405,,,
Ecoli,82,164-214,320-441,509-573,
Ecoli,83,214-461,,,
Ecoli,84,322-374,,,
Ecoli,85,231-291,401-491,,
Ecoli,86,349-516,,,
Ecoli,87,306-479,,,
Ecoli,88,342-409,,,
Ecoli,89,332-484,,,
Ecoli,90,209-413,,,
Ecoli,91,262-304,,,
Ecoli,92,380-472,569-608,,
Ecoli,93,380-532,,,
Ecoli,94,270-407,418-524,,
Ecoli,95,335-449,,,
Ecoli,96,316-469,,,
Ecoli,97,6-87,211-270,551-606,
Ecoli,98,446-528,,,
Ecoli,99,206-271,379-481,,
Ecoli,100,315-367,455-491,,
Ecoli,101,342-482,,,
Ecoli,102,306-443,,,
Ecoli,103,297-413,486-531,,
Ecoli,104,194-238,330-381,547-590,
Ecoli,105,213-327,333-448,,
Ecoli,106,318-460,,,
Ecoli,107,229-347,413-450,,
Ecoli,108,373-488,,,
Ecoli,109,329-366,478-608,,
Ecoli,110,357-417,,,
Ecoli,111,362-452,,,
Ecoli,112,405-494,498-578,,
Ecoli,113,,,,
Ecoli,114,,,,
Ecoli,115,291-372,414-511,,
Ecoli,116,145-310,,,
Ecoli,117,253-313,322-478,,
Ecoli,118,86-167,459-564,,
Ecoli,119,354-479,,,
Ecoli,120,,,,
Ecoli,121,352-437,,,
Ecoli,122,317-442,459-514,,
Ecoli,123,155-195,246-347,476-525,
Ecoli,124,234-407,,,
Ecoli,125,173-276,,,
Ecoli,126,220-280,323-394,414-499,
Ecoli,127,323-369,566-602,,
Ecoli,128,382-515,,,
Ecoli,129,249-294,306-420,,
Ecoli,130,336-438,,,
Ecoli,131,259-309,391-538,,
Ecoli,132,308-370,444-527,,
Ecoli,133,199-241,331-440,,
Ecoli,134,371-493,554-613,,
Ecoli,135,224-384,442-503,,
Ecoli,136,349-476,,,
Ecoli,137,211-288,326-405,,
Ecoli,138,335-399,422-485,,
Ecoli,139,242-375,464-521,,
Ecoli,140,204-438,,,
Ecoli,141,261-303,366-463,,
Ecoli,142,236-290,332-426,,
Ecoli,143,372-481,,,
Ecoli,144,219-331,,,
Ecoli,145,316-377,435-526,,
Ecoli,146,,,,
Ecoli,147,297-390,,,
Ecoli,148,253-333,453-514,,
Ecoli,149,200-242,369-422,523-602,
Ecoli,150,573-613,,,
Ecoli,151,301-513,,,
Ecoli,152,113-386,,,
Ecoli,153,265-444,455-544,,
Ecoli,154,365-538,,,
Ecoli,155,297-536,,,
Ecoli,156,353-423,,,
Ecoli,157,,,,
Ecoli,158,428-480,,,
Ecoli,159,267-449,,,
Ecoli,160,295-510,,,
Ecoli,161,31-150,224-310,,
Ecoli,162,305-451,455-537,,
Ecoli,163,299-437,,,
Ecoli,164,499-590,,,
Ecoli,165,192-277,293-365,389-471,
Ecoli,166,361-420,462-512,,
Ecoli,167,283-429,433-474,483-562,
Ecoli,168,288-426,,,
Ecoli,169,430-530,,,
Ecoli,170,,,,
Ecoli,171,239-482,,,
Ecoli,172,429-527,,,
Ecoli,173,0-76,232-270,357-511,
Ecoli,174,183-447,,,
Ecoli,175,252-293,347-404,420-486,
Ecoli,176,317-365,423-492,,
Ecoli,177,319-487,,,
Ecoli,178,339-493,,,
