Organism,Seq,Positions,,,
Chlamydia,1,326-412,,,
Chlamydia,2,272-310,,,
Chlamydia,3,415-517,,,
Chlamydia,4,292-417,,,
Chlamydia,5,357-443,,,
Chlamydia,6,350-404,,,
Chlamydia,7,138-226,572-613,,
Chlamydia,8,386-450,514-604,,
Chlamydia,9,511-608,,,
Chlamydia,10,310-454,461-504,,
Chlamydia,11,229-331,340-424,,
Chlamydia,12,339-472,,,
Chlamydia,13,399-475,,,
Chlamydia,14,436-613,,,
Chlamydia,15,,,,
Chlamydia,16,,,,
Chlamydia,17,,,,
Chlamydia,18,235-332,388-486,,
Chlamydia,19,368-454,,,
Chlamydia,20,417-460,516-588,,
Chlamydia,21,392-525,,,
Chlamydia,22,575-613,,,
Chlamydia,23,432-539,,,
Chlamydia,24,376-533,,,
Chlamydia,25,574-613,,,
Chlamydia,26,,,,
Chlamydia,27,351-416,,,
Chlamydia,28,194-264,407-460,,
Chlamydia,29,198-289,311-413,,
Chlamydia,30,364-606,,,
Chlamydia,31,331-452,,,
Chlamydia,32,382-505,,,
Chlamydia,33,215-287,342-429,,
Chlamydia,34,280-485,,,
Chlamydia,35,342-426,,,
Chlamydia,36,347-458,463-526,,
Chlamydia,37,294-454,,,
Chlamydia,38,273-438,,,
Chlamydia,39,198-413,417-459,,
Chlamydia,40,396-482,,,
Chlamydia,41,284-374,,,
Chlamydia,42,196-475,,,
Chlamydia,43,197-242,248-388,,
Chlamydia,44,271-395,,,
Chlamydia,45,430-517,,,
Chlamydia,46,270-319,353-394,399-457,
Chlamydia,47,360-554,,,
Chlamydia,48,353-440,,,
Chlamydia,49,392-489,,,
Chlamydia,50,348-393,,,
Chlamydia,51,316-452,,,
Chlamydia,52,429-473,,,
Chlamydia,53,147-412,,,
Chlamydia,54,257-323,,,
Chlamydia,55,270-411,,,
Chlamydia,56,340-427,505-554,,
Chlamydia,57,327-484,,,
Chlamydia,58,272-370,421-485,498-551,
Chlamydia,59,179-267,403-458,548-613,
Chlamydia,60,,,,
Chlamydia,61,340-466,,,
Chlamydia,62,16-53,337-472,,
Chlamydia,63,,,,
Chlamydia,64,280-465,,,
Chlamydia,65,225-277,414-451,,
Chlamydia,66,428-534,,,
Chlamydia,67,,,,
Chlamydia,68,137-246,371-408,,
Chlamydia,69,,,,
Chlamydia,70,227-268,295-332,,
Chlamydia,71,67-116,414-540,,
Chlamydia,72,260-300,308-435,442-524,
Chlamydia,73,232-270,283-320,331-434,
Chlamydia,74,399-437,,,
Chlamydia,75,375-496,,,
Chlamydia,76,200-259,406-479,,
Chlamydia,77,330-489,,,
Chlamydia,78,321-466,,,
Chlamydia,79,247-480,,,
Chlamydia,80,0-44,325-451,,
Chlamydia,81,292-432,,,
Chlamydia,82,257-368,475-536,,
Chlamydia,83,265-355,,,
Chlamydia,84,417-501,576-613,,
Chlamydia,85,573-613,,,
Chlamydia,86,32-101,469-506,,
Chlamydia,87,223-263,394-458,,
Chlamydia,88,384-502,,,
Chlamydia,89,344-476,,,
Chlamydia,90,198-244,326-373,390-474,
Chlamydia,91,210-328,380-489,,
Chlamydia,92,338-472,,,
Chlamydia,93,,,,
Chlamydia,94,253-461,,,
Chlamydia,95,197-250,402-465,,
Chlamydia,96,348-449,521-613,,
Chlamydia,97,191-266,392-428,,
Chlamydia,98,,,,
Chlamydia,99,179-292,330-458,,
Chlamydia,100,542-613,,,
Chlamydia,101,288-348,359-431,,
Chlamydia,102,0-90,210-270,,
Chlamydia,103,21-68,410-473,555-613,
Chlamydia,104,354-405,,,
Chlamydia,105,155-233,,,
Chlamydia,106,412-453,,,
Chlamydia,107,298-471,,,
Chlamydia,108,342-508,,,
Chlamydia,109,303-536,,,
Chlamydia,110,371-451,,,
Chlamydia,111,,,,
Chlamydia,112,355-487,,,
Chlamydia,113,309-461,,,
Chlamydia,114,325-425,,,
Chlamydia,115,330-366,431-476,502-565,
Chlamydia,116,231-267,288-364,431-510,
Chlamydia,117,205-455,,,
Chlamydia,118,376-419,,,
Chlamydia,119,,,,
Chlamydia,120,354-461,,,
Chlamydia,121,215-265,368-422,432-478,546-613
Chlamydia,122,370-485,551-613,,
Chlamydia,123,228-264,337-385,393-448,453-507
Chlamydia,124,313-362,,,
Chlamydia,125,306-479,,,
Chlamydia,126,379-468,,,
Chlamydia,127,291-327,401-524,,
Chlamydia,128,302-418,456-558,,
Chlamydia,129,392-460,,,
Chlamydia,130,319-406,,,
Chlamydia,131,383-469,,,
Chlamydia,132,176-216,500-545,,
Chlamydia,133,351-503,,,
Chlamydia,134,161-213,387-429,536-613,
Chlamydia,135,559-613,,,
Chlamydia,136,72-150,170-258,269-342,
Chlamydia,137,313-549,,,
Chlamydia,138,542-613,,,
Chlamydia,139,35-79,403-467,551-590,
Chlamydia,140,224-280,359-493,,
Chlamydia,141,,,,
Chlamydia,142,367-494,543-613,,
Chlamydia,143,266-377,381-541,,
Chlamydia,144,305-358,435-494,,
Chlamydia,145,306-344,380-504,,
Chlamydia,146,429-482,,,
Chlamydia,147,402-486,,,
Chlamydia,148,477-542,,,
Chlamydia,149,386-461,,,
Chlamydia,150,275-346,449-541,,
Chlamydia,151,299-459,466-505,,
Chlamydia,152,368-464,,,
Chlamydia,153,40-113,171-221,394-450,502-585
Chlamydia,154,294-464,,,
Chlamydia,155,24-71,209-261,352-488,
Chlamydia,156,426-484,507-613,,
Chlamydia,157,405-441,547-613,,
Chlamydia,158,283-480,,,
Chlamydia,159,161-212,314-428,,
Chlamydia,160,364-429,,,
Chlamydia,161,401-461,486-613,,
Chlamydia,162,0-40,376-474,,
Chlamydia,163,266-466,,,
Chlamydia,164,306-389,,,
Chlamydia,165,373-432,,,
