Organism,Seq,Positions,,,
Salmonella,1,40-160,456-544,,
Salmonella,2,72-312,400-448,,
Salmonella,3,0-40,256-488,,
Salmonella,4,176-504,,,
Salmonella,5,0-104,168-560,,
Salmonella,6,0-24,96-160,376-560,
Salmonella,7,32-240,344-560,,
Salmonella,8,232-552,,,
Salmonella,9,88-368,,,
Salmonella,10,128-416,,,
Salmonella,11,0-512,,,
Salmonella,12,192-256,376-456,,
Salmonella,13,120-128,248-488,,
Salmonella,14,336-560,,,
Salmonella,15,0-496,,,
Salmonella,16,248-560,,,
Salmonella,17,128-200,360-448,,
Salmonella,18,376-448,,,
Salmonella,19,96-248,368-416,,
Salmonella,20,,,,
Salmonella,21,224-456,536-560,,
Salmonella,22,152-232,312-480,,
Salmonella,23,288-432,,,
Salmonella,24,0-40,296-552,,
Salmonella,25,112-184,328-512,,
Salmonella,26,48-160,328-560,,
Salmonella,27,144-192,296-504,,
Salmonella,28,0-104,192-440,,
Salmonella,29,240-480,,,
Salmonella,30,336-440,528-552,,
Salmonella,31,224-248,312-408,,
Salmonella,32,104-536,,,
Salmonella,33,256-504,,,
Salmonella,34,8-16,168-208,496-544,
Salmonella,35,64-376,,,
Salmonella,36,160-232,320-496,,
Salmonella,37,0-80,216-224,376-408,496-560
Salmonella,38,0-224,328-544,,
Salmonella,39,208-272,368-552,,
Salmonella,40,0-32,,,
Salmonella,41,216-520,,,
Salmonella,42,0-200,272-312,432-472,
Salmonella,43,24-80,184-280,384-424,
Salmonella,44,96-232,304-392,496-560,
Salmonella,45,136-160,264-448,,
Salmonella,46,0-80,232-256,320-416,
Salmonella,47,0-48,248-488,,
Salmonella,48,0-56,208-456,,
Salmonella,49,200-240,352-440,,
Salmonella,50,224-560,,,
Salmonella,51,280-352,520-560,,
Salmonella,52,480-496,512-536,,
Salmonella,53,504-560,,,
Salmonella,54,0-8,496-560,,
Salmonella,55,0-136,152-160,,
Salmonella,56,176-528,,,
Salmonella,57,0-56,160-264,304-464,
Salmonella,58,120-200,344-560,,
Salmonella,59,104-472,,,
Salmonella,60,240-480,,,
Salmonella,61,256-504,,,
Salmonella,62,344-360,520-560,,
Salmonella,63,392-544,,,
Salmonella,64,216-280,360-560,,
Salmonella,65,0-96,368-392,512-528,
Salmonella,66,72-224,312-488,,
Salmonella,67,392-472,,,
Salmonella,68,352-536,,,
Salmonella,69,64-120,232-288,392-536,
Salmonella,70,0-112,320-560,,
Salmonella,71,240-304,392-560,,
Salmonella,72,216-536,,,
Salmonella,73,248-536,,,
Salmonella,74,112-496,,,
Salmonella,75,336-504,,,
Salmonella,76,0-32,248-480,,
Salmonella,77,136-560,,,
Salmonella,78,8-48,112-288,440-544,
Salmonella,79,184-424,,,
Salmonella,80,416-472,488-560,,
