Organism,Seq,Positions,,
Pseudo,1,522;590,,
Pseudo,2,,,
Pseudo,3,24;73,,
Pseudo,4,,,
Pseudo,5,211;257,390;436,
Pseudo,6,,,
Pseudo,7,33;142,193;299,
Pseudo,8,371;478,529;613,
Pseudo,9,379;457,544;605,
Pseudo,10,,,
Pseudo,11,,,
Pseudo,12,168;215,,
Pseudo,13,329;386,,
Pseudo,14,,,
Pseudo,15,429;549,,
Pseudo,16,247;284,310;348,
Pseudo,17,479;605,,
Pseudo,18,531;613,,
Pseudo,19,0;70,,
Pseudo,20,436;510,,
Pseudo,21,,,
Pseudo,22,201;304,,
Pseudo,23,0;119,,
Pseudo,24,333;456,,
Pseudo,25,51;144,,
Pseudo,26,350;464,,
Pseudo,27,363;427,,
Pseudo,28,224;296,,
Pseudo,29,,,
Pseudo,30,,,
Pseudo,31,68;118,,
Pseudo,32,436;501,,
Pseudo,33,544;605,,
Pseudo,34,406;461,,
Pseudo,35,277;356,371;411,
Pseudo,36,255;353,,
Pseudo,37,0;97,,
Pseudo,38,239;334,,
Pseudo,39,53;137,,
Pseudo,40,453;520,,
Pseudo,41,,,
Pseudo,42,434;490,,
Pseudo,43,,,
Pseudo,44,204;280,,
Pseudo,45,359;479,,
Pseudo,46,395;435,,
Pseudo,47,374;458,,
Pseudo,48,,,
Pseudo,49,356;511,,
Pseudo,50,56;116,499;565,569;608
Pseudo,51,,,
Pseudo,52,,,
Pseudo,53,323;446,,
Pseudo,54,539;613,,
Pseudo,55,45;91,,
Pseudo,56,258;323,417;468,
Pseudo,57,,,
Pseudo,58,,,
Pseudo,59,24;74,,
Pseudo,60,62;111,,
Pseudo,61,271;368,442;529,
Pseudo,62,351;392,,
Pseudo,63,277;510,,
Pseudo,64,499;613,,
Pseudo,65,320;457,468;508,
Pseudo,66,550;613,,
Pseudo,67,52;191,,
Pseudo,68,408;549,,
Pseudo,69,0;56,,
Pseudo,70,28;107,258;307,
Pseudo,71,257;309,,
Pseudo,72,,,
Pseudo,73,367;409,573;613,
Pseudo,74,146;208,364;425,
Pseudo,75,,,
Pseudo,76,61;111,554;613,
Pseudo,77,315;446,460;508,
Pseudo,78,,,
Pseudo,79,,,
Pseudo,80,,,
Pseudo,81,176;219,,
Pseudo,82,,,
Pseudo,83,0;36,,
Pseudo,84,,,
Pseudo,85,,,
Pseudo,86,,,
Pseudo,87,229;269,,
Pseudo,88,32;91,,
Pseudo,89,0;52,,
Pseudo,90,19;81,,
Pseudo,91,174;234,,
Pseudo,92,326;387,,
Pseudo,93,,,
Pseudo,94,476;515,,
Pseudo,95,103;145,172;212,320;361
Pseudo,96,211;458,,
Pseudo,97,233;324,,
Pseudo,98,493;537,,
Pseudo,99,284;331,403;459,
Pseudo,100,232;268,461;511,
Pseudo,101,148;188,507;613,
Pseudo,102,19;57,378;538,
Pseudo,103,0;56,430;524,
Pseudo,104,,,
Pseudo,105,,,
Pseudo,106,,,
Pseudo,107,333;412,,
Pseudo,108,251;288,401;500,
Pseudo,109,417;477,541;596,
Pseudo,110,436;537,566;613,
Pseudo,111,216;312,346;495,
Pseudo,112,337;391,428;485,
Pseudo,113,0;61,385;443,
Pseudo,114,,,
Pseudo,115,332;521,,
Pseudo,116,364;412,,
Pseudo,117,15;86,,
Pseudo,118,,,
Pseudo,119,289;348,,
Pseudo,120,356;464,510;566,
Pseudo,121,0;53,99;156,534;575
Pseudo,122,262;312,,
Pseudo,123,371;495,,
Pseudo,124,465;511,,
Pseudo,125,156;202,,
Pseudo,126,0;83,,
Pseudo,127,0;83,,
Pseudo,128,169;213,,
Pseudo,129,0;104,408;486,
Pseudo,130,47;96,515;556,
Pseudo,131,96;138,297;338,
Pseudo,132,,,
Pseudo,133,232;271,408;446,453;511
Pseudo,134,430;476,,
Pseudo,135,400;449,,
Pseudo,136,442;486,,
Pseudo,137,,,
Pseudo,138,69;182,,
Pseudo,139,0;38,,
Pseudo,140,349;453,,
Pseudo,141,168;220,501;589,
Pseudo,142,,,
Pseudo,143,516;601,,
Pseudo,144,433;532,,
Pseudo,145,76;112,471;508,
Pseudo,146,,,
Pseudo,147,397;454,,
Pseudo,148,250;297,399;516,
Pseudo,149,0;76,,
Pseudo,150,358;562,,
Pseudo,151,95;221,319;364,
Pseudo,152,,,
Pseudo,153,516;601,,
Pseudo,154,470;509,,
Pseudo,155,,,
Pseudo,156,215;271,,
Pseudo,157,332;381,399;462,
Pseudo,158,253;315,459;497,
Pseudo,159,550;613,,
Pseudo,160,,,
Pseudo,161,,,
Pseudo,162,,,
Pseudo,163,446;526,,
Pseudo,164,,,
Pseudo,165,516;601,,
Pseudo,166,390;460,,
Pseudo,167,2;48,391;497,
Pseudo,168,414;479,,
Pseudo,169,431;495,,
