Organism,Seq,Positions,,,
Ecoli,1,377-485,,,
Ecoli,2,19-60,372-437,,
Ecoli,3,333-441,,,
Ecoli,4,319-494,,,
Ecoli,5,339-473,489-541,,
Ecoli,6,313-529,,,
Ecoli,7,266-338,396-468,,
Ecoli,8,342-470,,,
Ecoli,9,0-59,157-260,,
Ecoli,10,347-448,457-535,,
Ecoli,11,277-510,,,
Ecoli,12,352-449,454-546,551-587,
Ecoli,13,360-577,,,
Ecoli,14,42-105,386-469,,
Ecoli,15,217-281,,,
Ecoli,16,262-318,413-498,,
Ecoli,17,247-317,345-455,,
Ecoli,18,326-406,,,
Ecoli,19,321-416,446-485,536-600,
Ecoli,20,391-544,,,
Ecoli,21,314-372,376-477,,
Ecoli,22,214-255,,,
Ecoli,23,267-310,371-509,,
Ecoli,24,379-510,,,
Ecoli,25,313-413,,,
Ecoli,26,365-465,472-544,,
Ecoli,27,301-512,,,
Ecoli,28,237-336,424-516,,
Ecoli,29,392-477,,,
Ecoli,30,440-514,,,
Ecoli,31,378-496,,,
Ecoli,32,288-428,,,
Ecoli,33,267-376,,,
Ecoli,34,287-397,470-556,,
Ecoli,35,235-334,,,
Ecoli,36,286-323,416-565,,
Ecoli,37,322-418,,,
Ecoli,38,269-417,,,
Ecoli,39,505-592,,,
Ecoli,40,324-385,,,
Ecoli,41,326-371,397-480,,
Ecoli,42,307-346,380-419,,
Ecoli,43,,,,
Ecoli,44,353-450,508-559,,
Ecoli,45,493-551,,,
Ecoli,46,186-450,,,
Ecoli,47,281-317,328-431,,
Ecoli,48,306-408,430-524,,
Ecoli,49,258-333,367-497,,
Ecoli,50,265-304,363-411,,
Ecoli,51,324-498,,,
Ecoli,52,251-361,428-470,486-530,
Ecoli,53,431-497,,,
Ecoli,54,407-518,,,
Ecoli,55,401-505,,,
Ecoli,56,210-489,,,
Ecoli,57,243-313,455-522,,
Ecoli,58,465-555,560-613,,
Ecoli,59,,,,
Ecoli,60,317-572,,,
Ecoli,61,252-301,433-484,,
Ecoli,62,447-497,,,
Ecoli,63,426-501,,,
Ecoli,64,236-457,,,
Ecoli,65,202-377,,,
Ecoli,66,258-332,424-494,,
Ecoli,67,278-351,416-513,,
Ecoli,68,436-490,,,
Ecoli,69,401-502,,,
Ecoli,70,518-573,,,
Ecoli,71,18-67,437-490,,
Ecoli,72,268-306,487-547,,
Ecoli,73,253-297,369-505,,
Ecoli,74,408-478,,,
Ecoli,75,421-485,,,
Ecoli,76,330-609,,,
Ecoli,77,243-463,,,
Ecoli,78,328-407,433-482,,
Ecoli,79,360-406,427-547,566-607,
Ecoli,80,432-518,,,
Ecoli,81,348-401,,,
Ecoli,82,163-210,322-442,508-574,
Ecoli,83,191-462,,,
Ecoli,84,321-374,,,
Ecoli,85,404-498,,,
Ecoli,86,348-518,,,
Ecoli,87,296-488,,,
Ecoli,88,342-421,,,
Ecoli,89,296-501,,,
Ecoli,90,227-430,455-506,,
Ecoli,91,261-305,,,
Ecoli,92,379-457,565-609,,
Ecoli,93,371-533,,,
Ecoli,94,268-407,417-528,,
Ecoli,95,333-455,,,
Ecoli,96,314-491,,,
Ecoli,97,12-84,209-256,549-606,
Ecoli,98,420-529,,,
Ecoli,99,204-294,397-482,,
Ecoli,100,315-362,454-495,,
Ecoli,101,382-498,,,
Ecoli,102,277-434,,,
Ecoli,103,297-433,485-532,,
Ecoli,104,193-237,326-383,,
Ecoli,105,213-328,332-451,,
Ecoli,106,316-460,,,
Ecoli,107,227-348,409-454,,
Ecoli,108,371-492,,,
Ecoli,109,493-608,,,
Ecoli,110,278-343,349-417,,
Ecoli,111,351-450,,,
Ecoli,112,391-581,,,
Ecoli,113,,,,
Ecoli,114,,,,
Ecoli,115,289-376,425-515,,
Ecoli,116,147-308,,,
Ecoli,117,256-314,320-486,,
Ecoli,118,11-47,82-168,457-565,
Ecoli,119,347-486,,,
Ecoli,120,,,,
Ecoli,121,354-438,,,
Ecoli,122,397-438,462-514,,
Ecoli,123,257-350,475-526,,
Ecoli,124,236-384,,,
Ecoli,125,173-287,,,
Ecoli,126,223-284,316-406,411-502,
Ecoli,127,550-608,,,
Ecoli,128,365-533,,,
Ecoli,129,252-295,303-416,,
Ecoli,130,315-439,,,
Ecoli,131,260-311,469-534,,
Ecoli,132,306-381,436-533,,
Ecoli,133,199-242,330-440,,
Ecoli,134,12-67,349-493,553-613,
Ecoli,135,231-390,439-510,,
Ecoli,136,348-477,,,
Ecoli,137,246-293,301-408,,
Ecoli,138,298-407,420-485,,
Ecoli,139,242-359,464-521,,
Ecoli,140,203-439,,,
Ecoli,141,233-325,364-465,,
Ecoli,142,234-291,342-426,,
Ecoli,143,398-482,,,
