Organism,Seq,Positions,,,
Pseudo,1,253-321,366-423,478-532,
Pseudo,2,0-71,,,
Pseudo,3,408-485,,,
Pseudo,4,0-43,419-489,498-585,
Pseudo,5,,,,
Pseudo,6,389-439,476-538,,
Pseudo,7,,,,
Pseudo,8,142-196,,,
Pseudo,9,334-458,,,
Pseudo,10,373-530,,,
Pseudo,11,,,,
Pseudo,12,7-86,,,
Pseudo,13,408-497,,,
Pseudo,14,178-237,,,
Pseudo,15,176-216,312-378,554-591,
Pseudo,16,500-542,,,
Pseudo,17,293-342,470-516,,
Pseudo,18,362-472,,,
Pseudo,19,318-484,,,
Pseudo,20,398-457,575-613,,
Pseudo,21,306-384,524-563,,
Pseudo,22,512-613,,,
Pseudo,23,215-332,,,
Pseudo,24,302-349,356-457,461-556,
Pseudo,25,193-234,361-454,524-600,
Pseudo,26,254-316,374-451,,
Pseudo,27,256-292,,,
Pseudo,28,422-475,,,
Pseudo,29,409-474,,,
Pseudo,30,428-477,,,
Pseudo,31,409-468,,,
Pseudo,32,420-508,,,
Pseudo,33,326-427,,,
Pseudo,34,302-347,372-424,,
Pseudo,35,398-445,462-531,,
Pseudo,36,74-135,470-539,,
Pseudo,37,355-445,,,
Pseudo,38,363-531,,,
Pseudo,39,,,,
Pseudo,40,,,,
Pseudo,41,200-273,423-479,,
Pseudo,42,368-429,,,
Pseudo,43,361-446,,,
Pseudo,44,275-315,,,
Pseudo,45,,,,
Pseudo,46,342-408,,,
Pseudo,47,0-37,128-174,333-407,455-512
Pseudo,48,399-509,,,
Pseudo,49,,,,
Pseudo,50,433-513,533-599,,
Pseudo,51,49-115,427-479,,
Pseudo,52,215-294,351-494,575-613,
Pseudo,53,325-423,439-484,494-536,
Pseudo,54,,,,
Pseudo,55,176-235,307-343,353-428,
Pseudo,56,0-114,395-443,489-525,
Pseudo,57,159-215,253-290,,
Pseudo,58,404-517,,,
Pseudo,59,374-488,,,
Pseudo,60,316-354,380-552,,
Pseudo,61,99-143,,,
Pseudo,62,0-52,,,
Pseudo,63,182-269,364-461,,
Pseudo,64,343-413,421-459,508-580,
Pseudo,65,172-237,,,
Pseudo,66,,,,
Pseudo,67,390-552,,,
Pseudo,68,388-439,506-572,,
Pseudo,69,347-422,434-473,477-531,
Pseudo,70,323-384,,,
Pseudo,71,261-346,413-491,,
Pseudo,72,270-312,363-498,,
Pseudo,73,301-353,495-580,,
Pseudo,74,246-308,416-493,,
