Organism,Seq,Positions,,
Halo_phv3,1,401;465,565;613,
Halo_phv4,2,232;291,358;420,427;476
Halo_phv5,3,,,
Halo_phv6,4,245;290,406;454,
Halo_phv7,5,,,
Halo_phv8,6,418;545,,
Halo_phv9,7,,,
Halo_phv10,8,,,
Halo_phv11,9,399;488,,
Halo_phv12,10,100;146,165;204,228;367
Halo_phv13,11,403;467,,
Halo_phv14,12,357;493,,
Halo_phv15,13,392;459,479;539,
Halo_phv16,14,243;327,403;441,
Halo_phv17,15,,,
Halo_phv18,16,364;446,497;540,
Halo_phv19,17,344;452,,
Halo_phv20,18,533;605,,
Halo_phv21,19,371;430,,
Halo_phv22,20,,,
Halo_phv23,21,180;252,402;459,
Halo_phv24,22,285;342,,
Halo_phv25,23,382;513,,
Halo_phv26,24,350;403,540;576,
Halo_phv27,25,385;427,444;595,
Halo_phv28,26,345;431,,
Halo_phv29,27,256;319,,
Halo_phv30,28,,,
Halo_phv31,29,79;127,155;306,
Halo_phv32,30,465;524,534;613,
Halo_phv33,31,,,
Halo_phv34,32,402;476,,
