Organism,Seq,Positions,,,,
Bacillus,1,360-432,,,,
Bacillus,2,424-520,,,,
Bacillus,3,136-208,280-536,,,
Bacillus,4,0-488,,,,
Bacillus,5,8-400,,,,
Bacillus,6,280-480,,,,
Bacillus,7,264-400,,,,
Bacillus,8,40-64,200-224,312-560,,
Bacillus,9,32-136,216-544,,,
Bacillus,10,336-520,,,,
Bacillus,11,88-152,264-552,,,
Bacillus,12,296-560,,,,
Bacillus,13,88-256,336-424,528-560,,
Bacillus,14,64-160,344-448,,,
Bacillus,15,88-440,504-560,,,
Bacillus,16,224-328,400-488,,,
Bacillus,17,224-504,,,,
Bacillus,18,0-480,,,,
Bacillus,19,112-208,304-536,,,
Bacillus,20,96-448,,,,
Bacillus,21,0-456,,,,
Bacillus,22,224-560,,,,
Bacillus,23,64-144,240-552,,,
Bacillus,24,288-560,,,,
Bacillus,25,176-312,328-512,,,
Bacillus,26,304-464,,,,
Bacillus,27,272-400,520-560,,,
Bacillus,28,312-424,,,,
Bacillus,29,128-136,168-448,,,
Bacillus,30,216-528,,,,
Bacillus,31,0-8,160-184,256-408,472-560,
Bacillus,32,216-496,,,,
Bacillus,33,256-440,,,,
Bacillus,34,176-424,480-552,,,
Bacillus,35,32-56,328-560,,,
Bacillus,36,272-512,,,,
Bacillus,37,320-424,512-560,,,
Bacillus,38,368-560,,,,
Bacillus,39,16-200,288-456,,,
Bacillus,40,320-528,,,,
Bacillus,41,136-168,328-560,,,
Bacillus,42,128-248,368-416,,,
Bacillus,43,152-288,352-440,,,
Bacillus,44,16-72,168-272,360-448,,
Bacillus,45,88-168,312-416,,,
Bacillus,46,152-432,,,,
Bacillus,47,136-504,,,,
Bacillus,48,0-80,376-408,,,
Bacillus,49,136-552,,,,
Bacillus,50,0-112,256-544,,,
Bacillus,51,0-144,296-536,,,
Bacillus,52,280-552,,,,
Bacillus,53,152-536,,,,
Bacillus,54,352-504,,,,
Bacillus,55,0-96,216-320,400-472,,
Bacillus,56,256-440,,,,
Bacillus,57,208-552,,,,
Bacillus,58,224-400,,,,
Bacillus,59,72-168,280-544,,,
Bacillus,60,288-560,,,,
Bacillus,61,128-168,240-392,,,
Bacillus,62,168-504,,,,
Bacillus,63,56-88,256-560,,,
Bacillus,64,0-280,344-472,,,
Bacillus,65,312-560,,,,
Bacillus,66,320-560,,,,
Bacillus,67,280-480,,,,
Bacillus,68,312-504,,,,
Bacillus,69,48-560,,,,
Bacillus,70,200-480,,,,
Bacillus,71,176-432,,,,
Bacillus,72,104-240,272-560,,,
Bacillus,73,0-56,136-560,,,
Bacillus,74,0-80,280-528,,,
Bacillus,75,0-216,360-408,504-560,,
Bacillus,76,0-80,296-528,,,
Bacillus,77,192-544,,,,
Bacillus,78,0-8,152-208,312-552,,
Bacillus,79,48-216,296-560,,,
Bacillus,80,24-176,280-480,,,
Bacillus,81,160-400,504-512,,,
Bacillus,82,272-544,,,,
Bacillus,83,0-16,144-504,,,
Bacillus,84,296-400,,,,
Bacillus,85,208-464,,,,
Bacillus,86,88-96,160-560,,,
Bacillus,87,304-560,,,,
Bacillus,88,0-64,312-456,,,
Bacillus,89,192-560,,,,
Bacillus,90,280-560,,,,
Bacillus,91,240-520,,,,
Bacillus,92,200-560,,,,
Bacillus,93,104-160,232-544,,,
Bacillus,94,216-480,,,,
Bacillus,95,232-504,,,,
Bacillus,96,216-560,,,,
Bacillus,97,16-432,,,,
Bacillus,98,48-72,280-448,,,
Bacillus,99,312-384,488-560,,,
Bacillus,100,280-560,,,,
Bacillus,101,0-48,168-256,344-528,,
Bacillus,102,200-544,,,,
Bacillus,103,40-88,264-560,,,
Bacillus,104,24-48,128-288,328-448,,
Bacillus,105,120-136,304-560,,,
Bacillus,106,24-112,288-496,,,
Bacillus,107,0-128,232-464,,,
Bacillus,108,192-528,,,,
Bacillus,109,128-480,,,,
Bacillus,110,160-224,288-440,,,
Bacillus,111,128-168,256-376,488-560,,
Bacillus,112,0-16,288-488,,,
Bacillus,113,168-256,320-480,,,
Bacillus,114,192-544,,,,
