Seq,Positions,,,
1,244;352,,,
2,418;570,,,
3,,,,
4,439;526,533;595,,
5,534;612,,,
6,,,,
7,460;583,,,
8,,,,
9,,,,
10,451;526,531;613,,
11,431;484,490;555,,
12,374;446,,,
13,133;215,,,
14,451;498,,,
15,336;435,484;530,,
16,388;468,,,
17,302;389,464;546,,
18,468;553,,,
19,406;465,,,
20,,,,
21,299;423,,,
22,229;296,429;484,,
23,374;412,,,
24,449;488,517;613,,
25,401;437,530;569,,
26,291;358,,,
27,,,,
28,388;476,,,
29,566;613,,,
30,254;312,,,
31,478;583,,,
32,512;564,,,
33,257;317,,,
34,0;40,461;498,,
35,387;446,,,
36,221;278,327;416,,
37,,,,
38,,,,
39,375;437,,,
40,,,,
41,,,,
42,292;373,387;426,,
43,181;273,,,
44,373;429,,,
45,561;600,,,
46,377;483,,,
47,326;444,,,
48,219;278,399;441,,
49,386;531,,,
50,334;373,410;459,464;554,
51,400;500,,,
52,,,,
53,17;61,,,
54,377;533,,,
55,,,,
56,348;472,,,
57,411;459,,,
58,386;495,,,
59,165;231,328;444,,
60,267;310,,,
61,466;613,,,
62,335;418,,,
63,160;275,,,
64,336;459,,,
65,351;390,555;613,,
66,0;47,160;236,377;417,
67,,,,
68,,,,
69,337;453,,,
70,270;324,328;468,488;542,
71,334;429,,,
72,,,,
73,202;322,401;469,,
74,302;482,,,
75,430;551,,,
76,439;535,576;613,,
77,287;381,,,
78,390;452,,,
79,299;406,,,
80,,,,
81,433;522,,,
82,187;230,242;331,,
83,379;435,,,
84,352;557,,,
85,532;592,,,
86,100;136,511;561,,
87,,,,
88,318;372,,,
89,450;578,,,
90,508;613,,,
91,240;286,292;364,465;505,
92,416;457,,,
93,257;297,448;536,,
94,418;495,,,
95,486;578,,,
96,197;310,,,
97,479;518,525;566,,
98,558;604,,,
99,383;456,478;558,,
100,354;456,,,
101,352;463,,,
102,7;47,537;603,,
103,376;442,,,
104,198;259,392;435,,
105,178;235,533;613,,
106,348;421,,,
107,382;540,,,
108,362;409,,,
109,404;507,,,
110,378;425,,,
111,414;454,462;505,,
112,257;317,,,
113,514;613,,,
114,360;477,,,
115,163;265,336;378,546;613,
116,0;157,,,
117,,,,
118,394;446,,,
119,4;42,424;613,,
120,174;269,297;371,,
121,551;613,,,
122,263;331,336;438,,
123,0;37,,,
124,514;564,,,
125,567;613,,,
126,495;563,,,
127,,,,
128,557;613,,,
