Organism,Seq,Positions,,,
Bacillus,1,,,,
Bacillus,2,,,,
Bacillus,3,315;377,,,
Bacillus,4,236;278,316;394,454;515,
Bacillus,5,153;220,243;432,,
Bacillus,6,316;526,,,
Bacillus,7,295;446,,,
Bacillus,8,397;508,531;594,,
Bacillus,9,363;404,515;577,,
Bacillus,10,368;516,,,
Bacillus,11,376;518,,,
Bacillus,12,351;417,502;601,,
Bacillus,13,189;234,381;455,,
Bacillus,14,395;469,,,
Bacillus,15,215;291,349;456,572;613,
Bacillus,16,291;370,475;526,,
Bacillus,17,266;420,425;500,,
Bacillus,18,241;337,409;506,,
Bacillus,19,,,,
Bacillus,20,,,,
Bacillus,21,220;499,,,
Bacillus,22,288;327,337;425,475;553,
Bacillus,23,319;471,532;572,,
Bacillus,24,331;378,389;472,,
Bacillus,25,251;305,406;472,,
Bacillus,26,349;449,,,
Bacillus,27,345;436,,,
Bacillus,28,364;455,,,
Bacillus,29,249;362,372;444,,
Bacillus,30,280;404,516;559,,
Bacillus,31,304;400,408;460,,
Bacillus,32,274;314,340;469,,
Bacillus,33,317;354,,,
Bacillus,34,209;446,,,
Bacillus,35,381;468,523;603,,
Bacillus,36,422;513,,,
Bacillus,37,552;613,,,
Bacillus,38,419;528,545;584,,
Bacillus,39,327;449,,,
Bacillus,40,364;522,,,
Bacillus,41,367;557,,,
Bacillus,42,,,,
Bacillus,43,182;295,394;454,,
Bacillus,44,41;115,225;311,,
Bacillus,45,345;453,,,
Bacillus,46,213;417,,,
Bacillus,47,314;532,,,
Bacillus,48,70;111,,,
Bacillus,49,258;297,487;537,,
Bacillus,50,437;529,,,
Bacillus,51,489;530,,,
Bacillus,52,302;574,,,
Bacillus,53,286;433,,,
Bacillus,54,383;439,,,
Bacillus,55,289;327,418;504,,
Bacillus,56,334;380,,,
Bacillus,57,255;311,412;520,,
Bacillus,58,251;389,,,
Bacillus,59,396;492,,,
Bacillus,60,,,,
Bacillus,61,280;329,392;436,,
Bacillus,62,305;380,,,
Bacillus,63,422;468,,,
Bacillus,64,45;125,232;324,423;511,
Bacillus,65,345;493,,,
Bacillus,66,353;532,,,
Bacillus,67,348;505,,,
Bacillus,68,376;461,,,
Bacillus,69,354;446,456;539,,
Bacillus,70,394;520,,,
Bacillus,71,196;278,336;473,,
Bacillus,72,399;453,465;505,565;613,
Bacillus,73,165;227,337;394,526;563,
Bacillus,74,,,,
Bacillus,75,44;103,122;230,,
Bacillus,76,324;536,,,
Bacillus,77,242;279,319;427,,
Bacillus,78,351;466,,,
Bacillus,79,118;155,181;253,,
Bacillus,80,,,,
Bacillus,81,206;445,,,
Bacillus,82,296;535,,,
Bacillus,83,225;471,,,
Bacillus,84,,,,
Bacillus,85,357;413,424;465,,
Bacillus,86,504;551,,,
Bacillus,87,488;529,,,
Bacillus,88,0;72,353;433,,
Bacillus,89,402;551,,,
Bacillus,90,,,,
Bacillus,91,282;361,396;509,,
Bacillus,92,,,,
Bacillus,93,278;342,401;461,,
Bacillus,94,256;502,,,
Bacillus,95,313;498,,,
Bacillus,96,318;367,423;468,478;515,560;597
Bacillus,97,176;274,314;431,,
Bacillus,98,356;446,,,
Bacillus,99,357;394,527;597,,
Bacillus,100,,,,
Bacillus,101,27;81,249;303,377;422,
Bacillus,102,282;343,357;422,468;514,
Bacillus,103,,,,
Bacillus,104,181;279,379;432,,
Bacillus,105,446;490,,,
Bacillus,106,326;410,,,
Bacillus,107,268;490,,,
Bacillus,108,349;578,,,
Bacillus,109,240;309,387;519,,
Bacillus,110,198;245,326;371,375;471,
Bacillus,111,158;212,319;411,538;598,
Bacillus,112,352;532,,,
