Organism,Seq,Positions,,,,
Helico,1,361-557,,,,
Helico,2,45-118,403-452,,,
Helico,3,0-37,158-234,400-470,,
Helico,4,0-48,386-506,,,
Helico,5,221-278,356-613,,,
Helico,6,308-464,,,,
Helico,7,319-383,,,,
Helico,8,319-383,,,,
Helico,9,160-279,385-526,534-613,,
Helico,10,242-292,,,,
Helico,11,158-235,259-500,,,
Helico,12,225-304,352-402,431-467,,
Helico,13,261-528,,,,
Helico,14,34-100,210-304,308-344,372-613,
Helico,15,336-456,,,,
Helico,16,334-370,378-446,,,
Helico,17,237-520,,,,
Helico,18,306-473,,,,
Helico,19,171-250,267-504,,,
Helico,20,386-478,572-613,,,
Helico,21,415-613,,,,
Helico,22,214-525,,,,
Helico,23,325-483,495-562,,,
Helico,24,208-278,328-388,,,
Helico,25,62-163,167-369,389-502,,
Helico,26,409-506,554-613,,,
Helico,27,313-359,426-482,,,
Helico,28,370-499,,,,
Helico,29,154-284,399-518,,,
Helico,30,120-233,303-466,477-552,,
Helico,31,350-481,,,,
Helico,32,349-519,,,,
Helico,33,0-42,190-487,,,
Helico,34,350-498,,,,
Helico,35,95-197,208-323,,,
Helico,36,330-535,,,,
Helico,37,343-491,,,,
Helico,38,158-444,,,,
Helico,39,224-433,,,,
Helico,40,327-373,382-491,,,
Helico,41,393-490,,,,
Helico,42,,,,,
Helico,43,123-213,424-518,,,
Helico,44,306-357,360-474,,,
Helico,45,434-564,,,,
Helico,46,6-50,232-346,,,
Helico,47,5-90,368-536,541-613,,
Helico,48,130-176,365-532,,,
Helico,49,406-577,,,,
Helico,50,215-483,,,,
Helico,51,226-301,326-479,,,
Helico,52,338-539,,,,
Helico,53,414-489,,,,
Helico,54,0-84,392-448,,,
Helico,55,366-520,,,,
Helico,56,168-252,324-481,,,
Helico,57,82-176,375-457,,,
Helico,58,231-491,,,,
Helico,59,44-205,332-387,426-577,,
Helico,60,107-166,,,,
Helico,61,369-448,,,,
Helico,62,304-590,,,,
Helico,63,184-263,,,,
Helico,64,457-554,,,,
Helico,65,327-526,,,,
Helico,66,0-67,356-474,,,
Helico,67,264-498,,,,
Helico,68,400-555,,,,
Helico,69,558-610,,,,
Helico,70,291-330,336-484,,,
Helico,71,239-380,386-524,,,
Helico,72,254-496,,,,
Helico,73,45-81,388-486,,,
Helico,74,153-258,401-445,,,
Helico,75,429-506,,,,
Helico,76,77-137,262-319,387-494,,
Helico,77,64-128,223-554,,,
Helico,78,166-221,,,,
Helico,79,117-498,529-613,,,
Helico,80,387-478,,,,
Helico,81,221-356,370-510,,,
Helico,82,33-110,344-525,,,
Helico,83,237-358,377-484,,,
Helico,84,551-613,,,,
Helico,85,0-64,137-191,241-366,,
Helico,86,0-73,306-586,,,
Helico,87,354-522,538-613,,,
Helico,88,181-249,261-355,377-478,,
Helico,89,206-274,382-477,,,
