Organism,Seq,Positions,,,
Halo,1,183;293,,,
Halo,2,38;104,,,
Halo,3,212;279,289;356,,
Halo,4,387;453,464;530,,
Halo,5,,,,
Halo,6,,,,
Halo,7,,,,
Halo,8,,,,
Halo,9,,,,
Halo,10,101;161,,,
Halo,11,123;182,,,
Halo,12,137;225,343;390,,
Halo,13,458;545,,,
Halo,14,358;447,,,
Halo,15,381;470,,,
Halo,16,442;531,,,
Halo,17,375;484,,,
Halo,18,413;522,,,
Halo,19,381;439,,,
Halo,20,407;465,,,
Halo,21,,,,
Halo,22,0;95,403;474,495;553,
Halo,23,,,,
Halo,24,,,,
Halo,25,,,,
Halo,26,,,,
Halo,27,,,,
Halo,28,,,,
Halo,29,,,,
Halo,30,296;342,,,
Halo,31,353;416,,,
Halo,32,187;223,,,
Halo,33,274;313,,,
Halo,34,394;480,,,
Halo,35,,,,
Halo,36,,,,
Halo,37,398;459,,,
Halo,38,406;526,531;584,,
Halo,39,303;348,,,
Halo,40,288;344,,,
Halo,41,423;473,,,
Halo,42,338;430,,,
Halo,43,437;525,,,
Halo,44,404;571,,,
Halo,45,363;450,,,
Halo,46,240;357,,,
Halo,47,275;391,,,
Halo,48,0;109,454;589,,
Halo,49,0;45,363;501,,
Halo,50,123;298,,,
Halo,51,240;414,,,
Halo,52,374;454,,,
Halo,53,401;481,,,
Halo,54,173;294,393;440,,
Halo,55,411;543,,,
Halo,56,234;394,,,
Halo,57,0;52,450;580,,
Halo,58,373;482,,,
Halo,59,399;508,,,
Halo,60,322;433,,,
Halo,61,355;468,,,
Halo,62,306;349,357;470,,
Halo,63,327;380,,,
Halo,64,186;297,,,
Halo,65,310;421,,,
Halo,66,150;219,,,
Halo,67,424;484,,,
Halo,68,64;178,210;281,,
Halo,69,109;223,255;326,,
Halo,70,0;50,385;462,,
Halo,71,367;525,,,
Halo,72,,,,
Halo,73,371;416,,,
Halo,74,,,,
Halo,75,,,,
Halo,76,,,,
Halo,77,223;284,461;502,,
Halo,78,383;451,,,
Halo,79,458;526,,,
Halo,80,182;250,334;447,,
Halo,81,395;444,527;613,,
Halo,82,399;448,,,
Halo,83,185;237,,,
Halo,84,141;218,,,
Halo,85,382;462,,,
Halo,86,,,,
Halo,87,,,,
Halo,88,289;421,,,
Halo,89,337;469,,,
Halo,90,396;475,,,
Halo,91,,,,
Halo,92,378;415,575;613,,
Halo,93,308;429,,,
Halo,94,52;139,145;219,,
Halo,95,285;370,,,
Halo,96,366;477,,,
Halo,97,,,,
Halo,98,,,,
Halo,99,222;258,279;390,396;501,
Halo,100,377;413,434;545,550;613,
Halo,101,0;94,400;441,,
Halo,102,308;352,365;412,,
Halo,103,378;479,552;613,,
Halo,104,499;601,,,
Halo,105,334;457,560;613,,
Halo,106,421;544,,,
Halo,107,315;414,,,
Halo,108,351;467,,,
Halo,109,18;187,,,
Halo,110,227;270,274;444,,
Halo,111,366;451,,,
Halo,112,,,,
Halo,113,388;486,514;594,,
Halo,114,0;142,,,
Halo,115,,,,
Halo,116,,,,
Halo,117,,,,
Halo,118,,,,
Halo,119,371;460,,,
Halo,120,462;551,,,
Halo,121,61;105,,,
Halo,122,408;456,,,
Halo,123,77;152,230;290,,
Halo,124,171;228,327;383,,
Halo,125,408;448,,,
Halo,126,501;541,,,
Halo,127,304;474,,,
Halo,128,0;56,,,
Halo,129,347;432,,,
Halo,130,379;464,,,
Halo,131,340;387,,,
Halo,132,,,,
Halo,133,472;541,,,
Halo,134,,,,
Halo,135,292;447,451;519,526;571,
Halo,136,487;613,,,
Halo,137,147;227,271;307,338;426,
Halo,138,163;243,287;323,354;442,
Halo,139,420;466,,,
Halo,140,,,,
Halo,141,332;432,,,
Halo,142,394;493,,,
Halo,143,428;479,,,
Halo,144,,,,
Halo,145,475;525,530;610,,
Halo,146,496;546,552;613,,
Halo,147,,,,
Halo,148,270;427,,,
