Organism,Seq,Positions,,,
Helico,1,404-514,,,
Helico,2,563-607,,,
Helico,3,,,,
Helico,4,331-495,,,
Helico,5,368-499,,,
Helico,6,324-383,532-603,,
Helico,7,320-387,,,
Helico,8,320-387,,,
Helico,9,381-426,464-527,531-613,
Helico,10,238-304,433-472,,
Helico,11,337-454,,,
Helico,12,225-291,,,
Helico,13,242-341,474-521,,
Helico,14,542-613,,,
Helico,15,333-457,,,
Helico,16,313-371,375-442,,
Helico,17,248-316,387-527,,
Helico,18,277-457,,,
Helico,19,240-353,396-519,,
Helico,20,570-613,,,
Helico,21,53-114,,,
Helico,22,234-398,415-513,,
Helico,23,319-462,477-594,,
Helico,24,204-271,,,
Helico,25,208-317,324-366,383-487,
Helico,26,411-511,551-613,,
Helico,27,310-353,422-470,,
Helico,28,370-498,,,
Helico,29,376-447,476-535,572-613,
Helico,30,295-428,490-526,,
Helico,31,346-480,,,
Helico,32,245-285,355-452,487-524,
Helico,33,206-325,334-461,,
Helico,34,,,,
Helico,35,210-308,,,
Helico,36,325-521,,,
Helico,37,380-491,,,
Helico,38,,,,
Helico,39,204-290,311-398,,
Helico,40,,,,
Helico,41,398-481,,,
Helico,42,,,,
Helico,43,1-54,,,
Helico,44,319-384,,,
Helico,45,425-487,,,
Helico,46,209-341,346-382,386-433,
Helico,47,0-81,362-507,,
Helico,48,359-400,,,
Helico,49,397-461,,,
Helico,50,262-486,,,
Helico,51,210-260,267-305,356-484,
Helico,52,334-536,,,
Helico,53,,,,
Helico,54,15-67,255-294,385-448,471-522
Helico,55,358-453,481-518,,
Helico,56,326-484,,,
Helico,57,378-421,,,
Helico,58,228-348,,,
Helico,59,315-426,,,
Helico,60,124-173,338-403,,
Helico,61,185-230,365-425,,
Helico,62,319-461,471-598,,
Helico,63,171-262,,,
Helico,64,447-488,495-531,,
Helico,65,324-526,,,
Helico,66,0-66,380-481,542-613,
Helico,67,361-458,,,
Helico,68,471-553,,,
Helico,69,,,,
Helico,70,333-410,421-485,563-612,
Helico,71,237-372,459-516,,
Helico,72,250-494,,,
Helico,73,373-410,417-493,525-561,
Helico,74,175-237,,,
Helico,75,424-466,,,
Helico,76,259-317,,,
Helico,77,281-368,407-527,,
Helico,78,68-106,177-247,401-456,
Helico,79,527-613,,,
Helico,80,281-363,375-494,,
Helico,81,220-318,333-408,,
Helico,82,,,,
Helico,83,241-344,374-475,,
Helico,84,190-254,,,
Helico,85,236-280,302-345,,
Helico,86,320-459,538-585,,
Helico,87,365-429,434-541,565-604,
Helico,88,,,,
Helico,89,205-283,380-417,422-484,
Helico,90,384-432,471-613,,
Helico,91,225-265,420-472,,
Helico,92,260-316,364-436,,
Helico,93,207-306,312-471,,
Helico,94,218-347,418-497,,
Helico,95,272-386,498-534,,
Helico,96,388-439,512-613,,
Helico,97,,,,
Helico,98,409-457,557-611,,
Helico,99,358-423,470-517,,
Helico,100,371-422,551-598,,
Helico,101,204-269,315-474,,
Helico,102,0-43,324-394,429-489,
Helico,103,278-480,,,
Helico,104,558-613,,,
Helico,105,122-162,170-236,301-338,
Helico,106,269-328,,,
Helico,107,336-498,,,
Helico,108,,,,
Helico,109,16-71,367-429,491-557,
Helico,110,54-117,438-496,,
Helico,111,254-314,333-483,,
Helico,112,216-271,411-480,568-613,
Helico,113,373-477,,,
Helico,114,185-236,272-464,,
Helico,115,220-453,,,
Helico,116,353-396,402-472,492-542,574-613
Helico,117,205-286,324-484,,
Helico,118,,,,
Helico,119,198-477,,,
Helico,120,235-459,,,
Helico,121,258-512,,,
Helico,122,342-410,430-503,,
Helico,123,,,,
Helico,124,333-485,551-604,,
Helico,125,181-238,396-446,,
Helico,126,316-402,,,
Helico,127,346-459,517-566,,
Helico,128,384-552,,,
Helico,129,424-463,,,
Helico,130,,,,
Helico,131,187-227,527-576,,
Helico,132,352-414,,,
Helico,133,224-276,395-449,,
Helico,134,242-395,,,
Helico,135,304-538,,,
Helico,136,290-525,,,
Helico,137,338-443,510-613,,
Helico,138,,,,
Helico,139,389-434,,,
Helico,140,450-506,,,
Helico,141,314-372,386-513,554-593,
Helico,142,544-594,,,
Helico,143,339-458,,,
Helico,144,371-510,,,
Helico,145,377-476,566-613,,
Helico,146,212-491,,,
Helico,147,149-342,,,
Helico,148,259-318,376-538,,
Helico,149,436-613,,,
Helico,150,63-99,279-329,396-460,472-558
Helico,151,358-436,530-609,,
Helico,152,312-512,,,
Helico,153,358-512,,,
Helico,154,0-96,,,
Helico,155,318-373,,,
Helico,156,,,,
Helico,157,332-436,527-611,,
Helico,158,382-517,550-613,,
Helico,159,260-416,,,
Helico,160,409-551,,,
Helico,161,147-195,521-610,,
Helico,162,534-613,,,
Helico,163,412-455,525-586,,
Helico,164,135-209,490-563,,
Helico,165,158-241,365-437,,
Helico,166,259-300,314-374,455-512,
Helico,167,338-415,,,
Helico,168,353-561,,,
Helico,169,47-85,236-326,431-485,
Helico,170,281-363,375-494,,
Helico,171,526-563,,,
Helico,172,339-464,,,
Helico,173,281-368,407-527,,
Helico,174,298-348,,,
Helico,175,385-424,549-594,,
Helico,176,447-500,,,
Helico,177,355-478,,,
Helico,178,282-394,419-485,,
Helico,179,335-382,393-498,,
Helico,180,353-417,528-613,,
Helico,181,287-380,384-453,,
Helico,182,45-106,572-613,,
Helico,183,384-477,,,
Helico,184,188-257,261-320,346-392,
Helico,185,274-361,385-496,,
Helico,186,334-436,469-545,,
Helico,187,340-462,,,
Helico,188,481-563,,,
Helico,189,312-467,497-550,,
Helico,190,299-465,,,
Helico,191,216-466,,,
Helico,192,502-546,,,
Helico,193,,,,
Helico,194,272-346,433-519,,
Helico,195,310-511,,,
Helico,196,,,,
Helico,197,228-314,359-466,,
Helico,198,374-612,,,
Helico,199,0-37,44-94,530-613,
Helico,200,0-58,361-418,484-613,
Helico,201,394-468,,,
Helico,202,296-365,,,
Helico,203,308-413,,,
Helico,204,0-86,,,
Helico,205,378-466,,,
Helico,206,410-524,,,
Helico,207,,,,
Helico,208,394-462,,,
Helico,209,284-540,,,
Helico,210,346-420,,,
Helico,211,261-324,,,
Helico,212,390-457,,,
Helico,213,172-208,558-613,,
Helico,214,205-249,395-484,,
Helico,215,20-141,189-238,,
Helico,216,379-454,,,
Helico,217,198-302,,,
Helico,218,19-119,550-588,,
Helico,219,265-431,,,
Helico,220,223-333,428-481,,
Helico,221,,,,
