Organism,Seq,Positions,,,
Synecho,1,,,,
Synecho,2,383-453,,,
Synecho,3,,,,
Synecho,4,0-138,,,
Synecho,5,,,,
Synecho,6,175-227,542-613,,
Synecho,7,,,,
Synecho,8,,,,
Synecho,9,178-219,361-417,,
Synecho,10,247-301,,,
Synecho,11,398-477,,,
Synecho,12,258-328,334-371,399-440,447-486
Synecho,13,48-90,,,
Synecho,14,382-486,,,
Synecho,15,250-307,,,
Synecho,16,0-44,,,
Synecho,17,237-273,343-391,403-452,
Synecho,18,237-288,410-516,,
Synecho,19,210-314,,,
Synecho,20,199-255,270-403,,
Synecho,21,298-337,367-467,,
Synecho,22,,,,
Synecho,23,397-463,,,
Synecho,24,0-129,,,
Synecho,25,,,,
Synecho,26,368-445,,,
Synecho,27,414-488,,,
Synecho,28,483-524,,,
Synecho,29,322-366,,,
Synecho,30,,,,
Synecho,31,174-231,400-453,512-603,
Synecho,32,0-37,332-424,,
Synecho,33,285-348,434-478,,
Synecho,34,97-147,165-250,307-375,
Synecho,35,294-354,,,
Synecho,36,,,,
Synecho,37,386-472,,,
Synecho,38,,,,
Synecho,39,464-502,563-604,,
Synecho,40,345-434,,,
Synecho,41,0-48,,,
Synecho,42,,,,
Synecho,43,,,,
Synecho,44,394-430,435-477,,
Synecho,45,429-545,,,
Synecho,46,,,,
Synecho,47,,,,
Synecho,48,252-298,363-491,,
Synecho,49,404-479,,,
Synecho,50,371-416,502-595,,
Synecho,51,48-128,,,
Synecho,52,90-174,188-226,,
Synecho,53,284-330,458-513,,
Synecho,54,430-471,,,
Synecho,55,308-408,,,
Synecho,56,418-473,,,
Synecho,57,405-613,,,
Synecho,58,417-517,559-613,,
Synecho,59,,,,
Synecho,60,379-556,,,
Synecho,61,358-487,,,
Synecho,62,340-394,400-464,,
Synecho,63,60-116,272-339,495-551,
Synecho,64,421-483,,,
Synecho,65,320-364,,,
Synecho,66,80-149,432-537,,
Synecho,67,476-512,,,
Synecho,68,287-482,,,
Synecho,69,399-494,535-605,,
Synecho,70,238-413,,,
Synecho,71,0-116,147-274,,
Synecho,72,293-332,373-460,,
Synecho,73,318-397,,,
