Organism,Seq,Positions,,,
Thermo,1,214-343,,,
Thermo,2,368-543,,,
Thermo,3,316-433,,,
Thermo,4,,,,
Thermo,5,117-183,209-245,338-387,534-613
Thermo,6,196-232,323-466,,
Thermo,7,402-474,537-581,,
Thermo,8,0-51,404-470,,
Thermo,9,211-284,306-468,,
Thermo,10,313-457,,,
Thermo,11,378-432,,,
Thermo,12,534-576,,,
Thermo,13,209-256,395-488,,
Thermo,14,394-449,511-561,,
Thermo,15,,,,
Thermo,16,36-77,400-455,502-613,
Thermo,17,46-123,,,
Thermo,18,398-470,,,
Thermo,19,0-114,395-487,,
Thermo,20,446-536,,,
Thermo,21,372-485,,,
Thermo,22,32-76,357-534,,
Thermo,23,368-529,,,
Thermo,24,524-570,,,
Thermo,25,422-477,,,
Thermo,26,380-431,497-578,,
Thermo,27,205-269,273-432,,
Thermo,28,278-500,,,
Thermo,29,358-469,,,
Thermo,30,365-486,506-545,,
Thermo,31,358-427,,,
Thermo,32,289-399,420-480,,
Thermo,33,345-458,,,
Thermo,34,368-461,,,
Thermo,35,333-385,409-446,,
Thermo,36,375-500,542-590,,
Thermo,37,386-429,,,
Thermo,38,,,,
Thermo,39,169-208,369-418,,
Thermo,40,,,,
Thermo,41,391-463,,,
Thermo,42,336-378,554-610,,
Thermo,43,315-462,545-594,,
Thermo,44,338-448,562-600,,
Thermo,45,313-441,,,
Thermo,46,155-193,377-434,565-613,
Thermo,47,155-193,377-434,565-613,
Thermo,48,,,,
Thermo,49,248-336,355-454,,
Thermo,50,45-98,394-489,,
Thermo,51,341-386,470-549,,
Thermo,52,317-514,,,
Thermo,53,337-484,,,
Thermo,54,374-451,,,
Thermo,55,350-434,488-536,,
Thermo,56,233-307,315-378,,
Thermo,57,292-436,,,
Thermo,58,,,,
Thermo,59,284-325,408-472,,
Thermo,60,160-198,214-431,,
Thermo,61,397-457,,,
Thermo,62,318-489,496-583,,
Thermo,63,274-465,,,
Thermo,64,385-472,,,
Thermo,65,365-414,,,
Thermo,66,226-311,342-448,,
Thermo,67,,,,
Thermo,68,408-474,,,
Thermo,69,219-423,,,
Thermo,70,363-457,,,
Thermo,71,418-497,,,
Thermo,72,372-453,552-613,,
Thermo,73,148-237,313-427,,
Thermo,74,325-462,,,
Thermo,75,229-279,432-494,560-613,
Thermo,76,297-334,396-464,,
Thermo,77,352-453,,,
Thermo,78,368-475,,,
Thermo,79,194-233,281-380,391-428,
Thermo,80,264-470,,,
Thermo,81,215-494,,,
Thermo,82,306-444,,,
Thermo,83,353-474,,,
Thermo,84,417-499,,,
Thermo,85,398-450,479-567,,
Thermo,86,193-311,402-472,,
Thermo,87,317-441,,,
Thermo,88,401-501,560-613,,
Thermo,89,198-294,359-455,,
Thermo,90,,,,
Thermo,91,504-613,,,
Thermo,92,,,,
Thermo,93,240-461,,,
Thermo,94,264-387,391-477,,
Thermo,95,381-515,,,
Thermo,96,397-459,481-613,,
Thermo,97,337-473,,,
Thermo,98,287-366,,,
Thermo,99,270-414,,,
Thermo,100,576-613,,,
Thermo,101,177-294,349-456,,
Thermo,102,243-426,,,
Thermo,103,290-398,,,
Thermo,104,304-395,,,
Thermo,105,377-482,,,
Thermo,106,332-465,,,
Thermo,107,358-445,,,
Thermo,108,174-453,,,
Thermo,109,199-294,340-478,,
Thermo,110,232-303,322-473,,
Thermo,111,223-262,295-448,,
Thermo,112,,,,
Thermo,113,376-445,,,
Thermo,114,257-445,,,
Thermo,115,306-581,,,
Thermo,116,408-511,,,
Thermo,117,229-296,,,
Thermo,118,204-313,384-483,,
Thermo,119,422-500,,,
Thermo,120,390-446,,,
Thermo,121,336-468,522-613,,
Thermo,122,15-103,557-613,,
Thermo,123,295-403,,,
Thermo,124,56-96,401-450,,
Thermo,125,362-494,,,
Thermo,126,345-451,,,
Thermo,127,368-506,572-611,,
Thermo,128,298-361,369-423,,
Thermo,129,313-357,404-487,512-592,
Thermo,130,,,,
Thermo,131,,,,
Thermo,132,207-274,353-417,,
Thermo,133,366-485,,,
Thermo,134,168-251,292-359,,
Thermo,135,568-613,,,
Thermo,136,199-235,360-461,,
Thermo,137,62-101,435-515,,
Thermo,138,,,,
Thermo,139,12-59,363-448,,
Thermo,140,,,,
Thermo,141,204-248,313-372,537-592,
Thermo,142,0-43,477-558,,
Thermo,143,267-482,,,
Thermo,144,251-335,344-403,,
Thermo,145,,,,
Thermo,146,320-447,,,
Thermo,147,480-532,,,
Thermo,148,271-433,451-499,,
Thermo,149,376-463,,,
Thermo,150,68-178,199-347,,
Thermo,151,190-237,292-428,518-571,
Thermo,152,418-543,,,
Thermo,153,185-265,283-464,,
Thermo,154,575-613,,,
Thermo,155,376-470,544-595,,
Thermo,156,366-441,,,
Thermo,157,,,,
Thermo,158,577-613,,,
Thermo,159,225-268,289-438,,
Thermo,160,288-337,437-526,,
Thermo,161,270-549,,,
Thermo,162,198-243,,,
Thermo,163,363-436,,,
Thermo,164,158-431,,,
Thermo,165,171-208,324-365,386-428,
Thermo,166,55-105,187-327,396-466,
Thermo,167,319-357,369-491,,
Thermo,168,359-463,,,
Thermo,169,399-535,,,
Thermo,170,,,,
Thermo,171,343-430,,,
Thermo,172,,,,
Thermo,173,,,,
Thermo,174,260-369,,,
Thermo,175,388-441,454-492,,
Thermo,176,362-429,,,
Thermo,177,435-572,,,
Thermo,178,330-468,,,
Thermo,179,,,,
Thermo,180,355-431,,,
Thermo,181,0-73,,,
Thermo,182,333-454,,,
Thermo,183,0-36,357-401,424-480,
Thermo,184,382-423,,,
Thermo,185,330-461,560-609,,
Thermo,186,32-87,223-307,368-456,
Thermo,187,267-546,,,
Thermo,188,357-466,,,
Thermo,189,499-576,,,
Thermo,190,460-556,,,
Thermo,191,,,,
Thermo,192,371-465,475-580,,
Thermo,193,17-76,385-476,,
Thermo,194,266-337,,,
Thermo,195,418-468,,,
Thermo,196,169-245,409-448,571-613,
Thermo,197,313-376,391-463,,
Thermo,198,350-445,,,
Thermo,199,305-523,,,
Thermo,200,235-438,,,
Thermo,201,,,,
Thermo,202,16-57,131-295,338-410,
Thermo,203,476-543,,,
Thermo,204,161-221,348-440,,
Thermo,205,43-123,130-187,500-613,
Thermo,206,167-213,283-366,494-562,
Thermo,207,450-580,,,
Thermo,208,311-397,469-515,,
Thermo,209,199-310,,,
Thermo,210,48-108,,,
Thermo,211,362-452,,,
Thermo,212,41-88,,,
Thermo,213,316-468,,,
Thermo,214,373-421,,,
Thermo,215,,,,
Thermo,216,,,,
Thermo,217,207-277,350-445,,
Thermo,218,342-450,459-613,,
Thermo,219,415-473,508-577,,
Thermo,220,255-440,,,
Thermo,221,296-412,,,
Thermo,222,0-41,375-483,520-611,
Thermo,223,360-473,,,
Thermo,224,,,,
Thermo,225,267-430,,,
Thermo,226,438-485,,,
Thermo,227,383-421,,,
Thermo,228,206-310,,,
Thermo,229,422-476,,,
Thermo,230,331-457,,,
Thermo,231,238-429,,,
Thermo,232,372-426,,,
Thermo,233,368-418,,,
Thermo,234,273-334,420-477,,
Thermo,235,194-348,352-419,,
Thermo,236,322-491,,,
Thermo,237,153-217,392-432,524-582,
Thermo,238,407-460,,,
Thermo,239,184-370,403-453,,
Thermo,240,205-254,311-353,379-435,
Thermo,241,,,,
Thermo,242,34-101,176-225,382-455,
Thermo,243,307-498,,,
Thermo,244,275-376,416-483,,
Thermo,245,405-443,463-568,,
Thermo,246,324-454,514-591,,
Thermo,247,227-267,,,
Thermo,248,279-531,,,
Thermo,249,,,,
Thermo,250,326-428,,,
Thermo,251,292-407,,,
Thermo,252,142-207,,,
Thermo,253,303-475,,,
Thermo,254,0-38,486-613,,
Thermo,255,345-453,,,
Thermo,256,,,,
Thermo,257,475-595,,,
Thermo,258,535-610,,,
Thermo,259,242-288,325-437,,
Thermo,260,400-447,,,
Thermo,261,357-470,,,
Thermo,262,422-494,,,
Thermo,263,0-62,190-253,380-469,
Thermo,264,,,,
Thermo,265,362-435,453-556,,
Thermo,266,277-427,,,
Thermo,267,275-467,,,
Thermo,268,334-374,448-488,,
Thermo,269,181-335,,,
Thermo,270,254-461,,,
Thermo,271,325-397,,,
Thermo,272,304-412,,,
Thermo,273,44-116,,,
Thermo,274,276-350,,,
Thermo,275,381-420,,,
Thermo,276,406-449,,,
Thermo,277,328-408,509-546,,
Thermo,278,345-381,424-516,,
Thermo,279,415-479,486-529,,
Thermo,280,278-360,425-500,,
Thermo,281,273-425,,,
Thermo,282,299-423,490-578,,
Thermo,283,349-420,443-532,,
Thermo,284,253-332,369-472,,
Thermo,285,,,,
Thermo,286,369-468,,,
Thermo,287,278-361,374-488,,
Thermo,288,11-96,377-459,,
Thermo,289,414-456,,,
Thermo,290,248-442,,,
Thermo,291,10-102,,,
Thermo,292,290-353,398-498,,
Thermo,293,128-227,309-407,,
Thermo,294,371-508,,,
Thermo,295,339-445,,,
Thermo,296,196-263,380-464,,
Thermo,297,251-425,,,
Thermo,298,242-464,,,
Thermo,299,377-457,494-552,,
Thermo,300,354-448,,,
Thermo,301,,,,
Thermo,302,132-322,,,
Thermo,303,362-474,,,
Thermo,304,313-445,,,
Thermo,305,393-430,,,
Thermo,306,257-493,,,
Thermo,307,280-559,,,
Thermo,308,374-456,,,
Thermo,309,,,,
Thermo,310,228-451,,,
Thermo,311,366-447,,,
Thermo,312,362-430,436-488,,
Thermo,313,365-443,449-490,,
Thermo,314,0-60,,,
Thermo,315,421-485,,,
Thermo,316,,,,
Thermo,317,236-309,,,
Thermo,318,398-611,,,
Thermo,319,27-77,249-306,,
Thermo,320,536-574,,,
Thermo,321,220-302,316-461,,
Thermo,322,301-345,,,
Thermo,323,151-201,240-346,482-519,
Thermo,324,209-289,346-457,,
Thermo,325,288-371,378-447,,
Thermo,326,315-446,,,
Thermo,327,389-518,,,
Thermo,328,335-479,,,
Thermo,329,505-568,,,
Thermo,330,363-466,,,
Thermo,331,41-86,174-212,402-453,493-577
Thermo,332,211-272,,,
Thermo,333,73-111,500-545,,
Thermo,334,212-271,318-356,388-443,
Thermo,335,,,,
Thermo,336,185-255,288-464,,
Thermo,337,288-420,,,
Thermo,338,389-425,448-510,,
Thermo,339,388-473,,,
Thermo,340,314-468,,,
Thermo,341,364-471,492-569,,
Thermo,342,505-565,,,
Thermo,343,219-282,,,
Thermo,344,393-493,,,
Thermo,345,236-429,,,
Thermo,346,373-496,,,
Thermo,347,543-613,,,
Thermo,348,369-446,,,
Thermo,349,335-446,495-554,,
Thermo,350,294-461,,,
Thermo,351,433-481,,,
Thermo,352,300-483,,,
Thermo,353,,,,
Thermo,354,401-469,550-613,,
Thermo,355,307-367,,,
Thermo,356,341-378,382-437,,
Thermo,357,300-461,,,
Thermo,358,363-438,,,
Thermo,359,391-506,,,
Thermo,360,192-268,346-471,,
Thermo,361,364-471,,,
Thermo,362,388-476,502-613,,
Thermo,363,206-324,389-485,,
Thermo,364,207-322,,,
Thermo,365,284-358,403-476,,
Thermo,366,375-487,,,
Thermo,367,409-464,,,
Thermo,368,292-432,,,
Thermo,369,402-507,,,
Thermo,370,251-310,376-443,463-510,
Thermo,371,,,,
Thermo,372,508-544,,,
Thermo,373,377-433,,,
Thermo,374,328-489,,,
Thermo,375,72-160,208-295,300-336,
Thermo,376,219-301,,,
Thermo,377,440-498,,,
Thermo,378,264-305,365-438,,
Thermo,379,,,,
Thermo,380,244-523,,,
Thermo,381,319-451,,,
Thermo,382,191-462,,,
Thermo,383,350-420,523-613,,
Thermo,384,352-429,,,
Thermo,385,354-436,524-613,,
Thermo,386,347-466,506-542,,
Thermo,387,364-453,,,
Thermo,388,373-442,,,
Thermo,389,0-57,338-473,554-607,
Thermo,390,15-64,498-543,,
Thermo,391,371-442,,,
Thermo,392,210-450,,,
Thermo,393,,,,
Thermo,394,321-476,552-591,,
Thermo,395,293-422,,,
Thermo,396,271-444,509-550,,
Thermo,397,242-336,400-441,,
Thermo,398,166-215,350-445,,
Thermo,399,,,,
Thermo,400,156-430,,,
Thermo,401,241-326,341-512,,
Thermo,402,366-445,,,
Thermo,403,296-474,,,
Thermo,404,182-241,386-449,,
Thermo,405,287-484,,,
Thermo,406,366-485,,,
Thermo,407,,,,
Thermo,408,374-503,,,
Thermo,409,368-452,,,
Thermo,410,302-488,,,
Thermo,411,,,,
Thermo,412,455-507,540-613,,
Thermo,413,257-431,,,
Thermo,414,334-527,,,
Thermo,415,262-476,,,
Thermo,416,275-371,377-478,,
Thermo,417,368-429,495-534,,
Thermo,418,195-343,371-431,,
Thermo,419,388-434,,,
Thermo,420,338-449,487-613,,
Thermo,421,290-523,,,
Thermo,422,32-98,379-464,,
Thermo,423,493-550,,,
Thermo,424,,,,
Thermo,425,369-422,,,
Thermo,426,260-369,,,
Thermo,427,379-450,,,
Thermo,428,358-462,,,
Thermo,429,56-112,131-184,,
Thermo,430,526-613,,,
Thermo,431,,,,
Thermo,432,293-338,376-438,,
Thermo,433,299-472,476-556,,
Thermo,434,166-334,361-445,,
Thermo,435,384-489,,,
Thermo,436,174-248,311-366,,
Thermo,437,243-280,357-409,,
Thermo,438,393-475,,,
Thermo,439,371-542,574-613,,
Thermo,440,289-484,,,
Thermo,441,,,,
Thermo,442,11-50,383-440,447-518,
Thermo,443,0-81,362-446,,
Thermo,444,266-436,,,
Thermo,445,0-68,381-467,,
Thermo,446,557-613,,,
Thermo,447,324-427,,,
Thermo,448,384-466,,,
Thermo,449,266-364,,,
Thermo,450,284-451,484-543,,
Thermo,451,0-49,330-433,,
Thermo,452,339-380,,,
Thermo,453,317-400,,,
Thermo,454,340-431,,,
Thermo,455,24-82,380-472,520-601,
Thermo,456,135-262,548-613,,
Thermo,457,337-468,473-519,,
Thermo,458,315-399,,,
Thermo,459,314-350,,,
Thermo,460,226-439,,,
Thermo,461,317-440,,,
Thermo,462,194-325,341-473,,
Thermo,463,85-121,,,
Thermo,464,410-507,,,
Thermo,465,420-613,,,
Thermo,466,51-126,439-567,,
Thermo,467,345-434,,,
Thermo,468,356-485,,,
Thermo,469,17-56,337-486,519-555,
Thermo,470,,,,
Thermo,471,417-613,,,
Thermo,472,343-472,529-572,,
Thermo,473,386-469,,,
Thermo,474,355-487,,,
Thermo,475,384-577,,,
Thermo,476,374-463,,,
Thermo,477,376-478,485-540,575-613,
Thermo,478,168-239,352-445,523-584,
Thermo,479,36-86,367-486,,
Thermo,480,,,,
Thermo,481,357-557,,,
Thermo,482,405-460,,,
Thermo,483,4-214,525-594,,
Thermo,484,312-431,,,
Thermo,485,281-332,394-445,,
Thermo,486,349-493,,,
Thermo,487,420-510,,,
Thermo,488,347-429,,,
Thermo,489,221-302,,,
Thermo,490,383-449,,,
Thermo,491,507-548,,,
Thermo,492,289-332,342-482,,
Thermo,493,277-349,382-419,438-523,
Thermo,494,17-68,355-399,412-462,
Thermo,495,418-456,477-535,,
Thermo,496,127-171,570-613,,
Thermo,497,378-456,518-563,,
Thermo,498,42-107,452-505,,
Thermo,499,,,,
Thermo,500,510-613,,,
Thermo,501,272-460,,,
Thermo,502,467-573,,,
Thermo,503,215-278,321-460,,
Thermo,504,226-273,359-406,411-447,
Thermo,505,492-595,,,
Thermo,506,335-389,449-546,,
Thermo,507,,,,
