Organism,Seq,Positions,,,
Chlamydia,1,322-386,,,
Chlamydia,2,469-539,,,
Chlamydia,3,401-518,,,
Chlamydia,4,219-260,291-415,,
Chlamydia,5,331-432,,,
Chlamydia,6,356-409,571-613,,
Chlamydia,7,137-227,569-607,,
Chlamydia,8,385-455,511-613,,
Chlamydia,9,510-603,,,
Chlamydia,10,323-499,,,
Chlamydia,11,232-428,,,
Chlamydia,12,335-475,,,
Chlamydia,13,384-479,,,
Chlamydia,14,439-613,,,
Chlamydia,15,,,,
Chlamydia,16,,,,
Chlamydia,17,253-303,340-378,,
Chlamydia,18,245-334,387-472,,
Chlamydia,19,367-483,,,
Chlamydia,20,543-582,,,
Chlamydia,21,398-520,,,
Chlamydia,22,454-493,,,
Chlamydia,23,432-525,,,
Chlamydia,24,374-535,,,
Chlamydia,25,570-612,,,
Chlamydia,26,,,,
Chlamydia,27,333-412,,,
Chlamydia,28,205-265,391-484,,
Chlamydia,29,201-278,312-404,,
Chlamydia,30,377-413,447-608,,
Chlamydia,31,380-443,519-559,,
Chlamydia,32,383-507,,,
Chlamydia,33,189-228,236-289,336-431,
Chlamydia,34,264-487,,,
Chlamydia,35,316-445,,,
Chlamydia,36,354-455,467-571,,
Chlamydia,37,239-277,328-454,,
Chlamydia,38,251-451,,,
Chlamydia,39,199-406,427-478,,
Chlamydia,40,383-483,,,
Chlamydia,41,279-366,,,
Chlamydia,42,197-319,339-425,438-476,
Chlamydia,43,207-486,,,
Chlamydia,44,119-166,259-398,,
Chlamydia,45,316-364,430-523,,
Chlamydia,46,248-342,351-468,,
Chlamydia,47,359-555,,,
Chlamydia,48,352-442,,,
Chlamydia,49,393-485,,,
Chlamydia,50,315-410,,,
Chlamydia,51,315-455,,,
Chlamydia,52,430-497,,,
Chlamydia,53,149-394,,,
Chlamydia,54,254-355,,,
Chlamydia,55,265-443,,,
Chlamydia,56,350-428,497-555,575-613,
Chlamydia,57,366-494,,,
Chlamydia,58,279-369,505-558,,
Chlamydia,59,182-258,392-461,539-613,
Chlamydia,60,,,,
Chlamydia,61,334-469,540-577,,
Chlamydia,62,195-231,334-372,,
Chlamydia,63,,,,
Chlamydia,64,274-466,,,
Chlamydia,65,215-278,411-452,,
Chlamydia,66,403-535,,,
Chlamydia,67,374-429,,,
Chlamydia,68,130-244,334-409,,
Chlamydia,69,485-523,,,
Chlamydia,70,195-270,294-331,,
Chlamydia,71,37-114,409-544,,
Chlamydia,72,255-299,334-424,443-534,
Chlamydia,73,227-274,279-359,367-429,
Chlamydia,74,377-456,,,
Chlamydia,75,379-511,,,
Chlamydia,76,202-260,387-455,,
Chlamydia,77,356-491,,,
Chlamydia,78,326-469,,,
Chlamydia,79,245-481,,,
Chlamydia,80,317-453,,,
Chlamydia,81,286-437,469-505,,
Chlamydia,82,260-372,474-539,,
Chlamydia,83,261-354,,,
Chlamydia,84,419-505,544-613,,
Chlamydia,85,573-613,,,
Chlamydia,86,33-102,,,
Chlamydia,87,220-266,293-330,381-460,
Chlamydia,88,381-548,,,
Chlamydia,89,346-496,,,
Chlamydia,90,202-249,417-481,,
Chlamydia,91,211-317,342-490,,
Chlamydia,92,318-476,,,
Chlamydia,93,,,,
Chlamydia,94,251-462,,,
Chlamydia,95,391-510,519-557,,
Chlamydia,96,351-447,522-613,,
Chlamydia,97,198-247,393-448,562-613,
Chlamydia,98,181-279,,,
Chlamydia,99,183-291,331-444,,
Chlamydia,100,558-613,,,
Chlamydia,101,268-343,360-439,,
Chlamydia,102,0-91,211-258,396-435,452-490
Chlamydia,103,0-70,414-497,555-613,
Chlamydia,104,355-426,552-613,,
Chlamydia,105,145-200,,,
Chlamydia,106,324-368,416-481,,
Chlamydia,107,289-340,365-481,,
Chlamydia,108,318-508,,,
Chlamydia,109,301-540,,,
Chlamydia,110,355-473,500-542,,
Chlamydia,111,,,,
Chlamydia,112,326-484,,,
Chlamydia,113,278-469,,,
Chlamydia,114,306-441,,,
Chlamydia,115,308-347,504-587,,
Chlamydia,116,233-364,433-512,,
Chlamydia,117,200-456,,,
Chlamydia,118,378-417,472-513,,
Chlamydia,119,295-354,,,
Chlamydia,120,337-453,566-606,,
Chlamydia,121,216-263,369-421,434-480,544-613
Chlamydia,122,6-69,350-456,560-613,
Chlamydia,123,229-283,291-508,,
Chlamydia,124,299-359,,,
Chlamydia,125,303-481,,,
Chlamydia,126,357-471,,,
Chlamydia,127,370-540,,,
Chlamydia,128,294-417,443-534,,
Chlamydia,129,65-102,383-463,,
Chlamydia,130,238-345,363-413,,
Chlamydia,131,222-262,380-447,,
Chlamydia,132,134-216,497-546,,
Chlamydia,133,258-295,333-537,,
Chlamydia,134,151-212,344-380,386-430,539-613
Chlamydia,135,540-613,,,
Chlamydia,136,74-133,175-353,414-454,
Chlamydia,137,369-554,,,
Chlamydia,138,420-496,561-613,,
Chlamydia,139,16-80,399-505,550-591,
Chlamydia,140,216-281,355-495,,
Chlamydia,141,514-613,,,
Chlamydia,142,371-491,,,
Chlamydia,143,263-542,,,
Chlamydia,144,293-354,439-513,,
Chlamydia,145,237-278,304-345,378-506,
Chlamydia,146,565-613,,,
Chlamydia,147,401-485,,,
Chlamydia,148,53-145,430-546,572-613,
Chlamydia,149,383-419,,,
Chlamydia,150,283-344,448-529,,
Chlamydia,151,276-529,,,
Chlamydia,152,369-501,,,
Chlamydia,153,42-109,172-220,390-451,501-586
Chlamydia,154,275-397,407-464,,
Chlamydia,155,0-57,338-488,,
Chlamydia,156,402-479,508-613,,
Chlamydia,157,528-613,,,
Chlamydia,158,245-481,,,
Chlamydia,159,157-215,305-436,,
Chlamydia,160,362-432,563-613,,
Chlamydia,161,403-484,534-613,,
Chlamydia,162,0-41,358-475,,
Chlamydia,163,264-497,,,
Chlamydia,164,304-389,,,
Chlamydia,165,368-452,558-613,,
Chlamydia,166,8-96,389-479,500-546,
Chlamydia,167,,,,
