Seq,Positions
1,255-297,463-530
2,1-75,356-400
3,416-456
4,0-41,419-487,506-585
5,
6,388-439,485-538
7,
8,142-196
9,340-451
10,374-525
11,
12,7-86
13,451-495
14,178-236
15,179-218,546-591
16,500-551
17,
18,366-464
19,320-484
20,397-446
21,317-359,524-563
22,528-613
23,215-332
24,297-359,364-443
25,361-454
26,271-316,408-466
27,253-292
28,
29,413-474
30,551-613
31,404-468
32,420-505
33,329-421
34,298-338
35,467-531
36,456-539
37,356-445
38,364-531
39,
40,
41,200-258,427-479
42,370-419
43,364-446
44,
45,
46,351-407
47,10-56,141-184,337-388,465-512
48,401-507
49,
50,454-505
51,54-150
52,215-294,351-494,575-613
53,325-422,448-484
54,
55,176-228,353-451
56,0-117,398-440
57,
58,454-514
59,374-484
60,376-462,472-514
61,
62,0-49
63,377-461
64,345-413,417-458,510-580
65,176-237
66,
67,400-481,495-552
68,405-455,489-542
69,337-381
70,337-386,432-475
71,287-344,431-491
72,423-486
73,301-371,492-580
74,239-321,420-497
75,
76,
77,
78,
79,93-154,511-551
80,410-479
81,
82,
83,
84,
85,325-375,541-604
86,230-346
87,401-478
88,244-323,462-523
89,462-543
90,0-53,398-448,453-536
91,430-485
92,
93,402-447
94,538-613
95,312-353
96,497-613
97,574-613
98,244-282,286-365,457-496
99,341-493
100,191-284,335-399
101,34-76
102,386-478
103,248-289
104,370-441,513-549,567-613
105,
106,287-342
107,393-490
108,323-378
109,
110,309-367
111,355-424
112,1-92
113,320-427,491-530
114,343-477
115,352-423,474-519
116,416-463
117,
118,
119,107-144,425-487
120,
121,10-51,105-188
122,
123,
124,317-359,435-540
125,347-401
126,
127,
128,
129,319-449
130,0-40,321-414,504-551
131,488-537
132,382-419
133,552-613
134,243-329
135,388-489
136,299-346,390-465
137,469-538
138,257-317,343-474
139,76-112,496-592
140,556-613
141,
142,499-571
143,451-491
144,420-509
145,472-546
146,0-56,504-600
147,238-278
148,491-556
149,225-343
150,387-438,447-484
151,525-595
152,
153,364-487
154,393-473
155,540-613
156,481-518
157,395-508
158,423-534
159,110-151,454-505
160,382-484
161,160-226
162,292-342,465-571
163,
164,385-434
165,296-478
166,410-464
167,348-390
168,313-373,464-555
169,304-401
170,273-350
171,255-383,389-506
172,155-227,341-384
173,
174,413-476
175,445-563
176,394-435,440-605
177,445-536
178,101-137
179,402-501
180,202-337,438-481
181,
182,377-426
183,391-458
184,385-573
185,75-130
186,390-499,553-606
187,276-333,403-459
188,
189,181-235
190,320-424,533-599
191,
192,
193,462-561
194,357-436
195,431-475
196,418-587
197,
198,
199,239-292,406-463
200,240-281
201,
202,0-81
203,
204,
205,338-422,468-514
206,514-613
207,
208,428-464
209,282-343,469-561
210,349-503
211,320-537
212,427-547
213,68-116
214,507-555
215,
216,
217,401-453
218,269-320,429-501
219,192-230,394-435,511-576
220,345-418,448-524,529-569
221,381-591
222,407-537
223,388-494
224,500-544
225,411-448,456-503
226,405-487,532-579
227,0-36,317-367,431-468
228,343-442
229,432-472
230,484-543
231,394-445,472-531
232,264-314,396-536
233,410-552
234,337-397
235,392-455
236,267-326,371-491
237,209-262,352-477
238,519-591
239,232-286,439-492
240,345-442,446-490,529-613
241,424-532
242,364-457,535-592
243,386-463
244,304-373,442-536
245,357-426
246,
247,451-506
248,442-548,552-603
249,308-348,435-534
250,
251,387-502
252,401-481
253,411-457
254,378-478
255,325-399
256,435-523
257,463-531
258,402-491
259,43-86,427-508
260,404-455,515-613
261,0-71,435-519
262,
263,437-500
264,33-72,460-528
265,80-146,427-518
266,368-444
267,303-488
268,423-471
269,105-156
270,382-422
271,316-379,404-501
272,
273,260-534
274,219-270,293-389,394-498
275,456-511
276,356-433
277,
278,429-471
279,63-101,417-455
280,81-122
281,175-252,332-374
282,
283,269-370,505-548
284,419-549
285,294-343
286,366-454
287,339-570
288,293-409
