Organism,Seq,Positions,,,,,
Bacillus,1,391-478,,,,,
Bacillus,2,439-556,,,,,
Bacillus,3,208-251,344-387,,,,
Bacillus,4,7-127,192-274,321-517,,,
Bacillus,5,102-191,242-428,,,,
Bacillus,6,319-525,,,,,
Bacillus,7,292-443,,,,,
Bacillus,8,354-519,526-613,,,,
Bacillus,9,71-133,249-294,363-415,420-571,,
Bacillus,10,367-514,,,,,
Bacillus,11,368-595,,,,,
Bacillus,12,348-440,447-495,501-602,,,
Bacillus,13,116-234,391-465,538-608,,,
Bacillus,14,94-166,377-474,,,,
Bacillus,15,218-460,575-613,,,,
Bacillus,16,298-377,436-524,,,,
Bacillus,17,270-496,,,,,
Bacillus,18,97-136,226-376,385-526,,,
Bacillus,19,452-540,,,,,
Bacillus,20,118-202,323-480,,,,
Bacillus,21,50-147,208-505,,,,
Bacillus,22,354-552,,,,,
Bacillus,23,128-189,342-472,515-580,,,
Bacillus,24,0-36,326-478,531-601,,,
Bacillus,25,248-299,409-477,,,,
Bacillus,26,349-465,,,,,
Bacillus,27,311-437,,,,,
Bacillus,28,347-455,575-613,,,,
Bacillus,29,252-452,,,,,
Bacillus,30,280-462,503-563,,,,
Bacillus,31,286-342,346-456,,,,
Bacillus,32,342-476,,,,,
Bacillus,33,295-385,,,,,
Bacillus,34,193-453,,,,,
Bacillus,35,359-464,474-608,,,,
Bacillus,36,384-542,,,,,
Bacillus,37,353-451,532-613,,,,
Bacillus,38,0-36,389-576,,,,
Bacillus,39,308-496,,,,,
Bacillus,40,359-520,,,,,
Bacillus,41,356-612,,,,,
Bacillus,42,,,,,,
Bacillus,43,179-324,382-459,,,,
Bacillus,44,36-104,233-314,382-464,,,
Bacillus,45,124-193,347-460,,,,
Bacillus,46,210-444,,,,,
Bacillus,47,179-246,286-526,,,,
Bacillus,48,28-116,,,,,
Bacillus,49,158-307,356-427,471-572,,,
Bacillus,50,102-146,279-512,,,,
Bacillus,51,40-103,380-417,489-580,,,
Bacillus,52,314-596,,,,,
Bacillus,53,303-341,347-432,502-545,,,
Bacillus,54,369-450,,,,,
Bacillus,55,0-98,107-147,290-348,417-503,,
Bacillus,56,283-486,,,,,
Bacillus,57,248-368,386-519,,,,
Bacillus,58,253-387,394-430,,,,
Bacillus,59,137-175,388-496,525-569,,,
Bacillus,60,344-380,404-523,565-613,,,
Bacillus,61,272-339,377-445,,,,
Bacillus,62,183-241,291-462,,,,
Bacillus,63,313-528,540-596,,,,
Bacillus,64,0-37,42-110,230-322,407-509,,
Bacillus,65,337-493,537-599,,,,
Bacillus,66,344-520,,,,,
Bacillus,67,323-515,,,,,
Bacillus,68,374-472,,,,,
Bacillus,69,245-292,307-449,460-613,,,
Bacillus,70,281-360,365-516,,,,
Bacillus,71,196-286,291-475,,,,
