Organism,Seq,Positions,,
Pseudo,1,,,
Pseudo,2,0-101,357-451,
Pseudo,3,,,
Pseudo,4,506-580,,
Pseudo,5,,,
Pseudo,6,350-458,,
Pseudo,7,,,
Pseudo,8,,,
Pseudo,9,328-454,,
Pseudo,10,379-524,,
Pseudo,11,,,
Pseudo,12,0-85,,
Pseudo,13,413-491,,
Pseudo,14,,,
Pseudo,15,500-595,,
Pseudo,16,503-613,,
Pseudo,17,,,
Pseudo,18,352-483,,
Pseudo,19,305-485,,
Pseudo,20,387-460,,
Pseudo,21,483-560,,
Pseudo,22,520-613,,
Pseudo,23,226-333,,
Pseudo,24,362-458,,
Pseudo,25,341-448,,
Pseudo,26,394-525,,
Pseudo,27,,,
Pseudo,28,,,
Pseudo,29,,,
Pseudo,30,508-613,,
Pseudo,31,383-470,,
Pseudo,32,,,
Pseudo,33,314-420,,
Pseudo,34,,,
Pseudo,35,,,
Pseudo,36,399-538,,
Pseudo,37,,,
Pseudo,38,351-537,,
Pseudo,39,,,
Pseudo,40,,,
Pseudo,41,158-286,,
Pseudo,42,353-424,,
Pseudo,43,346-441,,
Pseudo,44,372-465,,
Pseudo,45,,,
Pseudo,46,,,
Pseudo,47,,,
Pseudo,48,384-520,,
Pseudo,49,,,
Pseudo,50,435-506,,
Pseudo,51,69-146,,
Pseudo,52,269-350,,
Pseudo,53,339-488,,
Pseudo,54,,,
Pseudo,55,310-446,,
Pseudo,56,0-104,,
Pseudo,57,,,
Pseudo,58,337-480,,
Pseudo,59,358-474,,
Pseudo,60,315-530,,
Pseudo,61,,,
Pseudo,62,,,
Pseudo,63,366-456,,
Pseudo,64,490-594,,
Pseudo,65,,,
Pseudo,66,,,
Pseudo,67,387-486,,
Pseudo,68,376-539,,
Pseudo,69,,,
Pseudo,70,326-482,,
Pseudo,71,,,
Pseudo,72,,,
Pseudo,73,452-574,,
Pseudo,74,239-315,422-512,
Pseudo,75,,,
Pseudo,76,366-495,,
Pseudo,77,,,
Pseudo,78,,,
Pseudo,79,,,
Pseudo,80,,,
Pseudo,81,,,
Pseudo,82,,,
Pseudo,83,380-487,,
Pseudo,84,,,
Pseudo,85,,,
Pseudo,86,423-497,,
Pseudo,87,,,
Pseudo,88,217-331,,
Pseudo,89,455-552,,
Pseudo,90,385-536,,
Pseudo,91,417-491,,
Pseudo,92,,,
Pseudo,93,,,
Pseudo,94,479-613,,
Pseudo,95,296-388,,
Pseudo,96,495-613,,
Pseudo,97,,,
Pseudo,98,427-527,,
Pseudo,99,328-501,,
Pseudo,100,177-287,,
Pseudo,101,,,
Pseudo,102,385-493,,
Pseudo,103,249-354,,
Pseudo,104,346-441,,
Pseudo,105,,,
Pseudo,106,,,
Pseudo,107,386-501,,
Pseudo,108,,,
Pseudo,109,,,
Pseudo,110,289-376,,
Pseudo,111,344-431,,
Pseudo,112,,,
Pseudo,113,310-444,,
Pseudo,114,332-460,,
Pseudo,115,343-417,,
Pseudo,116,398-485,,
Pseudo,117,,,
Pseudo,118,,,
Pseudo,119,,,
Pseudo,120,,,
Pseudo,121,0-119,154-245,
Pseudo,122,451-533,,
Pseudo,123,428-524,,
Pseudo,124,397-529,,
Pseudo,125,306-404,,
Pseudo,126,,,
Pseudo,127,378-471,,
Pseudo,128,,,
Pseudo,129,309-429,,
Pseudo,130,0-99,313-428,491-567
Pseudo,131,,,
Pseudo,132,274-406,,
Pseudo,133,243-317,,
Pseudo,134,252-334,,
Pseudo,135,374-485,,
Pseudo,136,277-357,388-469,
Pseudo,137,,,
Pseudo,138,0-218,262-476,
Pseudo,139,501-590,,
Pseudo,140,,,
Pseudo,141,,,
Pseudo,142,472-561,,
Pseudo,143,401-523,,
Pseudo,144,414-529,,
Pseudo,145,473-546,,
Pseudo,146,456-611,,
Pseudo,147,,,
Pseudo,148,451-557,,
Pseudo,149,209-344,,
Pseudo,150,339-480,,
Pseudo,151,487-613,,
Pseudo,152,,,
Pseudo,153,359-473,,
Pseudo,154,395-484,,
Pseudo,155,,,
Pseudo,156,,,
Pseudo,157,385-506,,
Pseudo,158,426-543,,
Pseudo,159,415-507,,
Pseudo,160,360-473,,
Pseudo,161,,,
Pseudo,162,267-345,457-560,
Pseudo,163,425-500,,
Pseudo,164,,,
Pseudo,165,278-356,361-477,
Pseudo,166,,,
Pseudo,167,,,
Pseudo,168,463-559,,
Pseudo,169,292-401,,
Pseudo,170,250-351,,
Pseudo,171,393-519,,
Pseudo,172,107-224,,
Pseudo,173,420-613,,
Pseudo,174,,,
Pseudo,175,461-560,,
Pseudo,176,442-537,,
Pseudo,177,426-529,,
Pseudo,178,104-186,,
