Organism,Seq,Positions,,,,
Methano,1,0-48,160-408,,,
Methano,2,0-560,,,,
Methano,3,0-16,352-424,,,
Methano,4,64-192,312-408,,,
Methano,5,168-272,360-392,,,
Methano,6,0-264,344-416,,,
Methano,7,200-528,,,,
Methano,8,304-448,,,,
Methano,9,256-400,,,,
Methano,10,312-560,,,,
Methano,11,80-120,224-360,,,
Methano,12,312-528,,,,
Methano,13,112-360,,,,
Methano,14,0-536,,,,
Methano,15,184-488,,,,
Methano,16,240-312,,,,
Methano,17,136-280,384-408,,,
Methano,18,120-536,,,,
Methano,19,176-216,448-536,,,
Methano,20,392-472,,,,
Methano,21,0-72,192-528,,,
Methano,22,48-304,,,,
Methano,23,168-432,536-544,,,
Methano,24,24-104,224-560,,,
Methano,25,208-264,,,,
Methano,26,120-128,312-416,,,
Methano,27,176-448,,,,
Methano,28,168-416,,,,
Methano,29,184-232,328-408,,,
Methano,30,256-448,,,,
Methano,31,208-336,,,,
Methano,32,32-216,320-416,480-560,,
Methano,33,0-80,256-440,,,
Methano,34,0-16,240-376,,,
Methano,35,344-424,,,,
Methano,36,0-424,,,,
Methano,37,120-216,,,,
Methano,38,304-512,,,,
Methano,39,208-432,,,,
Methano,40,144-424,,,,
Methano,41,64-120,,,,
Methano,42,72-120,216-408,,,
Methano,43,88-128,352-440,,,
Methano,44,176-320,488-560,,,
Methano,45,128-184,288-424,,,
Methano,46,,,,,
Methano,47,232-448,,,,
Methano,48,360-448,,,,
Methano,49,240-296,472-512,,,
Methano,50,0-384,512-560,,,
Methano,51,8-192,496-552,,,
Methano,52,352-408,,,,
Methano,53,176-264,384-496,,,
Methano,54,216-520,,,,
Methano,55,232-480,,,,
Methano,56,168-536,,,,
Methano,57,16-56,216-264,376-456,,
Methano,58,8-80,184-272,488-520,,
Methano,59,304-440,,,,
Methano,60,0-48,272-472,,,
Methano,61,344-544,,,,
Methano,62,0-472,,,,
Methano,63,208-400,,,,
Methano,64,0-24,168-176,256-352,,
Methano,65,128-432,,,,
Methano,66,56-72,312-552,,,
Methano,67,48-56,288-544,,,
Methano,68,160-232,488-552,,,
Methano,69,0-32,264-352,,,
Methano,70,328-560,,,,
Methano,71,0-24,88-136,240-408,,
Methano,72,0-456,528-560,,,
Methano,73,192-264,352-416,520-560,,
Methano,74,0-64,200-384,,,
Methano,75,200-224,304-432,,,
Methano,76,136-176,376-408,,,
Methano,77,112-160,336-440,,,
Methano,78,0-48,240-424,520-544,,
Methano,79,64-152,,,,
Methano,80,240-464,,,,
Methano,81,24-144,360-416,,,
Methano,82,328-552,,,,
Methano,83,240-448,,,,
Methano,84,160-480,,,,
Methano,85,0-56,424-512,,,
Methano,86,272-424,,,,
Methano,87,200-304,368-392,,,
Methano,88,0-448,,,,
Methano,89,152-392,,,,
Methano,90,152-432,,,,
Methano,91,328-344,,,,
Methano,92,168-208,336-400,,,
Methano,93,0-48,280-448,528-560,,
Methano,94,112-144,320-392,504-560,,
Methano,95,,,,,
Methano,96,0-96,280-456,,,
Methano,97,160-456,,,,
Methano,98,224-432,,,,
Methano,99,64-112,,,,
Methano,100,200-368,464-496,,,
Methano,101,240-416,,,,
Methano,102,272-400,,,,
Methano,103,224-376,,,,
Methano,104,296-472,,,,
Methano,105,0-16,360-440,,,
Methano,106,8-64,288-544,,,
Methano,107,296-560,,,,
Methano,108,112-560,,,,
Methano,109,200-288,376-384,488-520,,
Methano,110,0-16,168-184,352-432,,
Methano,111,192-240,296-384,,,
Methano,112,96-440,496-560,,,
Methano,113,176-208,512-560,,,
Methano,114,0-80,256-488,,,
Methano,115,400-560,,,,
Methano,116,0-416,,,,
Methano,117,72-496,,,,
Methano,118,0-8,104-384,,,
Methano,119,0-24,328-456,536-560,,
Methano,120,216-256,384-560,,,
Methano,121,264-560,,,,
Methano,122,264-424,,,,
Methano,123,248-448,,,,
Methano,124,0-88,360-448,520-560,,
Methano,125,,,,,
Methano,126,536-552,,,,
Methano,127,200-424,,,,
Methano,128,0-48,248-448,,,
Methano,129,96-352,496-560,,,
Methano,130,0-16,272-456,,,
Methano,131,112-160,176-184,,,
Methano,132,160-240,344-448,,,
Methano,133,240-496,,,,
Methano,134,248-456,,,,
Methano,135,272-400,520-552,,,
Methano,136,280-400,,,,
Methano,137,296-480,,,,
Methano,138,272-552,,,,
Methano,139,24-104,128-544,,,
Methano,140,344-464,,,,
Methano,141,160-448,,,,
Methano,142,200-400,,,,
Methano,143,152-264,368-448,,,
Methano,144,352-440,,,,
Methano,145,0-24,136-424,,,
Methano,146,200-408,504-528,,,
Methano,147,328-480,,,,
Methano,148,312-400,472-560,,,
Methano,149,24-56,232-400,,,
Methano,150,0-64,280-296,392-424,,
Methano,151,8-32,296-488,,,
Methano,152,0-104,344-552,,,
Methano,153,288-408,,,,
Methano,154,176-392,464-488,,,
Methano,155,208-392,,,,
Methano,156,272-560,,,,
Methano,157,208-504,,,,
Methano,158,224-440,496-512,,,
Methano,159,248-464,,,,
Methano,160,136-168,352-432,,,
Methano,161,0-32,256-440,,,
Methano,162,280-416,504-520,,,
Methano,163,280-464,,,,
Methano,164,0-24,184-472,,,
Methano,165,288-344,496-560,,,
Methano,166,0-208,304-368,,,
Methano,167,0-8,288-352,472-560,,
Methano,168,216-448,,,,
Methano,169,168-256,344-440,,,
Methano,170,104-208,264-416,,,
Methano,171,256-392,,,,
Methano,172,0-16,128-176,312-512,,
Methano,173,232-512,,,,
Methano,174,,,,,
Methano,175,0-16,128-192,280-440,,
Methano,176,200-488,,,,
Methano,177,0-400,,,,
Methano,178,312-504,,,,
Methano,179,0-472,,,,
Methano,180,368-560,,,,
Methano,181,0-232,256-344,488-560,,
Methano,182,264-432,,,,
Methano,183,288-400,,,,
Methano,184,304-560,,,,
Methano,185,200-248,328-392,,,
Methano,186,0-8,88-112,,,
Methano,187,0-128,,,,
Methano,188,0-456,,,,
Methano,189,64-120,200-560,,,
Methano,190,56-128,400-504,,,
Methano,191,320-560,,,,
Methano,192,176-416,,,,
Methano,193,0-8,352-408,536-560,,
Methano,194,152-488,,,,
Methano,195,0-144,352-536,,,
Methano,196,80-416,,,,
Methano,197,136-152,,,,
Methano,198,360-528,,,,
Methano,199,0-40,136-488,,,
Methano,200,,,,,
Methano,201,8-56,,,,
Methano,202,0-368,,,,
Methano,203,0-40,272-392,496-552,,
Methano,204,152-216,320-424,,,
Methano,205,240-536,,,,
Methano,206,0-176,312-448,,,
Methano,207,64-208,344-416,,,
Methano,208,16-48,120-424,,,
Methano,209,216-488,,,,
Methano,210,296-408,,,,
Methano,211,376-512,,,,
Methano,212,0-16,248-520,,,
Methano,213,0-8,72-432,,,
Methano,214,0-144,264-400,,,
Methano,215,200-392,,,,
Methano,216,312-384,,,,
Methano,217,304-464,,,,
Methano,218,48-152,320-552,,,
Methano,219,360-392,,,,
Methano,220,168-552,,,,
Methano,221,192-400,,,,
Methano,222,72-176,208-216,432-504,,
Methano,223,112-232,320-376,,,
Methano,224,128-168,256-560,,,
Methano,225,0-56,264-560,,,
Methano,226,264-352,,,,
Methano,227,0-232,296-368,504-560,,
Methano,228,40-416,,,,
Methano,229,0-48,320-400,,,
Methano,230,304-480,,,,
Methano,231,0-480,512-544,,,
Methano,232,232-440,528-560,,,
Methano,233,432-496,,,,
Methano,234,0-112,504-560,,,
Methano,235,32-272,368-456,,,
Methano,236,280-480,,,,
Methano,237,0-8,352-400,,,
Methano,238,64-480,,,,
Methano,239,256-384,,,,
Methano,240,152-280,368-392,,,
Methano,241,72-424,,,,
Methano,242,216-432,,,,
Methano,243,0-16,200-512,,,
Methano,244,0-560,,,,
Methano,245,328-456,,,,
Methano,246,264-464,,,,
Methano,247,288-408,,,,
Methano,248,0-48,336-384,,,
Methano,249,208-392,,,,
Methano,250,,,,,
Methano,251,32-80,176-288,360-512,,
Methano,252,112-176,312-416,480-536,,
Methano,253,0-104,488-560,,,
Methano,254,240-424,,,,
Methano,255,248-552,,,,
Methano,256,40-128,352-416,,,
Methano,257,392-504,,,,
Methano,258,0-128,256-448,,,
Methano,259,32-72,192-344,384-432,,
Methano,260,8-24,360-416,,,
Methano,261,160-424,,,,
Methano,262,312-408,,,,
Methano,263,256-480,,,,
Methano,264,248-496,,,,
Methano,265,0-120,192-264,344-488,,
Methano,266,24-104,216-472,,,
Methano,267,336-408,,,,
Methano,268,0-96,304-464,,,
Methano,269,248-520,,,,
Methano,270,192-264,376-424,,,
Methano,271,0-88,168-424,,,
Methano,272,232-464,,,,
Methano,273,344-560,,,,
Methano,274,64-112,280-376,,,
Methano,275,8-144,,,,
Methano,276,16-56,248-480,528-552,,
Methano,277,312-400,,,,
Methano,278,0-48,152-416,,,
Methano,279,152-200,360-472,,,
Methano,280,312-432,,,,
Methano,281,0-200,368-456,,,
Methano,282,104-144,216-520,,,
Methano,283,8-40,360-488,,,
Methano,284,288-352,456-480,,,
Methano,285,320-440,,,,
Methano,286,208-416,,,,
Methano,287,0-48,256-320,,,
Methano,288,288-560,,,,
Methano,289,280-432,,,,
Methano,290,176-376,,,,
Methano,291,16-112,392-432,,,
Methano,292,320-440,,,,
Methano,293,224-560,,,,
Methano,294,0-8,200-400,,,
Methano,295,0-120,144-192,,,
Methano,296,168-456,,,,
Methano,297,360-456,,,,
Methano,298,320-512,,,,
Methano,299,288-488,,,,
Methano,300,72-104,120-256,320-392,408-416,
Methano,301,0-136,,,,
Methano,302,0-384,,,,
Methano,303,224-416,,,,
Methano,304,360-408,,,,
Methano,305,232-280,344-448,,,
Methano,306,72-168,352-360,,,
Methano,307,32-128,232-280,368-528,,
Methano,308,0-448,,,,
Methano,309,280-440,,,,
Methano,310,0-152,272-384,,,
Methano,311,160-376,464-496,,,
Methano,312,32-144,,,,
Methano,313,80-424,,,,
Methano,314,0-32,208-472,,,
Methano,315,200-248,320-416,,,
Methano,316,352-552,,,,
Methano,317,224-272,368-560,,,
Methano,318,128-160,400-456,,,
Methano,319,0-32,272-560,,,
Methano,320,0-8,368-456,,,
Methano,321,0-8,64-416,,,
Methano,322,264-496,,,,
Methano,323,192-440,,,,
Methano,324,0-432,,,,
Methano,325,80-176,240-448,,,
Methano,326,0-544,,,,
Methano,327,256-552,,,,
Methano,328,296-392,,,,
Methano,329,216-400,456-464,,,
Methano,330,296-448,,,,
Methano,331,136-448,,,,
Methano,332,464-560,,,,
Methano,333,0-32,304-504,,,
Methano,334,168-408,,,,
Methano,335,336-400,,,,
Methano,336,144-312,,,,
Methano,337,0-56,256-480,,,
Methano,338,272-296,,,,
Methano,339,48-80,,,,
Methano,340,352-416,,,,
Methano,341,8-24,144-488,,,
Methano,342,8-80,248-392,,,
Methano,343,320-552,,,,
Methano,344,56-176,272-472,,,
Methano,345,104-232,304-432,,,
Methano,346,256-440,,,,
Methano,347,232-272,352-440,,,
Methano,348,304-416,,,,
Methano,349,264-296,376-456,,,
Methano,350,0-40,264-384,448-512,,
Methano,351,288-448,,,,
Methano,352,320-384,,,,
Methano,353,136-208,360-552,,,
Methano,354,368-456,,,,
Methano,355,304-392,,,,
Methano,356,224-416,,,,
Methano,357,312-424,,,,
Methano,358,120-400,,,,
Methano,359,0-56,152-368,,,
Methano,360,32-64,240-392,,,
Methano,361,96-192,344-432,,,
Methano,362,32-112,504-560,,,
Methano,363,0-48,112-192,320-432,,
Methano,364,104-120,296-424,,,
Methano,365,256-304,368-488,,,
Methano,366,256-552,,,,
Methano,367,168-360,,,,
Methano,368,144-488,,,,
Methano,369,0-24,104-400,464-536,,
Methano,370,40-104,224-424,,,
Methano,371,264-376,,,,
Methano,372,128-160,328-424,,,
Methano,373,224-488,,,,
Methano,374,248-408,496-544,,,
Methano,375,336-392,512-560,,,
Methano,376,312-480,,,,
Methano,377,184-416,520-560,,,
Methano,378,264-496,,,,
Methano,379,72-424,,,,
Methano,380,0-16,240-424,,,
Methano,381,,,,,
Methano,382,176-232,352-424,,,
Methano,383,352-512,,,,
Methano,384,80-440,,,,
Methano,385,96-168,472-512,,,
Methano,386,,,,,
Methano,387,312-464,,,,
Methano,388,304-352,,,,
Methano,389,0-16,240-400,,,
Methano,390,8-80,224-528,,,
Methano,391,48-480,,,,
Methano,392,224-400,,,,
Methano,393,0-16,176-432,,,
Methano,394,0-136,296-504,,,
Methano,395,208-248,344-560,,,
Methano,396,352-432,,,,
Methano,397,304-544,,,,
Methano,398,40-72,240-560,,,
Methano,399,120-560,,,,
Methano,400,256-400,,,,
Methano,401,0-384,456-520,,,
Methano,402,0-8,280-472,,,
Methano,403,64-160,352-432,,,
Methano,404,8-248,328-384,,,
Methano,405,344-368,,,,
Methano,406,272-392,,,,
Methano,407,208-264,328-448,,,
Methano,408,,,,,
Methano,409,352-440,,,,
Methano,410,288-392,,,,
Methano,411,248-400,,,,
Methano,412,144-440,,,,
Methano,413,224-280,312-560,,,
Methano,414,0-56,216-400,,,
Methano,415,288-464,496-560,,,
Methano,416,272-352,504-560,,,
Methano,417,64-136,272-472,,,
Methano,418,48-136,280-360,448-552,,
Methano,419,0-40,280-376,528-560,,
Methano,420,200-264,400-504,,,
Methano,421,0-112,320-376,496-560,,
Methano,422,312-384,,,,
Methano,423,,,,,
Methano,424,0-392,488-512,,,
Methano,425,136-152,224-560,,,
Methano,426,352-544,,,,
Methano,427,184-248,320-416,,,
Methano,428,128-208,,,,
Methano,429,48-104,464-560,,,
Methano,430,224-256,352-488,,,
Methano,431,232-552,,,,
Methano,432,192-264,360-400,496-552,,
Methano,433,48-184,280-384,,,
Methano,434,176-216,376-440,,,
Methano,435,256-432,,,,
Methano,436,0-40,280-528,,,
Methano,437,0-96,336-496,,,
Methano,438,256-320,,,,
Methano,439,32-72,360-400,480-560,,
Methano,440,32-80,192-488,,,
Methano,441,0-240,,,,
Methano,442,32-392,,,,
Methano,443,0-112,128-136,160-168,328-440,
Methano,444,0-144,344-440,,,
Methano,445,24-560,,,,
