Organism,Seq,Positions,,
Salmonella,1,125;255,,
Salmonella,2,200;298,308;479,
Salmonella,3,,,
Salmonella,4,,,
Salmonella,5,,,
Salmonella,6,464;521,,
Salmonella,7,145;254,,
Salmonella,8,202;278,392;481,
Salmonella,9,397;473,,
Salmonella,10,407;483,,
Salmonella,11,355;462,,
Salmonella,12,388;475,,
Salmonella,13,532;613,,
Salmonella,14,24;85,,
Salmonella,15,171;232,,
Salmonella,16,398;459,,
Salmonella,17,0;36,389;524,528;592
Salmonella,18,0;47,400;534,540;604
Salmonella,19,45;104,397;443,
Salmonella,20,245;304,,
Salmonella,21,184;232,513;572,
Salmonella,22,0;59,352;470,
Salmonella,23,17;82,375;493,
Salmonella,24,320;384,,
Salmonella,25,65;135,226;265,436;505
Salmonella,26,174;244,335;374,545;613
Salmonella,27,234;304,395;434,
Salmonella,28,,,
Salmonella,29,202;276,387;481,
Salmonella,30,65;130,415;488,
Salmonella,31,331;392,,
Salmonella,32,325;459,484;550,
Salmonella,33,366;500,525;591,
Salmonella,34,411;449,,
Salmonella,35,444;482,,
Salmonella,36,208;245,334;440,
Salmonella,37,509;549,,
Salmonella,38,,,
Salmonella,39,,,
Salmonella,40,509;597,,
Salmonella,41,18;121,,
Salmonella,42,194;233,311;412,
Salmonella,43,,,
