Organism,Seq,Positions,,,
Chlamydia,1,323-411,,,
Chlamydia,2,272-310,,,
Chlamydia,3,415-518,,,
Chlamydia,4,291-417,,,
Chlamydia,5,357-440,,,
Chlamydia,6,350-405,,,
Chlamydia,7,137-227,570-607,,
Chlamydia,8,386-451,513-605,,
Chlamydia,9,510-607,,,
Chlamydia,10,310-455,460-499,,
Chlamydia,11,229-332,340-425,,
Chlamydia,12,339-472,,,
Chlamydia,13,398-475,,,
Chlamydia,14,437-613,,,
Chlamydia,15,,,,
Chlamydia,16,,,,
Chlamydia,17,,,,
Chlamydia,18,235-334,387-485,,
Chlamydia,19,367-460,,,
Chlamydia,20,418-454,517-587,,
Chlamydia,21,390-525,,,
Chlamydia,22,,,,
Chlamydia,23,432-538,,,
Chlamydia,24,374-535,,,
Chlamydia,25,573-612,,,
Chlamydia,26,,,,
Chlamydia,27,351-415,,,
Chlamydia,28,200-265,406-460,,
Chlamydia,29,198-288,312-413,,
Chlamydia,30,366-608,,,
Chlamydia,31,329-454,,,
Chlamydia,32,383-506,,,
Chlamydia,33,209-287,342-431,,
Chlamydia,34,279-485,,,
Chlamydia,35,341-426,,,
Chlamydia,36,348-458,463-526,,
Chlamydia,37,239-284,328-454,,
Chlamydia,38,272-439,,,
Chlamydia,39,199-459,,,
Chlamydia,40,395-483,,,
Chlamydia,41,279-373,,,
Chlamydia,42,197-426,438-476,,
Chlamydia,43,197-242,248-389,,
Chlamydia,44,259-395,,,
Chlamydia,45,430-517,,,
Chlamydia,46,268-338,353-466,,
Chlamydia,47,359-555,,,
Chlamydia,48,353-442,,,
Chlamydia,49,393-488,,,
Chlamydia,50,347-393,,,
Chlamydia,51,315-452,,,
Chlamydia,52,430-474,,,
Chlamydia,53,148-412,,,
Chlamydia,54,257-324,,,
Chlamydia,55,270-411,,,
Chlamydia,56,342-427,504-555,,
Chlamydia,57,366-484,,,
Chlamydia,58,279-370,421-485,498-558,
Chlamydia,59,182-265,403-461,546-613,
Chlamydia,60,,,,
Chlamydia,61,340-466,,,
Chlamydia,62,12-55,337-436,,
Chlamydia,63,,,,
Chlamydia,64,279-466,,,
Chlamydia,65,225-278,411-452,,
Chlamydia,66,427-535,,,
Chlamydia,67,,,,
Chlamydia,68,137-246,371-409,,
Chlamydia,69,,,,
Chlamydia,70,225-270,294-331,,
Chlamydia,71,42-115,413-544,,
Chlamydia,72,260-299,309-435,443-534,
Chlamydia,73,231-271,283-320,330-433,
Chlamydia,74,398-438,,,
Chlamydia,75,375-497,,,
Chlamydia,76,202-259,406-481,,
Chlamydia,77,329-491,,,
Chlamydia,78,321-466,,,
Chlamydia,79,245-481,,,
Chlamydia,80,0-44,325-451,,
Chlamydia,81,291-432,,,
Chlamydia,82,258-368,474-537,,
Chlamydia,83,265-354,,,
Chlamydia,84,417-501,576-613,,
Chlamydia,85,573-613,,,
Chlamydia,86,33-102,,,
Chlamydia,87,220-266,293-330,381-460,
Chlamydia,88,383-503,,,
Chlamydia,89,346-476,,,
Chlamydia,90,197-245,326-373,391-474,
Chlamydia,91,211-328,380-490,,
Chlamydia,92,337-473,,,
Chlamydia,93,,,,
Chlamydia,94,251-462,,,
Chlamydia,95,402-477,,,
Chlamydia,96,348-448,522-613,,
Chlamydia,97,191-265,393-429,,
Chlamydia,98,203-268,,,
Chlamydia,99,179-291,331-458,,
Chlamydia,100,558-613,,,
Chlamydia,101,287-348,360-431,,
Chlamydia,102,0-91,211-258,452-490,
Chlamydia,103,21-70,414-473,554-613,
Chlamydia,104,355-405,,,
Chlamydia,105,154-214,,,
Chlamydia,106,412-453,,,
Chlamydia,107,298-471,,,
Chlamydia,108,341-508,,,
Chlamydia,109,301-537,,,
Chlamydia,110,371-451,,,
Chlamydia,111,,,,
Chlamydia,112,355-487,,,
Chlamydia,113,309-462,,,
Chlamydia,114,325-438,,,
Chlamydia,115,308-366,432-476,504-565,
Chlamydia,116,271-364,433-512,,
Chlamydia,117,205-456,,,
Chlamydia,118,378-417,,,
Chlamydia,119,,,,
Chlamydia,120,354-462,,,
Chlamydia,121,216-263,369-421,434-480,544-613
Chlamydia,122,370-484,550-613,,
Chlamydia,123,229-265,337-386,393-508,
Chlamydia,124,312-362,,,
Chlamydia,125,306-479,,,
Chlamydia,126,379-469,,,
Chlamydia,127,400-525,,,
Chlamydia,128,302-417,456-557,,
Chlamydia,129,392-461,,,
Chlamydia,130,318-406,,,
Chlamydia,131,380-469,,,
Chlamydia,132,176-216,500-546,,
Chlamydia,133,350-504,,,
Chlamydia,134,151-212,344-380,386-430,536-613
Chlamydia,135,559-613,,,
Chlamydia,136,74-133,175-259,268-342,
Chlamydia,137,314-550,,,
Chlamydia,138,540-613,,,
Chlamydia,139,34-80,402-468,550-591,
Chlamydia,140,216-281,359-495,,
Chlamydia,141,,,,
Chlamydia,142,368-491,544-581,,
Chlamydia,143,265-542,,,
Chlamydia,144,303-358,439-497,,
Chlamydia,145,304-345,378-506,,
Chlamydia,146,429-483,,,
Chlamydia,147,401-485,,,
Chlamydia,148,476-542,,,
Chlamydia,149,386-460,,,
Chlamydia,150,274-344,448-541,,
Chlamydia,151,298-459,466-526,,
Chlamydia,152,369-464,,,
Chlamydia,153,42-113,172-220,394-451,501-586
Chlamydia,154,293-465,,,
Chlamydia,155,2-71,209-262,352-488,
Chlamydia,156,396-484,508-613,,
Chlamydia,157,547-613,,,
Chlamydia,158,283-481,,,
Chlamydia,159,161-212,313-429,,
Chlamydia,160,362-430,,,
Chlamydia,161,401-461,486-613,,
Chlamydia,162,0-41,374-474,,
Chlamydia,163,265-478,,,
Chlamydia,164,304-389,,,
Chlamydia,165,373-432,,,
Chlamydia,166,26-100,395-546,,
Chlamydia,167,329-402,,,
Chlamydia,168,187-273,369-466,,
Chlamydia,169,204-292,296-363,,
Chlamydia,170,294-506,,,
Chlamydia,171,408-464,,,
Chlamydia,172,359-448,,,
Chlamydia,173,379-422,,,
Chlamydia,174,261-467,,,
Chlamydia,175,258-347,353-461,,
Chlamydia,176,137-203,559-611,,
Chlamydia,177,289-543,,,
Chlamydia,178,327-449,521-606,,
Chlamydia,179,344-457,,,
Chlamydia,180,262-349,378-522,,
Chlamydia,181,385-483,,,
Chlamydia,182,295-332,,,
Chlamydia,183,426-462,543-613,,
Chlamydia,184,375-416,,,
Chlamydia,185,558-613,,,
Chlamydia,186,297-335,436-472,,
Chlamydia,187,344-425,,,
Chlamydia,188,339-500,,,
Chlamydia,189,321-402,,,
Chlamydia,190,288-411,,,
Chlamydia,191,227-335,423-491,,
Chlamydia,192,289-421,,,
Chlamydia,193,69-118,271-348,425-550,
Chlamydia,194,380-452,,,
Chlamydia,195,300-489,529-579,,
Chlamydia,196,,,,
Chlamydia,197,158-265,384-437,,
Chlamydia,198,352-394,431-485,565-602,
Chlamydia,199,226-285,311-387,,
Chlamydia,200,371-460,,,
Chlamydia,201,305-509,,,
Chlamydia,202,270-463,467-534,,
Chlamydia,203,275-372,377-454,,
Chlamydia,204,300-346,384-480,,
Chlamydia,205,230-267,307-462,,
Chlamydia,206,,,,
Chlamydia,207,422-488,,,
Chlamydia,208,380-505,,,
Chlamydia,209,402-502,507-578,,
Chlamydia,210,286-472,,,
Chlamydia,211,399-445,,,
Chlamydia,212,352-573,,,
Chlamydia,213,346-435,514-613,,
Chlamydia,214,361-475,,,
Chlamydia,215,309-474,,,
Chlamydia,216,302-367,381-425,446-483,
Chlamydia,217,321-402,,,
Chlamydia,218,257-497,,,
Chlamydia,219,174-240,402-453,,
Chlamydia,220,441-480,,,
Chlamydia,221,183-267,316-456,,
Chlamydia,222,280-415,,,
Chlamydia,223,52-94,206-255,536-612,
Chlamydia,224,248-449,,,
Chlamydia,225,365-542,,,
Chlamydia,226,385-442,,,
Chlamydia,227,285-394,417-543,,
Chlamydia,228,381-433,447-528,557-613,
Chlamydia,229,358-461,,,
Chlamydia,230,364-487,,,
Chlamydia,231,308-470,,,
Chlamydia,232,406-505,,,
Chlamydia,233,148-281,577-613,,
Chlamydia,234,329-464,,,
Chlamydia,235,259-301,380-480,,
Chlamydia,236,404-571,,,
Chlamydia,237,267-307,407-445,452-494,
Chlamydia,238,363-403,,,
Chlamydia,239,,,,
Chlamydia,240,355-438,576-613,,
Chlamydia,241,355-477,,,
Chlamydia,242,,,,
Chlamydia,243,327-456,,,
Chlamydia,244,188-288,400-462,,
Chlamydia,245,231-278,391-449,,
Chlamydia,246,84-166,271-363,,
Chlamydia,247,272-551,,,
Chlamydia,248,269-351,389-433,439-500,
Chlamydia,249,283-378,402-461,,
Chlamydia,250,252-387,,,
Chlamydia,251,413-480,540-613,,
Chlamydia,252,517-555,,,
Chlamydia,253,362-411,554-595,,
Chlamydia,254,320-378,,,
Chlamydia,255,116-156,449-522,529-583,
Chlamydia,256,0-39,365-424,,
Chlamydia,257,8-126,407-450,473-515,
