Organism,Seq,Positions,,,,
Haloferax,1,352-469,,,,
Haloferax,2,306-356,382-516,538-613,,
Haloferax,3,,,,,
Haloferax,4,29-103,314-480,,,
Haloferax,5,282-437,,,,
Haloferax,6,374-456,460-613,,,
Haloferax,7,51-104,415-459,,,
Haloferax,8,380-480,,,,
Haloferax,9,359-397,402-505,,,
Haloferax,10,,,,,
Haloferax,11,267-347,,,,
Haloferax,12,291-444,,,,
Haloferax,13,,,,,
Haloferax,14,277-516,,,,
Haloferax,15,385-423,,,,
Haloferax,16,339-427,,,,
Haloferax,17,508-591,,,,
Haloferax,18,286-334,,,,
Haloferax,19,,,,,
Haloferax,20,0-45,377-458,,,
Haloferax,21,,,,,
Haloferax,22,293-448,,,,
Haloferax,23,260-328,,,,
Haloferax,24,217-309,,,,
Haloferax,25,261-438,,,,
Haloferax,26,339-395,501-546,,,
Haloferax,27,401-452,,,,
Haloferax,28,336-387,,,,
Haloferax,29,251-325,,,,
Haloferax,30,394-444,,,,
Haloferax,31,386-447,,,,
Haloferax,32,132-187,,,,
Haloferax,33,435-523,528-567,,,
Haloferax,34,447-519,,,,
Haloferax,35,341-409,,,,
Haloferax,36,405-463,568-613,,,
Haloferax,37,381-433,439-499,,,
Haloferax,38,70-257,288-337,388-488,,
Haloferax,39,349-487,,,,
Haloferax,40,,,,,
Haloferax,41,386-491,,,,
Haloferax,42,335-437,521-570,,,
Haloferax,43,360-456,,,,
Haloferax,44,263-527,,,,
Haloferax,45,368-520,,,,
Haloferax,46,460-496,,,,
Haloferax,47,364-428,,,,
Haloferax,48,331-471,,,,
Haloferax,49,184-284,,,,
Haloferax,50,123-166,283-329,,,
Haloferax,51,325-467,,,,
Haloferax,52,381-427,,,,
Haloferax,53,312-445,,,,
Haloferax,54,381-436,,,,
Haloferax,55,377-451,,,,
Haloferax,56,,,,,
Haloferax,57,164-269,,,,
Haloferax,58,369-449,,,,
Haloferax,59,380-483,,,,
Haloferax,60,324-509,,,,
Haloferax,61,365-424,,,,
Haloferax,62,405-450,528-613,,,
Haloferax,63,,,,,
Haloferax,64,305-357,485-541,,,
Haloferax,65,147-208,247-331,,,
Haloferax,66,394-478,,,,
Haloferax,67,348-436,,,,
Haloferax,68,121-200,391-434,,,
Haloferax,69,371-476,,,,
Haloferax,70,129-166,178-373,,,
Haloferax,71,342-489,,,,
Haloferax,72,360-463,,,,
Haloferax,73,,,,,
Haloferax,74,250-322,399-463,,,
Haloferax,75,388-486,499-613,,,
Haloferax,76,408-457,572-613,,,
Haloferax,77,285-400,,,,
Haloferax,78,374-499,,,,
Haloferax,79,380-456,,,,
Haloferax,80,116-153,264-355,381-450,,
Haloferax,81,436-516,,,,
Haloferax,82,,,,,
Haloferax,83,391-525,,,,
Haloferax,84,85-122,294-342,372-420,,
Haloferax,85,391-439,,,,
Haloferax,86,386-424,454-503,,,
Haloferax,87,335-478,,,,
Haloferax,88,387-479,,,,
Haloferax,89,156-227,390-430,521-613,,
Haloferax,90,15-127,173-306,394-458,,
Haloferax,91,291-446,,,,
Haloferax,92,378-449,,,,
Haloferax,93,157-193,349-430,448-597,,
Haloferax,94,362-447,,,,
Haloferax,95,299-423,,,,
Haloferax,96,389-456,,,,
Haloferax,97,256-296,380-467,,,
Haloferax,98,388-479,,,,
Haloferax,99,351-435,,,,
Haloferax,100,391-431,,,,
Haloferax,101,284-390,,,,
Haloferax,102,,,,,
Haloferax,103,441-495,,,,
Haloferax,104,367-456,,,,
Haloferax,105,379-487,,,,
Haloferax,106,241-286,362-468,,,
Haloferax,107,,,,,
Haloferax,108,167-211,350-425,,,
Haloferax,109,0-89,,,,
Haloferax,110,315-354,,,,
Haloferax,111,,,,,
Haloferax,112,186-223,390-447,,,
Haloferax,113,,,,,
Haloferax,114,355-429,,,,
Haloferax,115,,,,,
Haloferax,116,206-270,,,,
Haloferax,117,271-320,391-431,447-486,,
Haloferax,118,374-437,,,,
Haloferax,119,211-272,397-477,,,
Haloferax,120,386-482,,,,
Haloferax,121,373-463,,,,
Haloferax,122,138-349,,,,
Haloferax,123,384-454,,,,
Haloferax,124,401-450,,,,
Haloferax,125,35-78,,,,
Haloferax,126,283-388,,,,
Haloferax,127,,,,,
Haloferax,128,357-570,,,,
Haloferax,129,442-576,,,,
Haloferax,130,184-331,402-455,,,
Haloferax,131,351-460,,,,
Haloferax,132,344-453,,,,
Haloferax,133,354-465,,,,
Haloferax,134,387-436,,,,
Haloferax,135,369-464,,,,
Haloferax,136,519-604,,,,
Haloferax,137,373-462,,,,
Haloferax,138,327-420,,,,
Haloferax,139,305-416,,,,
Haloferax,140,364-428,544-613,,,
Haloferax,141,190-239,494-590,,,
Haloferax,142,,,,,
Haloferax,143,291-438,,,,
Haloferax,144,374-416,,,,
Haloferax,145,333-423,,,,
Haloferax,146,383-486,,,,
Haloferax,147,390-528,,,,
Haloferax,148,411-456,,,,
Haloferax,149,265-450,,,,
Haloferax,150,198-272,391-460,,,
Haloferax,151,180-300,,,,
Haloferax,152,121-183,277-326,383-484,,
Haloferax,153,349-450,,,,
Haloferax,154,366-445,,,,
Haloferax,155,469-549,,,,
Haloferax,156,517-591,,,,
Haloferax,157,31-112,295-382,393-435,,
Haloferax,158,300-533,561-610,,,
Haloferax,159,383-446,,,,
Haloferax,160,352-457,,,,
Haloferax,161,302-408,,,,
