Organism,Seq,Positions,,
Bacillus,1,348;477,,
Bacillus,2,0;48,193;236,380;472
Bacillus,3,451;491,,
Bacillus,4,0;47,146;184,540;576
Bacillus,5,203;342,377;435,
Bacillus,6,51;96,,
Bacillus,7,194;239,292;371,410;455
Bacillus,8,282;318,378;444,
Bacillus,9,0;103,,
Bacillus,10,272;525,,
Bacillus,11,305;384,397;439,
Bacillus,12,350;428,,
Bacillus,13,,,
Bacillus,14,528;613,,
Bacillus,15,,,
Bacillus,16,293;375,396;473,
Bacillus,17,373;461,,
Bacillus,18,172;239,243;311,
Bacillus,19,0;45,,
Bacillus,20,362;428,,
Bacillus,21,338;379,466;522,
Bacillus,22,273;319,330;466,
Bacillus,23,,,
Bacillus,24,298;336,,
Bacillus,25,351;498,571;613,
Bacillus,26,130;171,227;270,
Bacillus,27,288;328,333;433,
Bacillus,28,337;403,,
Bacillus,29,137;202,524;612,
Bacillus,30,,,
Bacillus,31,321;540,,
Bacillus,32,,,
Bacillus,33,330;382,518;582,
Bacillus,34,,,
Bacillus,35,292;365,505;571,
Bacillus,36,,,
Bacillus,37,452;537,,
Bacillus,38,299;404,417;471,
Bacillus,39,8;52,371;510,
Bacillus,40,,,
Bacillus,41,375;452,505;599,
