Organism,Seq,Positions,,
Strepto,1,369;442,447;560,
Strepto,2,314;478,552;591,
Strepto,3,429;591,,
Strepto,4,452;498,565;613,
Strepto,5,0;55,,
Strepto,6,395;482,,
Strepto,7,0;110,438;476,488;541
Strepto,8,200;302,,
Strepto,9,533;594,,
Strepto,10,225;295,,
Strepto,11,125;192,,
Strepto,12,184;245,397;455,
Strepto,13,405;530,,
Strepto,14,,,
Strepto,15,141;247,,
Strepto,16,339;459,,
Strepto,17,25;106,476;550,
Strepto,18,389;469,,
Strepto,19,0;37,,
Strepto,20,346;456,,
Strepto,21,0;37,412;486,
Strepto,22,321;373,,
Strepto,23,224;292,,
Strepto,24,419;487,,
Strepto,25,311;417,,
Strepto,26,304;348,,
Strepto,27,16;70,422;499,
Strepto,28,200;371,,
Strepto,29,406;448,,
Strepto,30,,,
Strepto,31,266;317,468;541,
Strepto,32,,,
Strepto,33,,,
Strepto,34,424;491,,
Strepto,35,,,
Strepto,36,279;370,,
Strepto,37,49;117,,
Strepto,38,454;521,,
Strepto,39,309;414,,
Strepto,40,64;100,,
Strepto,41,,,
Strepto,42,,,
Strepto,43,,,
Strepto,44,132;205,209;322,363;411
Strepto,45,171;251,,
Strepto,46,345;389,,
Strepto,47,0;40,,
Strepto,48,354;407,,
Strepto,49,372;451,,
Strepto,50,,,
Strepto,51,573;613,,
Strepto,52,,,
Strepto,53,27;129,410;468,
Strepto,54,136;230,350;413,511;587
Strepto,55,0;44,,
Strepto,56,252;291,374;481,
Strepto,57,389;447,,
Strepto,58,418;482,,
Strepto,59,323;410,,
Strepto,60,508;595,,
Strepto,61,10;53,145;189,
Strepto,62,431;476,565;613,
Strepto,63,445;508,,
Strepto,64,,,
Strepto,65,278;341,,
Strepto,66,367;430,,
Strepto,67,,,
Strepto,68,373;443,,
Strepto,69,312;380,386;591,
Strepto,70,,,
Strepto,71,0;43,398;442,
Strepto,72,27;90,383;440,
Strepto,73,403;458,,
Strepto,74,,,
Strepto,75,20;107,,
Strepto,76,401;490,,
Strepto,77,0;95,,
Strepto,78,277;461,,
Strepto,79,28;93,,
Strepto,80,318;383,,
Strepto,81,321;563,,
Strepto,82,,,
Strepto,83,495;542,,
Strepto,84,,,
Strepto,85,113;312,,
Strepto,86,343;537,,
Strepto,87,,,
Strepto,88,332;370,,
Strepto,89,,,
Strepto,90,,,
Strepto,91,497;548,,
Strepto,92,,,
Strepto,93,351;483,,
Strepto,94,362;454,458;504,
Strepto,95,401;453,,
Strepto,96,373;452,,
Strepto,97,,,
Strepto,98,362;483,,
Strepto,99,448;501,,
Strepto,100,8;112,472;538,
Strepto,101,498;573,,
Strepto,102,496;538,,
Strepto,103,346;397,465;598,
Strepto,104,261;313,382;515,
Strepto,105,293;353,,
Strepto,106,4;68,427;482,
Strepto,107,260;318,390;534,
Strepto,108,0;103,,
Strepto,109,351;472,476;517,
Strepto,110,,,
Strepto,111,543;593,,
Strepto,112,,,
Strepto,113,,,
Strepto,114,413;461,,
Strepto,115,326;387,,
Strepto,116,40;95,190;226,414;452
Strepto,117,27;87,,
Strepto,118,399;523,528;564,
Strepto,119,416;476,,
Strepto,120,403;442,,
Strepto,121,,,
Strepto,122,216;252,,
Strepto,123,,,
Strepto,124,462;554,,
Strepto,125,431;495,,
Strepto,126,111;176,545;598,
Strepto,127,198;304,,
Strepto,128,434;508,568;613,
Strepto,129,,,
Strepto,130,355;437,,
Strepto,131,,,
Strepto,132,312;403,410;511,
Strepto,133,465;508,,
Strepto,134,173;218,400;452,541;613
Strepto,135,425;481,575;613,
Strepto,136,104;146,195;235,
Strepto,137,61;129,258;297,428;512
Strepto,138,,,
Strepto,139,75;111,392;449,
Strepto,140,36;74,81;138,447;485
Strepto,141,506;586,,
Strepto,142,207;287,,
Strepto,143,358;394,577;613,
Strepto,144,337;396,426;496,
Strepto,145,558;613,,
Strepto,146,412;552,,
Strepto,147,,,
Strepto,148,409;447,,
Strepto,149,264;309,424;497,
Strepto,150,357;532,542;600,
Strepto,151,480;563,,
Strepto,152,46;127,,
Strepto,153,,,
Strepto,154,387;446,542;613,
Strepto,155,,,
Strepto,156,386;458,466;526,
Strepto,157,163;221,366;403,
Strepto,158,0;43,348;417,
Strepto,159,,,
Strepto,160,,,
Strepto,161,87;154,158;203,
Strepto,162,,,
Strepto,163,316;396,,
Strepto,164,,,
Strepto,165,323;409,413;546,
Strepto,166,0;90,413;488,
Strepto,167,,,
Strepto,168,525;575,,
Strepto,169,427;498,,
Strepto,170,0;68,,
Strepto,171,524;584,,
Strepto,172,387;445,531;597,
Strepto,173,461;545,,
Strepto,174,93;133,414;481,
Strepto,175,127;166,,
Strepto,176,,,
Strepto,177,283;358,,
Strepto,178,,,
Strepto,179,,,
Strepto,180,395;464,,
Strepto,181,,,
Strepto,182,508;585,,
Strepto,183,,,
Strepto,184,206;275,,
Strepto,185,405;458,,
Strepto,186,,,
Strepto,187,431;496,,
Strepto,188,36;73,,
Strepto,189,,,
Strepto,190,377;484,505;613,
Strepto,191,445;508,,
Strepto,192,39;110,,
Strepto,193,420;477,,
Strepto,194,,,
