Organism,Seq,Positions,,,,
Pseudo,1,200-488,,,,
Pseudo,2,0-72,312-544,,,
Pseudo,3,384-432,,,,
Pseudo,4,0-24,96-160,304-544,,
Pseudo,5,440-456,,,,
Pseudo,6,120-136,328-496,,,
Pseudo,7,72-120,376-440,520-560,,
Pseudo,8,112-152,248-392,,,
Pseudo,9,296-416,512-552,,,
Pseudo,10,0-72,344-496,,,
Pseudo,11,496-544,,,,
Pseudo,12,0-40,,,,
Pseudo,13,328-456,,,,
Pseudo,14,112-272,400-440,,,
Pseudo,15,144-200,272-336,480-552,,
Pseudo,16,392-560,,,,
Pseudo,17,0-48,272-304,456-536,,
Pseudo,18,328-448,,,,
Pseudo,19,120-136,280-456,,,
Pseudo,20,344-424,512-560,,,
Pseudo,21,120-144,280-400,464-536,,
Pseudo,22,352-560,,,,
Pseudo,23,192-304,,,,
Pseudo,24,248-552,,,,
Pseudo,25,176-560,,,,
Pseudo,26,96-280,360-504,,,
Pseudo,27,184-496,,,,
Pseudo,28,400-472,,,,
Pseudo,29,384-504,,,,
Pseudo,30,304-312,328-352,376-560,,
Pseudo,31,0-8,336-424,536-544,,
Pseudo,32,392-472,,,,
Pseudo,33,288-424,,,,
Pseudo,34,240-424,536-552,,,
Pseudo,35,0-8,408-496,,,
Pseudo,36,8-200,384-504,,,
Pseudo,37,328-472,,,,
Pseudo,38,32-80,328-512,,,
Pseudo,39,,,,,
Pseudo,40,368-376,,,,
Pseudo,41,48-248,384-440,,,
Pseudo,42,328-384,,,,
Pseudo,43,320-408,,,,
Pseudo,44,256-424,,,,
Pseudo,45,424-464,,,,
Pseudo,46,320-368,,,,
Pseudo,47,0-168,304-360,408-480,,
Pseudo,48,368-480,,,,
Pseudo,49,80-112,,,,
Pseudo,50,216-560,,,,
Pseudo,51,32-312,376-480,,,
Pseudo,52,0-88,160-448,,,
Pseudo,53,152-184,264-496,,,
Pseudo,54,320-488,,,,
Pseudo,55,136-472,,,,
Pseudo,56,0-88,344-392,456-512,,
Pseudo,57,56-384,,,,
Pseudo,58,0-40,160-488,,,
Pseudo,59,336-560,,,,
Pseudo,60,224-232,256-512,,,
Pseudo,61,32-96,200-360,,,
Pseudo,62,0-48,400-432,,,
Pseudo,63,16-24,168-232,336-416,,
Pseudo,64,312-560,,,,
Pseudo,65,136-216,432-456,,,
Pseudo,66,152-200,344-392,,,
Pseudo,67,0-24,328-536,,,
Pseudo,68,344-544,,,,
Pseudo,69,296-464,,,,
Pseudo,70,304-440,,,,
Pseudo,71,224-312,392-480,,,
Pseudo,72,232-440,,,,
Pseudo,73,208-536,,,,
Pseudo,74,56-136,168-296,400-488,,
Pseudo,75,320-360,488-512,,,
Pseudo,76,264-448,,,,
Pseudo,77,32-112,216-240,280-288,328-432,
Pseudo,78,0-16,64-168,432-544,,
Pseudo,79,48-184,400-512,,,
Pseudo,80,304-456,528-552,,,
Pseudo,81,0-104,208-320,440-560,,
Pseudo,82,280-440,,,,
Pseudo,83,176-248,344-480,,,
Pseudo,84,144-192,440-560,,,
Pseudo,85,168-456,504-552,,,
Pseudo,86,32-96,160-448,,,
Pseudo,87,352-432,,,,
Pseudo,88,168-288,424-488,,,
Pseudo,89,120-184,392-520,,,
Pseudo,90,0-40,368-504,,,
Pseudo,91,88-176,384-480,,,
Pseudo,92,488-496,,,,
Pseudo,93,136-216,376-424,520-560,,
Pseudo,94,464-560,,,,
Pseudo,95,56-96,272-384,,,
Pseudo,96,0-8,360-560,,,
Pseudo,97,360-376,400-560,,,
Pseudo,98,24-120,184-528,,,
Pseudo,99,296-464,,,,
Pseudo,100,160-368,,,,
Pseudo,101,0-32,384-560,,,
Pseudo,102,240-456,,,,
Pseudo,103,96-360,,,,
Pseudo,104,320-400,480-560,,,
Pseudo,105,8-160,360-408,,,
Pseudo,106,0-8,216-296,384-440,,
Pseudo,107,352-456,,,,
Pseudo,108,280-336,440-496,,,
Pseudo,109,,,,,
Pseudo,110,208-336,,,,
Pseudo,111,0-48,192-384,,,
Pseudo,112,0-56,144-176,360-440,,
Pseudo,113,288-496,,,,
Pseudo,114,32-56,208-440,,,
Pseudo,115,320-384,448-480,,,
Pseudo,116,376-440,,,,
Pseudo,117,200-224,504-544,,,
Pseudo,118,248-288,,,,
Pseudo,119,56-184,400-456,,,
Pseudo,120,,,,,
Pseudo,121,0-208,312-384,408-480,,
Pseudo,122,424-512,,,,
Pseudo,123,200-520,,,,
Pseudo,124,280-528,,,,
Pseudo,125,240-456,536-544,,,
Pseudo,126,136-168,,,,
Pseudo,127,192-200,224-264,352-448,528-552,
Pseudo,128,0-96,432-480,,,
Pseudo,129,272-408,,,,
Pseudo,130,0-112,280-528,,,
Pseudo,131,208-328,456-552,,,
Pseudo,132,128-464,520-560,,,
Pseudo,133,216-336,400-448,512-560,,
Pseudo,134,104-296,392-504,,,
Pseudo,135,352-520,,,,
Pseudo,136,256-440,,,,
Pseudo,137,0-16,344-360,408-512,,
Pseudo,138,0-520,,,,
Pseudo,139,0-80,272-544,,,
Pseudo,140,144-192,464-560,,,
Pseudo,141,400-496,,,,
Pseudo,142,448-560,,,,
Pseudo,143,376-480,,,,
Pseudo,144,248-272,368-496,,,
Pseudo,145,352-392,416-520,,,
Pseudo,146,0-32,392-560,,,
Pseudo,147,0-80,96-280,,,
Pseudo,148,80-152,200-224,400-520,,
Pseudo,149,168-320,,,,
Pseudo,150,304-448,,,,
Pseudo,151,0-40,456-560,,,
Pseudo,152,248-304,336-344,,,
Pseudo,153,328-448,,,,
Pseudo,154,368-448,,,,
Pseudo,155,112-216,488-560,,,
Pseudo,156,104-480,,,,
Pseudo,157,160-232,368-464,,,
Pseudo,158,288-296,392-512,,,
Pseudo,159,80-128,392-464,,,
Pseudo,160,336-480,,,,
Pseudo,161,120-240,328-392,496-520,,
Pseudo,162,248-552,,,,
Pseudo,163,400-456,,,,
Pseudo,164,320-480,,,,
Pseudo,165,176-432,,,,
Pseudo,166,208-256,384-560,,,
Pseudo,167,304-360,,,,
Pseudo,168,296-344,416-536,,,
Pseudo,169,248-512,,,,
Pseudo,170,208-512,,,,
Pseudo,171,0-8,216-472,,,
Pseudo,172,16-392,464-496,,,
Pseudo,173,216-248,400-560,,,
Pseudo,174,352-456,,,,
Pseudo,175,416-552,,,,
Pseudo,176,176-208,344-560,,,
Pseudo,177,120-152,408-504,,,
Pseudo,178,80-200,384-408,520-560,,
Pseudo,179,240-560,,,,
Pseudo,180,0-8,112-456,,,
Pseudo,181,272-296,384-392,488-528,,
Pseudo,182,168-208,336-432,,,
Pseudo,183,48-104,216-288,336-432,528-560,
Pseudo,184,344-552,,,,
Pseudo,185,40-112,400-424,,,
Pseudo,186,280-560,,,,
Pseudo,187,48-128,248-320,384-496,,
Pseudo,188,56-104,352-440,,,
Pseudo,189,144-200,,,,
Pseudo,190,272-560,,,,
Pseudo,191,392-440,,,,
Pseudo,192,304-328,416-448,,,
Pseudo,193,216-264,432-520,,,
Pseudo,194,280-400,,,,
Pseudo,195,400-448,,,,
Pseudo,196,128-208,376-560,,,
Pseudo,197,128-160,296-544,,,
Pseudo,198,344-560,,,,
Pseudo,199,152-416,,,,
Pseudo,200,144-248,448-480,,,
Pseudo,201,368-464,,,,
Pseudo,202,0-72,184-208,,,
Pseudo,203,432-512,,,,
Pseudo,204,112-168,,,,
Pseudo,205,136-160,184-512,,,
Pseudo,206,384-424,496-560,,,
Pseudo,207,320-504,,,,
Pseudo,208,0-272,376-440,,,
Pseudo,209,232-512,,,,
Pseudo,210,0-16,120-200,328-488,,
Pseudo,211,0-56,208-560,,,
Pseudo,212,392-528,,,,
Pseudo,213,32-72,256-288,400-560,,
Pseudo,214,304-400,464-528,,,
Pseudo,215,408-472,496-544,,,
Pseudo,216,144-176,,,,
Pseudo,217,288-456,,,,
Pseudo,218,0-40,224-304,400-472,,
Pseudo,219,168-192,312-552,,,
Pseudo,220,0-24,320-552,,,
Pseudo,221,336-560,,,,
Pseudo,222,368-496,,,,
Pseudo,223,0-40,360-528,,,
Pseudo,224,368-560,,,,
Pseudo,225,112-264,384-520,,,
Pseudo,226,352-552,,,,
Pseudo,227,280-448,,,,
Pseudo,228,192-240,288-528,,,
Pseudo,229,0-16,392-424,,,
Pseudo,230,0-32,80-200,288-512,,
Pseudo,231,160-232,360-512,,,
Pseudo,232,224-288,360-504,,,
Pseudo,233,0-24,344-536,,,
Pseudo,234,296-520,,,,
Pseudo,235,176-200,368-424,,,
Pseudo,236,160-448,,,,
Pseudo,237,160-464,,,,
Pseudo,238,48-144,376-552,,,
Pseudo,239,0-72,136-272,392-472,,
Pseudo,240,96-120,280-560,,,
Pseudo,241,352-520,,,,
Pseudo,242,304-432,496-560,,,
Pseudo,243,352-496,,,,
Pseudo,244,120-152,264-496,,,
Pseudo,245,328-384,,,,
Pseudo,246,440-552,,,,
Pseudo,247,40-112,288-320,392-496,,
Pseudo,248,248-272,360-560,,,
Pseudo,249,248-512,,,,
Pseudo,250,24-112,224-264,368-456,,
Pseudo,251,320-560,,,,
Pseudo,252,288-504,,,,
Pseudo,253,184-224,352-440,,,
Pseudo,254,160-208,336-448,,,
Pseudo,255,32-208,248-496,,,
Pseudo,256,360-496,,,,
Pseudo,257,208-232,400-504,,,
Pseudo,258,240-264,360-488,,,
Pseudo,259,16-48,384-480,,,
Pseudo,260,264-560,,,,
Pseudo,261,0-32,160-208,368-488,,
Pseudo,262,288-304,400-544,,,
Pseudo,263,360-560,,,,
Pseudo,264,0-32,96-160,360-504,,
Pseudo,265,32-128,400-472,,,
Pseudo,266,328-424,,,,
Pseudo,267,264-472,,,,
Pseudo,268,400-544,,,,
Pseudo,269,80-176,400-448,,,
Pseudo,270,336-408,,,,
Pseudo,271,48-136,296-472,,,
Pseudo,272,376-448,,,,
Pseudo,273,40-176,232-536,,,
Pseudo,274,160-480,,,,
Pseudo,275,0-24,312-352,416-488,,
Pseudo,276,184-248,320-528,,,
Pseudo,277,440-544,,,,
Pseudo,278,384-424,,,,
Pseudo,279,368-432,,,,
Pseudo,280,16-176,344-376,528-560,,
Pseudo,281,64-336,,,,
Pseudo,282,336-432,,,,
Pseudo,283,176-360,464-504,,,
Pseudo,284,0-24,384-504,,,
Pseudo,285,264-336,488-512,,,
Pseudo,286,328-448,,,,
Pseudo,287,304-520,,,,
Pseudo,288,8-120,248-432,,,
Pseudo,289,96-304,384-520,,,
Pseudo,290,8-64,280-488,,,
Pseudo,291,408-472,,,,
Pseudo,292,208-472,,,,
Pseudo,293,16-56,408-456,,,
Pseudo,294,376-416,,,,
Pseudo,295,208-472,,,,
Pseudo,296,16-128,192-264,376-560,,
Pseudo,297,0-40,120-272,344-368,440-560,
Pseudo,298,96-160,384-480,,,
Pseudo,299,,,,,
Pseudo,300,200-320,392-512,,,
Pseudo,301,344-440,536-552,,,
Pseudo,302,320-392,,,,
Pseudo,303,320-440,,,,
Pseudo,304,160-192,400-560,,,
Pseudo,305,312-472,,,,
Pseudo,306,192-232,320-448,,,
Pseudo,307,24-72,240-320,416-448,,
Pseudo,308,288-336,,,,
Pseudo,309,160-192,352-560,,,
Pseudo,310,0-64,224-456,,,
Pseudo,311,0-200,376-552,,,
Pseudo,312,88-144,288-448,,,
Pseudo,313,336-504,,,,
Pseudo,314,296-368,416-560,,,
Pseudo,315,0-384,464-488,,,
Pseudo,316,456-560,,,,
Pseudo,317,0-16,120-192,288-312,,
Pseudo,318,352-560,,,,
Pseudo,319,280-528,,,,
Pseudo,320,0-48,160-312,,,
Pseudo,321,408-560,,,,
Pseudo,322,0-64,168-208,288-464,,
Pseudo,323,320-544,,,,
Pseudo,324,360-472,,,,
Pseudo,325,176-504,,,,
Pseudo,326,0-160,360-440,,,
Pseudo,327,184-504,,,,
Pseudo,328,304-400,,,,
Pseudo,329,152-560,,,,
Pseudo,330,272-296,,,,
Pseudo,331,224-560,,,,
Pseudo,332,0-64,160-184,400-432,,
Pseudo,333,240-448,,,,
Pseudo,334,8-56,264-496,,,
Pseudo,335,0-240,480-560,,,
Pseudo,336,0-40,104-472,,,
Pseudo,337,0-16,176-264,352-552,,
Pseudo,338,0-16,80-128,200-288,456-544,
Pseudo,339,216-360,424-456,536-544,,
Pseudo,340,352-480,,,,
Pseudo,341,0-200,288-464,,,
Pseudo,342,136-184,352-528,,,
Pseudo,343,0-56,184-208,304-464,,
Pseudo,344,96-128,192-304,416-544,,
Pseudo,345,8-104,200-272,304-400,,
Pseudo,346,24-112,224-312,480-560,,
Pseudo,347,32-96,240-480,,,
Pseudo,348,24-488,,,,
Pseudo,349,96-144,408-496,,,
Pseudo,350,360-472,,,,
Pseudo,351,72-112,256-472,,,
Pseudo,352,328-496,,,,
Pseudo,353,0-160,240-552,,,
Pseudo,354,0-56,448-560,,,
Pseudo,355,64-184,376-560,,,
Pseudo,356,392-552,,,,
Pseudo,357,232-504,,,,
Pseudo,358,200-552,,,,
Pseudo,359,192-424,,,,
Pseudo,360,0-40,208-280,344-560,,
Pseudo,361,128-408,,,,
Pseudo,362,120-208,224-512,,,
Pseudo,363,0-264,320-552,,,
Pseudo,364,328-432,,,,
Pseudo,365,264-480,,,,
Pseudo,366,352-488,,,,
Pseudo,367,280-544,,,,
Pseudo,368,360-496,,,,
Pseudo,369,376-544,,,,
Pseudo,370,320-456,,,,
Pseudo,371,496-560,,,,
Pseudo,372,304-432,520-560,,,
Pseudo,373,16-184,272-456,,,
Pseudo,374,400-560,,,,
Pseudo,375,192-224,392-544,,,
Pseudo,376,208-288,,,,
Pseudo,377,264-552,,,,
Pseudo,378,336-496,,,,
Pseudo,379,368-440,,,,
Pseudo,380,56-64,336-368,,,
Pseudo,381,128-176,304-560,,,
Pseudo,382,120-208,416-528,,,
Pseudo,383,224-552,,,,
Pseudo,384,336-440,,,,
Pseudo,385,344-432,,,,
Pseudo,386,0-128,224-312,416-464,,
Pseudo,387,168-224,280-312,392-536,,
Pseudo,388,144-192,328-416,,,
Pseudo,389,152-200,328-528,,,
Pseudo,390,80-168,384-480,,,
Pseudo,391,192-272,,,,
Pseudo,392,,,,,
Pseudo,393,184-216,376-544,,,
Pseudo,394,216-224,376-456,,,
Pseudo,395,168-192,368-400,,,
Pseudo,396,0-16,176-328,384-472,,
Pseudo,397,240-304,400-440,,,
Pseudo,398,200-432,,,,
Pseudo,399,56-104,304-536,,,
Pseudo,400,96-192,304-528,,,
Pseudo,401,56-136,248-336,488-544,,
Pseudo,402,56-136,248-448,,,
Pseudo,403,336-472,,,,
Pseudo,404,88-96,152-224,328-368,480-560,
Pseudo,405,24-80,200-248,344-400,,
Pseudo,406,0-8,216-496,,,
Pseudo,407,288-528,,,,
Pseudo,408,104-144,240-560,,,
Pseudo,409,344-536,,,,
Pseudo,410,48-176,248-288,496-552,,
Pseudo,411,176-400,480-536,,,
Pseudo,412,288-504,,,,
Pseudo,413,48-112,,,,
Pseudo,414,0-200,304-416,,,
Pseudo,415,144-200,336-416,,,
Pseudo,416,360-448,,,,
Pseudo,417,304-320,344-440,,,
Pseudo,418,384-528,,,,
Pseudo,419,200-416,,,,
Pseudo,420,272-312,,,,
Pseudo,421,296-416,488-560,,,
Pseudo,422,368-456,,,,
Pseudo,423,0-144,,,,
Pseudo,424,208-240,312-464,,,
Pseudo,425,312-520,,,,
Pseudo,426,256-424,512-544,,,
Pseudo,427,520-560,,,,
Pseudo,428,24-88,352-400,464-560,,
Pseudo,429,320-416,,,,
Pseudo,430,0-88,368-464,,,
Pseudo,431,88-184,312-360,,,
Pseudo,432,376-560,,,,
Pseudo,433,288-448,,,,
Pseudo,434,296-448,,,,
Pseudo,435,0-48,240-408,,,
Pseudo,436,360-560,,,,
Pseudo,437,32-80,152-544,,,
Pseudo,438,344-456,,,,
Pseudo,439,56-112,368-560,,,
Pseudo,440,336-416,,,,
Pseudo,441,304-496,,,,
Pseudo,442,480-552,,,,
Pseudo,443,0-168,352-384,472-504,,
Pseudo,444,112-168,248-296,384-560,,
Pseudo,445,0-144,440-488,,,
Pseudo,446,256-464,480-496,,,
Pseudo,447,192-272,352-560,,,
Pseudo,448,224-256,344-376,472-560,,
Pseudo,449,344-504,,,,
Pseudo,450,40-416,,,,
Pseudo,451,184-240,392-536,,,
Pseudo,452,240-320,400-448,,,
Pseudo,453,320-480,,,,
Pseudo,454,384-464,536-560,,,
Pseudo,455,312-560,,,,
Pseudo,456,312-352,472-560,,,
Pseudo,457,0-80,472-560,,,
Pseudo,458,0-72,536-544,,,
Pseudo,459,0-160,256-360,,,
Pseudo,460,0-144,328-552,,,
Pseudo,461,40-56,248-448,536-560,,
Pseudo,462,0-432,,,,
Pseudo,463,72-216,,,,
Pseudo,464,368-464,,,,
Pseudo,465,312-560,,,,
Pseudo,466,96-256,432-496,,,
Pseudo,467,184-456,,,,
Pseudo,468,264-424,512-544,,,
Pseudo,469,264-488,,,,
Pseudo,470,40-112,344-464,,,
Pseudo,471,488-512,,,,
Pseudo,472,224-472,,,,
Pseudo,473,376-464,,,,
Pseudo,474,48-88,352-552,,,
Pseudo,475,208-456,,,,
Pseudo,476,40-72,104-192,280-528,,
Pseudo,477,56-296,400-528,,,
Pseudo,478,264-536,,,,
Pseudo,479,280-440,,,,
Pseudo,480,360-520,,,,
Pseudo,481,320-456,472-504,,,
Pseudo,482,328-352,504-560,,,
Pseudo,483,0-88,328-480,,,
Pseudo,484,224-560,,,,
Pseudo,485,376-472,,,,
Pseudo,486,32-160,360-440,536-560,,
Pseudo,487,8-280,368-448,520-560,,
Pseudo,488,200-400,,,,
Pseudo,489,248-352,432-504,,,
Pseudo,490,0-40,288-432,,,
Pseudo,491,80-184,,,,
Pseudo,492,144-192,344-512,,,
Pseudo,493,360-400,,,,
Pseudo,494,72-368,,,,
Pseudo,495,336-448,,,,
Pseudo,496,24-104,400-424,488-520,,
Pseudo,497,0-48,392-520,,,
Pseudo,498,336-536,,,,
Pseudo,499,312-344,,,,
Pseudo,500,288-560,,,,
Pseudo,501,72-104,216-368,448-488,,
Pseudo,502,0-8,104-208,328-432,,
Pseudo,503,312-416,472-544,,,
Pseudo,504,264-320,416-480,,,
Pseudo,505,320-544,,,,
Pseudo,506,344-488,,,,
Pseudo,507,64-72,264-424,,,
Pseudo,508,88-120,,,,
Pseudo,509,144-472,,,,
Pseudo,510,128-168,304-408,520-560,,
Pseudo,511,0-96,496-560,,,
Pseudo,512,0-16,96-272,416-560,,
Pseudo,513,360-528,,,,
Pseudo,514,176-472,,,,
Pseudo,515,304-320,432-472,,,
Pseudo,516,0-40,336-504,,,
Pseudo,517,0-32,96-224,336-392,,
Pseudo,518,0-24,104-160,,,
Pseudo,519,0-72,352-560,,,
Pseudo,520,368-560,,,,
Pseudo,521,80-120,168-512,,,
Pseudo,522,384-520,,,,
Pseudo,523,328-384,496-560,,,
Pseudo,524,360-424,,,,
Pseudo,525,232-488,528-536,,,
Pseudo,526,144-216,304-432,520-560,,
Pseudo,527,184-560,,,,
Pseudo,528,0-48,320-552,,,
