Organism,Seq,Positions,,,
Myco,1,417-456,,,
Myco,2,0-106,210-251,432-489,
Myco,3,,,,
Myco,4,168-224,505-609,,
Myco,5,,,,
Myco,6,,,,
Myco,7,429-470,,,
Myco,8,,,,
Myco,9,105-143,,,
Myco,10,216-296,306-366,,
Myco,11,205-268,422-484,,
Myco,12,,,,
Myco,13,249-361,366-442,,
Myco,14,103-141,342-382,551-613,
Myco,15,232-286,,,
Myco,16,,,,
Myco,17,187-248,,,
Myco,18,5-139,,,
Myco,19,173-227,,,
Myco,20,248-284,,,
Myco,21,,,,
Myco,22,459-504,,,
Myco,23,0-45,472-516,541-579,
Myco,24,390-524,,,
Myco,25,,,,
Myco,26,82-119,545-593,,
Myco,27,,,,
Myco,28,354-442,462-550,,
Myco,29,259-303,,,
Myco,30,464-572,,,
Myco,31,,,,
Myco,32,358-403,,,
Myco,33,,,,
Myco,34,,,,
Myco,35,271-323,399-446,,
Myco,36,405-447,,,
Myco,37,289-325,432-484,,
Myco,38,423-481,,,
Myco,39,379-450,,,
Myco,40,0-59,428-466,,
Myco,41,0-70,362-447,,
Myco,42,560-613,,,
Myco,43,377-471,,,
Myco,44,361-413,531-580,,
Myco,45,181-234,376-420,,
Myco,46,309-380,513-550,,
Myco,47,,,,
Myco,48,231-316,,,
Myco,49,424-514,,,
Myco,50,34-92,,,
Myco,51,382-451,,,
Myco,52,393-476,,,
Myco,53,390-440,,,
Myco,54,392-433,444-492,,
Myco,55,446-503,574-613,,
Myco,56,364-424,,,
Myco,57,395-564,,,
Myco,58,233-326,,,
Myco,59,381-421,,,
Myco,60,325-390,396-457,,
Myco,61,,,,
Myco,62,193-250,402-472,,
Myco,63,305-417,,,
Myco,64,333-444,,,
Myco,65,54-99,423-472,,
Myco,66,,,,
Myco,67,417-477,,,
Myco,68,371-435,,,
Myco,69,305-390,,,
Myco,70,237-286,422-478,,
Myco,71,431-483,489-527,,
Myco,72,356-401,431-523,,
Myco,73,286-408,,,
Myco,74,375-454,,,
Myco,75,334-433,,,
Myco,76,41-85,407-446,,
Myco,77,499-551,556-597,,
Myco,78,390-427,,,
Myco,79,455-495,,,
Myco,80,,,,
Myco,81,,,,
Myco,82,268-309,366-447,,
Myco,83,343-496,,,
Myco,84,122-166,469-525,,
Myco,85,92-130,,,
Myco,86,0-61,,,
Myco,87,19-110,,,
Myco,88,15-68,,,
Myco,89,,,,
Myco,90,442-565,,,
Myco,91,,,,
Myco,92,490-537,566-613,,
Myco,93,,,,
Myco,94,155-197,312-434,498-591,
Myco,95,408-453,,,
Myco,96,,,,
Myco,97,,,,
Myco,98,,,,
Myco,99,183-237,,,
Myco,100,342-473,,,
Myco,101,245-281,562-608,,
Myco,102,450-509,,,
Myco,103,,,,
Myco,104,0-88,139-177,504-549,
Myco,105,320-430,,,
Myco,106,259-296,,,
Myco,107,,,,
Myco,108,,,,
Myco,109,359-447,,,
Myco,110,345-394,,,
Myco,111,,,,
Myco,112,,,,
Myco,113,,,,
Myco,114,389-426,497-572,,
Myco,115,99-178,503-561,,
Myco,116,409-453,,,
Myco,117,,,,
Myco,118,20-56,,,
Myco,119,136-189,541-591,,
Myco,120,393-452,,,
Myco,121,395-474,,,
Myco,122,168-215,,,
Myco,123,341-456,560-613,,
Myco,124,,,,
Myco,125,,,,
Myco,126,440-568,,,
Myco,127,200-239,391-465,,
Myco,128,,,,
Myco,129,,,,
Myco,130,417-475,,,
Myco,131,0-56,172-244,375-419,525-602
Myco,132,58-106,548-586,,
Myco,133,426-469,555-610,,
Myco,134,,,,
Myco,135,0-36,389-506,,
Myco,136,388-450,489-533,,
Myco,137,382-460,,,
Myco,138,,,,
Myco,139,,,,
Myco,140,315-388,393-429,,
Myco,141,,,,
Myco,142,79-155,,,
Myco,143,,,,
