Organism,Seq,Positions,,
Helico,1,570;613,,
Helico,2,387;503,,
Helico,3,265;375,,
Helico,4,419;480,485;592,
Helico,5,577;613,,
Helico,6,251;289,383;428,
Helico,7,383;440,536;581,
Helico,8,20;112,156;259,393;435
Helico,9,164;256,300;403,537;579
Helico,10,350;415,443;483,
Helico,11,368;442,,
Helico,12,303;363,408;476,542;582
Helico,13,47;88,138;190,
Helico,14,169;233,401;448,
Helico,15,546;599,,
Helico,16,0;50,400;502,
Helico,17,292;337,342;445,
Helico,18,,,
Helico,19,258;444,492;537,
Helico,20,273;552,,
Helico,21,566;613,,
Helico,22,164;203,368;416,
Helico,23,75;136,229;283,453;489
Helico,24,134;206,559;604,
Helico,25,198;270,,
Helico,26,,,
Helico,27,257;324,377;430,
Helico,28,329;488,,
Helico,29,362;462,,
Helico,30,327;387,,
Helico,31,163;403,,
Helico,32,538;611,,
Helico,33,,,
Helico,34,0;43,85;132,426;473
Helico,35,287;331,,
Helico,36,239;518,,
Helico,37,332;409,,
Helico,38,61;119,135;220,
Helico,39,,,
Helico,40,167;206,,
Helico,41,322;475,561;601,
Helico,42,547;613,,
Helico,43,424;501,,
Helico,44,0;137,,
Helico,45,374;470,548;601,
Helico,46,193;263,271;472,
Helico,47,0;89,,
Helico,48,363;489,,
Helico,49,0;103,164;205,
Helico,50,,,
Helico,51,218;260,292;446,
Helico,52,,,
Helico,53,391;474,550;613,
Helico,54,472;568,,
Helico,55,335;429,473;564,
Helico,56,212;425,,
Helico,57,0;57,398;498,
Helico,58,356;427,,
Helico,59,249;453,,
Helico,60,346;393,,
Helico,61,233;512,,
Helico,62,446;613,,
Helico,63,446;613,,
Helico,64,357;398,537;613,
Helico,65,375;480,,
Helico,66,30;105,386;613,
Helico,67,340;472,,
Helico,68,321;363,384;483,493;565
Helico,69,160;238,245;329,
Helico,70,323;433,,
Helico,71,311;412,442;516,
Helico,72,345;467,,
Helico,73,290;345,427;569,
Helico,74,387;431,436;485,
Helico,75,68;148,551;593,
