Organism,Seq,Positions,,
Synecho,1,,,
Synecho,2,366-471,,
Synecho,3,,,
Synecho,4,0-142,,
Synecho,5,,,
Synecho,6,,,
Synecho,7,,,
Synecho,8,,,
Synecho,9,344-424,,
Synecho,10,224-312,,
Synecho,11,,,
Synecho,12,242-371,396-488,
Synecho,13,,,
Synecho,14,365-481,,
Synecho,15,,,
Synecho,16,,,
Synecho,17,211-291,,
Synecho,18,219-290,413-511,
Synecho,19,206-314,,
Synecho,20,193-475,,
Synecho,21,247-335,367-466,
Synecho,22,,,
Synecho,23,364-468,,
Synecho,24,0-145,,
Synecho,25,510-594,,
Synecho,26,363-441,,
Synecho,27,394-495,,
Synecho,28,,,
Synecho,29,,,
Synecho,30,,,
Synecho,31,381-468,507-598,
Synecho,32,317-458,,
Synecho,33,,,
Synecho,34,165-247,296-379,
Synecho,35,181-252,269-420,455-528
Synecho,36,,,
Synecho,37,388-478,,
Synecho,38,492-613,,
Synecho,39,465-550,,
Synecho,40,,,
Synecho,41,,,
Synecho,42,139-214,,
Synecho,43,,,
Synecho,44,,,
Synecho,45,424-539,,
Synecho,46,,,
Synecho,47,,,
Synecho,48,199-288,362-433,447-530
Synecho,49,398-479,,
Synecho,50,494-608,,
Synecho,51,41-121,,
Synecho,52,,,
Synecho,53,,,
Synecho,54,,,
Synecho,55,88-197,311-409,
Synecho,56,398-479,,
Synecho,57,383-613,,
Synecho,58,416-522,,
Synecho,59,,,
Synecho,60,366-570,,
Synecho,61,354-492,,
Synecho,62,,,
Synecho,63,0-118,212-337,475-547
Synecho,64,,,
Synecho,65,,,
Synecho,66,414-545,,
Synecho,67,374-446,504-613,
Synecho,68,310-480,,
Synecho,69,399-490,540-613,
Synecho,70,196-422,,
Synecho,71,8-274,,
Synecho,72,340-454,,
Synecho,73,,,
Synecho,74,19-101,337-433,
Synecho,75,,,
Synecho,76,77-176,242-359,
Synecho,77,536-613,,
Synecho,78,386-482,,
Synecho,79,,,
Synecho,80,399-513,,
Synecho,81,396-477,,
Synecho,82,177-293,,
Synecho,83,,,
Synecho,84,,,
Synecho,85,0-90,169-259,513-605
Synecho,86,0-141,,
Synecho,87,238-344,,
Synecho,88,431-613,,
Synecho,89,,,
Synecho,90,404-476,,
Synecho,91,30-269,,
Synecho,92,344-428,,
Synecho,93,417-518,,
Synecho,94,394-528,,
Synecho,95,,,
Synecho,96,346-542,,
Synecho,97,423-515,,
Synecho,98,239-393,,
Synecho,99,327-481,,
Synecho,100,451-566,,
Synecho,101,,,
Synecho,102,383-503,,
Synecho,103,,,
Synecho,104,,,
Synecho,105,259-375,,
Synecho,106,,,
Synecho,107,330-489,,
Synecho,108,485-571,,
Synecho,109,,,
Synecho,110,,,
Synecho,111,,,
Synecho,112,20-193,,
Synecho,113,370-526,,
Synecho,114,406-534,,
Synecho,115,412-488,,
Synecho,116,,,
Synecho,117,0-100,,
Synecho,118,266-356,,
Synecho,119,,,
Synecho,120,289-361,,
Synecho,121,,,
Synecho,122,319-541,,
Synecho,123,0-222,326-459,
Synecho,124,0-107,121-210,303-405
Synecho,125,,,
Synecho,126,256-373,403-474,
Synecho,127,419-499,,
Synecho,128,79-176,354-428,
Synecho,129,298-422,,
Synecho,130,43-240,252-437,
Synecho,131,,,
Synecho,132,66-142,227-352,419-507
Synecho,133,0-148,,
Synecho,134,338-431,505-577,
Synecho,135,,,
Synecho,136,402-482,,
Synecho,137,,,
Synecho,138,52-129,,
Synecho,139,369-450,,
Synecho,140,,,
Synecho,141,392-487,,
Synecho,142,490-569,,
Synecho,143,215-337,,
Synecho,144,69-360,,
Synecho,145,514-604,,
Synecho,146,402-570,,
Synecho,147,0-179,,
Synecho,148,,,
Synecho,149,,,
Synecho,150,174-441,,
Synecho,151,,,
Synecho,152,58-130,,
Synecho,153,312-577,,
Synecho,154,,,
Synecho,155,,,
Synecho,158,,,
Synecho,159,,,
Synecho,160,268-347,403-520,
Synecho,161,,,
Synecho,162,,,
Synecho,163,,,
Synecho,164,469-603,,
Synecho,165,311-418,465-577,
Synecho,166,213-317,,
Synecho,167,105-188,361-466,
Synecho,168,312-399,431-520,
Synecho,169,339-494,,
Synecho,170,,,
Synecho,171,168-261,,
Synecho,172,422-523,,
Synecho,173,387-490,,
Synecho,174,379-456,,
Synecho,175,367-460,,
Synecho,176,330-489,,
Synecho,177,404-477,504-583,
Synecho,178,,,
Synecho,179,0-225,,
Synecho,180,241-313,,
Synecho,181,132-274,,
Synecho,182,242-321,441-532,
Synecho,183,,,
Synecho,184,337-438,,
Synecho,185,331-413,,
Synecho,186,367-488,,
Synecho,187,,,
Synecho,188,,,
Synecho,189,340-436,,
Synecho,190,,,
Synecho,191,377-466,,
Synecho,192,,,
Synecho,193,163-248,322-520,
Synecho,194,9-122,370-467,
Synecho,195,396-481,,
Synecho,196,364-500,,
Synecho,197,0-94,148-329,
Synecho,198,310-384,,
Synecho,199,,,
Synecho,200,,,
Synecho,201,,,
Synecho,202,398-538,,
Synecho,203,0-84,358-476,
Synecho,204,4-84,201-340,
Synecho,205,,,
Synecho,206,,,
Synecho,207,68-160,332-411,
Synecho,208,,,
Synecho,209,,,
Synecho,210,119-250,329-404,467-538
Synecho,211,,,
Synecho,212,321-436,518-603,
Synecho,213,205-387,,
Synecho,214,201-448,,
Synecho,215,502-601,,
Synecho,216,,,
Synecho,217,330-468,,
Synecho,218,70-163,,
Synecho,219,270-369,439-527,
Synecho,220,345-472,514-586,
Synecho,221,,,
Synecho,222,406-546,,
Synecho,223,0-82,387-475,
Synecho,224,26-99,,
Synecho,225,,,
Synecho,226,,,
Synecho,227,398-474,,
Synecho,228,235-379,,
Synecho,229,,,
Synecho,230,,,
Synecho,231,385-468,,
Synecho,232,267-359,,
Synecho,233,465-574,,
Synecho,234,322-453,,
Synecho,235,,,
Synecho,236,90-204,287-370,
Synecho,237,88-161,188-302,
Synecho,238,178-347,,
Synecho,239,300-437,460-534,
Synecho,240,51-136,214-378,
Synecho,241,324-456,462-597,
Synecho,242,407-500,,
Synecho,243,,,
Synecho,244,359-475,,
Synecho,245,272-454,,
Synecho,246,0-71,,
Synecho,247,,,
Synecho,248,299-393,,
Synecho,249,427-568,,
Synecho,250,,,
Synecho,251,305-377,,
Synecho,252,346-424,,
Synecho,253,338-444,,
Synecho,254,,,
Synecho,255,,,
Synecho,256,7-144,345-483,
Synecho,257,182-318,,
Synecho,258,112-219,,
Synecho,259,327-513,,
Synecho,260,,,
Synecho,261,390-462,,
Synecho,262,,,
Synecho,263,38-178,,
Synecho,264,2-102,338-418,
Synecho,265,400-489,,
Synecho,266,4-84,367-496,
Synecho,267,,,
Synecho,268,196-302,,
Synecho,269,279-385,,
Synecho,270,168-256,,
Synecho,271,235-339,385-469,
Synecho,272,161-271,321-441,
Synecho,273,237-351,,
Synecho,274,244-328,,
Synecho,275,352-436,,
Synecho,276,314-393,,
Synecho,277,308-477,,
Synecho,278,120-231,266-482,
Synecho,279,,,
Synecho,280,254-329,,
Synecho,281,445-613,,
Synecho,282,215-347,,
Synecho,283,172-355,,
Synecho,284,178-252,,
Synecho,285,,,
Synecho,286,159-259,288-500,
Synecho,287,339-509,,
Synecho,288,347-419,,
Synecho,289,444-521,,
Synecho,290,332-405,,
Synecho,291,193-289,313-396,
Synecho,292,,,
Synecho,293,136-410,,
Synecho,294,401-483,,
Synecho,295,82-345,357-535,
Synecho,296,254-365,,
