Organism,Seq,Positions,,
Haloferax_phv3,1,191-314,370-430,
Haloferax_phv4,2,372-489,,
Haloferax_phv5,3,378-471,,
Haloferax_phv6,4,282-403,,
Haloferax_phv7,5,37-99,108-145,389-449
Haloferax_phv8,6,352-451,,
Haloferax_phv9,7,357-498,,
Haloferax_phv10,8,360-483,,
Haloferax_phv11,9,,,
Haloferax_phv12,10,390-477,,
Haloferax_phv13,11,230-273,387-443,
Haloferax_phv14,12,366-471,,
Haloferax_phv15,13,363-526,,
Haloferax_phv16,14,390-478,,
Haloferax_phv17,15,365-472,,
Haloferax_phv18,16,383-494,,
Haloferax_phv19,17,299-358,368-444,
Haloferax_phv20,18,379-435,,
Haloferax_phv21,19,361-430,438-474,
Haloferax_phv22,20,295-453,,
Haloferax_phv23,21,365-487,,
Haloferax_phv24,22,393-468,,
Haloferax_phv25,23,,,
Haloferax_phv26,24,359-476,,
Haloferax_phv27,25,5-79,382-466,
Haloferax_phv28,26,309-357,439-512,
Haloferax_phv29,27,386-457,529-578,
Haloferax_phv30,28,395-444,,
Haloferax_phv31,29,0-69,101-289,293-395
Haloferax_phv32,30,167-293,,
Haloferax_phv33,31,273-342,374-446,
Haloferax_phv34,32,380-472,,
Haloferax_phv35,33,201-274,368-470,
Haloferax_phv36,34,0-162,362-462,
Haloferax_phv37,35,95-159,,
Haloferax_phv38,36,260-433,,
Haloferax_phv39,37,390-444,,
Haloferax_phv40,38,303-421,,
Haloferax_phv41,39,257-448,,
Haloferax_phv42,40,377-455,,
Haloferax_phv43,41,255-432,,
Haloferax_phv44,42,373-449,471-521,525-568
Haloferax_phv45,43,384-463,,
Haloferax_phv46,44,332-397,,
Haloferax_phv47,45,258-322,385-501,
Haloferax_phv48,46,,,
Haloferax_phv49,47,325-375,382-422,
Haloferax_phv50,48,0-59,,
Haloferax_phv51,49,395-440,,
Haloferax_phv52,50,344-394,398-482,
Haloferax_phv53,51,173-297,,
Haloferax_phv54,52,396-452,,
Haloferax_phv55,53,385-504,,
Haloferax_phv56,54,389-455,,
Haloferax_phv57,55,332-428,,
Haloferax_phv58,56,244-349,393-467,
Haloferax_phv59,57,157-229,395-462,
Haloferax_phv60,58,375-459,,
Haloferax_phv61,59,0-131,343-443,
Haloferax_phv62,60,,,
Haloferax_phv63,61,,,
Haloferax_phv64,62,380-463,,
Haloferax_phv65,63,408-496,,
Haloferax_phv66,64,233-275,378-449,
Haloferax_phv67,65,253-304,388-444,
Haloferax_phv68,66,68-129,358-463,
Haloferax_phv69,67,366-430,,
Haloferax_phv70,68,,,
Haloferax_phv71,69,348-466,,
Haloferax_phv72,70,27-75,84-135,242-515
Haloferax_phv73,71,162-198,204-245,339-440
Haloferax_phv74,72,405-471,,
Haloferax_phv75,73,6-109,306-444,
Haloferax_phv76,74,289-342,,
Haloferax_phv77,75,366-427,,
Haloferax_phv78,76,368-452,,
Haloferax_phv79,77,313-385,,
Haloferax_phv80,78,377-457,,
Haloferax_phv81,79,210-289,379-447,
Haloferax_phv82,80,380-461,,
Haloferax_phv83,81,77-203,387-428,
Haloferax_phv84,82,372-463,,
Haloferax_phv85,83,383-468,,
Haloferax_phv86,84,334-431,,
Haloferax_phv87,85,389-489,,
Haloferax_phv88,86,373-431,,
Haloferax_phv89,87,317-490,,
Haloferax_phv90,88,395-458,,
Haloferax_phv91,89,374-466,,
Haloferax_phv92,90,299-353,,
Haloferax_phv93,91,76-169,452-510,
Haloferax_phv94,92,388-468,,
Haloferax_phv95,93,272-327,374-516,
Haloferax_phv96,94,391-475,,
Haloferax_phv97,95,392-481,,
Haloferax_phv98,96,389-449,,
Haloferax_phv99,97,228-306,,
Haloferax_phv100,98,379-456,,
Haloferax_phv101,99,378-470,,
