Organism,Seq,Positions,,,
Strepto,1,,,,
Strepto,2,6-77,482-546,,
Strepto,3,288-344,,,
Strepto,4,530-593,,,
Strepto,5,294-335,,,
Strepto,6,127-221,250-329,,
Strepto,7,400-468,,,
Strepto,8,501-550,,,
Strepto,9,,,,
Strepto,10,0-52,413-470,,
Strepto,11,364-443,,,
Strepto,12,490-559,,,
Strepto,13,362-400,,,
Strepto,14,290-329,,,
Strepto,15,370-447,,,
Strepto,16,383-519,,,
Strepto,17,,,,
Strepto,18,375-451,,,
Strepto,19,326-375,541-605,,
Strepto,20,169-247,389-448,,
Strepto,21,389-470,,,
Strepto,22,418-480,,,
Strepto,23,,,,
Strepto,24,432-532,,,
Strepto,25,,,,
Strepto,26,390-497,,,
Strepto,27,35-162,,,
Strepto,28,,,,
Strepto,29,343-446,,,
Strepto,30,359-460,,,
Strepto,31,395-468,,,
Strepto,32,406-477,,,
Strepto,33,364-466,,,
Strepto,34,394-550,,,
Strepto,35,445-487,551-588,,
Strepto,36,,,,
Strepto,37,415-475,,,
Strepto,38,,,,
Strepto,39,410-513,,,
Strepto,40,440-478,,,
Strepto,41,243-327,413-470,,
Strepto,42,319-444,,,
Strepto,43,402-453,,,
Strepto,44,410-453,,,
Strepto,45,416-473,,,
Strepto,46,386-491,,,
Strepto,47,,,,
Strepto,48,374-416,,,
Strepto,49,64-110,297-343,426-500,
Strepto,50,506-576,,,
Strepto,51,402-450,,,
Strepto,52,503-613,,,
Strepto,53,377-460,,,
Strepto,54,397-468,,,
Strepto,55,341-445,568-611,,
Strepto,56,,,,
Strepto,57,317-384,428-485,,
Strepto,58,289-375,,,
Strepto,59,431-479,,,
Strepto,60,,,,
Strepto,61,312-408,482-526,,
Strepto,62,272-368,,,
Strepto,63,,,,
Strepto,64,407-557,571-609,,
Strepto,65,404-449,,,
Strepto,66,380-446,550-592,,
Strepto,67,556-613,,,
Strepto,68,396-438,,,
Strepto,69,418-470,,,
Strepto,70,564-613,,,
Strepto,71,323-461,,,
Strepto,72,0-47,354-421,,
Strepto,73,531-591,,,
Strepto,74,,,,
Strepto,75,88-129,266-317,,
Strepto,76,357-462,,,
Strepto,77,318-434,,,
Strepto,78,152-198,528-580,,
Strepto,79,215-314,,,
Strepto,80,,,,
Strepto,81,565-606,,,
Strepto,82,462-523,,,
Strepto,83,380-465,,,
Strepto,84,,,,
Strepto,85,459-518,,,
Strepto,86,,,,
Strepto,87,24-85,,,
Strepto,88,477-591,,,
Strepto,89,388-453,,,
Strepto,90,272-439,456-532,,
Strepto,91,241-300,351-456,462-500,
Strepto,92,,,,
Strepto,93,227-277,,,
Strepto,94,368-442,,,
Strepto,95,380-425,,,
Strepto,96,418-459,,,
Strepto,97,,,,
Strepto,98,,,,
Strepto,99,401-452,,,
Strepto,100,336-433,440-494,,
Strepto,101,361-480,,,
Strepto,102,343-400,406-445,,
Strepto,103,483-527,571-613,,
Strepto,104,165-206,286-324,331-374,
Strepto,105,406-454,,,
Strepto,106,378-465,,,
Strepto,107,,,,
Strepto,108,334-379,437-493,,
Strepto,109,389-455,,,
Strepto,110,,,,
Strepto,111,411-495,,,
Strepto,112,556-597,,,
Strepto,113,,,,
Strepto,114,279-316,321-377,,
Strepto,115,370-436,,,
Strepto,116,330-368,372-513,,
Strepto,117,325-394,449-504,,
Strepto,118,386-439,,,
Strepto,119,406-525,546-613,,
Strepto,120,558-613,,,
Strepto,121,52-91,,,
Strepto,122,433-487,563-613,,
Strepto,123,0-63,366-455,,
Strepto,124,494-546,,,
Strepto,125,419-458,,,
Strepto,126,,,,
Strepto,127,374-454,,,
Strepto,128,260-383,435-480,,
Strepto,129,476-512,,,
Strepto,130,0-52,368-429,441-506,560-596
Strepto,131,386-495,,,
Strepto,132,467-530,,,
Strepto,133,,,,
Strepto,134,342-379,389-438,,
Strepto,135,434-475,491-536,,
Strepto,136,313-354,,,
Strepto,137,416-477,,,
Strepto,138,466-527,,,
Strepto,139,387-438,,,
Strepto,140,339-469,,,
Strepto,141,415-487,,,
Strepto,142,417-460,,,
Strepto,143,396-440,,,
Strepto,144,409-466,,,
Strepto,145,332-465,,,
Strepto,146,344-546,,,
Strepto,147,152-188,485-542,,
Strepto,148,516-565,,,
Strepto,149,,,,
Strepto,150,114-201,294-370,,
Strepto,151,,,,
Strepto,152,48-96,249-305,377-478,
Strepto,153,383-440,472-537,,
Strepto,154,253-295,,,
Strepto,155,344-401,406-443,,
Strepto,156,364-403,430-484,492-612,
Strepto,157,0-83,161-251,364-440,
Strepto,158,,,,
Strepto,159,190-232,372-438,,
Strepto,160,397-455,,,
Strepto,161,366-494,,,
Strepto,162,400-471,,,
Strepto,163,392-530,,,
Strepto,164,353-422,,,
Strepto,165,165-234,,,
Strepto,166,,,,
Strepto,167,,,,
Strepto,168,419-516,,,
Strepto,169,291-450,492-548,,
Strepto,170,199-324,422-477,,
Strepto,171,,,,
Strepto,172,71-128,224-267,,
Strepto,173,428-539,,,
Strepto,174,314-434,459-512,,
Strepto,175,287-323,343-424,,
Strepto,176,,,,
Strepto,177,13-66,553-599,,
Strepto,178,395-457,,,
Strepto,179,405-451,536-608,,
Strepto,180,395-445,450-497,,
Strepto,181,401-443,,,
Strepto,182,217-268,274-310,,
Strepto,183,422-460,,,
Strepto,184,,,,
Strepto,185,,,,
Strepto,186,,,,
Strepto,187,428-471,,,
Strepto,188,520-613,,,
Strepto,189,243-344,,,
Strepto,190,,,,
Strepto,191,529-613,,,
Strepto,192,,,,
Strepto,193,387-476,,,
Strepto,194,425-508,,,
Strepto,195,,,,
Strepto,196,27-72,486-526,,
Strepto,197,240-436,,,
Strepto,198,470-517,,,
Strepto,199,,,,
Strepto,200,,,,
Strepto,201,378-457,,,
Strepto,202,55-103,427-470,,
Strepto,203,248-319,,,
Strepto,204,215-441,,,
Strepto,205,427-495,,,
Strepto,206,371-446,,,
Strepto,207,394-472,,,
Strepto,208,140-303,,,
Strepto,209,,,,
Strepto,210,78-144,441-511,,
Strepto,211,204-241,,,
Strepto,212,0-47,407-468,,
Strepto,213,398-543,,,
Strepto,214,381-473,,,
Strepto,215,8-44,434-471,539-583,
Strepto,216,439-532,,,
Strepto,217,11-48,,,
Strepto,218,363-401,,,
Strepto,219,313-360,,,
Strepto,220,402-456,,,
Strepto,221,395-516,,,
Strepto,222,440-491,,,
Strepto,223,,,,
Strepto,224,,,,
Strepto,225,329-374,404-449,,
Strepto,226,503-568,,,
Strepto,227,244-460,,,
Strepto,228,0-39,,,
Strepto,229,373-522,,,
Strepto,230,202-281,335-374,,
Strepto,231,134-181,319-413,,
Strepto,232,427-562,,,
Strepto,233,,,,
Strepto,234,477-530,,,
Strepto,235,,,,
Strepto,236,467-562,,,
Strepto,237,360-462,,,
Strepto,238,,,,
Strepto,239,153-227,,,
Strepto,240,327-398,,,
Strepto,241,276-312,328-372,,
Strepto,242,497-601,,,
Strepto,243,,,,
Strepto,244,345-409,,,
Strepto,245,307-359,466-536,,
Strepto,246,565-602,,,
Strepto,247,389-454,,,
Strepto,248,387-464,,,
Strepto,249,,,,
Strepto,250,416-470,,,
Strepto,251,383-483,,,
Strepto,252,75-127,430-473,,
Strepto,253,,,,
Strepto,254,500-571,,,
Strepto,255,,,,
Strepto,256,,,,
Strepto,257,0-56,337-412,468-504,550-593
Strepto,258,383-426,,,
Strepto,259,300-392,,,
Strepto,260,404-464,561-613,,
Strepto,261,,,,
Strepto,262,366-447,,,
Strepto,263,393-434,515-568,,
Strepto,264,56-140,559-613,,
Strepto,265,446-529,,,
Strepto,266,467-504,,,
Strepto,267,396-442,,,
Strepto,268,74-124,,,
Strepto,269,393-457,,,
Strepto,270,,,,
Strepto,271,337-466,,,
Strepto,272,62-102,397-455,,
Strepto,273,247-295,,,
Strepto,274,,,,
Strepto,275,308-398,,,
Strepto,276,396-447,,,
Strepto,277,295-362,463-503,,
Strepto,278,369-490,,,
Strepto,279,,,,
Strepto,280,393-447,,,
Strepto,281,340-429,,,
Strepto,282,450-491,,,
Strepto,283,360-445,,,
Strepto,284,,,,
Strepto,285,503-555,,,
Strepto,286,422-465,,,
Strepto,287,430-492,,,
Strepto,288,,,,
Strepto,289,,,,
Strepto,290,362-441,556-613,,
Strepto,291,237-307,,,
Strepto,292,375-454,502-609,,
Strepto,293,409-473,,,
Strepto,294,191-318,,,
Strepto,295,351-497,,,
Strepto,296,422-522,,,
Strepto,297,393-540,,,
Strepto,298,318-415,,,
Strepto,299,,,,
Strepto,300,196-237,,,
Strepto,301,421-464,,,
Strepto,302,341-387,457-521,,
Strepto,303,397-442,,,
Strepto,304,201-311,,,
Strepto,305,344-423,459-497,,
Strepto,306,477-570,,,
Strepto,307,,,,
Strepto,308,237-324,403-451,,
Strepto,309,393-455,,,
Strepto,310,406-444,,,
Strepto,311,403-475,479-600,,
Strepto,312,479-533,557-613,,
Strepto,313,140-183,311-383,,
Strepto,314,,,,
Strepto,315,397-433,,,
Strepto,316,86-124,,,
Strepto,317,,,,
Strepto,318,419-482,,,
Strepto,319,554-606,,,
Strepto,320,392-540,563-613,,
Strepto,321,45-107,388-503,,
Strepto,322,,,,
Strepto,323,222-260,347-392,396-487,
Strepto,324,51-198,,,
Strepto,325,220-280,370-427,,
Strepto,326,321-455,,,
Strepto,327,349-415,,,
Strepto,328,431-504,,,
Strepto,329,403-440,,,
Strepto,330,351-401,,,
Strepto,331,336-463,,,
Strepto,332,89-135,,,
Strepto,333,393-485,558-603,,
Strepto,334,,,,
Strepto,335,,,,
Strepto,336,401-533,,,
Strepto,337,405-466,570-612,,
Strepto,338,39-84,365-429,,
Strepto,339,,,,
Strepto,340,534-609,,,
Strepto,341,226-321,360-436,,
Strepto,342,381-468,,,
Strepto,343,228-329,347-507,,
Strepto,344,404-519,,,
Strepto,345,,,,
Strepto,346,406-472,517-564,,
Strepto,347,402-446,505-542,,
Strepto,348,402-443,,,
Strepto,349,457-536,550-588,,
Strepto,350,371-444,,,
Strepto,351,337-543,,,
Strepto,352,343-492,,,
Strepto,353,305-444,,,
Strepto,354,242-279,,,
Strepto,355,405-446,,,
Strepto,356,,,,
Strepto,357,356-455,,,
Strepto,358,430-474,,,
Strepto,359,450-608,,,
Strepto,360,405-509,,,
Strepto,361,263-351,420-479,,
Strepto,362,456-504,,,
Strepto,363,351-423,,,
Strepto,364,463-500,,,
Strepto,365,546-587,,,
Strepto,366,,,,
Strepto,367,,,,
Strepto,368,467-503,,,
Strepto,369,383-494,,,
Strepto,370,,,,
Strepto,371,221-266,372-455,,
Strepto,372,76-133,515-557,,
Strepto,373,,,,
Strepto,374,247-349,426-516,,
Strepto,375,307-362,385-444,,
Strepto,376,423-487,,,
Strepto,377,344-464,,,
Strepto,378,176-218,,,
Strepto,379,161-220,399-440,,
Strepto,380,,,,
Strepto,381,46-95,414-492,,
Strepto,382,388-426,433-497,,
Strepto,383,76-131,553-613,,
Strepto,384,377-415,,,
Strepto,385,0-88,503-572,,
Strepto,386,305-344,,,
Strepto,387,369-454,,,
Strepto,388,,,,
Strepto,389,345-422,,,
Strepto,390,402-472,546-607,,
Strepto,391,285-354,,,
Strepto,392,,,,
Strepto,393,286-358,,,
Strepto,394,383-502,,,
Strepto,395,450-490,,,
Strepto,396,337-522,,,
Strepto,397,,,,
Strepto,398,339-458,462-538,,
Strepto,399,262-486,,,
Strepto,400,442-485,,,
Strepto,401,,,,
Strepto,402,162-249,,,
Strepto,403,7-48,,,
Strepto,404,,,,
Strepto,405,261-365,,,
Strepto,406,31-88,99-147,152-196,500-538
Strepto,407,383-448,535-579,,
Strepto,408,28-69,,,
Strepto,409,,,,
Strepto,410,319-445,,,
Strepto,411,396-471,,,
Strepto,412,540-613,,,
Strepto,413,0-63,,,
Strepto,414,,,,
Strepto,415,273-468,,,
Strepto,416,,,,
Strepto,417,391-556,,,
Strepto,418,395-451,,,
Strepto,419,395-448,,,
Strepto,420,411-489,,,
Strepto,421,,,,
Strepto,422,386-477,557-604,,
Strepto,423,434-512,,,
Strepto,424,357-487,,,
Strepto,425,349-427,,,
Strepto,426,410-448,,,
Strepto,427,295-507,,,
Strepto,428,124-174,530-588,,
Strepto,429,400-458,,,
Strepto,430,108-148,526-570,,
Strepto,431,383-452,,,
Strepto,432,,,,
Strepto,433,423-475,,,
Strepto,434,402-465,,,
Strepto,435,282-365,460-537,,
Strepto,436,334-388,,,
Strepto,437,418-501,,,
Strepto,438,300-353,,,
Strepto,439,279-329,406-483,,
Strepto,440,0-49,182-246,421-461,
Strepto,441,260-328,354-517,,
Strepto,442,322-390,,,
Strepto,443,0-101,204-256,,
Strepto,444,313-375,,,
Strepto,445,345-382,434-503,,
Strepto,446,420-496,,,
Strepto,447,,,,
Strepto,448,138-189,274-311,,
Strepto,449,304-378,,,
Strepto,450,390-453,,,
Strepto,451,345-422,,,
Strepto,452,155-233,,,
Strepto,453,246-440,,,
Strepto,454,249-318,,,
Strepto,455,338-422,476-532,,
Strepto,456,,,,
Strepto,457,,,,
Strepto,458,61-107,463-528,,
Strepto,459,216-252,418-489,,
Strepto,460,205-285,332-427,,
Strepto,461,,,,
Strepto,462,434-478,,,
Strepto,463,417-539,,,
Strepto,464,0-74,78-139,,
Strepto,465,388-450,,,
Strepto,466,446-533,,,
Strepto,467,,,,
Strepto,468,29-74,389-431,526-604,
Strepto,469,555-613,,,
Strepto,470,436-479,,,
Strepto,471,,,,
Strepto,472,188-233,420-467,,
Strepto,473,234-292,,,
Strepto,474,420-465,489-575,,
Strepto,475,343-438,,,
Strepto,476,309-395,415-556,,
Strepto,477,552-613,,,
Strepto,478,553-599,,,
Strepto,479,344-392,524-584,,
Strepto,480,385-453,,,
Strepto,481,187-246,,,
Strepto,482,345-526,,,
Strepto,483,299-385,389-436,,
Strepto,484,477-519,,,
Strepto,485,,,,
Strepto,486,,,,
Strepto,487,,,,
Strepto,488,240-301,,,
Strepto,489,,,,
Strepto,490,,,,
Strepto,491,208-263,316-352,,
Strepto,492,308-364,416-492,,
Strepto,493,403-491,,,
Strepto,494,,,,
Strepto,495,216-310,,,
Strepto,496,379-463,,,
Strepto,497,68-133,,,
Strepto,498,469-543,552-613,,
Strepto,499,452-526,,,
Strepto,500,365-406,,,
Strepto,501,412-463,,,
Strepto,502,410-461,,,
Strepto,503,,,,
Strepto,504,262-363,,,
Strepto,505,350-483,,,
Strepto,506,384-496,,,
Strepto,507,333-389,,,
Strepto,508,235-323,,,
Strepto,509,272-331,,,
Strepto,510,403-465,,,
Strepto,511,,,,
Strepto,512,396-483,,,
Strepto,513,301-389,,,
Strepto,514,430-486,,,
Strepto,515,409-453,,,
Strepto,516,453-492,,,
Strepto,517,296-458,468-575,,
Strepto,518,209-268,558-613,,
Strepto,519,451-507,526-580,,
Strepto,520,24-118,145-199,,
Strepto,521,377-461,488-529,,
Strepto,522,568-613,,,
Strepto,523,151-204,283-368,,
Strepto,524,397-514,,,
Strepto,525,424-507,,,
Strepto,526,121-170,,,
Strepto,527,,,,
Strepto,528,422-462,,,
Strepto,529,243-334,365-422,,
Strepto,530,,,,
Strepto,531,,,,
Strepto,532,223-401,455-491,,
Strepto,533,339-385,475-555,,
Strepto,534,288-385,,,
Strepto,535,534-580,,,
Strepto,536,,,,
Strepto,537,455-499,,,
Strepto,538,487-537,,,
Strepto,539,376-423,511-554,,
Strepto,540,393-446,,,
Strepto,541,,,,
Strepto,542,322-431,,,
Strepto,543,282-331,,,
Strepto,544,397-496,,,
Strepto,545,,,,
Strepto,546,398-448,455-526,,
Strepto,547,287-352,373-481,,
Strepto,548,,,,
Strepto,549,335-443,,,
Strepto,550,333-388,474-533,,
Strepto,551,340-475,,,
Strepto,552,424-537,,,
Strepto,553,199-257,382-448,,
Strepto,554,283-340,361-441,,
Strepto,555,401-460,573-613,,
Strepto,556,434-483,505-552,,
Strepto,557,476-534,,,
Strepto,558,406-484,,,
Strepto,559,393-536,,,
Strepto,560,390-427,,,
Strepto,561,200-258,415-479,,
Strepto,562,394-475,,,
Strepto,563,355-499,,,
Strepto,564,270-322,,,
Strepto,565,,,,
Strepto,566,484-535,,,
Strepto,567,,,,
Strepto,568,15-54,464-513,,
Strepto,569,,,,
