Organism,Seq,Positions,,,
Myco,1,416-455,,,
Myco,2,0-107,210-254,432-489,
Myco,3,,,,
Myco,4,166-210,505-607,,
Myco,5,,,,
Myco,6,,,,
Myco,7,428-468,,,
Myco,8,,,,
Myco,9,105-143,,,
Myco,10,234-299,305-366,,
Myco,11,206-268,421-485,,
Myco,12,,,,
Myco,13,248-361,366-444,,
Myco,14,104-140,,,
Myco,15,231-287,,,
Myco,16,,,,
Myco,17,187-247,,,
Myco,18,0-141,,,
Myco,19,154-227,,,
Myco,20,247-284,,,
Myco,21,,,,
Myco,22,436-504,,,
Myco,23,0-45,470-516,542-579,
Myco,24,390-525,,,
Myco,25,,,,
Myco,26,83-168,545-592,,
Myco,27,328-364,,,
Myco,28,354-441,463-552,,
Myco,29,259-307,,,
Myco,30,463-573,,,
Myco,31,,,,
Myco,32,341-403,,,
Myco,33,,,,
Myco,34,,,,
Myco,35,271-323,399-444,,
Myco,36,405-447,,,
Myco,37,288-325,432-485,,
Myco,38,428-482,,,
Myco,39,378-430,,,
Myco,40,0-60,428-467,,
Myco,41,0-71,360-450,,
Myco,42,559-613,,,
Myco,43,376-472,,,
Myco,44,361-413,531-579,,
Myco,45,181-249,377-420,,
Myco,46,308-388,457-493,512-553,
Myco,47,,,,
Myco,48,229-317,,,
Myco,49,423-515,,,
Myco,50,33-93,,,
Myco,51,382-452,,,
Myco,52,392-477,,,
Myco,53,387-441,,,
Myco,54,391-433,444-493,,
Myco,55,245-288,445-505,573-613,
Myco,56,364-427,,,
Myco,57,393-566,,,
Myco,58,233-326,,,
Myco,59,380-426,,,
Myco,60,325-391,395-456,,
Myco,61,,,,
Myco,62,194-256,402-473,,
Myco,63,305-417,,,
Myco,64,333-446,,,
Myco,65,54-100,423-466,,
Myco,66,,,,
Myco,67,417-477,,,
Myco,68,370-437,,,
Myco,69,300-390,,,
Myco,70,237-274,424-478,,
Myco,71,431-483,489-528,,
Myco,72,355-401,431-480,,
Myco,73,285-408,,,
Myco,74,371-454,,,
Myco,75,332-433,437-473,,
Myco,76,42-86,237-300,406-446,
Myco,77,499-598,,,
Myco,78,389-427,,,
Myco,79,397-434,455-496,,
Myco,80,,,,
Myco,81,,,,
Myco,82,267-308,368-448,,
Myco,83,343-496,,,
Myco,84,122-167,456-526,,
Myco,85,,,,
Myco,86,0-55,,,
Myco,87,19-112,,,
Myco,88,15-68,,,
Myco,89,,,,
Myco,90,0-36,445-566,,
Myco,91,,,,
Myco,92,489-535,567-613,,
Myco,93,,,,
Myco,94,158-196,325-437,497-591,
Myco,95,408-454,,,
Myco,96,,,,
Myco,97,,,,
Myco,98,,,,
Myco,99,183-237,,,
Myco,100,342-491,553-591,,
Myco,101,491-527,562-607,,
Myco,102,450-510,,,
Myco,103,,,,
Myco,104,0-89,457-493,503-550,
Myco,105,319-432,,,
Myco,106,258-295,,,
Myco,107,403-447,,,
Myco,108,,,,
Myco,109,315-351,359-447,,
Myco,110,344-394,,,
Myco,111,,,,
Myco,112,,,,
Myco,113,300-342,487-523,,
Myco,114,388-426,496-572,,
Myco,115,99-179,502-562,,
Myco,116,409-452,,,
Myco,117,,,,
Myco,118,20-56,,,
Myco,119,134-189,195-231,539-592,
Myco,120,393-452,,,
Myco,121,394-475,,,
Myco,122,168-216,,,
Myco,123,339-456,559-613,,
Myco,124,,,,
Myco,125,,,,
Myco,126,439-568,,,
Myco,127,202-244,393-468,,
Myco,128,,,,
Myco,129,,,,
Myco,130,417-477,,,
Myco,131,0-57,171-241,374-420,522-601
Myco,132,53-107,548-586,,
Myco,133,425-469,549-611,,
Myco,134,,,,
Myco,135,0-38,388-506,,
Myco,136,385-449,491-534,,
Myco,137,382-461,,,
Myco,138,,,,
Myco,139,,,,
Myco,140,315-388,393-431,,
Myco,141,,,,
Myco,142,79-160,,,
Myco,143,,,,
Myco,144,327-434,,,
Myco,145,388-460,,,
Myco,146,382-462,,,
Myco,147,415-477,,,
Myco,148,37-120,254-316,,
Myco,149,263-364,,,
Myco,150,76-149,462-523,,
Myco,151,165-237,280-381,,
Myco,152,402-474,,,
Myco,153,,,,
Myco,154,353-394,,,
Myco,155,431-479,,,
Myco,156,359-419,526-598,,
Myco,157,43-99,,,
Myco,158,256-344,,,
Myco,159,205-258,262-351,,
Myco,160,273-318,416-493,,
Myco,161,402-442,,,
Myco,162,,,,
Myco,163,384-432,471-548,,
Myco,164,0-81,,,
Myco,165,413-452,,,
Myco,166,,,,
Myco,167,440-495,,,
Myco,168,322-397,,,
Myco,169,303-384,,,
Myco,170,364-515,,,
Myco,171,0-53,,,
