Organism,Seq,Positions,,,,
Ecoli,1,365-479,,,,
Ecoli,2,22-147,349-449,,,
Ecoli,3,322-437,,,,
Ecoli,4,304-415,435-506,,,
Ecoli,5,299-481,,,,
Ecoli,6,285-544,,,,
Ecoli,7,28-76,276-336,395-496,,
Ecoli,8,166-219,334-463,,,
Ecoli,9,0-65,80-118,124-262,,
Ecoli,10,354-436,464-539,,,
Ecoli,11,44-97,310-513,,,
Ecoli,12,297-448,457-587,,,
Ecoli,13,322-365,378-575,,,
Ecoli,14,31-112,392-467,,,
Ecoli,15,211-271,379-475,,,
Ecoli,16,148-210,253-331,404-499,,
Ecoli,17,48-105,131-186,272-455,,
Ecoli,18,0-38,348-416,,,
Ecoli,19,292-476,534-597,,,
Ecoli,20,376-552,,,,
Ecoli,21,27-93,320-472,,,
Ecoli,22,175-248,338-396,,,
Ecoli,23,222-528,,,,
Ecoli,24,362-504,,,,
Ecoli,25,313-412,444-498,,,
Ecoli,26,359-458,475-530,,,
Ecoli,27,287-516,,,,
Ecoli,28,190-384,445-513,,,
Ecoli,29,6-42,392-490,,,
Ecoli,30,448-514,,,,
Ecoli,31,361-505,,,,
Ecoli,32,287-422,,,,
Ecoli,33,274-488,,,,
Ecoli,34,81-216,220-395,431-554,,
Ecoli,35,220-265,291-340,343-383,387-431,
Ecoli,36,250-558,,,,
Ecoli,37,319-453,,,,
Ecoli,38,270-539,,,,
Ecoli,39,428-501,507-613,,,
Ecoli,40,95-156,324-407,424-470,,
Ecoli,41,337-449,,,,
Ecoli,42,283-389,,,,
Ecoli,43,224-261,427-532,,,
Ecoli,44,294-353,372-455,491-550,,
Ecoli,45,0-146,292-376,512-548,,
Ecoli,46,0-47,153-448,,,
Ecoli,47,280-476,,,,
Ecoli,48,297-408,430-520,,,
Ecoli,49,241-339,344-509,,,
Ecoli,50,329-417,,,,
Ecoli,51,312-480,484-525,,,
Ecoli,52,158-368,424-528,,,
Ecoli,53,424-501,,,,
Ecoli,54,33-139,253-292,327-512,,
Ecoli,55,396-504,,,,
Ecoli,56,204-286,297-501,,,
Ecoli,57,74-179,233-306,367-487,,
Ecoli,58,437-605,,,,
Ecoli,59,452-529,,,,
Ecoli,60,307-587,,,,
Ecoli,61,0-47,53-92,237-301,395-499,
Ecoli,62,389-495,,,,
Ecoli,63,,,,,
Ecoli,64,227-442,,,,
Ecoli,65,202-375,,,,
Ecoli,66,258-333,371-415,431-493,,
Ecoli,67,136-211,283-510,,,
Ecoli,68,419-497,,,,
Ecoli,69,392-498,,,,
Ecoli,70,417-613,,,,
Ecoli,71,0-72,417-485,,,
Ecoli,72,273-315,491-546,,,
Ecoli,73,241-308,356-481,,,
Ecoli,74,393-485,,,,
Ecoli,75,319-566,,,,
Ecoli,76,160-491,497-612,,,
Ecoli,77,65-132,137-179,210-383,387-469,
Ecoli,78,340-406,432-493,,,
Ecoli,79,359-613,,,,
Ecoli,80,92-128,424-469,473-515,,
Ecoli,81,154-236,334-381,388-458,,
Ecoli,82,7-55,166-229,322-443,507-606,
Ecoli,83,191-481,,,,
Ecoli,84,113-163,311-380,416-478,,
Ecoli,85,224-289,328-492,,,
Ecoli,86,352-521,,,,
Ecoli,87,312-486,,,,
Ecoli,88,340-412,,,,
Ecoli,89,335-502,,,,
Ecoli,90,80-275,285-418,,,
Ecoli,91,254-315,,,,
Ecoli,92,375-504,,,,
Ecoli,93,376-533,,,,
Ecoli,94,270-405,416-525,,,
Ecoli,95,329-447,,,,
