Organism,Seq,Positions,,
Myco,1,409-485,,
Myco,2,0-75,419-493,
Myco,3,,,
Myco,4,496-613,,
Myco,5,,,
Myco,6,,,
Myco,7,,,
Myco,8,,,
Myco,9,54-186,,
Myco,10,215-296,,
Myco,11,195-266,,
Myco,12,,,
Myco,13,231-315,324-445,
Myco,14,95-187,,
Myco,15,,,
Myco,16,419-535,,
Myco,17,177-256,,
Myco,18,11-156,,
Myco,19,134-224,,
Myco,20,,,
Myco,21,,,
Myco,22,433-509,,
Myco,23,471-543,,
Myco,24,368-537,,
Myco,25,,,
Myco,26,,,
Myco,27,,,
Myco,28,347-461,471-546,
Myco,29,,,
Myco,30,485-570,,
Myco,31,,,
Myco,32,448-520,,
Myco,33,,,
Myco,34,,,
Myco,35,390-467,,
Myco,36,,,
Myco,37,,,
Myco,38,,,
Myco,39,,,
Myco,40,,,
Myco,41,,,
Myco,42,,,
Myco,43,379-472,,
Myco,44,329-422,532-610,
Myco,45,329-447,,
Myco,46,295-377,,
Myco,47,412-485,,
Myco,48,248-335,,
Myco,49,418-512,,
Myco,50,,,
Myco,51,371-449,,
Myco,52,,,
Myco,53,367-443,,
Myco,54,,,
Myco,55,,,
Myco,56,341-413,,
Myco,57,415-569,,
Myco,58,,,
Myco,59,,,
Myco,60,315-388,,
Myco,61,,,
Myco,62,393-471,,
Myco,63,306-418,,
Myco,64,323-451,,
Myco,65,,,
Myco,66,409-487,,
Myco,67,,,
Myco,68,,,
Myco,69,309-396,,
Myco,70,,,
Myco,71,374-550,,
Myco,72,322-442,,
Myco,73,278-403,,
Myco,74,282-353,,
Myco,75,,,
Myco,76,0-94,110-202,
Myco,77,363-536,,
Myco,78,382-460,,
Myco,79,400-493,,
Myco,80,294-383,,
Myco,81,,,
Myco,82,259-337,342-442,
Myco,83,346-489,,
Myco,84,,,
Myco,85,,,
Myco,86,68-173,,
Myco,87,7-108,,
Myco,88,,,
Myco,89,,,
Myco,90,413-556,,
Myco,91,,,
Myco,92,493-598,,
Myco,93,123-204,,
Myco,94,295-391,,
Myco,95,,,
Myco,96,,,
Myco,97,379-477,,
Myco,98,,,
Myco,99,,,
Myco,100,351-484,,
Myco,101,,,
Myco,102,420-524,,
Myco,103,323-408,465-550,
Myco,104,,,
Myco,105,327-422,,
Myco,106,,,
Myco,107,377-460,,
Myco,108,,,
Myco,109,362-445,,
Myco,110,,,
Myco,111,,,
Myco,112,406-482,,
Myco,113,,,
Myco,114,499-602,,
Myco,115,97-178,497-571,
Myco,116,,,
Myco,117,,,
Myco,118,6-77,,
Myco,119,136-268,,
Myco,120,,,
Myco,121,,,
Myco,122,,,
Myco,123,349-460,,
Myco,124,,,
Myco,125,402-499,,
Myco,126,387-571,,
