Organism,Seq,Positions,,,
Salmonella,1,48-152,464-544,,
Salmonella,2,88-296,,,
Salmonella,3,0-40,264-480,,
Salmonella,4,176-504,,,
Salmonella,5,0-96,176-448,,
Salmonella,6,112-160,376-544,,
Salmonella,7,32-216,344-560,,
Salmonella,8,256-352,480-552,,
Salmonella,9,88-368,,,
Salmonella,10,136-408,,,
Salmonella,11,0-272,320-512,,
Salmonella,12,200-240,392-448,,
Salmonella,13,264-488,,,
Salmonella,14,336-552,,,
Salmonella,15,0-216,296-368,432-488,
Salmonella,16,248-544,,,
Salmonella,17,128-192,376-448,,
Salmonella,18,376-448,,,
Salmonella,19,96-248,,,
Salmonella,20,,,,
Salmonella,21,224-448,,,
Salmonella,22,160-232,320-472,,
Salmonella,23,288-424,,,
Salmonella,24,0-40,296-544,,
Salmonella,25,112-184,336-512,,
Salmonella,26,56-160,360-560,,
Salmonella,27,144-184,312-504,,
Salmonella,28,0-104,224-432,,
Salmonella,29,248-472,,,
Salmonella,30,336-432,536-552,,
Salmonella,31,320-384,,,
Salmonella,32,104-464,,,
Salmonella,33,280-360,448-464,,
Salmonella,34,504-544,,,
Salmonella,35,64-368,,,
Salmonella,36,160-224,328-480,,
Salmonella,37,8-80,496-560,,
Salmonella,38,40-216,336-360,392-480,520-536
Salmonella,39,208-256,384-488,,
Salmonella,40,0-8,,,
Salmonella,41,232-432,,,
Salmonella,42,0-40,112-192,,
Salmonella,43,24-80,200-280,392-416,
Salmonella,44,96-232,304-392,496-560,
Salmonella,45,280-432,,,
Salmonella,46,0-72,392-408,,
Salmonella,47,0-40,256-448,,
Salmonella,48,0-56,224-448,,
Salmonella,49,368-440,,,
Salmonella,50,224-552,,,
Salmonella,51,280-352,520-560,,
Salmonella,52,480-496,512-536,,
Salmonella,53,504-560,,,
Salmonella,54,496-560,,,
Salmonella,55,0-112,,,
Salmonella,56,176-480,,,
Salmonella,57,0-56,160-216,336-456,
Salmonella,58,120-200,344-560,,
Salmonella,59,120-464,,,
Salmonella,60,240-480,,,
Salmonella,61,256-480,,,
Salmonella,62,344-360,528-560,,
Salmonella,63,408-544,,,
Salmonella,64,216-280,360-560,,
Salmonella,65,0-96,,,
Salmonella,66,80-224,400-464,,
Salmonella,67,392-464,,,
Salmonella,68,384-536,,,
Salmonella,69,80-120,232-288,392-536,
Salmonella,70,0-112,328-448,,
Salmonella,71,240-288,392-552,,
Salmonella,72,224-400,448-536,,
Salmonella,73,256-432,456-536,,
Salmonella,74,112-496,,,
Salmonella,75,352-496,,,
Salmonella,76,0-24,280-472,,
Salmonella,77,136-416,488-560,,
Salmonella,78,16-32,128-280,448-496,
Salmonella,79,200-416,,,
Salmonella,80,536-560,,,
Salmonella,81,264-440,,,
Salmonella,82,128-360,,,
Salmonella,83,32-64,280-560,,
Salmonella,84,304-392,,,
Salmonella,85,0-128,208-448,520-544,
Salmonella,86,304-448,,,
Salmonella,87,216-456,,,
Salmonella,88,72-112,248-280,472-512,
Salmonella,89,240-280,536-560,,
Salmonella,90,288-392,,,
Salmonella,91,320-440,,,
Salmonella,92,248-360,520-544,,
Salmonella,93,64-88,288-456,,
Salmonella,94,56-120,216-240,424-560,
Salmonella,95,328-520,,,
Salmonella,96,200-232,368-408,,
Salmonella,97,56-144,376-416,,
Salmonella,98,232-536,,,
Salmonella,99,0-24,136-176,344-440,464-504
Salmonella,100,280-528,,,
Salmonella,101,264-280,376-560,,
Salmonella,102,232-448,,,
Salmonella,103,136-472,,,
Salmonella,104,144-240,,,
Salmonella,105,80-320,,,
Salmonella,106,112-120,,,
Salmonella,107,16-136,272-504,,
Salmonella,108,16-40,,,
Salmonella,109,0-224,336-448,,
Salmonella,110,464-560,,,
Salmonella,111,64-264,360-440,,
Salmonella,112,280-488,,,
Salmonella,113,336-520,,,
Salmonella,114,96-272,344-400,,
Salmonella,115,0-120,,,
Salmonella,116,216-272,360-448,,
Salmonella,117,240-560,,,
Salmonella,118,80-112,248-440,,
Salmonella,119,256-272,,,
Salmonella,120,320-376,,,
Salmonella,121,144-488,,,
