Organism,Seq,Positions,,
Chlamydia,1,9;81,381;430,557;613
Chlamydia,2,270;374,378;446,
Chlamydia,3,310;464,545;589,
Chlamydia,4,,,
Chlamydia,5,42;81,420;463,
Chlamydia,6,199;245,422;478,
Chlamydia,7,319;358,,
Chlamydia,8,392;448,,
Chlamydia,9,64;100,381;439,556;593
Chlamydia,10,71;113,211;247,528;586
Chlamydia,11,261;324,400;471,
Chlamydia,12,401;465,540;611,
Chlamydia,13,515;592,,
Chlamydia,14,,,
Chlamydia,15,6;47,139;258,
Chlamydia,16,273;317,410;529,
Chlamydia,17,154;236,329;418,
Chlamydia,18,164;212,365;439,534;613
Chlamydia,19,458;510,,
Chlamydia,20,402;438,,
Chlamydia,21,233;276,,
Chlamydia,22,320;360,,
Chlamydia,23,,,
Chlamydia,24,326;403,,
Chlamydia,25,381;432,,
Chlamydia,26,115;151,,
Chlamydia,27,202;261,328;383,407;444
Chlamydia,28,64;123,191;244,269;308
Chlamydia,29,202;257,,
Chlamydia,30,254;308,390;438,
