Organism,Seq,Positions,,
Haloferax_chr,1,352-469,,
Haloferax_chr,2,382-516,538-613,
Haloferax_chr,3,,,
Haloferax_chr,4,29-103,314-480,
Haloferax_chr,5,282-437,,
Haloferax_chr,6,374-456,460-613,
Haloferax_chr,7,,,
Haloferax_chr,8,380-480,,
Haloferax_chr,9,402-505,,
Haloferax_chr,10,,,
Haloferax_chr,11,267-347,,
Haloferax_chr,12,291-444,,
Haloferax_chr,13,,,
Haloferax_chr,14,277-516,,
Haloferax_chr,15,,,
Haloferax_chr,16,339-427,,
Haloferax_chr,17,508-591,,
Haloferax_chr,18,,,
Haloferax_chr,19,,,
Haloferax_chr,20,377-458,,
Haloferax_chr,21,,,
Haloferax_chr,22,293-448,,
Haloferax_chr,23,,,
Haloferax_chr,24,217-309,,
Haloferax_chr,25,261-438,,
Haloferax_chr,26,,,
Haloferax_chr,27,,,
Haloferax_chr,28,,,
Haloferax_chr,29,251-325,,
Haloferax_chr,30,,,
Haloferax_chr,31,,,
Haloferax_chr,32,,,
Haloferax_chr,33,435-523,,
Haloferax_chr,34,447-519,,
Haloferax_chr,35,,,
Haloferax_chr,36,,,
Haloferax_chr,37,,,
Haloferax_chr,38,70-257,388-488,
Haloferax_chr,39,349-487,,
Haloferax_chr,40,,,
Haloferax_chr,41,386-491,,
Haloferax_chr,42,335-437,,
Haloferax_chr,43,360-456,,
Haloferax_chr,44,263-527,,
Haloferax_chr,45,368-520,,
Haloferax_chr,46,,,
Haloferax_chr,47,,,
Haloferax_chr,48,331-471,,
Haloferax_chr,49,184-284,,
Haloferax_chr,50,,,
Haloferax_chr,51,325-467,,
Haloferax_chr,52,,,
Haloferax_chr,53,312-445,,
Haloferax_chr,54,,,
Haloferax_chr,55,377-451,,
Haloferax_chr,56,,,
Haloferax_chr,57,164-269,,
Haloferax_chr,58,369-449,,
Haloferax_chr,59,380-483,,
Haloferax_chr,60,324-509,,
Haloferax_chr,61,,,
Haloferax_chr,62,528-613,,
Haloferax_chr,63,,,
Haloferax_chr,64,,,
Haloferax_chr,65,247-331,,
Haloferax_chr,66,394-478,,
Haloferax_chr,67,348-436,,
Haloferax_chr,68,121-200,,
Haloferax_chr,69,371-476,,
Haloferax_chr,70,178-373,,
Haloferax_chr,71,342-489,,
Haloferax_chr,72,360-463,,
Haloferax_chr,73,,,
Haloferax_chr,74,250-322,,
Haloferax_chr,75,388-486,499-613,
Haloferax_chr,76,,,
Haloferax_chr,77,285-400,,
Haloferax_chr,78,374-499,,
Haloferax_chr,79,380-456,,
Haloferax_chr,80,264-355,,
Haloferax_chr,81,436-516,,
Haloferax_chr,82,,,
Haloferax_chr,83,391-525,,
Haloferax_chr,84,,,
Haloferax_chr,85,,,
Haloferax_chr,86,,,
Haloferax_chr,87,335-478,,
Haloferax_chr,88,387-479,,
Haloferax_chr,89,156-227,521-613,
Haloferax_chr,90,15-127,173-306,
Haloferax_chr,91,291-446,,
Haloferax_chr,92,378-449,,
Haloferax_chr,93,349-430,448-597,
Haloferax_chr,94,362-447,,
Haloferax_chr,95,299-423,,
Haloferax_chr,96,,,
Haloferax_chr,97,380-467,,
Haloferax_chr,98,388-479,,
Haloferax_chr,99,351-435,,
Haloferax_chr,100,,,
Haloferax_chr,101,284-390,,
Haloferax_chr,102,,,
Haloferax_chr,103,,,
Haloferax_chr,104,367-456,,
Haloferax_chr,105,379-487,,
Haloferax_chr,106,362-468,,
Haloferax_chr,107,,,
Haloferax_chr,108,350-425,,
Haloferax_chr,109,0-89,,
Haloferax_chr,110,,,
Haloferax_chr,111,,,
Haloferax_chr,112,,,
Haloferax_chr,113,,,
Haloferax_chr,114,355-429,,
Haloferax_chr,115,,,
Haloferax_chr,116,,,
Haloferax_chr,117,,,
Haloferax_chr,118,,,
Haloferax_chr,119,397-477,,
Haloferax_chr,120,386-482,,
Haloferax_chr,121,373-463,,
Haloferax_chr,122,138-349,,
Haloferax_chr,123,,,
Haloferax_chr,124,,,
Haloferax_chr,125,,,
Haloferax_chr,126,283-388,,
Haloferax_chr,127,,,
Haloferax_chr,128,357-570,,
Haloferax_chr,129,442-576,,
Haloferax_chr,130,184-331,,
Haloferax_chr,131,351-460,,
Haloferax_chr,132,344-453,,
Haloferax_chr,133,354-465,,
Haloferax_chr,134,,,
Haloferax_chr,135,369-464,,
Haloferax_chr,136,519-604,,
Haloferax_chr,137,373-462,,
Haloferax_chr,138,327-420,,
Haloferax_chr,139,305-416,,
Haloferax_chr,140,,,
Haloferax_chr,141,494-590,,
Haloferax_chr,142,,,
Haloferax_chr,143,291-438,,
Haloferax_chr,144,,,
Haloferax_chr,145,333-423,,
Haloferax_chr,146,383-486,,
Haloferax_chr,147,390-528,,
Haloferax_chr,148,,,
Haloferax_chr,149,265-450,,
Haloferax_chr,150,198-272,,
Haloferax_chr,151,180-300,,
Haloferax_chr,152,383-484,,
Haloferax_chr,153,349-450,,
Haloferax_chr,154,366-445,,
Haloferax_chr,155,469-549,,
Haloferax_chr,156,517-591,,
Haloferax_chr,157,31-112,295-382,
Haloferax_chr,158,300-533,,
Haloferax_chr,159,,,
Haloferax_chr,160,352-457,,
Haloferax_chr,161,302-408,,
Haloferax_chr,162,357-473,,
Haloferax_chr,163,378-580,,
Haloferax_chr,164,,,
Haloferax_chr,165,,,
Haloferax_chr,166,247-320,,
Haloferax_chr,167,394-488,,
Haloferax_chr,168,272-460,,
Haloferax_chr,169,155-252,,
Haloferax_chr,170,342-430,437-515,
Haloferax_chr,171,377-497,,
Haloferax_chr,172,,,
Haloferax_chr,173,276-347,,
Haloferax_chr,174,,,
Haloferax_chr,175,206-347,352-488,
Haloferax_chr,176,182-326,,
Haloferax_chr,177,269-348,,
Haloferax_chr,178,379-490,,
Haloferax_chr,179,,,
Haloferax_chr,180,316-447,,
Haloferax_chr,181,267-448,,
Haloferax_chr,182,,,
Haloferax_chr,183,135-208,335-419,
Haloferax_chr,184,385-527,,
Haloferax_chr,185,,,
Haloferax_chr,186,,,
Haloferax_chr,187,,,
Haloferax_chr,188,,,
Haloferax_chr,189,363-465,,
Haloferax_chr,190,26-151,382-454,
Haloferax_chr,191,,,
Haloferax_chr,192,252-324,331-445,
Haloferax_chr,193,297-401,,
Haloferax_chr,194,,,
Haloferax_chr,195,330-456,,
Haloferax_chr,196,331-457,,
Haloferax_chr,197,191-265,368-478,
Haloferax_chr,198,403-519,,
Haloferax_chr,199,352-425,,
Haloferax_chr,200,267-346,395-492,
Haloferax_chr,201,388-460,,
Haloferax_chr,202,236-307,,
Haloferax_chr,203,369-490,,
Haloferax_chr,204,,,
Haloferax_chr,205,131-417,,
Haloferax_chr,206,326-460,,
Haloferax_chr,207,387-469,,
Haloferax_chr,208,340-482,,
Haloferax_chr,209,357-451,,
Haloferax_chr,210,,,
Haloferax_chr,211,386-466,,
Haloferax_chr,212,284-405,,
Haloferax_chr,213,,,
Haloferax_chr,214,,,
Haloferax_chr,215,353-480,,
Haloferax_chr,216,378-455,,
Haloferax_chr,217,162-244,321-427,
Haloferax_chr,218,515-613,,
Haloferax_chr,219,,,
Haloferax_chr,220,319-532,,
Haloferax_chr,221,,,
Haloferax_chr,222,,,
Haloferax_chr,223,406-485,,
Haloferax_chr,224,39-111,,
Haloferax_chr,225,0-103,,
Haloferax_chr,226,99-268,,
Haloferax_chr,227,197-318,,
Haloferax_chr,228,,,
Haloferax_chr,229,375-466,,
Haloferax_chr,230,319-426,,
Haloferax_chr,231,318-452,,
Haloferax_chr,232,,,
Haloferax_chr,233,369-493,,
Haloferax_chr,234,377-454,,
Haloferax_chr,235,262-402,,
Haloferax_chr,236,391-487,,
Haloferax_chr,237,,,
Haloferax_chr,238,,,
Haloferax_chr,239,,,
Haloferax_chr,240,357-474,,
Haloferax_chr,241,,,
Haloferax_chr,242,387-458,,
Haloferax_chr,243,382-457,,
Haloferax_chr,244,382-460,,
Haloferax_chr,245,287-366,,
Haloferax_chr,246,274-438,,
Haloferax_chr,247,,,
Haloferax_chr,248,250-369,,
Haloferax_chr,249,391-477,,
Haloferax_chr,250,,,
Haloferax_chr,251,309-448,,
