Organism,Seq,Positions,,,
Strepto,1,430-467,,,
Strepto,2,5-75,485-548,,
Strepto,3,286-354,,,
Strepto,4,522-596,,,
Strepto,5,295-353,527-574,,
Strepto,6,130-227,239-333,367-409,
Strepto,7,398-471,,,
Strepto,8,500-553,,,
Strepto,9,,,,
Strepto,10,0-74,412-486,,
Strepto,11,363-444,,,
Strepto,12,,,,
Strepto,13,,,,
Strepto,14,252-295,407-459,,
Strepto,15,262-305,379-448,,
Strepto,16,49-87,251-304,382-527,
Strepto,17,442-496,,,
Strepto,18,373-453,,,
Strepto,19,540-607,,,
Strepto,20,171-252,388-450,,
Strepto,21,388-471,,,
Strepto,22,418-481,572-613,,
Strepto,23,,,,
Strepto,24,431-533,,,
Strepto,25,284-321,,,
Strepto,26,368-505,,,
Strepto,27,23-171,,,
Strepto,28,410-450,,,
Strepto,29,296-335,342-447,456-510,
Strepto,30,337-461,,,
Strepto,31,390-477,545-603,,
Strepto,32,396-478,,,
Strepto,33,364-425,,,
Strepto,34,409-551,,,
Strepto,35,444-492,547-592,,
Strepto,36,,,,
Strepto,37,414-478,,,
Strepto,38,,,,
Strepto,39,400-515,,,
Strepto,40,19-91,439-491,,
Strepto,41,242-328,413-471,,
Strepto,42,318-447,,,
Strepto,43,400-455,,,
Strepto,44,406-453,,,
Strepto,45,393-473,,,
Strepto,46,383-492,,,
Strepto,47,498-539,544-586,,
Strepto,48,,,,
Strepto,49,65-115,296-344,424-479,
Strepto,50,508-580,,,
Strepto,51,,,,
Strepto,52,390-445,503-613,,
Strepto,53,376-462,,,
Strepto,54,397-473,,,
Strepto,55,346-447,567-613,,
Strepto,56,395-434,,,
Strepto,57,316-385,406-534,,
Strepto,58,287-382,387-431,,
Strepto,59,430-480,,,
Strepto,60,,,,
Strepto,61,311-411,481-525,,
Strepto,62,264-371,,,
Strepto,63,,,,
Strepto,64,401-604,,,
Strepto,65,403-450,,,
Strepto,66,379-446,529-593,,
Strepto,67,533-613,,,
Strepto,68,395-439,,,
Strepto,69,,,,
Strepto,70,561-613,,,
Strepto,71,322-409,,,
Strepto,72,0-45,353-422,,
Strepto,73,512-599,,,
Strepto,74,,,,
Strepto,75,253-313,,,
Strepto,76,356-461,,,
Strepto,77,317-435,,,
Strepto,78,150-199,527-581,,
Strepto,79,214-315,439-480,,
Strepto,80,,,,
Strepto,81,363-407,524-609,,
Strepto,82,467-533,,,
Strepto,83,379-468,,,
Strepto,84,,,,
Strepto,85,458-521,,,
Strepto,86,,,,
Strepto,87,420-475,,,
Strepto,88,362-403,454-592,,
Strepto,89,388-454,462-507,,
Strepto,90,271-386,392-440,450-533,
Strepto,91,244-301,371-457,461-523,
Strepto,92,,,,
Strepto,93,226-277,381-438,,
Strepto,94,367-449,,,
Strepto,95,341-429,,,
Strepto,96,417-460,,,
Strepto,97,530-578,,,
Strepto,98,398-454,,,
Strepto,99,,,,
Strepto,100,331-538,,,
Strepto,101,361-428,433-486,,
Strepto,102,342-401,405-448,,
Strepto,103,482-528,547-613,,
Strepto,104,164-209,282-375,490-546,
Strepto,105,405-455,,,
Strepto,106,357-467,,,
Strepto,107,430-467,,,
Strepto,108,333-380,436-495,,
Strepto,109,387-456,,,
Strepto,110,,,,
Strepto,111,410-496,,,
Strepto,112,451-506,556-598,,
Strepto,113,,,,
Strepto,114,261-317,321-384,391-428,
Strepto,115,370-441,,,
Strepto,116,295-543,,,
Strepto,117,324-395,448-506,,
Strepto,118,385-440,,,
Strepto,119,389-454,459-526,540-613,
Strepto,120,,,,
Strepto,121,,,,
Strepto,122,432-489,573-613,,
Strepto,123,0-68,353-457,,
Strepto,124,492-534,,,
Strepto,125,418-460,,,
Strepto,126,,,,
Strepto,127,373-463,,,
Strepto,128,258-384,433-483,,
Strepto,129,475-512,,,
Strepto,130,3-52,367-428,469-507,552-609
Strepto,131,373-505,,,
Strepto,132,464-531,,,
Strepto,133,503-541,,,
Strepto,134,341-381,404-442,,
Strepto,135,436-476,488-524,,
Strepto,136,311-355,,,
Strepto,137,,,,
Strepto,138,448-540,,,
Strepto,139,390-451,,,
Strepto,140,338-469,,,
Strepto,141,402-458,,,
Strepto,142,416-460,,,
Strepto,143,397-441,,,
Strepto,144,420-461,,,
Strepto,145,261-466,,,
Strepto,146,331-547,,,
Strepto,147,143-188,484-543,,
Strepto,148,515-566,,,
Strepto,149,,,,
Strepto,150,92-212,293-371,,
Strepto,151,424-462,536-573,,
Strepto,152,42-95,376-481,,
Strepto,153,382-446,466-541,,
Strepto,154,252-336,,,
Strepto,155,341-402,406-444,,
Strepto,156,363-403,491-613,,
Strepto,157,0-82,162-259,363-441,
Strepto,158,,,,
Strepto,159,169-237,372-446,,
Strepto,160,406-458,,,
Strepto,161,366-497,,,
Strepto,162,399-475,,,
Strepto,163,392-496,505-542,,
Strepto,164,353-423,,,
Strepto,165,87-146,156-235,,
Strepto,166,,,,
Strepto,167,,,,
Strepto,168,400-517,,,
Strepto,169,313-456,470-560,,
Strepto,170,202-325,426-481,,
Strepto,171,,,,
Strepto,172,70-131,,,
Strepto,173,427-464,490-536,,
Strepto,174,313-439,448-513,,
Strepto,175,287-324,342-426,,
Strepto,176,,,,
Strepto,177,0-69,404-460,552-598,
Strepto,178,394-458,,,
Strepto,179,406-465,528-607,,
Strepto,180,404-493,,,
Strepto,181,,,,
Strepto,182,216-269,273-312,318-370,
Strepto,183,421-462,,,
Strepto,184,179-238,,,
Strepto,185,,,,
Strepto,186,,,,
Strepto,187,426-471,,,
Strepto,188,474-613,,,
Strepto,189,246-345,484-525,,
Strepto,190,,,,
Strepto,191,527-613,,,
Strepto,192,,,,
Strepto,193,384-480,,,
Strepto,194,424-516,,,
Strepto,195,,,,
Strepto,196,342-385,,,
Strepto,197,239-346,364-440,,
Strepto,198,240-291,463-505,,
Strepto,199,574-613,,,
Strepto,200,,,,
Strepto,201,373-456,,,
Strepto,202,54-105,427-475,,
Strepto,203,238-321,389-446,,
Strepto,204,190-273,285-442,,
Strepto,205,427-525,,,
Strepto,206,370-447,,,
Strepto,207,393-477,,,
Strepto,208,136-223,230-305,,
Strepto,209,,,,
Strepto,210,77-147,440-519,,
Strepto,211,62-98,203-242,431-474,
Strepto,212,399-469,,,
Strepto,213,397-544,,,
Strepto,214,4-72,353-486,544-582,
Strepto,215,0-51,434-477,,
Strepto,216,421-535,,,
Strepto,217,10-53,,,
Strepto,218,411-447,,,
Strepto,219,309-361,,,
Strepto,220,401-458,,,
Strepto,221,384-517,575-612,,
Strepto,222,439-494,,,
Strepto,223,,,,
Strepto,224,,,,
Strepto,225,308-393,404-470,,
Strepto,226,,,,
Strepto,227,242-463,,,
Strepto,228,0-45,437-490,,
Strepto,229,374-523,,,
Strepto,230,143-185,199-282,334-380,
Strepto,231,146-182,318-425,,
Strepto,232,432-550,,,
Strepto,233,,,,
Strepto,234,286-335,463-565,,
Strepto,235,,,,
Strepto,236,466-565,,,
Strepto,237,359-463,,,
Strepto,238,,,,
Strepto,239,152-230,,,
Strepto,240,325-398,,,
Strepto,241,330-373,,,
Strepto,242,475-548,,,
Strepto,243,,,,
Strepto,244,330-410,,,
Strepto,245,306-362,465-542,,
Strepto,246,564-605,,,
Strepto,247,388-451,,,
Strepto,248,384-465,528-569,,
Strepto,249,,,,
Strepto,250,415-478,,,
Strepto,251,382-486,,,
Strepto,252,77-127,429-480,,
Strepto,253,315-355,,,
Strepto,254,303-347,499-574,,
Strepto,255,432-473,,,
Strepto,256,,,,
Strepto,257,0-56,356-409,510-613,
Strepto,258,384-427,549-586,,
Strepto,259,300-397,,,
Strepto,260,403-465,533-613,,
Strepto,261,,,,
Strepto,262,365-453,,,
Strepto,263,377-437,514-567,,
Strepto,264,68-139,420-479,557-613,
Strepto,265,447-530,,,
Strepto,266,,,,
Strepto,267,395-449,,,
Strepto,268,40-124,,,
Strepto,269,392-460,,,
Strepto,270,,,,
Strepto,271,336-467,,,
Strepto,272,62-103,393-518,,
Strepto,273,246-295,,,
Strepto,274,,,,
Strepto,275,308-397,,,
Strepto,276,395-448,,,
Strepto,277,293-361,461-517,,
Strepto,278,363-493,,,
Strepto,279,,,,
Strepto,280,388-449,,,
Strepto,281,340-434,,,
Strepto,282,397-441,452-494,,
Strepto,283,370-444,,,
Strepto,284,555-603,,,
Strepto,285,502-557,,,
Strepto,286,422-494,,,
Strepto,287,422-492,,,
Strepto,288,360-410,,,
Strepto,289,,,,
Strepto,290,364-441,555-613,,
Strepto,291,237-308,,,
Strepto,292,375-454,501-611,,
Strepto,293,408-475,,,
Strepto,294,188-319,,,
Strepto,295,349-498,,,
Strepto,296,478-524,,,
Strepto,297,393-539,,,
Strepto,298,268-307,315-420,,
Strepto,299,445-483,,,
Strepto,300,54-120,193-236,,
Strepto,301,421-465,,,
Strepto,302,338-388,455-522,,
Strepto,303,369-443,,,
Strepto,304,191-313,,,
Strepto,305,343-437,455-515,,
Strepto,306,452-569,,,
Strepto,307,27-109,,,
Strepto,308,236-326,402-453,,
Strepto,309,392-461,,,
Strepto,310,405-445,,,
Strepto,311,407-606,,,
Strepto,312,483-613,,,
Strepto,313,139-185,,,
Strepto,314,188-233,342-403,,
Strepto,315,396-435,,,
Strepto,316,400-443,,,
Strepto,317,,,,
Strepto,318,418-484,,,
Strepto,319,,,,
Strepto,320,397-538,,,
Strepto,321,26-106,387-507,,
Strepto,322,,,,
Strepto,323,209-271,339-440,446-488,
Strepto,324,48-197,254-310,,
Strepto,325,219-284,345-429,,
Strepto,326,320-455,,,
Strepto,327,349-418,,,
Strepto,328,438-518,,,
Strepto,329,341-388,393-440,476-533,
Strepto,330,350-402,,,
Strepto,331,320-473,,,
Strepto,332,69-122,,,
Strepto,333,393-487,,,
Strepto,334,416-465,,,
Strepto,335,,,,
Strepto,336,391-538,,,
Strepto,337,28-71,389-470,569-613,
Strepto,338,34-84,369-436,,
Strepto,339,,,,
Strepto,340,529-613,,,
Strepto,341,270-327,355-442,470-509,
Strepto,342,383-476,,,
Strepto,343,229-330,335-508,,
Strepto,344,401-520,,,
Strepto,345,,,,
Strepto,346,32-68,405-473,493-531,
Strepto,347,401-447,503-546,,
Strepto,348,323-362,401-443,,
Strepto,349,448-537,549-588,,
Strepto,350,320-366,396-445,,
Strepto,351,331-547,,,
Strepto,352,366-478,,,
Strepto,353,339-446,,,
Strepto,354,241-284,,,
Strepto,355,404-447,,,
Strepto,356,429-472,,,
Strepto,357,350-458,,,
Strepto,358,,,,
Strepto,359,451-612,,,
Strepto,360,352-398,405-494,,
Strepto,361,261-375,420-511,,
Strepto,362,459-505,,,
Strepto,363,351-426,,,
Strepto,364,76-117,464-515,548-613,
Strepto,365,523-610,,,
Strepto,366,519-570,,,
Strepto,367,529-577,,,
Strepto,368,,,,
Strepto,369,380-499,,,
Strepto,370,,,,
Strepto,371,211-272,371-454,,
Strepto,372,75-127,,,
Strepto,373,444-494,,,
Strepto,374,241-355,420-520,,
Strepto,375,270-444,,,
Strepto,376,511-561,,,
Strepto,377,342-473,,,
Strepto,378,181-219,420-460,,
Strepto,379,164-219,398-443,,
Strepto,380,248-290,,,
Strepto,381,45-96,419-491,,
Strepto,382,380-505,,,
Strepto,383,75-128,570-613,,
Strepto,384,336-415,,,
Strepto,385,0-92,508-573,,
Strepto,386,303-346,,,
Strepto,387,369-453,,,
Strepto,388,,,,
Strepto,389,344-425,,,
Strepto,390,401-473,545-592,,
Strepto,391,281-355,,,
Strepto,392,,,,
Strepto,393,285-359,,,
Strepto,394,380-504,,,
Strepto,395,215-251,,,
Strepto,396,333-519,,,
Strepto,397,121-160,,,
Strepto,398,332-539,,,
Strepto,399,260-487,,,
Strepto,400,428-484,,,
Strepto,401,0-52,,,
Strepto,402,161-253,,,
Strepto,403,5-50,,,
Strepto,404,412-451,,,
Strepto,405,258-365,,,
Strepto,406,25-146,,,
Strepto,407,388-449,543-579,,
Strepto,408,24-71,400-440,,
Strepto,409,,,,
Strepto,410,319-446,,,
Strepto,411,195-232,396-474,,
Strepto,412,525-613,,,
Strepto,413,0-72,423-473,,
Strepto,414,432-473,,,
Strepto,415,260-472,,,
Strepto,416,,,,
Strepto,417,386-556,,,
Strepto,418,394-453,,,
Strepto,419,394-446,,,
Strepto,420,411-513,,,
Strepto,421,77-120,456-503,,
Strepto,422,391-464,559-613,,
Strepto,423,434-512,,,
Strepto,424,357-490,,,
Strepto,425,348-441,,,
Strepto,426,,,,
Strepto,427,294-511,,,
Strepto,428,114-168,449-589,,
Strepto,429,391-459,,,
Strepto,430,73-149,525-571,,
Strepto,431,382-454,,,
Strepto,432,,,,
Strepto,433,404-476,,,
Strepto,434,401-466,,,
Strepto,435,281-378,452-537,,
Strepto,436,334-389,,,
Strepto,437,417-502,,,
Strepto,438,311-354,,,
Strepto,439,274-328,406-488,,
Strepto,440,0-107,186-247,425-465,
Strepto,441,258-522,,,
Strepto,442,321-391,399-468,517-579,
Strepto,443,3-73,202-263,406-447,
Strepto,444,312-375,,,
Strepto,445,343-385,433-504,,
Strepto,446,420-504,,,
Strepto,447,,,,
Strepto,448,137-310,,,
Strepto,449,303-430,,,
Strepto,450,,,,
Strepto,451,367-422,,,
Strepto,452,153-235,,,
Strepto,453,257-441,493-536,,
Strepto,454,241-319,,,
Strepto,455,337-441,471-539,,
Strepto,456,542-582,,,
Strepto,457,,,,
Strepto,458,56-117,461-527,,
Strepto,459,214-265,416-491,,
Strepto,460,204-286,331-428,,
Strepto,461,419-461,,,
Strepto,462,431-480,,,
Strepto,463,549-585,,,
Strepto,464,0-62,86-139,,
Strepto,465,386-451,458-494,,
Strepto,466,444-534,,,
Strepto,467,37-74,,,
Strepto,468,27-73,354-433,500-610,
Strepto,469,464-518,563-613,,
Strepto,470,436-480,,,
Strepto,471,,,,
Strepto,472,189-240,418-468,,
Strepto,473,221-292,,,
Strepto,474,477-602,,,
Strepto,475,327-440,,,
Strepto,476,280-381,450-559,,
Strepto,477,397-438,550-613,,
Strepto,478,357-402,,,
Strepto,479,326-399,523-605,,
Strepto,480,383-454,,,
Strepto,481,187-247,370-422,,
Strepto,482,306-552,,,
Strepto,483,296-446,,,
Strepto,484,477-523,548-600,,
Strepto,485,,,,
Strepto,486,,,,
Strepto,487,363-399,,,
Strepto,488,90-128,233-303,,
Strepto,489,,,,
Strepto,490,,,,
Strepto,491,,,,
Strepto,492,311-369,415-533,,
Strepto,493,401-438,,,
Strepto,494,23-70,,,
Strepto,495,215-311,,,
Strepto,496,377-464,,,
Strepto,497,64-135,,,
Strepto,498,451-613,,,
Strepto,499,451-529,,,
Strepto,500,372-427,432-494,,
Strepto,501,407-464,,,
Strepto,502,25-83,409-460,,
Strepto,503,,,,
Strepto,504,260-364,,,
Strepto,505,350-416,423-481,,
Strepto,506,377-519,,,
Strepto,507,315-401,,,
Strepto,508,232-326,,,
Strepto,509,271-334,,,
Strepto,510,403-467,,,
Strepto,511,,,,
Strepto,512,395-490,,,
Strepto,513,299-390,471-511,,
Strepto,514,438-487,,,
Strepto,515,408-453,,,
Strepto,516,427-493,,,
Strepto,517,301-459,465-580,,
Strepto,518,191-263,559-613,,
Strepto,519,455-495,,,
Strepto,520,32-109,151-201,390-430,
Strepto,521,376-462,486-538,,
Strepto,522,383-436,565-613,,
Strepto,523,148-208,282-369,,
Strepto,524,373-515,,,
Strepto,525,417-510,,,
Strepto,526,118-171,,,
Strepto,527,,,,
Strepto,528,402-468,,,
Strepto,529,227-343,350-427,,
Strepto,530,,,,
Strepto,531,,,,
Strepto,532,216-403,453-495,,
Strepto,533,338-389,463-562,,
Strepto,534,287-370,397-464,,
Strepto,535,463-519,533-579,,
Strepto,536,,,,
Strepto,537,399-500,,,
Strepto,538,489-532,,,
Strepto,539,375-424,509-558,,
Strepto,540,392-449,,,
Strepto,541,512-565,,,
Strepto,542,319-432,,,
Strepto,543,,,,
Strepto,544,307-348,353-488,541-586,
Strepto,545,,,,
Strepto,546,346-394,398-449,486-527,
Strepto,547,244-353,368-483,,
Strepto,548,,,,
