Organism,Seq,Positions,,
Methano,1,183-439,,
Methano,2,159-454,539-613,
Methano,3,372-475,,
Methano,4,347-424,,
Methano,5,,,
Methano,6,0-301,355-431,
Methano,7,,,
Methano,8,350-455,,
Methano,9,258-431,,
Methano,10,349-471,,
Methano,11,252-421,,
Methano,12,337-515,,
Methano,13,141-356,,
Methano,14,205-483,,
Methano,15,234-489,,
Methano,16,262-363,,
Methano,17,164-319,,
Methano,18,362-450,,
Methano,19,478-567,,
Methano,20,410-487,,
Methano,21,338-470,,
Methano,22,70-260,,
Methano,23,213-338,,
Methano,24,256-476,,
Methano,25,210-303,,
Methano,26,360-445,,
Methano,27,215-495,,
Methano,28,261-451,,
Methano,29,358-455,,
Methano,30,275-462,,
Methano,31,221-326,,
Methano,32,138-251,375-454,508-613
Methano,33,338-482,,
Methano,34,,,
Methano,35,385-456,,
Methano,36,0-174,250-355,376-460
Methano,37,133-208,,
Methano,38,297-456,,
Methano,39,293-482,,
Methano,40,168-470,,
Methano,41,,,
Methano,42,367-450,,
Methano,43,392-473,,
Methano,44,269-343,507-613,
Methano,45,367-461,,
Methano,46,,,
Methano,47,262-436,,
Methano,48,375-490,,
Methano,49,262-361,,
Methano,50,0-443,,
Methano,51,144-233,,
Methano,52,369-452,,
Methano,53,195-323,400-527,
Methano,54,375-566,,
Methano,55,276-520,,
Methano,56,234-506,,
Methano,57,243-326,393-508,
Methano,58,34-105,230-315,
Methano,59,339-481,,
Methano,60,0-98,,
Methano,61,396-579,,
Methano,62,178-292,336-469,
Methano,63,215-317,330-435,
Methano,64,,,
Methano,65,172-298,305-476,
Methano,66,336-450,,
Methano,67,366-526,,
Methano,68,493-602,,
Methano,69,0-73,286-378,
Methano,70,355-613,,
Methano,71,286-360,,
Methano,72,18-194,220-313,392-493
Methano,73,204-294,392-471,526-613
Methano,74,228-428,,
Methano,75,340-481,,
Methano,76,,,
Methano,77,352-484,,
Methano,78,,,
Methano,79,,,
Methano,80,257-525,,
Methano,81,385-459,,
Methano,82,387-582,,
Methano,83,298-371,389-489,
Methano,84,268-506,,
Methano,85,,,
Methano,86,306-431,,
Methano,87,215-355,,
Methano,88,1-110,388-499,
Methano,89,168-418,,
Methano,90,354-469,,
Methano,91,,,
Methano,92,371-446,,
Methano,93,8-104,364-481,
Methano,94,,,
Methano,95,,,
Methano,96,309-488,,
Methano,97,266-467,,
Methano,98,235-361,392-483,
Methano,99,,,
Methano,100,223-420,,
Methano,101,270-453,,
Methano,102,,,
Methano,103,272-433,,
Methano,104,339-483,,
Methano,105,379-478,,
Methano,106,322-453,,
Methano,107,374-481,493-579,
Methano,108,172-450,,
Methano,109,,,
Methano,110,353-483,,
Methano,111,,,
Methano,112,170-282,306-480,
Methano,113,,,
Methano,114,315-415,448-527,
Methano,115,446-537,,
Methano,116,255-367,369-457,
Methano,117,163-353,,
Methano,118,129-276,319-427,
Methano,119,359-494,,
Methano,120,377-565,,
Methano,121,317-482,,
Methano,122,280-368,374-449,
Methano,123,268-376,,
Methano,124,42-114,395-489,538-613
Methano,125,,,
Methano,126,,,
Methano,127,245-442,,
Methano,128,351-469,,
Methano,129,210-346,537-613,
Methano,130,344-505,,
Methano,131,137-212,,
Methano,132,387-484,,
Methano,133,257-361,375-534,
Methano,134,264-425,,
Methano,135,296-447,,
Methano,136,329-446,,
Methano,137,315-493,,
Methano,138,379-526,,
Methano,139,233-477,,
Methano,140,340-508,,
Methano,141,187-258,347-492,
Methano,142,307-443,,
Methano,143,180-302,373-467,
Methano,144,356-492,,
Methano,145,161-235,277-467,
Methano,146,293-450,,
Methano,147,335-510,,
Methano,148,336-451,509-613,
Methano,149,305-446,,
Methano,150,,,
Methano,151,374-465,,
Methano,152,0-129,489-570,
Methano,153,298-421,,
Methano,154,241-430,,
Methano,155,264-436,,
Methano,156,374-482,,
Methano,157,235-512,,
Methano,158,381-452,,
Methano,159,387-512,,
Methano,160,,,
Methano,161,272-439,,
Methano,162,299-456,,
Methano,163,375-507,,
Methano,164,282-505,,
Methano,165,542-613,,
Methano,166,137-254,,
Methano,167,526-613,,
