Organism,Seq,Positions,,,
Helico,1,408-520,,,
Helico,2,,,,
Helico,3,259-296,,,
Helico,4,325-444,,,
Helico,5,3-50,370-551,,
Helico,6,318-385,544-597,,
Helico,7,,,,
Helico,8,,,,
Helico,9,466-526,533-613,,
Helico,10,247-301,,,
Helico,11,318-450,,,
Helico,12,227-289,,,
Helico,13,255-339,476-523,,
Helico,14,548-613,,,
Helico,15,354-464,,,
Helico,16,379-425,,,
Helico,17,248-317,390-515,,
Helico,18,277-462,,,
Helico,19,238-367,417-459,480-517,
Helico,20,,,,
Helico,21,,,,
Helico,22,269-396,417-516,,
Helico,23,368-464,479-562,,
Helico,24,215-274,317-353,,
Helico,25,209-316,326-368,380-488,
Helico,26,416-514,550-613,,
Helico,27,308-355,426-471,,
Helico,28,386-502,,,
Helico,29,401-445,478-531,553-613,
Helico,30,298-426,488-524,,
Helico,31,348-477,,,
Helico,32,243-287,360-449,,
Helico,33,221-328,336-464,,
Helico,34,,,,
Helico,35,212-313,,,
Helico,36,329-518,,,
Helico,37,378-489,,,
Helico,38,279-332,,,
Helico,39,231-293,313-401,,
Helico,40,345-397,,,
Helico,41,397-485,,,
Helico,42,,,,
Helico,43,402-441,,,
Helico,44,348-386,,,
Helico,45,437-485,,,
Helico,46,212-337,389-427,,
Helico,47,0-67,364-526,,
Helico,48,362-444,467-507,,
Helico,49,396-468,563-600,,
Helico,50,271-525,,,
Helico,51,358-480,,,
Helico,52,348-540,,,
Helico,53,,,,
Helico,54,13-101,383-444,,
Helico,55,374-456,477-516,,
Helico,56,328-486,,,
Helico,57,,,,
Helico,58,234-341,,,
Helico,59,313-425,519-559,,
Helico,60,129-168,,,
Helico,61,203-242,370-430,,
Helico,62,322-459,468-588,,
Helico,63,174-260,,,
Helico,64,445-485,,,
Helico,65,329-525,,,
Helico,66,0-71,383-479,,
Helico,67,247-291,364-455,,
Helico,68,475-515,,,
Helico,69,,,,
Helico,70,337-410,423-488,566-613,
Helico,71,239-369,463-518,,
Helico,72,279-502,,,
Helico,73,423-476,523-563,,
Helico,74,181-239,424-460,,
Helico,75,426-465,,,
Helico,76,258-314,,,
Helico,77,285-366,409-536,,
Helico,78,65-103,175-261,417-454,
Helico,79,542-613,,,
Helico,80,291-346,403-498,,
Helico,81,223-314,367-404,,
Helico,82,,,,
Helico,83,235-342,375-478,,
Helico,84,193-239,,,
Helico,85,253-291,295-348,,
Helico,86,322-460,531-582,,
Helico,87,371-430,435-547,559-608,
Helico,88,,,,
Helico,89,196-277,376-475,,
Helico,90,391-435,481-613,,
Helico,91,221-269,423-469,,
Helico,92,258-319,379-438,,
Helico,93,209-304,352-469,,
Helico,94,220-359,424-499,,
Helico,95,322-384,501-538,,
Helico,96,387-436,535-613,,
Helico,97,,,,
Helico,98,412-463,,,
Helico,99,352-424,455-525,,
Helico,100,375-419,,,
Helico,101,216-265,340-472,,
Helico,102,0-41,322-381,432-497,
Helico,103,293-483,,,
Helico,104,,,,
Helico,105,141-183,189-238,299-339,
Helico,106,273-338,,,
Helico,107,338-486,,,
Helico,108,,,,
Helico,109,12-60,522-558,,
Helico,110,78-120,450-494,,
Helico,111,252-307,334-488,,
Helico,112,219-289,413-484,577-613,
Helico,113,374-471,,,
Helico,114,186-241,300-465,,
Helico,115,219-308,322-455,,
Helico,116,405-473,489-540,577-613,
Helico,117,210-296,325-486,,
Helico,118,,,,
Helico,119,208-260,268-487,,
Helico,120,238-456,,,
