Seq,Result_Seq
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,0
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,0
536,1
537,0
538,1
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,0
552,1
553,1
554,0
555,1
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,1
623,1
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,1
668,1
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,0
679,1
680,1
681,1
682,0
683,1
684,0
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,0
699,0
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,0
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,0
834,1
835,1
836,1
837,1
838,0
839,1
840,1
841,1
842,1
