Organism,Seq,Positions,,
Thermo,1,183-336,403-495,
Thermo,2,373-494,,
Thermo,3,300-433,,
Thermo,4,424-541,,
Thermo,5,73-172,,
Thermo,6,321-411,,
Thermo,7,,,
Thermo,8,386-467,,
Thermo,9,216-462,,
Thermo,10,309-450,,
Thermo,11,,,
Thermo,12,,,
Thermo,13,396-483,,
Thermo,14,505-612,,
Thermo,15,,,
Thermo,16,0-107,225-301,372-538
Thermo,17,,,
Thermo,18,389-469,,
Thermo,19,0-146,402-508,
Thermo,20,356-490,,
Thermo,21,364-450,,
Thermo,22,325-496,,
Thermo,23,363-453,,
Thermo,24,,,
Thermo,25,,,
Thermo,26,388-460,512-613,
Thermo,27,0-93,211-327,332-450
Thermo,28,289-525,,
Thermo,29,364-465,,
Thermo,30,157-236,370-457,
Thermo,31,345-424,,
Thermo,32,284-477,,
Thermo,33,337-432,,
Thermo,34,371-454,,
Thermo,35,334-454,,
Thermo,36,377-606,,
Thermo,37,,,
Thermo,38,,,
Thermo,39,,,
Thermo,40,382-489,,
Thermo,41,,,
Thermo,42,328-426,448-605,
Thermo,43,287-459,,
Thermo,44,368-461,,
Thermo,45,316-443,,
Thermo,46,8-116,138-211,
Thermo,47,8-116,138-211,
Thermo,48,,,
Thermo,49,233-446,,
Thermo,50,383-489,,
Thermo,51,383-540,,
Thermo,52,322-509,,
Thermo,53,355-517,,
Thermo,54,373-468,,
Thermo,55,354-449,,
Thermo,56,206-296,325-444,
Thermo,57,295-434,,
Thermo,58,353-450,,
Thermo,59,374-472,,
Thermo,60,237-366,,
Thermo,61,370-463,,
Thermo,62,284-589,,
Thermo,63,282-454,,
Thermo,64,384-469,,
Thermo,65,,,
Thermo,66,231-318,347-446,
Thermo,67,,,
Thermo,68,398-557,,
Thermo,69,227-424,,
Thermo,70,380-466,,
Thermo,71,333-494,,
Thermo,72,,,
Thermo,73,0-91,155-227,318-430
Thermo,74,332-434,,
Thermo,75,359-489,,
Thermo,76,367-457,,
Thermo,77,355-465,,
Thermo,78,373-481,,
Thermo,79,284-387,,
Thermo,80,266-481,,
Thermo,81,170-488,,
Thermo,82,303-425,,
Thermo,83,361-487,,
Thermo,84,357-497,,
Thermo,85,375-454,486-562,
Thermo,86,398-494,,
Thermo,87,372-450,,
Thermo,88,379-500,,
Thermo,89,205-281,370-474,
Thermo,90,,,
Thermo,91,508-600,,
Thermo,92,,,
Thermo,93,294-436,,
Thermo,94,281-477,,
Thermo,95,384-455,,
Thermo,96,386-460,486-613,
Thermo,97,335-474,,
Thermo,98,299-464,,
Thermo,99,275-432,,
Thermo,100,,,
Thermo,101,127-289,369-449,
Thermo,102,247-424,,
Thermo,103,302-414,,
Thermo,104,313-421,,
Thermo,105,385-476,,
Thermo,106,338-450,,
Thermo,107,338-438,,
Thermo,108,55-265,269-449,
Thermo,109,182-292,332-472,
Thermo,110,217-315,327-468,
Thermo,111,294-448,,
Thermo,112,485-613,,
Thermo,113,387-459,,
Thermo,114,264-469,,
Thermo,115,313-468,472-575,
Thermo,116,361-562,,
Thermo,117,,,
Thermo,118,195-316,394-474,
Thermo,119,387-467,,
Thermo,120,,,
Thermo,121,220-293,298-467,
Thermo,122,,,
Thermo,123,287-383,,
Thermo,124,,,
Thermo,125,392-488,,
Thermo,126,349-452,,
Thermo,127,349-505,,
Thermo,128,308-414,,
Thermo,129,202-346,389-480,
Thermo,130,517-613,,
Thermo,131,,,
Thermo,132,170-266,386-470,
Thermo,133,362-479,,
Thermo,134,136-239,,
Thermo,135,316-447,,
Thermo,136,368-449,,
Thermo,137,,,
Thermo,138,,,
Thermo,139,368-446,,
Thermo,140,,,
Thermo,141,23-100,,
Thermo,142,486-613,,
Thermo,143,273-460,,
Thermo,144,364-435,,
Thermo,145,141-236,,
Thermo,146,321-461,,
Thermo,147,369-466,,
Thermo,148,276-491,,
Thermo,149,365-462,,
Thermo,150,25-119,199-340,
Thermo,151,189-283,288-424,510-581
Thermo,152,381-528,,
Thermo,153,196-459,,
Thermo,154,374-457,,
Thermo,155,381-496,,
Thermo,156,,,
Thermo,157,279-457,,
Thermo,158,355-461,,
Thermo,159,231-445,,
Thermo,160,446-521,,
Thermo,161,268-502,,
Thermo,162,,,
Thermo,163,,,
Thermo,164,162-432,,
Thermo,165,,,
Thermo,166,140-326,388-460,
Thermo,167,375-485,,
Thermo,168,368-458,,
Thermo,169,392-522,,
Thermo,170,,,
Thermo,171,336-456,,
Thermo,172,,,
Thermo,173,519-605,,
Thermo,174,275-443,,
Thermo,175,,,
Thermo,176,346-432,,
Thermo,177,363-566,,
Thermo,178,323-479,,
Thermo,179,,,
Thermo,180,341-449,,
Thermo,181,,,
Thermo,182,296-446,,
Thermo,183,382-484,,
Thermo,184,,,
Thermo,185,342-458,,
Thermo,186,208-313,371-463,
Thermo,187,230-519,,
Thermo,188,361-462,,
Thermo,189,,,
Thermo,190,467-552,,
Thermo,191,326-433,,
Thermo,192,375-460,486-565,
Thermo,193,387-486,,
Thermo,194,234-453,,
Thermo,195,,,
Thermo,196,,,
Thermo,197,307-458,,
Thermo,198,350-440,,
Thermo,199,314-519,,
Thermo,200,239-432,,
Thermo,201,,,
Thermo,202,90-319,,
Thermo,203,,,
Thermo,204,356-431,,
Thermo,205,68-145,508-613,
Thermo,206,124-205,319-426,487-559
Thermo,207,458-588,,
Thermo,208,,,
Thermo,209,346-432,,
Thermo,210,,,
Thermo,211,367-464,,
Thermo,212,47-142,,
Thermo,213,312-462,,
Thermo,214,375-509,,
Thermo,215,,,
Thermo,216,338-426,,
Thermo,217,,,
Thermo,218,333-613,,
Thermo,219,370-470,,
Thermo,220,257-520,,
Thermo,221,369-468,,
Thermo,222,378-484,527-610,
Thermo,223,362-490,,
Thermo,224,341-468,,
Thermo,225,263-436,,
Thermo,226,160-301,,
Thermo,227,301-461,,
Thermo,228,210-308,347-425,
Thermo,229,248-325,393-466,
Thermo,230,338-464,,
Thermo,231,0-72,280-424,
Thermo,232,,,
Thermo,233,346-430,,
Thermo,234,,,
Thermo,235,189-271,276-414,
Thermo,236,317-496,,
Thermo,237,301-438,,
Thermo,238,,,
Thermo,239,187-449,,
Thermo,240,,,
Thermo,241,,,
Thermo,242,24-110,,
Thermo,243,298-464,,
Thermo,244,230-431,,
Thermo,245,375-498,,
Thermo,246,210-289,366-466,522-604
Thermo,247,189-296,,
Thermo,248,287-531,,
Thermo,249,379-481,,
Thermo,250,329-425,,
Thermo,251,278-420,,
Thermo,252,,,
Thermo,253,243-478,,
Thermo,254,504-613,,
Thermo,255,349-459,,
Thermo,256,383-524,,
Thermo,257,133-218,487-593,
Thermo,258,347-447,,
Thermo,259,264-455,,
Thermo,260,378-507,,
Thermo,261,375-465,,
Thermo,262,381-476,,
Thermo,263,372-472,,
Thermo,264,,,
Thermo,265,344-553,,
Thermo,266,325-424,,
Thermo,267,276-472,,
Thermo,268,342-496,,
Thermo,269,188-339,,
Thermo,270,253-450,,
Thermo,271,352-496,,
Thermo,272,320-433,,
Thermo,273,392-501,,
Thermo,274,284-376,,
Thermo,275,,,
Thermo,276,316-527,,
Thermo,277,332-481,,
Thermo,278,350-504,,
Thermo,279,,,
Thermo,280,285-495,,
Thermo,281,276-464,,
Thermo,282,492-578,,
Thermo,283,385-523,,
Thermo,284,256-458,,
Thermo,285,,,
Thermo,286,373-490,,
Thermo,287,381-482,,
Thermo,288,9-165,370-475,
Thermo,289,,,
Thermo,290,293-452,,
Thermo,291,,,
Thermo,292,271-352,388-495,
Thermo,293,135-426,524-605,
Thermo,294,373-451,458-529,
Thermo,295,342-432,,
Thermo,296,195-284,376-457,
Thermo,297,250-417,,
Thermo,298,268-463,,
Thermo,299,363-453,,
Thermo,300,359-445,,
Thermo,301,372-443,,
Thermo,302,127-316,,
Thermo,303,,,
Thermo,304,316-447,,
Thermo,305,379-492,,
Thermo,306,261-438,,
Thermo,307,257-543,,
Thermo,308,379-453,,
Thermo,309,,,
Thermo,310,232-441,,
Thermo,311,361-455,,
Thermo,312,343-430,,
Thermo,313,361-484,,
Thermo,314,,,
Thermo,315,402-480,,
Thermo,316,390-465,,
Thermo,317,239-310,,
Thermo,318,121-262,444-520,
Thermo,319,373-448,,
Thermo,320,388-474,,
Thermo,321,312-454,,
Thermo,322,311-396,,
Thermo,323,171-349,,
Thermo,324,344-458,,
Thermo,325,278-364,371-445,
Thermo,326,334-465,,
Thermo,327,440-526,,
Thermo,328,326-468,,
Thermo,329,,,
Thermo,330,375-459,,
Thermo,331,23-111,118-311,
Thermo,332,301-441,,
Thermo,333,,,
Thermo,334,324-449,,
Thermo,335,357-470,,
Thermo,336,138-276,297-455,
Thermo,337,272-426,,
Thermo,338,393-513,,
Thermo,339,390-482,487-559,
Thermo,340,299-463,,
Thermo,341,383-461,,
Thermo,342,,,
Thermo,343,,,
Thermo,344,118-189,397-486,
Thermo,345,146-217,253-451,
Thermo,346,376-476,,
Thermo,347,,,
Thermo,348,,,
Thermo,349,326-439,,
Thermo,350,298-454,,
Thermo,351,353-510,,
Thermo,352,125-201,,
Thermo,353,328-454,,
Thermo,354,,,
Thermo,355,318-423,,
Thermo,356,353-448,,
Thermo,357,309-452,,
Thermo,358,357-463,475-613,
Thermo,359,366-506,,
Thermo,360,342-467,,
Thermo,361,367-471,,
Thermo,362,340-466,,
Thermo,363,202-340,,
Thermo,364,233-327,,
Thermo,365,287-358,,
Thermo,366,378-459,,
Thermo,367,,,
Thermo,368,302-428,,
Thermo,369,401-477,,
Thermo,370,361-452,,
Thermo,371,,,
Thermo,372,421-494,,
Thermo,373,,,
Thermo,374,300-481,,
Thermo,375,82-199,209-301,
Thermo,376,222-309,,
Thermo,377,,,
Thermo,378,270-450,,
Thermo,379,,,
Thermo,380,196-517,,
Thermo,381,322-445,,
Thermo,382,211-463,,
Thermo,383,509-613,,
Thermo,384,368-470,,
Thermo,385,356-435,531-613,
Thermo,386,352-467,,
Thermo,387,331-455,,
Thermo,388,363-462,,
Thermo,389,354-465,,
Thermo,390,,,
Thermo,391,,,
Thermo,392,0-135,165-305,316-437
Thermo,393,,,
Thermo,394,375-501,,
Thermo,395,273-354,,
Thermo,396,368-454,,
Thermo,397,349-487,,
Thermo,398,361-447,,
Thermo,399,,,
Thermo,400,166-311,328-428,
Thermo,401,32-123,372-501,
Thermo,402,,,
Thermo,403,298-464,,
Thermo,404,377-466,,
Thermo,405,296-485,,
Thermo,406,363-492,,
Thermo,407,,,
Thermo,408,353-502,,
Thermo,409,361-455,,
Thermo,410,289-479,,
Thermo,411,,,
Thermo,412,,,
Thermo,413,259-429,,
Thermo,414,325-432,,
Thermo,415,265-480,,
Thermo,416,280-496,,
Thermo,417,382-467,,
Thermo,418,201-360,,
Thermo,419,328-427,,
Thermo,420,335-446,493-610,
Thermo,421,22-123,290-518,
Thermo,422,118-197,372-457,
Thermo,423,,,
Thermo,424,341-447,,
Thermo,425,380-593,,
Thermo,426,323-442,,
Thermo,427,,,
Thermo,428,359-477,,
Thermo,429,,,
Thermo,430,372-468,,
Thermo,431,,,
Thermo,432,,,
Thermo,433,320-449,454-541,
Thermo,434,76-358,,
Thermo,435,37-159,398-509,
Thermo,436,178-251,317-413,
Thermo,437,,,
Thermo,438,395-470,,
Thermo,439,248-432,,
Thermo,440,291-466,,
Thermo,441,,,
Thermo,442,395-516,,
Thermo,443,0-128,359-442,
Thermo,444,271-451,,
Thermo,445,0-72,373-470,
Thermo,446,387-468,,
Thermo,447,314-439,,
Thermo,448,391-470,,
Thermo,449,269-360,,
Thermo,450,329-444,,
Thermo,451,0-93,358-451,
Thermo,452,344-456,,
Thermo,453,323-429,,
Thermo,454,347-443,,
Thermo,455,0-85,374-474,
Thermo,456,152-283,,
Thermo,457,355-466,,
Thermo,458,324-432,447-597,
Thermo,459,381-473,,
Thermo,460,236-443,,
Thermo,461,312-464,,
Thermo,462,214-328,346-471,
Thermo,463,272-343,,
Thermo,464,387-513,,
Thermo,465,1-112,314-435,458-574
Thermo,466,461-564,,
Thermo,467,346-431,,
Thermo,468,347-478,,
Thermo,469,347-480,,
Thermo,470,,,
Thermo,471,301-613,,
Thermo,472,341-462,,
Thermo,473,,,
Thermo,474,360-452,,
Thermo,475,382-553,,
Thermo,476,377-459,,
Thermo,477,354-457,462-533,
Thermo,478,44-125,,
Thermo,479,,,
Thermo,480,,,
Thermo,481,361-598,,
Thermo,482,,,
Thermo,483,12-110,,
Thermo,484,335-425,,
Thermo,485,,,
Thermo,486,337-499,,
Thermo,487,331-415,423-519,530-613
Thermo,488,353-431,,
Thermo,489,269-461,,
Thermo,490,,,
Thermo,491,153-228,485-561,
Thermo,492,357-475,,
Thermo,493,,,
Thermo,494,,,
Thermo,495,,,
Thermo,496,,,
Thermo,497,382-464,,
Thermo,498,52-177,,
Thermo,499,,,
Thermo,500,0-74,487-613,
Thermo,501,273-467,,
Thermo,502,414-563,,
Thermo,503,298-454,,
Thermo,504,,,
Thermo,505,383-488,511-596,
Thermo,506,432-534,,
Thermo,507,,,
Thermo,508,372-463,,
Thermo,509,363-466,,
Thermo,510,339-455,,
Thermo,511,155-234,354-447,
Thermo,512,257-502,,
Thermo,513,313-478,,
Thermo,514,371-443,,
Thermo,515,284-438,,
Thermo,516,,,
Thermo,517,410-499,,
Thermo,518,,,
Thermo,519,272-362,374-466,
Thermo,520,,,
Thermo,521,306-493,,
Thermo,522,320-456,,
Thermo,523,369-441,,
Thermo,524,286-462,,
Thermo,525,288-589,,
Thermo,526,,,
Thermo,527,337-447,,
Thermo,528,377-459,,
Thermo,529,149-250,346-427,
Thermo,530,147-221,,
Thermo,531,380-535,,
Thermo,532,370-460,,
Thermo,533,319-425,530-601,
Thermo,534,357-459,,
Thermo,535,226-311,363-527,
Thermo,536,117-202,279-370,
Thermo,537,156-439,,
Thermo,538,,,
Thermo,539,,,
Thermo,540,382-457,,
Thermo,541,484-555,,
Thermo,542,362-451,,
Thermo,543,341-482,,
Thermo,544,232-314,320-438,
Thermo,545,373-469,,
Thermo,546,376-458,,
Thermo,547,,,
Thermo,548,442-613,,
Thermo,549,239-379,388-463,
Thermo,550,390-468,,
Thermo,551,137-278,,
Thermo,552,,,
Thermo,553,384-490,,
Thermo,554,189-291,396-547,
Thermo,555,256-467,,
Thermo,556,322-451,,
Thermo,557,,,
Thermo,558,285-442,,
Thermo,559,371-466,,
Thermo,560,337-501,,
Thermo,561,254-415,,
Thermo,562,,,
Thermo,563,384-461,,
Thermo,564,352-479,510-613,
Thermo,565,375-509,,
Thermo,566,310-489,,
Thermo,567,378-475,,
Thermo,568,,,
Thermo,569,,,
Thermo,570,384-504,,
Thermo,571,183-476,,
Thermo,572,306-458,,
Thermo,573,184-452,,
Thermo,574,400-506,,
Thermo,575,43-140,198-281,
Thermo,576,,,
Thermo,577,513-613,,
Thermo,578,167-254,,
Thermo,579,386-474,,
Thermo,580,0-124,377-502,
Thermo,581,516-612,,
Thermo,582,,,
Thermo,583,383-517,,
Thermo,584,157-233,344-470,
