Organism,Seq,Positions,,,
Salmonella,1,,,,
Salmonella,2,205-345,,,
Salmonella,3,376-523,,,
Salmonella,4,394-465,489-552,,
Salmonella,5,214-283,312-374,442-484,
Salmonella,6,404-477,489-551,,
Salmonella,7,509-549,,,
Salmonella,8,,,,
Salmonella,9,128-405,,,
Salmonella,10,185-299,415-453,,
Salmonella,11,135-184,487-562,,
Salmonella,12,241-287,,,
Salmonella,13,314-355,374-446,469-518,
Salmonella,14,489-571,,,
Salmonella,15,134-190,323-413,471-531,
Salmonella,16,422-573,,,
Salmonella,17,397-489,,,
Salmonella,18,,,,
Salmonella,19,182-293,,,
Salmonella,20,,,,
Salmonella,21,245-291,,,
Salmonella,22,202-264,395-433,,
Salmonella,23,413-466,,,
Salmonella,24,345-381,397-512,,
Salmonella,25,358-408,,,
Salmonella,26,469-602,,,
Salmonella,27,,,,
Salmonella,28,257-367,,,
Salmonella,29,275-411,,,
Salmonella,30,391-431,,,
Salmonella,31,343-435,,,
Salmonella,32,214-311,320-479,,
Salmonella,33,299-408,481-527,,
Salmonella,34,528-586,,,
Salmonella,35,134-413,,,
Salmonella,36,449-509,,,
Salmonella,37,78-122,,,
Salmonella,38,441-488,567-603,,
Salmonella,39,,,,
Salmonella,40,,,,
Salmonella,41,257-359,387-426,,
Salmonella,42,39-76,157-196,,
Salmonella,43,226-287,576-613,,
Salmonella,44,148-215,350-415,573-613,
Salmonella,45,303-347,,,
Salmonella,46,,,,
Salmonella,47,361-490,,,
Salmonella,48,258-317,326-402,430-490,
Salmonella,49,,,,
Salmonella,50,423-488,,,
Salmonella,51,349-390,546-613,,
Salmonella,52,,,,
Salmonella,53,,,,
Salmonella,54,,,,
Salmonella,55,54-114,,,
Salmonella,56,250-300,305-349,,
Salmonella,57,0-98,381-484,,
Salmonella,58,407-467,494-560,572-613,
Salmonella,59,330-491,,,
Salmonella,60,396-458,,,
Salmonella,61,417-455,460-499,,
Salmonella,62,546-586,,,
Salmonella,63,456-510,,,
Salmonella,64,,,,
Salmonella,65,0-74,,,
Salmonella,66,102-139,224-276,,
Salmonella,67,458-505,,,
Salmonella,68,,,,
