Organism,Seq,Positions,,,,
Helicobacter,1,336-520,,,,
Helicobacter,2,8-80,264-448,536-560,,
Helicobacter,3,0-16,112-280,360-440,,
Helicobacter,4,280-448,,,,
Helicobacter,5,0-560,,,,
Helicobacter,6,72-184,232-552,,,
Helicobacter,7,296-344,,,,
Helicobacter,8,296-344,,,,
Helicobacter,9,0-24,136-240,352-560,,
Helicobacter,10,216-256,,,,
Helicobacter,11,56-552,,,,
Helicobacter,12,208-480,,,,
Helicobacter,13,0-56,192-480,,,
Helicobacter,14,0-64,176-560,,,
Helicobacter,15,312-416,,,,
Helicobacter,16,240-456,496-560,,,
Helicobacter,17,40-64,176-472,,,
Helicobacter,18,256-424,,,,
Helicobacter,19,88-480,,,,
Helicobacter,20,368-472,,,,
Helicobacter,21,32-72,392-560,,,
Helicobacter,22,0-72,152-512,,,
Helicobacter,23,160-192,304-552,,,
Helicobacter,24,184-368,,,,
Helicobacter,25,24-440,,,,
Helicobacter,26,16-80,376-560,,,
Helicobacter,27,272-328,400-448,,,
Helicobacter,28,336-464,,,,
Helicobacter,29,32-240,336-560,,,
Helicobacter,30,0-528,,,,
Helicobacter,31,328-432,,,,
Helicobacter,32,200-248,328-472,,,
Helicobacter,33,0-16,152-456,,,
Helicobacter,34,48-64,304-456,,,
Helicobacter,35,40-448,,,,
Helicobacter,36,280-472,,,,
Helicobacter,37,104-152,312-440,,,
Helicobacter,38,104-456,472-488,,,
Helicobacter,39,0-16,48-424,,,
Helicobacter,40,48-72,296-440,,,
Helicobacter,41,56-176,336-464,,,
Helicobacter,42,376-424,528-560,,,
Helicobacter,43,0-32,80-184,368-480,,
Helicobacter,44,0-40,304-432,,,
Helicobacter,45,384-536,,,,
Helicobacter,46,0-16,192-448,,,
Helicobacter,47,0-80,344-560,,,
Helicobacter,48,128-168,336-512,,,
Helicobacter,49,112-144,360-560,,,
Helicobacter,50,0-48,184-528,,,
Helicobacter,51,144-256,328-456,,,
Helicobacter,52,320-512,,,,
Helicobacter,53,408-432,,,,
Helicobacter,54,0-128,208-240,352-496,,
Helicobacter,55,312-464,,,,
Helicobacter,56,40-232,280-456,504-560,,
Helicobacter,57,0-136,328-432,,,
Helicobacter,58,48-88,216-456,,,
Helicobacter,59,0-216,296-520,,,
Helicobacter,60,96-128,312-352,488-560,,
Helicobacter,61,144-216,312-392,,,
Helicobacter,62,264-552,,,,
Helicobacter,63,128-216,344-376,,,
Helicobacter,64,192-560,,,,
Helicobacter,65,304-480,,,,
Helicobacter,66,0-32,328-448,496-544,,
Helicobacter,67,224-456,,,,
Helicobacter,68,64-88,328-512,,,
Helicobacter,69,144-288,336-456,536-552,,
Helicobacter,70,120-136,256-464,504-560,,
Helicobacter,71,200-472,,,,
Helicobacter,72,256-456,,,,
Helicobacter,73,24-184,344-536,,,
Helicobacter,74,8-192,336-424,,,
Helicobacter,75,240-304,384-480,536-544,,
