Organism,Seq,Positions,,,
Myco,1,415-453,,,
Myco,2,0-111,431-490,,
Myco,3,432-471,,,
Myco,4,166-208,504-570,,
Myco,5,,,,
Myco,6,,,,
Myco,7,427-465,,,
Myco,8,66-107,,,
Myco,9,89-144,,,
Myco,10,235-367,,,
Myco,11,222-268,419-491,,
Myco,12,,,,
Myco,13,248-361,367-458,,
Myco,14,197-249,,,
Myco,15,228-299,,,
Myco,16,,,,
Myco,17,186-234,526-564,,
Myco,18,0-145,,,
Myco,19,153-266,,,
Myco,20,246-284,,,
Myco,21,,,,
Myco,22,436-506,,,
Myco,23,9-46,460-515,,
Myco,24,361-527,,,
Myco,25,395-453,,,
Myco,26,86-169,545-590,,
Myco,27,319-365,,,
Myco,28,354-439,465-555,,
Myco,29,258-313,,,
Myco,30,450-586,,,
Myco,31,,,,
Myco,32,340-384,,,
Myco,33,,,,
Myco,34,,,,
Myco,35,270-323,399-438,,
Myco,36,0-48,405-448,,
Myco,37,267-326,432-487,,
Myco,38,428-485,,,
Myco,39,,,,
Myco,40,0-62,425-469,,
Myco,41,0-71,388-453,,
Myco,42,395-446,555-613,,
Myco,43,0-36,376-465,,
Myco,44,534-576,,,
Myco,45,181-251,,,
Myco,46,290-334,456-497,509-558,
Myco,47,,,,
Myco,48,228-319,,,
Myco,49,429-516,,,
Myco,50,21-99,,,
Myco,51,381-454,,,
Myco,52,392-478,,,
Myco,53,387-440,442-481,,
Myco,54,383-435,444-495,,
Myco,55,244-288,444-512,573-613,
Myco,56,6-47,363-431,,
Myco,57,393-557,,,
Myco,58,123-161,232-327,,
Myco,59,,,,
Myco,60,344-439,,,
Myco,61,,,,
Myco,62,196-263,402-475,,
Myco,63,304-417,496-540,,
Myco,64,332-448,,,
Myco,65,53-100,408-464,,
Myco,66,,,,
Myco,67,417-456,,,
Myco,68,370-441,502-550,,
Myco,69,284-391,,,
Myco,70,228-272,426-478,,
Myco,71,398-484,488-528,,
Myco,72,354-394,427-478,,
Myco,73,285-422,,,
Myco,74,371-455,,,
Myco,75,332-475,,,
Myco,76,234-300,394-448,,
Myco,77,500-598,,,
Myco,78,389-426,,,
Myco,79,390-437,445-496,,
Myco,80,,,,
Myco,81,,,,
Myco,82,267-307,371-451,,
Myco,83,345-482,,,
Myco,84,96-167,456-527,,
Myco,85,539-578,,,
Myco,86,,,,
Myco,87,19-119,,,
Myco,88,14-70,201-250,566-610,
Myco,89,53-102,,,
Myco,90,0-39,470-568,,
Myco,91,,,,
Myco,92,489-532,569-613,,
Myco,93,,,,
Myco,94,332-442,476-591,,
Myco,95,209-247,267-304,408-458,
Myco,96,160-200,,,
Myco,97,,,,
Myco,98,,,,
Myco,99,189-237,,,
