Organism,Seq,Positions,,,
Pseudo,1,252-298,453-530,,
Pseudo,2,0-74,355-399,534-582,
Pseudo,3,415-467,,,
Pseudo,4,0-42,414-487,506-587,
Pseudo,5,,,,
Pseudo,6,482-541,,,
Pseudo,7,397-464,,,
Pseudo,8,143-199,,,
Pseudo,9,339-452,,,
Pseudo,10,374-525,,,
Pseudo,11,,,,
Pseudo,12,9-88,,,
Pseudo,13,356-393,427-499,,
Pseudo,14,180-238,,,
Pseudo,15,178-218,546-594,,
Pseudo,16,489-541,,,
Pseudo,17,308-347,487-524,,
Pseudo,18,365-464,,,
Pseudo,19,320-486,,,
Pseudo,20,397-447,,,
Pseudo,21,309-360,523-566,,
Pseudo,22,520-593,,,
Pseudo,23,213-334,,,
Pseudo,24,306-358,362-445,,
Pseudo,25,205-242,335-459,565-602,
Pseudo,26,270-319,408-457,,
Pseudo,27,254-297,,,
Pseudo,28,437-477,,,
Pseudo,29,412-474,,,
Pseudo,30,434-491,551-613,,
Pseudo,31,410-472,,,
Pseudo,32,424-506,,,
Pseudo,33,329-430,,,
Pseudo,34,301-343,394-440,,
Pseudo,35,467-534,,,
Pseudo,36,91-136,482-542,,
Pseudo,37,356-453,,,
Pseudo,38,364-538,,,
Pseudo,39,,,,
Pseudo,40,,,,
Pseudo,41,203-259,426-482,,
Pseudo,42,370-431,,,
Pseudo,43,363-449,,,
Pseudo,44,,,,
Pseudo,45,,,,
Pseudo,46,345-407,,,
Pseudo,47,9-55,336-389,464-515,
Pseudo,48,401-507,,,
Pseudo,49,,,,
Pseudo,50,434-506,511-562,566-603,
Pseudo,51,54-117,,,
Pseudo,52,217-290,356-440,454-496,571-613
Pseudo,53,320-422,447-522,,
Pseudo,54,,,,
Pseudo,55,358-450,,,
Pseudo,56,0-116,397-441,495-544,
Pseudo,57,250-292,,,
Pseudo,58,407-444,453-515,,
Pseudo,59,376-486,,,
Pseudo,60,377-464,471-514,,
Pseudo,61,,,,
Pseudo,62,0-58,,,
Pseudo,63,373-463,,,
Pseudo,64,354-411,418-458,509-583,
Pseudo,65,192-242,,,
Pseudo,66,,,,
Pseudo,67,391-481,494-556,,
Pseudo,68,403-453,,,
Pseudo,69,336-382,387-450,,
Pseudo,70,335-386,433-478,,
Pseudo,71,272-344,417-488,,
Pseudo,72,272-310,409-487,,
Pseudo,73,304-370,493-583,,
Pseudo,74,241-325,419-496,,
Pseudo,75,,,,
Pseudo,76,298-342,,,
Pseudo,77,,,,
Pseudo,78,,,,
Pseudo,79,91-140,511-552,,
Pseudo,80,410-483,,,
Pseudo,81,,,,
Pseudo,82,,,,
Pseudo,83,,,,
Pseudo,84,5-43,,,
Pseudo,85,540-605,,,
Pseudo,86,206-360,428-485,,
Pseudo,87,399-480,,,
Pseudo,88,258-328,460-524,,
Pseudo,89,450-545,,,
Pseudo,90,0-60,454-540,,
Pseudo,91,430-485,,,
Pseudo,92,,,,
Pseudo,93,404-448,,,
Pseudo,94,541-613,,,
Pseudo,95,310-354,,,
Pseudo,96,514-613,,,
Pseudo,97,573-613,,,
Pseudo,98,245-365,,,
Pseudo,99,341-513,,,
Pseudo,100,190-285,334-399,,
Pseudo,101,33-81,,,
Pseudo,102,279-317,386-481,,
Pseudo,103,248-288,,,
Pseudo,104,371-444,512-548,568-613,
Pseudo,105,,,,
Pseudo,106,282-343,,,
Pseudo,107,391-490,,,
Pseudo,108,322-379,,,
Pseudo,109,,,,
Pseudo,110,308-367,,,
Pseudo,111,0-59,340-425,,
Pseudo,112,0-95,397-433,,
Pseudo,113,320-427,466-532,,
Pseudo,114,270-312,341-478,,
Pseudo,115,351-423,473-522,,
Pseudo,116,415-470,,,
Pseudo,117,,,,
Pseudo,118,,,,
Pseudo,119,105-143,424-480,,
Pseudo,120,,,,
Pseudo,121,8-51,107-188,,
Pseudo,122,,,,
Pseudo,123,,,,
Pseudo,124,317-362,434-541,,
Pseudo,125,353-433,,,
Pseudo,126,,,,
Pseudo,127,,,,
Pseudo,128,,,,
Pseudo,129,304-450,,,
Pseudo,130,0-40,321-435,502-552,
Pseudo,131,487-537,,,
Pseudo,132,182-226,382-420,,
Pseudo,133,541-610,,,
Pseudo,134,242-328,455-495,,
Pseudo,135,387-497,,,
Pseudo,136,299-346,389-467,,
Pseudo,137,466-540,,,
Pseudo,138,342-476,,,
Pseudo,139,499-593,,,
Pseudo,140,555-613,,,
Pseudo,141,451-495,,,
Pseudo,142,498-569,,,
Pseudo,143,414-518,,,
Pseudo,144,419-509,,,
Pseudo,145,472-546,,,
Pseudo,146,0-57,561-600,,
Pseudo,147,208-280,,,
Pseudo,148,490-568,,,
Pseudo,149,203-345,,,
Pseudo,150,387-439,447-486,,
Pseudo,151,525-612,,,
Pseudo,152,,,,
Pseudo,153,364-490,,,
Pseudo,154,391-474,,,
Pseudo,155,522-613,,,
Pseudo,156,322-376,481-520,,
Pseudo,157,395-506,,,
Pseudo,158,448-531,,,
Pseudo,159,110-150,,,
Pseudo,160,381-486,,,
Pseudo,161,160-246,,,
Pseudo,162,296-343,462-575,,
Pseudo,163,,,,
Pseudo,164,362-438,,,
Pseudo,165,215-258,262-478,,
Pseudo,166,253-291,409-465,572-613,
Pseudo,167,347-391,,,
Pseudo,168,312-373,463-558,,
Pseudo,169,303-402,,,
Pseudo,170,274-350,,,
Pseudo,171,253-384,388-510,,
Pseudo,172,162-203,339-385,,
Pseudo,173,,,,
Pseudo,174,394-477,,,
Pseudo,175,444-564,,,
Pseudo,176,394-436,440-605,,
Pseudo,177,444-541,,,
Pseudo,178,,,,
Pseudo,179,401-504,,,
Pseudo,180,208-325,437-487,,
Pseudo,181,,,,
Pseudo,182,379-425,,,
Pseudo,183,391-456,558-613,,
Pseudo,184,380-571,,,
Pseudo,185,75-130,,,
Pseudo,186,347-385,389-499,553-613,
Pseudo,187,276-333,404-448,,
Pseudo,188,,,,
Pseudo,189,180-236,,,
Pseudo,190,324-428,536-603,,
Pseudo,191,,,,
Pseudo,192,,,,
Pseudo,193,461-562,,,
Pseudo,194,355-436,,,
Pseudo,195,,,,
Pseudo,196,417-608,,,
Pseudo,197,327-383,,,
Pseudo,198,,,,
Pseudo,199,243-318,381-464,,
Pseudo,200,241-282,,,
Pseudo,201,,,,
Pseudo,202,0-120,,,
Pseudo,203,,,,
Pseudo,204,,,,
Pseudo,205,342-428,433-517,,
Pseudo,206,513-613,,,
Pseudo,207,459-514,,,
Pseudo,208,427-466,,,
Pseudo,209,283-342,469-562,,
Pseudo,210,348-503,,,
Pseudo,211,323-538,,,
Pseudo,212,427-562,,,
Pseudo,213,67-118,287-334,,
Pseudo,214,506-556,,,
Pseudo,215,,,,
Pseudo,216,,,,
Pseudo,217,399-454,,,
Pseudo,218,266-324,429-498,,
Pseudo,219,395-437,504-577,,
Pseudo,220,340-416,455-524,529-570,
Pseudo,221,363-601,,,
Pseudo,222,403-540,,,
Pseudo,223,387-495,,,
Pseudo,224,499-543,,,
Pseudo,225,409-452,464-526,,
Pseudo,226,405-488,531-584,,
Pseudo,227,316-368,429-473,,
Pseudo,228,342-439,,,
Pseudo,229,431-473,,,
Pseudo,230,459-550,,,
Pseudo,231,393-442,,,
Pseudo,232,263-318,394-536,,
Pseudo,233,14-69,409-564,,
Pseudo,234,336-396,,,
Pseudo,235,391-455,,,
Pseudo,236,227-326,369-492,,
Pseudo,237,211-263,286-323,352-477,
Pseudo,238,519-592,,,
Pseudo,239,62-99,232-286,431-491,
Pseudo,240,346-494,554-613,,
Pseudo,241,422-534,,,
Pseudo,242,345-459,534-591,,
Pseudo,243,412-464,,,
Pseudo,244,303-375,442-540,,
Pseudo,245,356-428,,,
Pseudo,246,,,,
Pseudo,247,118-163,451-506,515-551,
Pseudo,248,406-546,561-602,,
Pseudo,249,305-346,421-537,,
Pseudo,250,,,,
Pseudo,251,400-508,,,
Pseudo,252,409-481,,,
Pseudo,253,215-270,,,
Pseudo,254,378-480,,,
Pseudo,255,301-399,,,
Pseudo,256,434-523,,,
Pseudo,257,443-532,,,
Pseudo,258,401-495,,,
Pseudo,259,42-87,426-510,,
Pseudo,260,409-456,492-613,,
Pseudo,261,0-72,434-520,,
Pseudo,262,,,,
Pseudo,263,438-501,,,
Pseudo,264,32-74,456-529,,
Pseudo,265,77-145,426-519,,
Pseudo,266,366-445,,,
Pseudo,267,303-489,,,
Pseudo,268,422-470,,,
Pseudo,269,103-155,,,
Pseudo,270,,,,
Pseudo,271,314-502,,,
Pseudo,272,,,,
Pseudo,273,260-537,,,
Pseudo,274,219-275,346-465,,
Pseudo,275,6-44,455-512,,
Pseudo,276,353-435,,,
Pseudo,277,,,,
Pseudo,278,428-472,,,
Pseudo,279,63-102,416-455,,
Pseudo,280,78-125,168-205,,
Pseudo,281,172-268,332-375,,
Pseudo,282,,,,
Pseudo,283,274-357,505-546,,
Pseudo,284,418-552,,,
Pseudo,285,294-348,,,
Pseudo,286,365-454,458-495,,
Pseudo,287,339-570,,,
Pseudo,288,292-410,,,
Pseudo,289,127-169,280-335,450-515,
Pseudo,290,371-529,,,
Pseudo,291,443-515,,,
Pseudo,292,355-408,432-478,,
Pseudo,293,434-508,,,
Pseudo,294,564-613,,,
Pseudo,295,415-504,,,
Pseudo,296,432-560,,,
Pseudo,297,48-85,232-274,,
Pseudo,298,,,,
Pseudo,299,,,,
Pseudo,300,261-360,428-485,,
Pseudo,301,409-452,560-613,,
Pseudo,302,361-422,,,
Pseudo,303,367-482,,,
Pseudo,304,444-485,492-552,,
Pseudo,305,393-493,,,
Pseudo,306,351-397,402-470,,
Pseudo,307,,,,
Pseudo,308,,,,
Pseudo,309,416-482,,,
Pseudo,310,259-337,344-502,,
Pseudo,311,14-134,429-535,,
Pseudo,312,347-414,424-491,,
Pseudo,313,358-438,,,
Pseudo,314,,,,
Pseudo,315,149-199,267-366,,
Pseudo,316,,,,
Pseudo,317,,,,
Pseudo,318,394-431,522-581,,
Pseudo,319,423-461,471-554,,
Pseudo,320,188-321,,,
Pseudo,321,430-477,556-613,,
Pseudo,322,331-392,409-504,,
Pseudo,323,355-415,476-575,,
Pseudo,324,393-509,,,
Pseudo,325,257-391,436-536,,
Pseudo,326,17-60,,,
Pseudo,327,272-327,491-551,,
Pseudo,328,341-441,,,
Pseudo,329,362-441,478-570,,
Pseudo,330,,,,
Pseudo,331,437-547,,,
Pseudo,332,8-56,,,
Pseudo,333,314-413,,,
Pseudo,334,307-381,398-437,,
Pseudo,335,4-147,167-229,510-610,
Pseudo,336,238-274,428-496,,
Pseudo,337,532-600,,,
Pseudo,338,,,,
Pseudo,339,328-386,,,
Pseudo,340,395-451,,,
Pseudo,341,344-380,411-460,,
Pseudo,342,387-556,,,
Pseudo,343,0-42,326-372,,
Pseudo,344,307-353,,,
Pseudo,345,,,,
Pseudo,346,86-143,,,
Pseudo,347,274-348,382-418,447-521,
Pseudo,348,272-345,409-491,,
Pseudo,349,130-175,,,
Pseudo,350,398-523,,,
Pseudo,351,303-384,404-514,,
Pseudo,352,365-441,458-525,,
Pseudo,353,506-597,,,
Pseudo,354,27-88,573-613,,
Pseudo,355,,,,
Pseudo,356,547-604,,,
Pseudo,357,313-487,,,
Pseudo,358,334-424,,,
Pseudo,359,226-274,,,
Pseudo,360,380-608,,,
Pseudo,361,198-274,291-355,,
Pseudo,362,297-437,442-526,,
Pseudo,363,0-219,,,
Pseudo,364,400-484,,,
Pseudo,365,327-371,,,
Pseudo,366,,,,
Pseudo,367,325-499,,,
Pseudo,368,400-509,,,
Pseudo,369,416-459,516-558,,
Pseudo,370,362-500,,,
Pseudo,371,,,,
Pseudo,372,372-479,559-604,,
Pseudo,373,159-204,339-432,,
Pseudo,374,501-563,,,
Pseudo,375,432-558,,,
Pseudo,376,234-302,,,
Pseudo,377,309-443,451-588,,
Pseudo,378,388-463,,,
Pseudo,379,402-468,,,
Pseudo,380,364-408,,,
Pseudo,381,444-487,494-613,,
Pseudo,382,499-538,,,
Pseudo,383,393-530,,,
Pseudo,384,368-471,,,
Pseudo,385,405-457,,,
Pseudo,386,64-160,260-343,,
Pseudo,387,454-492,,,
Pseudo,388,172-229,379-451,,
Pseudo,389,469-558,,,
Pseudo,390,422-502,,,
Pseudo,391,231-308,,,
Pseudo,392,,,,
Pseudo,393,392-503,,,
Pseudo,394,400-497,,,
Pseudo,395,195-233,,,
Pseudo,396,7-63,428-513,,
Pseudo,397,,,,
Pseudo,398,224-458,,,
Pseudo,399,409-482,,,
Pseudo,400,340-382,430-576,,
Pseudo,401,100-174,304-362,505-552,
Pseudo,402,385-481,,,
Pseudo,403,394-512,,,
Pseudo,404,536-613,,,
Pseudo,405,369-441,,,
Pseudo,406,247-295,409-526,,
Pseudo,407,,,,
Pseudo,408,570-613,,,
Pseudo,409,372-550,,,
Pseudo,410,167-221,521-573,,
Pseudo,411,300-414,514-579,,
Pseudo,412,328-371,417-501,,
Pseudo,413,,,,
Pseudo,414,0-129,,,
Pseudo,415,175-219,373-454,,
Pseudo,416,385-494,,,
Pseudo,417,418-485,,,
Pseudo,418,415-504,519-570,,
Pseudo,419,236-290,,,
Pseudo,420,312-355,,,
Pseudo,421,519-602,,,
Pseudo,422,427-473,,,
Pseudo,423,66-170,,,
Pseudo,424,356-496,,,
Pseudo,425,329-542,,,
Pseudo,426,312-433,546-591,,
Pseudo,427,570-613,,,
Pseudo,428,502-613,,,
Pseudo,429,361-464,,,
Pseudo,430,25-81,422-488,,
Pseudo,431,119-195,346-391,,
Pseudo,432,445-510,,,
Pseudo,433,346-497,,,
Pseudo,434,346-499,,,
Pseudo,435,,,,
Pseudo,436,520-561,,,
Pseudo,437,230-319,400-457,,
Pseudo,438,382-494,,,
Pseudo,439,400-585,,,
Pseudo,440,367-430,,,
Pseudo,441,345-399,486-533,,
Pseudo,442,,,,
Pseudo,443,0-53,122-217,,
Pseudo,444,409-598,,,
Pseudo,445,38-186,483-520,,
Pseudo,446,308-463,,,
Pseudo,447,210-258,,,
Pseudo,448,534-613,,,
Pseudo,449,383-549,,,
Pseudo,450,111-169,244-320,,
Pseudo,451,502-569,,,
Pseudo,452,322-361,427-491,,
Pseudo,453,358-414,,,
Pseudo,454,,,,
Pseudo,455,334-443,548-593,,
Pseudo,456,516-613,,,
Pseudo,457,32-103,512-613,,
Pseudo,458,31-109,,,
Pseudo,459,131-176,317-410,,
Pseudo,460,353-458,,,
Pseudo,461,378-433,,,
Pseudo,462,197-434,,,
Pseudo,463,94-193,,,
Pseudo,464,422-506,,,
Pseudo,465,563-613,,,
Pseudo,466,132-170,477-522,,
Pseudo,467,216-266,385-449,,
Pseudo,468,354-432,,,
Pseudo,469,289-442,486-531,,
Pseudo,470,413-450,,,
Pseudo,471,,,,
Pseudo,472,268-328,459-516,,
Pseudo,473,,,,
Pseudo,474,394-529,,,
Pseudo,475,224-345,393-450,,
Pseudo,476,299-558,,,
Pseudo,477,114-159,293-329,,
Pseudo,478,287-357,372-422,429-468,
Pseudo,479,319-368,,,
Pseudo,480,0-38,,,
Pseudo,481,360-444,,,
Pseudo,482,523-571,,,
Pseudo,483,0-63,,,
Pseudo,484,518-613,,,
Pseudo,485,414-517,,,
Pseudo,486,70-119,400-437,,
Pseudo,487,72-111,392-496,576-613,
Pseudo,488,310-429,,,
Pseudo,489,274-393,468-536,,
Pseudo,490,355-477,568-613,,
Pseudo,491,,,,
Pseudo,492,398-541,,,
Pseudo,493,402-443,512-555,,
Pseudo,494,246-383,,,
Pseudo,495,414-480,,,
Pseudo,496,62-109,,,
Pseudo,497,44-98,,,
Pseudo,498,375-529,,,
Pseudo,499,331-376,,,
Pseudo,500,326-377,429-490,,
Pseudo,501,250-332,,,
Pseudo,502,0-51,394-430,,
Pseudo,503,349-437,,,
Pseudo,504,,,,
Pseudo,505,356-515,,,
Pseudo,506,362-480,,,
Pseudo,507,314-358,401-466,,
Pseudo,508,,,,
Pseudo,509,273-311,396-448,,
Pseudo,510,170-212,,,
Pseudo,511,63-123,,,
Pseudo,512,132-170,525-568,,
Pseudo,513,385-434,515-553,,
Pseudo,514,244-349,471-523,,
Pseudo,515,,,,
Pseudo,516,,,,
Pseudo,517,39-77,,,
Pseudo,518,0-49,135-203,,
Pseudo,519,0-56,557-595,,
Pseudo,520,429-613,,,
Pseudo,521,232-279,335-408,419-511,
Pseudo,522,435-501,,,
Pseudo,523,375-412,532-574,,
Pseudo,524,400-453,,,
Pseudo,525,260-310,322-411,,
Pseudo,526,330-448,553-596,,
Pseudo,527,445-612,,,
Pseudo,528,0-82,391-434,497-594,
Pseudo,529,150-197,,,
Pseudo,530,416-508,,,
Pseudo,531,469-531,,,
Pseudo,532,361-423,,,
Pseudo,533,274-334,,,
Pseudo,534,329-440,,,
Pseudo,535,250-338,425-486,,
Pseudo,536,,,,
Pseudo,537,345-438,,,
Pseudo,538,381-509,,,
Pseudo,539,547-612,,,
Pseudo,540,336-483,,,
Pseudo,541,326-367,435-505,,
Pseudo,542,234-274,,,
Pseudo,543,394-481,,,
Pseudo,544,,,,
Pseudo,545,354-470,,,
Pseudo,546,,,,
Pseudo,547,,,,
Pseudo,548,279-333,395-508,,
Pseudo,549,263-345,400-464,,
Pseudo,550,265-355,,,
