Organism,Seq,Positions,,,,
Chlamydia,1,272-432,512-544,,,
Chlamydia,2,224-488,,,,
Chlamydia,3,168-248,384-480,,,
Chlamydia,4,96-456,,,,
Chlamydia,5,152-184,312-480,,,
Chlamydia,6,272-480,,,,
Chlamydia,7,88-216,368-408,536-552,,
Chlamydia,8,256-272,360-424,480-560,,
Chlamydia,9,48-80,288-560,,,
Chlamydia,10,40-64,256-544,,,
Chlamydia,11,80-104,168-376,,,
Chlamydia,12,304-472,,,,
Chlamydia,13,168-248,344-440,,,
Chlamydia,14,0-32,320-560,,,
Chlamydia,15,56-136,392-424,536-560,,
Chlamydia,16,264-288,352-488,,,
Chlamydia,17,208-432,,,,
Chlamydia,18,56-488,,,,
Chlamydia,19,168-272,288-456,,,
Chlamydia,20,0-24,328-424,480-560,,
Chlamydia,21,0-16,88-552,,,
Chlamydia,22,216-560,,,,
Chlamydia,23,408-544,,,,
Chlamydia,24,128-560,,,,
Chlamydia,25,64-128,264-560,,,
Chlamydia,26,232-256,352-384,,,
Chlamydia,27,312-424,,,,
Chlamydia,28,0-8,160-232,336-552,,
Chlamydia,29,24-448,,,,
Chlamydia,30,296-560,,,,
Chlamydia,31,304-416,488-504,,,
Chlamydia,32,0-56,216-472,536-560,,
Chlamydia,33,168-416,,,,
Chlamydia,34,240-448,,,,
Chlamydia,35,208-408,,,,
Chlamydia,36,40-560,,,,
Chlamydia,37,192-424,536-560,,,
Chlamydia,38,32-72,216-408,,,
Chlamydia,39,64-440,528-544,,,
Chlamydia,40,344-440,,,,
Chlamydia,41,40-80,144-408,,,
Chlamydia,42,8-56,144-432,,,
Chlamydia,43,128-424,,,,
Chlamydia,44,0-144,224-360,,,
Chlamydia,45,304-560,,,,
Chlamydia,46,72-104,224-416,,,
Chlamydia,47,328-544,,,,
Chlamydia,48,0-16,328-408,472-528,,
Chlamydia,49,112-144,312-560,,,
Chlamydia,50,0-40,112-168,288-368,,
Chlamydia,51,216-408,,,,
Chlamydia,52,72-176,384-464,,,
Chlamydia,53,56-392,,,,
Chlamydia,54,192-312,336-368,,,
Chlamydia,55,232-408,,,,
Chlamydia,56,208-376,448-552,,,
Chlamydia,57,280-440,,,,
Chlamydia,58,8-520,,,,
Chlamydia,59,120-248,352-448,520-560,,
Chlamydia,60,112-200,328-416,,,
Chlamydia,61,304-440,520-552,,,
Chlamydia,62,0-24,288-440,,,
Chlamydia,63,272-440,,,,
Chlamydia,64,8-64,144-416,,,
Chlamydia,65,192-232,328-456,,,
Chlamydia,66,136-216,392-496,,,
Chlamydia,67,40-88,352-416,464-544,,
Chlamydia,68,0-376,504-560,,,
Chlamydia,69,160-360,408-480,,,
Chlamydia,70,168-368,,,,
Chlamydia,71,0-104,312-528,,,
Chlamydia,72,224-496,,,,
Chlamydia,73,200-464,,,,
Chlamydia,74,112-168,360-408,,,
Chlamydia,75,256-464,,,,
Chlamydia,76,152-232,360-448,,,
Chlamydia,77,24-48,272-472,,,
Chlamydia,78,256-432,520-560,,,
Chlamydia,79,56-104,200-480,,,
Chlamydia,80,256-480,,,,
Chlamydia,81,256-496,,,,
Chlamydia,82,0-80,208-496,,,
Chlamydia,83,224-552,,,,
Chlamydia,84,0-64,136-560,,,
Chlamydia,85,368-544,,,,
Chlamydia,86,0-56,224-264,368-552,,
Chlamydia,87,168-416,,,,
Chlamydia,88,40-168,280-552,,,
Chlamydia,89,280-456,,,,
Chlamydia,90,152-208,288-432,,,
Chlamydia,91,0-456,,,,
Chlamydia,92,288-440,,,,
Chlamydia,93,144-376,448-552,,,
Chlamydia,94,24-56,224-432,,,
Chlamydia,95,8-56,112-208,376-528,,
Chlamydia,96,96-560,,,,
Chlamydia,97,0-8,160-440,512-560,,
Chlamydia,98,168-280,392-440,504-560,,
Chlamydia,99,112-416,504-560,,,
Chlamydia,100,160-360,400-560,,,
Chlamydia,101,240-424,,,,
Chlamydia,102,0-96,168-256,368-448,,
Chlamydia,103,0-40,112-184,352-560,,
Chlamydia,104,72-104,272-384,536-560,,
Chlamydia,105,104-200,264-296,432-560,,
Chlamydia,106,304-440,,,,
Chlamydia,107,144-184,256-440,,,
Chlamydia,108,304-472,,,,
Chlamydia,109,0-64,240-528,,,
Chlamydia,110,248-504,,,,
Chlamydia,111,112-176,288-408,504-552,,
Chlamydia,112,8-72,280-528,,,
Chlamydia,113,256-424,,,,
Chlamydia,114,0-56,280-432,,,
Chlamydia,115,208-536,,,,
Chlamydia,116,176-528,,,,
Chlamydia,117,0-8,128-416,496-520,,
Chlamydia,118,8-248,320-544,,,
Chlamydia,119,264-368,,,,
Chlamydia,120,312-448,488-560,,,
Chlamydia,121,136-560,,,,
Chlamydia,122,0-80,320-448,520-560,,
Chlamydia,123,192-472,,,,
Chlamydia,124,272-448,,,,
Chlamydia,125,264-496,,,,
Chlamydia,126,248-272,304-424,,,
Chlamydia,127,176-552,,,,
Chlamydia,128,272-536,,,,
Chlamydia,129,48-72,352-424,,,
Chlamydia,130,208-392,,,,
Chlamydia,131,200-456,,,,
Chlamydia,132,24-40,120-184,264-384,472-536,
Chlamydia,133,160-488,,,,
Chlamydia,134,80-184,248-560,,,
Chlamydia,135,264-384,496-560,,,
Chlamydia,136,24-416,,,,
Chlamydia,137,56-552,,,,
Chlamydia,138,256-304,384-440,488-560,,
Chlamydia,139,0-40,360-560,,,
Chlamydia,140,184-240,336-480,,,
Chlamydia,141,72-184,264-312,400-560,,
Chlamydia,142,168-240,320-560,,,
Chlamydia,143,96-504,,,,
Chlamydia,144,0-48,240-472,,,
Chlamydia,145,104-464,,,,
Chlamydia,146,104-552,,,,
Chlamydia,147,248-496,,,,
Chlamydia,148,0-104,160-304,416-560,,
Chlamydia,149,344-464,,,,
Chlamydia,150,256-544,,,,
Chlamydia,151,128-168,240-504,,,
Chlamydia,152,304-552,,,,
Chlamydia,153,8-280,368-560,,,
Chlamydia,154,232-440,,,,
Chlamydia,155,0-96,160-224,320-472,,
Chlamydia,156,120-152,264-560,,,
Chlamydia,157,0-8,48-80,216-296,376-448,496-560
Chlamydia,158,112-144,216-536,,,
Chlamydia,159,128-512,,,,
Chlamydia,160,280-560,,,,
