Organism,Seq,Positions,,,
Ecoli,1,344-440,,,
Ecoli,2,0-120,280-408,,
Ecoli,3,312-400,,,
Ecoli,4,288-448,,,
Ecoli,5,280-496,,,
Ecoli,6,256-480,,,
Ecoli,7,0-40,240-304,360-464,
Ecoli,8,120-176,320-448,,
Ecoli,9,0-216,296-400,,
Ecoli,10,320-488,,,
Ecoli,11,16-64,248-512,,
Ecoli,12,136-552,,,
Ecoli,13,312-528,,,
Ecoli,14,0-128,368-432,,
Ecoli,15,0-104,184-232,344-440,
Ecoli,16,120-280,392-456,,
Ecoli,17,0-144,208-408,,
Ecoli,18,280-408,432-480,496-552,
Ecoli,19,232-552,,,
Ecoli,20,216-240,352-496,,
Ecoli,21,0-136,296-440,,
Ecoli,22,176-360,,,
Ecoli,23,112-504,,,
Ecoli,24,360-464,,,
Ecoli,25,64-192,288-448,,
Ecoli,26,344-496,,,
Ecoli,27,0-16,280-464,,
Ecoli,28,96-464,,,
Ecoli,29,312-472,,,
Ecoli,30,408-496,,,
Ecoli,31,352-472,,,
Ecoli,32,248-416,,,
Ecoli,33,216-440,,,
Ecoli,34,32-512,,,
Ecoli,35,216-400,,,
Ecoli,36,208-536,,,
Ecoli,37,136-168,264-536,,
Ecoli,38,216-504,,,
Ecoli,39,216-240,336-560,,
Ecoli,40,40-96,272-480,,
Ecoli,41,304-440,,,
Ecoli,42,112-152,256-416,,
Ecoli,43,176-224,376-496,,
Ecoli,44,304-512,,,
Ecoli,45,0-96,280-400,440-544,
Ecoli,46,0-416,,,
Ecoli,47,8-24,56-128,240-424,
Ecoli,48,280-480,,,
Ecoli,49,240-448,,,
Ecoli,50,240-488,,,
Ecoli,51,304-488,,,
Ecoli,52,48-488,,,
Ecoli,53,104-112,136-168,296-320,344-496
Ecoli,54,0-104,184-232,312-472,
Ecoli,55,352-472,,,
Ecoli,56,152-456,,,
Ecoli,57,0-152,200-472,,
Ecoli,58,384-560,,,
Ecoli,59,304-560,,,
Ecoli,60,256-528,,,
Ecoli,61,0-136,240-256,344-456,
Ecoli,62,56-168,384-464,,
Ecoli,63,280-328,400-472,,
Ecoli,64,168-408,,,
Ecoli,65,184-392,,,
Ecoli,66,216-480,,,
Ecoli,67,104-520,,,
Ecoli,68,408-440,,,
Ecoli,69,208-248,384-552,,
Ecoli,70,336-560,,,
Ecoli,71,392-488,,,
Ecoli,72,232-264,456-496,,
Ecoli,73,24-32,232-456,,
Ecoli,74,384-432,,,
Ecoli,75,312-528,,,
Ecoli,76,120-560,,,
Ecoli,77,16-416,,,
Ecoli,78,152-176,312-448,,
Ecoli,79,264-560,,,
Ecoli,80,88-104,200-248,304-480,
Ecoli,81,64-208,320-504,,
Ecoli,82,0-32,128-184,264-400,472-536
Ecoli,83,160-416,,,
Ecoli,84,88-200,280-328,392-432,
Ecoli,85,200-456,,,
Ecoli,86,296-480,,,
Ecoli,87,232-472,,,
Ecoli,88,320-384,,,
Ecoli,89,264-456,,,
Ecoli,90,32-456,,,
Ecoli,91,,,,
Ecoli,92,128-136,360-464,536-552,
Ecoli,93,0-48,352-512,,
Ecoli,94,240-480,,,
Ecoli,95,0-128,288-424,,
Ecoli,96,0-144,288-536,,
Ecoli,97,0-104,184-248,344-392,520-560
Ecoli,98,376-560,,,
Ecoli,99,160-248,344-440,,
Ecoli,100,72-176,280-352,416-456,
Ecoli,101,96-560,,,
Ecoli,102,0-72,248-424,,
Ecoli,103,280-400,448-472,,
Ecoli,104,176-224,296-336,496-552,
Ecoli,105,0-40,192-408,,
Ecoli,106,296-416,,,
Ecoli,107,208-392,,,
Ecoli,108,328-448,,,
Ecoli,109,0-136,256-560,,
Ecoli,110,256-416,448-488,,
Ecoli,111,328-488,,,
Ecoli,112,368-536,,,
Ecoli,113,,,,
Ecoli,114,,,,
Ecoli,115,264-472,,,
Ecoli,116,0-384,,,
Ecoli,117,216-488,,,
Ecoli,118,0-136,432-520,,
Ecoli,119,272-440,,,
Ecoli,120,232-240,384-464,,
Ecoli,121,328-424,,,
Ecoli,122,128-160,288-472,,
Ecoli,123,136-368,432-488,,
Ecoli,124,136-464,,,
Ecoli,125,128-264,,,
Ecoli,126,0-456,,,
Ecoli,127,256-416,496-560,,
Ecoli,128,224-232,264-272,328-496,
Ecoli,129,136-488,,,
Ecoli,130,272-400,504-520,,
Ecoli,131,152-264,368-488,,
Ecoli,132,120-168,288-496,,
Ecoli,133,72-192,280-400,,
Ecoli,134,0-24,328-448,512-560,
Ecoli,135,136-352,416-464,,
Ecoli,136,328-432,,,
Ecoli,137,184-360,,,
Ecoli,138,256-440,,,
Ecoli,139,24-472,,,
Ecoli,140,184-392,,,
Ecoli,141,208-280,344-440,,
Ecoli,142,0-448,,,
Ecoli,143,328-456,,,
Ecoli,144,0-64,184-344,,
Ecoli,145,296-496,,,
Ecoli,146,72-144,344-400,496-552,
Ecoli,147,240-440,,,
Ecoli,148,176-304,392-496,,
Ecoli,149,0-32,168-560,,
Ecoli,150,352-392,512-560,,
Ecoli,151,216-520,,,
Ecoli,152,40-368,,,
Ecoli,153,32-504,,,
Ecoli,154,224-536,,,
Ecoli,155,272-496,,,
Ecoli,156,0-96,168-192,320-384,
Ecoli,157,104-176,296-448,,
Ecoli,158,408-512,,,
Ecoli,159,248-432,,,
Ecoli,160,264-472,,,
Ecoli,161,0-272,376-480,,
Ecoli,162,176-528,,,
Ecoli,163,104-416,456-536,,
Ecoli,164,456-560,,,
Ecoli,165,120-432,,,
Ecoli,166,280-544,,,
Ecoli,167,0-120,256-528,,
Ecoli,168,272-408,,,
Ecoli,169,320-544,,,
Ecoli,170,200-208,368-416,,
Ecoli,171,216-432,,,
Ecoli,172,48-120,408-488,,
Ecoli,173,0-224,328-472,,
Ecoli,174,0-432,,,
Ecoli,175,208-456,,,
Ecoli,176,272-320,392-448,,
Ecoli,177,272-440,,,
Ecoli,178,280-504,,,
Ecoli,179,0-120,176-216,392-456,
Ecoli,180,32-80,264-560,,
Ecoli,181,264-352,,,
Ecoli,182,0-488,,,
Ecoli,183,0-8,160-256,328-456,
Ecoli,184,0-480,,,
Ecoli,185,152-168,256-432,488-560,
Ecoli,186,152-184,344-544,,
Ecoli,187,96-216,360-392,,
Ecoli,188,280-432,,,
Ecoli,189,224-288,352-448,,
Ecoli,190,80-144,224-440,504-552,
Ecoli,191,144-496,,,
Ecoli,192,32-120,248-400,504-560,
Ecoli,193,0-224,304-520,,
Ecoli,194,56-144,240-480,,
Ecoli,195,16-24,336-560,,
Ecoli,196,120-192,328-360,,
Ecoli,197,272-304,,,
Ecoli,198,8-56,352-560,,
Ecoli,199,312-384,,,
Ecoli,200,80-480,,,
Ecoli,201,304-352,424-456,,
Ecoli,202,96-128,376-512,,
Ecoli,203,168-400,,,
Ecoli,204,0-408,,,
Ecoli,205,0-440,,,
Ecoli,206,160-440,528-560,,
Ecoli,207,320-448,,,
Ecoli,208,368-520,,,
Ecoli,209,216-328,448-464,,
Ecoli,210,376-424,,,
Ecoli,211,336-520,,,
Ecoli,212,8-32,312-560,,
Ecoli,213,192-224,328-440,,
Ecoli,214,368-520,,,
Ecoli,215,40-136,216-384,,
Ecoli,216,0-32,328-472,,
Ecoli,217,96-136,232-456,,
Ecoli,218,72-224,336-480,,
Ecoli,219,160-472,,,
Ecoli,220,152-352,448-520,,
Ecoli,221,320-536,,,
Ecoli,222,112-376,,,
Ecoli,223,0-200,360-560,,
Ecoli,224,64-216,264-400,,
Ecoli,225,176-464,,,
Ecoli,226,0-280,432-448,,
Ecoli,227,80-288,360-424,512-536,
Ecoli,228,352-408,,,
Ecoli,229,336-488,,,
Ecoli,230,248-440,536-552,,
Ecoli,231,8-240,344-456,,
Ecoli,232,320-448,,,
Ecoli,233,320-488,,,
