Organism,Seq,Positions,,,
Pseudo,1,255-297,464-508,,
Pseudo,2,1-75,356-402,,
Pseudo,3,416-456,,,
Pseudo,4,0-41,420-486,506-584,
Pseudo,5,,,,
Pseudo,6,362-438,489-537,,
Pseudo,7,,,,
Pseudo,8,142-193,,,
Pseudo,9,341-450,547-592,,
Pseudo,10,375-524,,,
Pseudo,11,,,,
Pseudo,12,6-85,,,
Pseudo,13,451-494,,,
Pseudo,14,177-235,,,
Pseudo,15,179-218,546-590,,
Pseudo,16,506-551,,,
Pseudo,17,,,,
Pseudo,18,366-463,,,
Pseudo,19,320-483,,,
Pseudo,20,397-446,,,
Pseudo,21,318-359,524-561,,
Pseudo,22,528-613,,,
Pseudo,23,215-332,,,
Pseudo,24,367-443,,,
Pseudo,25,362-451,,,
Pseudo,26,272-315,409-466,483-531,
Pseudo,27,,,,
Pseudo,28,447-498,,,
Pseudo,29,413-473,,,
Pseudo,30,551-613,,,
Pseudo,31,403-467,,,
Pseudo,32,419-504,,,
Pseudo,33,329-420,,,
Pseudo,34,298-338,,,
Pseudo,35,468-524,,,
Pseudo,36,456-534,,,
Pseudo,37,356-437,,,
Pseudo,38,365-529,,,
Pseudo,39,,,,
Pseudo,40,,,,
Pseudo,41,199-258,427-478,,
Pseudo,42,371-418,,,
Pseudo,43,365-445,,,
Pseudo,44,,,,
Pseudo,45,,,,
Pseudo,46,358-407,,,
Pseudo,47,141-184,337-387,,
Pseudo,48,401-507,,,
Pseudo,49,,,,
Pseudo,50,,,,
Pseudo,51,70-149,,,
Pseudo,52,214-252,258-296,360-493,577-613
Pseudo,53,331-421,,,
Pseudo,54,,,,
Pseudo,55,353-451,,,
Pseudo,56,0-117,,,
Pseudo,57,,,,
Pseudo,58,,,,
Pseudo,59,373-479,,,
Pseudo,60,375-462,,,
Pseudo,61,69-133,,,
Pseudo,62,0-49,,,
Pseudo,63,381-460,,,
Pseudo,64,385-457,510-579,,
Pseudo,65,,,,
Pseudo,66,,,,
Pseudo,67,428-480,,,
Pseudo,68,405-456,473-542,,
Pseudo,69,338-381,,,
Pseudo,70,338-387,432-474,,
Pseudo,71,287-343,431-491,,
Pseudo,72,424-486,,,
Pseudo,73,300-371,492-579,,
Pseudo,74,239-320,423-497,,
Pseudo,75,,,,
Pseudo,76,450-486,,,
Pseudo,77,,,,
Pseudo,78,,,,
Pseudo,79,94-153,512-549,,
Pseudo,80,410-478,,,
Pseudo,81,,,,
Pseudo,82,,,,
Pseudo,83,,,,
Pseudo,84,,,,
Pseudo,85,325-374,541-594,,
Pseudo,86,232-284,289-341,,
Pseudo,87,401-477,,,
Pseudo,88,244-320,464-523,,
Pseudo,89,496-542,,,
Pseudo,90,0-52,397-535,,
Pseudo,91,431-485,,,
Pseudo,92,,,,
Pseudo,93,401-447,,,
Pseudo,94,536-613,,,
Pseudo,95,314-353,,,
Pseudo,96,497-613,,,
Pseudo,97,575-613,,,
Pseudo,98,244-282,287-364,455-497,
Pseudo,99,341-492,,,
Pseudo,100,192-284,335-399,,
Pseudo,101,34-74,,,
Pseudo,102,405-475,,,
Pseudo,103,,,,
Pseudo,104,369-440,513-550,566-613,
Pseudo,105,,,,
Pseudo,106,288-342,,,
Pseudo,107,393-490,,,
Pseudo,108,323-378,,,
Pseudo,109,,,,
Pseudo,110,309-367,,,
Pseudo,111,357-423,,,
Pseudo,112,3-91,443-481,,
Pseudo,113,320-427,491-529,,
Pseudo,114,344-477,,,
Pseudo,115,353-422,474-516,,
Pseudo,116,416-463,,,
Pseudo,117,,,,
Pseudo,118,,,,
Pseudo,119,108-144,444-489,,
Pseudo,120,,,,
Pseudo,121,11-51,104-189,,
Pseudo,122,,,,
Pseudo,123,,,,
Pseudo,124,317-357,435-537,,
Pseudo,125,342-401,,,
Pseudo,126,,,,
Pseudo,127,,,,
Pseudo,128,,,,
Pseudo,129,319-448,,,
Pseudo,130,0-41,322-414,504-550,
Pseudo,131,488-536,,,
Pseudo,132,,,,
Pseudo,133,552-613,,,
Pseudo,134,249-330,,,
Pseudo,135,389-486,,,
Pseudo,136,300-346,391-464,,
Pseudo,137,500-537,,,
Pseudo,138,258-317,343-473,,
Pseudo,139,75-114,496-592,,
Pseudo,140,556-613,,,
Pseudo,141,,,,
Pseudo,142,500-572,,,
Pseudo,143,451-491,,,
Pseudo,144,420-509,,,
Pseudo,145,473-546,,,
Pseudo,146,0-56,502-599,,
Pseudo,147,238-275,,,
Pseudo,148,491-555,,,
Pseudo,149,228-343,,,
Pseudo,150,388-438,,,
Pseudo,151,526-595,,,
Pseudo,152,,,,
Pseudo,153,364-487,,,
Pseudo,154,394-472,,,
Pseudo,155,541-613,,,
Pseudo,156,,,,
Pseudo,157,396-509,,,
Pseudo,158,421-541,,,
Pseudo,159,453-504,,,
Pseudo,160,382-473,,,
Pseudo,161,161-207,,,
Pseudo,162,290-342,466-562,,
Pseudo,163,,,,
Pseudo,164,387-433,,,
Pseudo,165,297-477,,,
Pseudo,166,410-464,,,
Pseudo,167,348-390,,,
Pseudo,168,313-372,465-539,,
Pseudo,169,304-401,,,
Pseudo,170,272-350,,,
Pseudo,171,255-331,338-382,393-504,
Pseudo,172,140-227,,,
Pseudo,173,,,,
Pseudo,174,414-476,,,
Pseudo,175,446-563,,,
Pseudo,176,395-435,441-605,,
Pseudo,177,446-534,,,
Pseudo,178,101-137,551-590,,
Pseudo,179,415-500,,,
Pseudo,180,200-374,438-479,,
Pseudo,181,,,,
Pseudo,182,377-447,,,
Pseudo,183,391-474,,,
Pseudo,184,387-574,,,
Pseudo,185,75-130,,,
Pseudo,186,390-480,550-605,,
Pseudo,187,276-334,482-536,,
Pseudo,188,,,,
Pseudo,189,181-234,,,
Pseudo,190,319-424,533-598,,
Pseudo,191,,,,
Pseudo,192,,,,
Pseudo,193,462-561,,,
Pseudo,194,366-435,,,
Pseudo,195,432-473,,,
Pseudo,196,418-587,,,
Pseudo,197,,,,
Pseudo,198,,,,
Pseudo,199,212-291,407-463,,
Pseudo,200,227-280,,,
Pseudo,201,,,,
Pseudo,202,0-80,,,
Pseudo,203,,,,
Pseudo,204,,,,
Pseudo,205,334-398,469-513,,
Pseudo,206,516-613,,,
Pseudo,207,,,,
Pseudo,208,,,,
Pseudo,209,281-344,471-560,,
Pseudo,210,349-503,,,
Pseudo,211,313-537,,,
Pseudo,212,428-546,,,
Pseudo,213,68-115,,,
Pseudo,214,507-555,,,
Pseudo,215,,,,
Pseudo,216,,,,
Pseudo,217,402-453,,,
Pseudo,218,270-319,456-501,,
Pseudo,219,192-231,395-435,,
Pseudo,220,348-419,438-524,530-568,
Pseudo,221,396-590,,,
Pseudo,222,409-536,,,
Pseudo,223,388-493,,,
Pseudo,224,500-546,,,
Pseudo,225,,,,
Pseudo,226,406-486,533-576,,
Pseudo,227,0-36,317-367,,
Pseudo,228,,,,
Pseudo,229,432-471,,,
Pseudo,230,,,,
Pseudo,231,394-446,471-531,,
Pseudo,232,264-310,398-536,,
Pseudo,233,411-552,,,
