Organism,Seq,Positions,,,
Helico,1,182;461,,,
Helico,2,275;355,359;415,428;472,
Helico,3,325;366,425;512,,
Helico,4,16;74,380;478,,
Helico,5,,,,
Helico,6,402;480,,,
Helico,7,47;91,158;221,232;271,387;437
Helico,8,330;398,404;467,518;554,
Helico,9,379;516,524;590,,
Helico,10,236;276,,,
Helico,11,231;270,354;455,571;613,
Helico,12,303;488,,,
Helico,13,281;348,415;451,,
Helico,14,0;45,326;422,431;469,
Helico,15,304;455,,,
Helico,16,349;394,425;502,,
Helico,17,371;413,460;499,,
Helico,18,447;611,,,
Helico,19,479;560,,,
Helico,20,277;374,,,
Helico,21,377;464,,,
Helico,22,332;431,476;512,,
Helico,23,286;331,,,
Helico,24,454;498,,,
Helico,25,391;451,557;613,,
Helico,26,253;290,370;449,,
Helico,27,327;367,,,
Helico,28,222;262,382;481,,
Helico,29,226;301,,,
Helico,30,311;435,439;484,,
Helico,31,360;514,,,
Helico,32,81;140,,,
Helico,33,199;328,368;478,,
Helico,34,365;458,571;613,,
Helico,35,,,,
Helico,36,372;443,,,
Helico,37,417;515,,,
Helico,38,211;366,397;454,,
Helico,39,45;84,399;496,,
Helico,40,328;405,529;581,,
Helico,41,76;124,162;265,405;441,
Helico,42,234;318,324;374,380;482,
Helico,43,,,,
Helico,44,220;499,,,
Helico,45,465;510,,,
Helico,46,279;364,394;453,,
Helico,47,236;320,355;485,,
Helico,48,204;259,,,
Helico,49,352;397,468;558,,
Helico,50,427;501,553;613,,
Helico,51,155;283,,,
Helico,52,253;410,,,
Helico,53,371;452,495;551,,
Helico,54,,,,
Helico,55,241;322,454;520,,
Helico,56,164;371,,,
Helico,57,89;175,242;308,,
Helico,58,311;446,,,
Helico,59,0;55,457;511,,
Helico,60,233;474,,,
Helico,61,392;482,,,
Helico,62,286;330,334;519,,
Helico,63,202;391,,,
Helico,64,0;52,402;513,554;604,
Helico,65,70;118,219;271,565;613,
Helico,66,363;491,,,
Helico,67,225;299,317;457,,
Helico,68,315;545,550;589,,
Helico,69,188;230,295;460,,
Helico,70,330;443,,,
Helico,71,401;503,,,
Helico,72,394;569,,,
Helico,73,20;80,426;532,,
Helico,74,520;570,,,
Helico,75,521;580,,,
Helico,76,348;437,,,
Helico,77,458;592,,,
Helico,78,302;465,,,
Helico,79,292;401,406;504,,
Helico,80,,,,
Helico,81,208;265,271;307,339;473,
Helico,82,366;416,,,
Helico,83,285;331,,,
Helico,84,296;488,,,
Helico,85,322;373,531;601,,
Helico,86,292;348,401;439,,
Helico,87,505;566,,,
Helico,88,190;232,299;469,,
Helico,89,338;480,,,
Helico,90,194;439,,,
Helico,91,,,,
Helico,92,275;322,421;491,498;550,
Helico,93,342;553,,,
Helico,94,530;603,,,
Helico,95,334;491,,,
Helico,96,244;372,395;518,,
