Organism,Seq,Positions,,,
Streptomyces,1,368-456,,,
Streptomyces,2,0-112,336-496,,
Streptomyces,3,128-304,,,
Streptomyces,4,208-320,504-560,,
Streptomyces,5,96-176,256-320,504-528,
Streptomyces,6,104-376,,,
Streptomyces,7,152-224,376-424,,
Streptomyces,8,0-16,464-504,,
Streptomyces,9,144-232,408-488,,
Streptomyces,10,0-72,376-440,,
Streptomyces,11,344-408,,,
Streptomyces,12,208-232,440-528,,
Streptomyces,13,0-24,256-560,,
Streptomyces,14,192-288,384-432,,
Streptomyces,15,240-400,,,
Streptomyces,16,0-72,200-264,352-488,
Streptomyces,17,168-200,392-456,,
Streptomyces,18,352-408,,,
Streptomyces,19,248-376,520-560,,
Streptomyces,20,32-400,,,
Streptomyces,21,352-456,,,
Streptomyces,22,248-312,384-432,,
Streptomyces,23,0-8,24-64,88-96,216-232
Streptomyces,24,400-504,,,
Streptomyces,25,0-24,248-304,,
Streptomyces,26,344-504,,,
Streptomyces,27,0-120,,,
Streptomyces,28,320-392,,,
Streptomyces,29,248-520,,,
Streptomyces,30,320-424,,,
Streptomyces,31,352-432,520-552,,
Streptomyces,32,376-432,,,
Streptomyces,33,344-424,,,
Streptomyces,34,296-504,,,
Streptomyces,35,392-544,,,
Streptomyces,36,360-384,,,
Streptomyces,37,392-456,,,
Streptomyces,38,,,,
Streptomyces,39,136-152,368-472,,
Streptomyces,40,0-80,400-456,,
Streptomyces,41,136-280,392-424,,
Streptomyces,42,296-400,,,
Streptomyces,43,384-408,,,
Streptomyces,44,376-408,,,
Streptomyces,45,352-424,,,
Streptomyces,46,344-440,,,
Streptomyces,47,240-280,464-544,,
Streptomyces,48,352-488,,,
Streptomyces,49,0-80,272-288,408-488,
Streptomyces,50,352-536,,,
Streptomyces,51,176-200,368-408,,
Streptomyces,52,360-560,,,
Streptomyces,53,360-416,,,
Streptomyces,54,240-272,376-424,520-544,
Streptomyces,55,312-416,,,
Streptomyces,56,376-424,,,
Streptomyces,57,288-504,,,
Streptomyces,58,264-384,,,
Streptomyces,59,80-168,400-448,,
Streptomyces,60,424-448,,,
Streptomyces,61,48-88,288-368,456-528,
Streptomyces,62,216-416,,,
Streptomyces,63,,,,
Streptomyces,64,224-560,,,
Streptomyces,65,,,,
Streptomyces,66,104-160,360-400,512-544,
Streptomyces,67,408-560,,,
Streptomyces,68,400-408,,,
Streptomyces,69,400-424,,,
Streptomyces,70,296-336,520-560,,
Streptomyces,71,304-424,,,
Streptomyces,72,0-24,296-384,,
Streptomyces,73,376-560,,,
Streptomyces,74,384-400,,,
Streptomyces,75,56-96,232-320,392-432,
Streptomyces,76,64-104,336-448,,
Streptomyces,77,280-424,,,
Streptomyces,78,128-192,504-544,,
Streptomyces,79,192-280,408-432,,
Streptomyces,80,128-256,432-480,,
Streptomyces,81,40-56,112-200,320-360,464-560
Streptomyces,82,328-544,,,
Streptomyces,83,344-416,,,
Streptomyces,84,224-232,448-520,,
Streptomyces,85,24-88,232-264,296-304,440-480
Streptomyces,86,,,,
Streptomyces,87,0-64,392-424,,
Streptomyces,88,344-560,,,
Streptomyces,89,368-464,,,
Streptomyces,90,248-504,,,
Streptomyces,91,128-472,,,
Streptomyces,92,0-8,296-432,,
Streptomyces,93,208-248,360-392,,
Streptomyces,94,344-400,,,
Streptomyces,95,0-32,312-408,,
Streptomyces,96,,,,
Streptomyces,97,240-296,488-536,,
Streptomyces,98,376-424,,,
Streptomyces,99,232-256,360-400,,
Streptomyces,100,280-496,,,
Streptomyces,101,0-16,344-440,,
Streptomyces,102,312-408,,,
Streptomyces,103,464-560,,,
Streptomyces,104,144-192,232-328,472-504,
Streptomyces,105,384-408,,,
Streptomyces,106,296-424,,,
Streptomyces,107,,,,
Streptomyces,108,0-56,392-448,,
Streptomyces,109,368-416,,,
Streptomyces,110,328-384,,,
Streptomyces,111,368-448,,,
Streptomyces,112,392-544,,,
Streptomyces,113,416-440,,,
Streptomyces,114,240-400,,,
Streptomyces,115,352-400,,,
Streptomyces,116,40-136,264-496,,
Streptomyces,117,304-360,408-480,,
Streptomyces,118,368-392,,,
Streptomyces,119,368-560,,,
Streptomyces,120,536-560,,,
Streptomyces,121,296-312,344-432,528-536,
Streptomyces,122,224-320,400-440,512-560,
Streptomyces,123,0-16,280-416,,
Streptomyces,124,296-344,472-560,,
Streptomyces,125,424-440,,,
Streptomyces,126,168-208,,,
Streptomyces,127,352-416,,,
Streptomyces,128,72-112,240-440,,
Streptomyces,129,,,,
Streptomyces,130,0-136,344-456,528-560,
Streptomyces,131,280-488,,,
Streptomyces,132,440-480,,,
Streptomyces,133,440-512,,,
Streptomyces,134,288-400,,,
Streptomyces,135,400-520,,,
Streptomyces,136,,,,
Streptomyces,137,392-456,,,
Streptomyces,138,416-512,,,
Streptomyces,139,80-128,208-232,344-432,536-544
Streptomyces,140,320-424,,,
Streptomyces,141,352-464,,,
Streptomyces,142,160-256,,,
Streptomyces,143,368-392,512-552,,
Streptomyces,144,368-472,,,
Streptomyces,145,240-488,,,
Streptomyces,146,144-192,304-504,,
Streptomyces,147,112-144,456-496,,
Streptomyces,148,496-528,,,
Streptomyces,149,88-120,376-496,,
Streptomyces,150,56-168,272-328,480-512,
Streptomyces,151,216-256,384-416,520-536,
Streptomyces,152,0-160,232-256,360-432,
Streptomyces,153,344-536,,,
