Organism,Seq,Positions,,,
Pseudo,1,233-296,,,
Pseudo,2,0-101,357-451,504-574,
Pseudo,3,,,,
Pseudo,4,0-43,147-198,425-487,506-580
Pseudo,5,,,,
Pseudo,6,350-458,478-545,,
Pseudo,7,,,,
Pseudo,8,,,,
Pseudo,9,328-454,,,
Pseudo,10,379-524,,,
Pseudo,11,538-588,,,
Pseudo,12,0-85,,,
Pseudo,13,413-491,,,
Pseudo,14,133-200,,,
Pseudo,15,167-231,307-373,500-595,
Pseudo,16,503-613,,,
Pseudo,17,,,,
Pseudo,18,352-483,,,
Pseudo,19,305-485,,,
Pseudo,20,387-460,531-596,,
Pseudo,21,299-362,483-560,,
Pseudo,22,520-613,,,
Pseudo,23,226-333,,,
Pseudo,24,276-337,362-458,,
Pseudo,25,270-325,341-448,529-595,
Pseudo,26,394-525,,,
Pseudo,27,209-275,425-469,,
Pseudo,28,432-498,,,
Pseudo,29,412-473,,,
Pseudo,30,508-613,,,
Pseudo,31,383-470,,,
Pseudo,32,412-469,,,
Pseudo,33,314-420,,,
Pseudo,34,289-342,,,
Pseudo,35,,,,
Pseudo,36,399-538,,,
Pseudo,37,343-402,,,
Pseudo,38,351-537,,,
Pseudo,39,575-613,,,
Pseudo,40,,,,
Pseudo,41,158-286,409-477,,
Pseudo,42,353-424,,,
Pseudo,43,346-441,,,
Pseudo,44,372-465,,,
Pseudo,45,566-613,,,
Pseudo,46,344-405,,,
Pseudo,47,328-385,460-514,,
Pseudo,48,384-520,,,
Pseudo,49,,,,
Pseudo,50,242-306,435-506,,
Pseudo,51,69-146,252-306,404-443,
Pseudo,52,0-60,186-250,269-350,426-489
Pseudo,53,339-488,,,
Pseudo,54,414-466,,,
Pseudo,55,310-446,,,
Pseudo,56,0-104,379-442,,
Pseudo,57,273-311,369-432,577-613,
Pseudo,58,337-480,,,
Pseudo,59,358-474,,,
Pseudo,60,315-530,,,
Pseudo,61,207-250,,,
Pseudo,62,0-44,,,
Pseudo,63,191-248,366-456,,
Pseudo,64,388-455,490-594,,
Pseudo,65,,,,
Pseudo,66,,,,
Pseudo,67,387-486,494-535,,
Pseudo,68,376-539,,,
Pseudo,69,323-380,384-423,,
Pseudo,70,326-482,,,
Pseudo,71,281-342,430-482,,
Pseudo,72,254-310,425-489,,
Pseudo,73,269-307,321-378,452-574,
Pseudo,74,239-315,422-512,,
Pseudo,75,336-397,504-558,,
Pseudo,76,366-495,,,
Pseudo,77,109-164,,,
Pseudo,78,,,,
Pseudo,79,80-147,487-549,,
Pseudo,80,395-431,,,
Pseudo,81,467-528,,,
Pseudo,82,414-478,,,
Pseudo,83,0-36,380-487,,
Pseudo,84,,,,
Pseudo,85,406-454,543-589,,
Pseudo,86,238-281,423-497,,
Pseudo,87,412-475,,,
Pseudo,88,217-331,468-528,,
Pseudo,89,455-552,,,
Pseudo,90,0-43,385-536,,
Pseudo,91,157-226,417-491,,
Pseudo,92,,,,
