Organism,Seq,Positions,,,
Myco,1,418;473,,,
Myco,2,,,,
Myco,3,389;452,,,
Myco,4,476;533,,,
Myco,5,292;360,366;414,,
Myco,6,362;413,,,
Myco,7,314;542,,,
Myco,8,,,,
Myco,9,371;422,,,
Myco,10,,,,
Myco,11,408;471,,,
Myco,12,,,,
Myco,13,73;124,428;476,,
Myco,14,,,,
Myco,15,38;74,,,
Myco,16,415;456,,,
Myco,17,460;523,,,
Myco,18,230;281,,,
Myco,19,246;312,,,
Myco,20,32;117,247;289,,
Myco,21,366;440,,,
Myco,22,285;365,,,
Myco,23,383;429,,,
Myco,24,,,,
Myco,25,419;483,,,
Myco,26,459;520,,,
Myco,27,575;613,,,
Myco,28,441;524,,,
Myco,29,,,,
Myco,30,279;326,457;558,,
Myco,31,,,,
Myco,32,232;268,,,
Myco,33,,,,
Myco,34,,,,
Myco,35,397;443,464;561,,
Myco,36,,,,
Myco,37,456;599,,,
Myco,38,3;42,420;476,,
Myco,39,,,,
Myco,40,397;443,,,
Myco,41,453;489,,,
Myco,42,219;346,,,
Myco,43,5;89,499;613,,
Myco,44,208;257,,,
Myco,45,,,,
Myco,46,115;244,,,
Myco,47,391;473,,,
Myco,48,330;369,,,
Myco,49,307;346,470;507,,
Myco,50,245;307,394;431,,
Myco,51,,,,
Myco,52,355;462,467;506,,
Myco,53,159;253,,,
Myco,54,,,,
Myco,55,335;425,,,
Myco,56,509;564,,,
Myco,57,16;77,87;185,,
Myco,58,70;136,,,
Myco,59,92;195,,,
Myco,60,458;503,,,
Myco,61,390;467,,,
Myco,62,268;364,371;472,,
Myco,63,313;382,,,
Myco,64,331;371,535;604,,
Myco,65,374;491,,,
Myco,66,32;123,173;211,503;578,
Myco,67,,,,
Myco,68,543;613,,,
Myco,69,,,,
Myco,70,312;536,,,
Myco,71,398;462,,,
Myco,72,,,,
Myco,73,500;573,,,
Myco,74,,,,
Myco,75,,,,
Myco,76,54;94,,,
Myco,77,171;208,307;350,379;450,528;586
Myco,78,389;436,,,
Myco,79,365;422,,,
Myco,80,526;588,,,
Myco,81,,,,
Myco,82,64;113,,,
Myco,83,358;424,535;576,,
Myco,84,67;112,280;320,393;455,
Myco,85,391;455,,,
Myco,86,385;478,,,
Myco,87,,,,
Myco,88,404;444,,,
Myco,89,417;471,,,
Myco,90,207;253,,,
Myco,91,220;345,,,
Myco,92,86;170,,,
Myco,93,408;445,,,
Myco,94,,,,
Myco,95,437;484,,,
Myco,96,,,,
Myco,97,515;554,,,
Myco,98,281;375,,,
Myco,99,274;317,425;553,,
Myco,100,425;536,,,
Myco,101,335;439,,,
Myco,102,0;52,404;446,,
Myco,103,196;306,,,
Myco,104,325;463,,,
Myco,105,,,,
Myco,106,129;186,303;354,506;544,
Myco,107,79;116,397;478,,
Myco,108,387;436,,,
Myco,109,477;545,,,
Myco,110,562;613,,,
Myco,111,,,,
Myco,112,9;71,352;413,464;515,
Myco,113,563;603,,,
Myco,114,537;595,,,
Myco,115,57;103,,,
Myco,116,430;509,,,
Myco,117,155;191,215;356,385;426,
Myco,118,411;527,,,
Myco,119,281;328,349;446,,
Myco,120,377;447,,,
Myco,121,,,,
Myco,122,382;423,427;531,541;613,
Myco,123,274;346,,,
Myco,124,122;260,,,
Myco,125,30;107,490;533,,
Myco,126,212;270,,,
Myco,127,362;446,,,
Myco,128,475;586,,,
