Organism,Seq,Positions,,,,
Haloferax,1,200-208,312-424,,,
Haloferax,2,256-560,,,,
Haloferax,3,,,,,
Haloferax,4,0-64,288-480,,,
Haloferax,5,160-384,,,,
Haloferax,6,288-560,,,,
Haloferax,7,8-56,376-416,,,
Haloferax,8,352-552,,,,
Haloferax,9,328-560,,,,
Haloferax,10,0-168,,,,
Haloferax,11,240-312,,,,
Haloferax,12,96-112,256-408,,,
Haloferax,13,112-144,336-424,,,
Haloferax,14,224-544,,,,
Haloferax,15,32-96,360-392,,,
Haloferax,16,224-408,,,,
Haloferax,17,272-544,,,,
Haloferax,18,264-304,376-400,,,
Haloferax,19,80-128,376-448,,,
Haloferax,20,0-8,360-560,,,
Haloferax,21,368-424,,,,
Haloferax,22,272-408,,,,
Haloferax,23,232-288,368-416,,,
Haloferax,24,200-264,,,,
Haloferax,25,240-408,,,,
Haloferax,26,40-80,280-416,472-504,,
Haloferax,27,360-512,,,,
Haloferax,28,304-400,,,,
Haloferax,29,192-280,,,,
Haloferax,30,0-24,168-184,344-408,,
Haloferax,31,360-424,472-552,,,
Haloferax,32,88-184,,,,
Haloferax,33,96-304,400-528,,,
Haloferax,34,328-496,,,,
Haloferax,35,152-176,240-432,,,
Haloferax,36,120-152,176-184,384-424,,
Haloferax,37,256-472,,,,
Haloferax,38,0-296,368-456,,,
Haloferax,39,328-448,528-560,,,
Haloferax,40,328-464,,,,
Haloferax,41,368-464,,,,
Haloferax,42,320-408,504-544,,,
Haloferax,43,336-432,,,,
Haloferax,44,240-536,,,,
Haloferax,45,336-504,,,,
Haloferax,46,368-456,536-560,,,
Haloferax,47,328-440,,,,
Haloferax,48,224-432,,,,
Haloferax,49,136-264,360-424,,,
Haloferax,50,72-136,256-288,,,
Haloferax,51,296-424,512-560,,,
Haloferax,52,8-40,360-400,,,
Haloferax,53,264-408,,,,
Haloferax,54,360-456,,,,
Haloferax,55,360-408,,,,
Haloferax,56,8-40,376-440,,,
Haloferax,57,128-224,,,,
Haloferax,58,56-128,304-408,504-536,,
Haloferax,59,8-56,352-472,,,
Haloferax,60,288-472,,,,
Haloferax,61,256-400,,,,
Haloferax,62,384-408,512-560,,,
Haloferax,63,152-184,352-408,,,
Haloferax,64,256-320,456-504,,,
Haloferax,65,0-288,,,,
Haloferax,66,64-104,168-240,368-440,,
Haloferax,67,168-216,320-432,,,
Haloferax,68,96-208,360-408,,,
Haloferax,69,160-432,,,,
Haloferax,70,96-392,,,,
Haloferax,71,320-464,,,,
Haloferax,72,328-552,,,,
Haloferax,73,240-296,,,,
Haloferax,74,184-280,376-456,,,
Haloferax,75,360-560,,,,
Haloferax,76,272-296,384-400,416-424,480-560,
Haloferax,77,248-368,,,,
Haloferax,78,352-456,,,,
Haloferax,79,352-432,,,,
Haloferax,80,88-160,208-416,,,
Haloferax,81,72-240,376-464,,,
Haloferax,82,0-40,160-216,376-400,,
Haloferax,83,368-480,,,,
Haloferax,84,32-376,,,,
Haloferax,85,136-160,352-424,,,
Haloferax,86,360-560,,,,
Haloferax,87,304-440,,,,
Haloferax,88,360-440,,,,
Haloferax,89,120-192,360-376,496-560,,
Haloferax,90,0-272,360-440,,,
Haloferax,91,264-400,,,,
Haloferax,92,304-544,,,,
Haloferax,93,56-168,320-552,,,
Haloferax,94,120-128,144-160,296-440,,
Haloferax,95,224-392,,,,
Haloferax,96,368-408,,,,
Haloferax,97,240-264,360-424,,,
Haloferax,98,16-48,360-448,,,
Haloferax,99,208-240,336-440,,,
Haloferax,100,264-312,448-496,,,
Haloferax,101,176-352,440-504,,,
Haloferax,102,152-176,272-296,376-408,528-552,
Haloferax,103,376-560,,,,
Haloferax,104,0-40,352-408,,,
Haloferax,105,344-440,,,,
Haloferax,106,200-440,,,,
Haloferax,107,352-392,,,,
Haloferax,108,128-192,320-392,,,
Haloferax,109,0-56,360-408,,,
Haloferax,110,0-304,,,,
Haloferax,111,128-160,312-416,,,
Haloferax,112,128-208,304-416,,,
Haloferax,113,16-40,376-392,,,
Haloferax,114,288-448,,,,
Haloferax,115,0-40,136-160,176-408,,
Haloferax,116,184-232,368-456,,,
Haloferax,117,0-160,240-288,376-448,,
Haloferax,118,16-56,352-400,,,
Haloferax,119,184-248,368-440,,,
Haloferax,120,368-456,,,,
Haloferax,121,0-48,352-440,,,
Haloferax,122,80-304,,,,
Haloferax,123,280-288,352-408,,,
Haloferax,124,376-408,,,,
Haloferax,125,0-40,,,,
Haloferax,126,264-448,,,,
Haloferax,127,256-288,,,,
Haloferax,128,272-520,,,,
Haloferax,129,72-264,424-544,,,
Haloferax,130,152-296,368-416,,,
Haloferax,131,320-432,,,,
