Organism,Seq,Positions,,
Haloferax_chr,1,347-467,,
Haloferax_chr,2,360-613,,
Haloferax_chr,3,,,
Haloferax_chr,4,303-369,398-436,446-508
Haloferax_chr,5,275-435,,
Haloferax_chr,6,327-605,,
Haloferax_chr,7,37-82,268-316,417-458
Haloferax_chr,8,393-478,,
Haloferax_chr,9,351-500,,
Haloferax_chr,10,81-128,146-199,
Haloferax_chr,11,277-355,,
Haloferax_chr,12,289-389,402-451,
Haloferax_chr,13,,,
Haloferax_chr,14,372-502,,
Haloferax_chr,15,57-102,,
Haloferax_chr,16,326-420,,
Haloferax_chr,17,444-491,503-592,
Haloferax_chr,18,287-336,,
Haloferax_chr,19,,,
Haloferax_chr,20,0-50,410-446,
Haloferax_chr,21,,,
Haloferax_chr,22,307-451,,
Haloferax_chr,23,260-321,412-455,
Haloferax_chr,24,224-308,,
Haloferax_chr,25,244-327,338-443,
Haloferax_chr,26,328-422,498-556,
Haloferax_chr,27,384-452,,
Haloferax_chr,28,322-361,365-445,
Haloferax_chr,29,236-323,,
Haloferax_chr,30,390-448,,
Haloferax_chr,31,396-450,,
Haloferax_chr,32,,,
Haloferax_chr,33,295-348,422-574,
Haloferax_chr,34,376-473,,
Haloferax_chr,35,312-400,,
Haloferax_chr,36,402-466,,
Haloferax_chr,37,292-345,378-439,
Haloferax_chr,38,62-119,259-341,400-493
Haloferax_chr,39,344-466,,
Haloferax_chr,40,358-419,,
Haloferax_chr,41,398-489,,
Haloferax_chr,42,334-397,515-576,
Haloferax_chr,43,348-457,,
Haloferax_chr,44,303-501,512-582,
Haloferax_chr,45,365-401,429-517,
Haloferax_chr,46,570-613,,
Haloferax_chr,47,,,
Haloferax_chr,48,264-310,426-476,
Haloferax_chr,49,201-279,406-463,
Haloferax_chr,50,99-146,272-330,
Haloferax_chr,51,321-472,535-585,
Haloferax_chr,52,,,
Haloferax_chr,53,299-449,,
Haloferax_chr,54,387-466,,
Haloferax_chr,55,392-454,,
Haloferax_chr,56,406-489,,
Haloferax_chr,57,160-261,,
Haloferax_chr,58,388-454,,
Haloferax_chr,59,384-472,,
Haloferax_chr,60,316-512,,
Haloferax_chr,61,354-455,,
Haloferax_chr,62,402-453,505-586,
Haloferax_chr,63,,,
Haloferax_chr,64,484-531,,
Haloferax_chr,65,94-332,,
Haloferax_chr,66,210-255,389-483,
Haloferax_chr,67,350-486,,
Haloferax_chr,68,174-220,393-453,
Haloferax_chr,69,349-425,431-475,
Haloferax_chr,70,171-358,374-414,
Haloferax_chr,71,335-463,,
Haloferax_chr,72,424-472,,
Haloferax_chr,73,247-312,,
Haloferax_chr,74,245-288,,
Haloferax_chr,75,0-45,540-613,
Haloferax_chr,76,,,
Haloferax_chr,77,280-401,,
Haloferax_chr,78,,,
Haloferax_chr,79,382-469,,
Haloferax_chr,80,262-351,418-457,
Haloferax_chr,81,433-495,,
Haloferax_chr,82,0-59,391-431,
Haloferax_chr,83,402-520,,
Haloferax_chr,84,143-208,333-422,
Haloferax_chr,85,378-470,,
Haloferax_chr,86,387-431,,
Haloferax_chr,87,324-473,,
Haloferax_chr,88,387-482,,
Haloferax_chr,89,162-234,394-441,530-601
Haloferax_chr,90,51-108,182-296,
Haloferax_chr,91,301-455,,
Haloferax_chr,92,441-536,,
Haloferax_chr,93,345-425,437-503,537-606
Haloferax_chr,94,312-416,423-480,
Haloferax_chr,95,247-431,,
Haloferax_chr,96,387-453,,
Haloferax_chr,97,260-305,373-462,
Haloferax_chr,98,385-455,,
Haloferax_chr,99,363-441,,
Haloferax_chr,100,,,
Haloferax_chr,101,245-365,,
Haloferax_chr,102,,,
Haloferax_chr,103,402-466,487-557,575-613
Haloferax_chr,104,20-72,375-456,
Haloferax_chr,105,375-484,,
Haloferax_chr,106,239-323,357-422,
Haloferax_chr,107,381-428,,
Haloferax_chr,108,163-214,348-431,
Haloferax_chr,109,0-93,,
Haloferax_chr,110,117-155,223-355,
Haloferax_chr,111,330-462,,
Haloferax_chr,112,182-218,347-432,
Haloferax_chr,113,,,
Haloferax_chr,114,375-446,,
Haloferax_chr,115,357-456,,
Haloferax_chr,116,53-91,212-273,399-491
Haloferax_chr,117,268-306,400-498,
Haloferax_chr,118,373-456,,
Haloferax_chr,119,205-252,406-482,
Haloferax_chr,120,400-493,,
Haloferax_chr,121,0-72,382-472,
Haloferax_chr,122,113-349,,
Haloferax_chr,123,400-462,,
Haloferax_chr,124,398-460,,
Haloferax_chr,125,20-85,,
Haloferax_chr,126,,,
Haloferax_chr,127,16-70,,
Haloferax_chr,128,419-501,,
Haloferax_chr,129,,,
Haloferax_chr,130,181-337,404-458,
Haloferax_chr,131,343-470,,
Haloferax_chr,132,,,
Haloferax_chr,133,306-343,348-461,
Haloferax_chr,134,404-451,,
Haloferax_chr,135,379-446,,
Haloferax_chr,136,,,
Haloferax_chr,137,401-461,,
Haloferax_chr,138,325-424,,
Haloferax_chr,139,305-399,,
Haloferax_chr,140,149-194,351-428,543-613
Haloferax_chr,141,417-463,490-607,
Haloferax_chr,142,385-435,,
Haloferax_chr,143,287-441,,
Haloferax_chr,144,,,
Haloferax_chr,145,290-423,,
Haloferax_chr,146,394-437,,
Haloferax_chr,147,402-531,,
Haloferax_chr,148,,,
Haloferax_chr,149,259-437,,
Haloferax_chr,150,207-262,409-486,
Haloferax_chr,151,180-302,,
Haloferax_chr,152,229-338,386-432,441-499
Haloferax_chr,153,345-447,,
Haloferax_chr,154,369-448,,
Haloferax_chr,155,537-608,,
Haloferax_chr,156,505-596,,
Haloferax_chr,157,291-377,414-463,
Haloferax_chr,158,339-613,,
Haloferax_chr,159,392-438,,
Haloferax_chr,160,351-461,,
Haloferax_chr,161,296-398,,
Haloferax_chr,162,366-463,,
Haloferax_chr,163,329-576,,
Haloferax_chr,164,406-470,502-560,
Haloferax_chr,165,176-239,374-418,
Haloferax_chr,166,261-319,,
Haloferax_chr,167,400-493,,
Haloferax_chr,168,274-460,,
Haloferax_chr,169,168-248,,
Haloferax_chr,170,0-53,341-425,437-517
Haloferax_chr,171,455-497,,
Haloferax_chr,172,399-455,,
Haloferax_chr,173,279-349,400-444,
Haloferax_chr,174,306-342,363-453,535-585
Haloferax_chr,175,235-327,352-514,
Haloferax_chr,176,203-279,411-482,560-613
Haloferax_chr,177,280-344,381-445,
Haloferax_chr,178,482-568,,
Haloferax_chr,179,374-417,,
Haloferax_chr,180,337-409,413-456,
Haloferax_chr,181,263-332,341-447,494-539
Haloferax_chr,182,,,
Haloferax_chr,183,144-216,328-423,
Haloferax_chr,184,380-566,,
Haloferax_chr,185,129-186,359-408,
Haloferax_chr,186,402-454,,
Haloferax_chr,187,219-258,410-498,
Haloferax_chr,188,370-473,,
Haloferax_chr,189,368-447,,
Haloferax_chr,190,47-85,240-326,
Haloferax_chr,191,285-329,488-542,
Haloferax_chr,192,262-342,415-451,482-541
Haloferax_chr,193,291-408,,
Haloferax_chr,194,386-453,,
Haloferax_chr,195,301-459,,
Haloferax_chr,196,327-453,,
Haloferax_chr,197,191-256,371-470,
Haloferax_chr,198,411-525,,
Haloferax_chr,199,328-445,532-582,
Haloferax_chr,200,264-349,388-490,
Haloferax_chr,201,383-464,,
Haloferax_chr,202,236-309,,
Haloferax_chr,203,358-487,,
Haloferax_chr,204,403-453,,
Haloferax_chr,205,143-422,,
Haloferax_chr,206,306-453,,
Haloferax_chr,207,195-231,382-474,
Haloferax_chr,208,349-397,,
Haloferax_chr,209,341-450,,
Haloferax_chr,210,269-317,381-461,
Haloferax_chr,211,382-455,,
Haloferax_chr,212,280-395,,
Haloferax_chr,213,400-479,,
Haloferax_chr,214,272-308,,
Haloferax_chr,215,293-482,,
Haloferax_chr,216,,,
Haloferax_chr,217,154-238,310-433,
Haloferax_chr,218,538-613,,
Haloferax_chr,219,0-45,,
Haloferax_chr,220,309-571,,
Haloferax_chr,221,61-98,144-252,
Haloferax_chr,222,,,
Haloferax_chr,223,,,
Haloferax_chr,224,416-477,,
Haloferax_chr,225,110-179,262-347,
Haloferax_chr,226,97-261,,
Haloferax_chr,227,185-258,283-322,411-464
Haloferax_chr,228,,,
Haloferax_chr,229,364-456,,
Haloferax_chr,230,336-429,,
Haloferax_chr,231,310-456,,
Haloferax_chr,232,273-342,,
Haloferax_chr,233,292-330,400-479,
Haloferax_chr,234,251-334,369-452,
Haloferax_chr,235,245-463,,
Haloferax_chr,236,388-490,,
Haloferax_chr,237,0-38,411-462,
Haloferax_chr,238,,,
Haloferax_chr,239,389-441,,
Haloferax_chr,240,225-319,353-476,
Haloferax_chr,241,383-479,,
Haloferax_chr,242,349-428,,
Haloferax_chr,243,185-224,376-450,
Haloferax_chr,244,433-479,,
Haloferax_chr,245,143-180,269-362,
Haloferax_chr,246,280-432,,
Haloferax_chr,247,232-278,407-466,
Haloferax_chr,248,246-367,,
Haloferax_chr,249,394-481,,
Haloferax_chr,250,292-364,,
Haloferax_chr,251,293-452,,
Haloferax_chr,252,300-343,365-460,487-535
Haloferax_chr,253,391-437,,
Haloferax_chr,254,370-425,,
Haloferax_chr,255,398-437,,
Haloferax_chr,256,289-465,,
Haloferax_chr,257,411-456,,
Haloferax_chr,258,408-466,,
Haloferax_chr,259,363-500,,
Haloferax_chr,260,362-551,,
Haloferax_chr,261,489-570,,
Haloferax_chr,262,309-527,,
Haloferax_chr,263,246-329,408-446,
Haloferax_chr,264,554-596,,
Haloferax_chr,265,375-468,,
Haloferax_chr,266,239-305,374-461,
Haloferax_chr,267,283-441,,
Haloferax_chr,268,367-443,,
Haloferax_chr,269,400-613,,
Haloferax_chr,270,345-431,,
Haloferax_chr,271,256-410,,
Haloferax_chr,272,363-429,,
Haloferax_chr,273,408-456,571-613,
Haloferax_chr,274,343-460,,
Haloferax_chr,275,29-76,357-411,
Haloferax_chr,276,273-332,,
Haloferax_chr,277,380-444,451-487,
Haloferax_chr,278,535-613,,
Haloferax_chr,279,370-472,,
Haloferax_chr,280,371-498,,
Haloferax_chr,281,491-527,,
Haloferax_chr,282,338-450,,
Haloferax_chr,283,379-446,516-573,
Haloferax_chr,284,137-309,,
Haloferax_chr,285,323-445,,
Haloferax_chr,286,382-440,,
Haloferax_chr,287,398-464,,
