Organism,Seq,Positions,,,
Salmonella,1,97-146,,,
Salmonella,2,205-355,446-484,,
Salmonella,3,261-305,376-523,,
Salmonella,4,293-335,375-554,,
Salmonella,5,231-284,312-374,439-496,
Salmonella,6,404-477,489-551,,
Salmonella,7,47-87,488-546,,
Salmonella,8,569-607,,,
Salmonella,9,136-415,,,
Salmonella,10,177-285,415-456,566-613,
Salmonella,11,135-184,465-562,,
Salmonella,12,238-303,459-496,,
Salmonella,13,279-355,374-441,465-518,
Salmonella,14,499-574,,,
Salmonella,15,134-179,319-413,460-531,
Salmonella,16,422-576,,,
Salmonella,17,391-489,,,
Salmonella,18,,,,
Salmonella,19,184-293,,,
Salmonella,20,,,,
Salmonella,21,243-291,,,
Salmonella,22,226-276,395-433,464-505,
Salmonella,23,431-467,,,
Salmonella,24,345-514,,,
Salmonella,25,344-411,,,
Salmonella,26,374-416,472-528,542-602,
Salmonella,27,,,,
Salmonella,28,252-365,430-486,,
Salmonella,29,254-402,,,
Salmonella,30,391-431,,,
Salmonella,31,332-438,,,
Salmonella,32,213-311,320-489,,
Salmonella,33,297-408,476-530,,
Salmonella,34,525-591,,,
Salmonella,35,134-413,,,
Salmonella,36,449-518,,,
Salmonella,37,11-122,,,
Salmonella,38,438-509,567-603,,
Salmonella,39,,,,
Salmonella,40,,,,
Salmonella,41,257-350,363-426,,
Salmonella,42,128-181,,,
Salmonella,43,47-112,226-283,393-453,
Salmonella,44,158-196,365-425,540-613,
Salmonella,45,300-347,438-479,,
Salmonella,46,404-449,,,
Salmonella,47,363-490,,,
Salmonella,48,238-315,328-402,430-490,
Salmonella,49,,,,
Salmonella,50,349-388,450-490,517-561,
Salmonella,51,543-613,,,
Salmonella,52,,,,
Salmonella,53,,,,
Salmonella,54,,,,
Salmonella,55,0-104,150-203,,
Salmonella,56,250-300,311-378,,
Salmonella,57,0-98,381-485,,
Salmonella,58,407-467,494-557,572-613,
Salmonella,59,330-507,,,
Salmonella,60,266-364,396-514,,
Salmonella,61,273-329,421-499,,
Salmonella,62,530-586,,,
Salmonella,63,443-510,529-587,,
Salmonella,64,,,,
Salmonella,65,0-107,,,
Salmonella,66,92-139,224-277,,
Salmonella,67,449-505,,,
Salmonella,68,,,,
Salmonella,69,,,,
Salmonella,70,7-68,562-613,,
Salmonella,71,281-344,397-442,,
Salmonella,72,246-290,371-412,,
Salmonella,73,322-443,558-601,,
Salmonella,74,314-536,,,
Salmonella,75,365-539,,,
Salmonella,76,0-84,398-525,,
Salmonella,77,185-233,410-464,514-613,
Salmonella,78,,,,
Salmonella,79,224-300,380-436,,
Salmonella,80,471-508,562-613,,
Salmonella,81,292-489,,,
Salmonella,82,146-236,264-401,,
Salmonella,83,363-418,450-613,,
Salmonella,84,349-435,,,
Salmonella,85,336-379,,,
Salmonella,86,366-488,,,
Salmonella,87,231-299,358-446,,
Salmonella,88,85-131,135-172,277-322,
Salmonella,89,553-599,,,
Salmonella,90,304-402,,,
Salmonella,91,,,,
Salmonella,92,570-613,,,
Salmonella,93,307-383,393-491,,
Salmonella,94,80-163,477-515,568-613,
Salmonella,95,337-378,405-498,502-552,
Salmonella,96,377-470,511-560,,
Salmonella,97,60-112,393-431,,
Salmonella,98,305-395,402-462,495-584,
Salmonella,99,,,,
Salmonella,100,313-443,459-534,540-592,
Salmonella,101,454-613,,,
Salmonella,102,292-339,,,
Salmonella,103,246-302,424-525,,
Salmonella,104,173-278,559-613,,
Salmonella,105,167-284,292-350,,
Salmonella,106,,,,
Salmonella,107,448-542,,,
Salmonella,108,,,,
Salmonella,109,222-267,,,
Salmonella,110,522-613,,,
Salmonella,111,204-309,375-474,,
Salmonella,112,290-535,,,
Salmonella,113,351-440,,,
Salmonella,114,170-225,358-449,,
Salmonella,115,0-149,,,
Salmonella,116,237-324,384-503,,
Salmonella,117,402-486,,,
Salmonella,118,265-475,,,
Salmonella,119,173-210,271-325,,
Salmonella,120,,,,
Salmonella,121,249-288,327-528,,
Salmonella,122,375-540,574-613,,
Salmonella,123,264-481,493-543,,
Salmonella,124,284-420,,,
Salmonella,125,5-65,389-472,,
Salmonella,126,164-222,263-329,503-542,
Salmonella,127,146-331,,,
Salmonella,128,386-455,,,
Salmonella,129,550-613,,,
Salmonella,130,323-396,405-506,540-602,
Salmonella,131,38-84,454-514,,
Salmonella,132,366-406,510-613,,
Salmonella,133,219-346,397-475,,
Salmonella,134,354-460,,,
Salmonella,135,155-277,286-428,,
Salmonella,136,374-429,518-559,,
Salmonella,137,299-462,497-543,,
Salmonella,138,307-346,,,
Salmonella,139,383-520,,,
Salmonella,140,207-256,306-451,,
Salmonella,141,215-332,,,
Salmonella,142,281-333,387-560,,
Salmonella,143,290-387,428-477,486-566,
Salmonella,144,450-498,,,
Salmonella,145,542-578,,,
Salmonella,146,369-459,499-545,572-610,
Salmonella,147,42-196,220-314,,
Salmonella,148,363-433,,,
Salmonella,149,234-390,,,
Salmonella,150,571-613,,,
Salmonella,151,452-493,551-591,,
Salmonella,152,373-531,,,
Salmonella,153,80-116,,,
Salmonella,154,284-400,453-562,,
Salmonella,155,465-588,,,
Salmonella,156,19-63,344-394,406-559,
Salmonella,157,281-443,,,
Salmonella,158,405-455,,,
Salmonella,159,461-499,510-566,,
Salmonella,160,,,,
Salmonella,161,186-251,401-465,532-613,
Salmonella,162,357-397,,,
Salmonella,163,0-54,335-480,,
Salmonella,164,201-411,,,
Salmonella,165,367-453,537-603,,
Salmonella,166,266-450,508-545,,
Salmonella,167,304-397,,,
Salmonella,168,384-463,,,
Salmonella,169,303-424,444-527,,
Salmonella,170,251-322,462-520,,
Salmonella,171,463-543,,,
Salmonella,172,261-416,423-532,,
Salmonella,173,176-221,406-448,,
Salmonella,174,316-425,,,
Salmonella,175,462-499,,,
Salmonella,176,200-361,,,
Salmonella,177,314-417,432-488,,
Salmonella,178,228-398,,,
Salmonella,179,195-243,386-456,524-613,
Salmonella,180,315-428,,,
Salmonella,181,284-405,523-563,,
Salmonella,182,350-459,,,
Salmonella,183,420-486,,,
Salmonella,184,331-437,,,
Salmonella,185,406-486,,,
Salmonella,186,328-447,459-607,,
Salmonella,187,343-412,,,
Salmonella,188,211-248,,,
Salmonella,189,396-486,,,
Salmonella,190,,,,
Salmonella,191,288-327,,,
Salmonella,192,140-183,258-325,335-408,
Salmonella,193,278-448,,,
Salmonella,194,224-319,409-486,,
Salmonella,195,50-97,266-315,,
Salmonella,196,,,,
Salmonella,197,27-109,223-274,390-435,555-613
Salmonella,198,372-547,575-611,,
