Organism,Seq,Positions,,,,
Myco,1,384-456,,,,
Myco,2,0-216,304-320,392-496,,
Myco,3,24-32,56-144,272-328,408-440,
Myco,4,0-208,296-368,464-560,,
Myco,5,304-408,,,,
Myco,6,,,,,
Myco,7,56-176,264-480,,,
Myco,8,32-88,168-224,,,
Myco,9,24-208,440-560,,,
Myco,10,176-344,,,,
Myco,11,0-8,136-224,336-456,,
Myco,12,240-264,360-504,,,
Myco,13,0-96,216-408,,,
Myco,14,72-232,304-392,488-560,,
Myco,15,200-328,520-560,,,
Myco,16,264-496,,,,
Myco,17,24-56,144-288,480-536,,
Myco,18,0-176,488-552,,,
Myco,19,72-392,,,,
Myco,20,200-272,376-440,,,
Myco,21,48-144,288-304,352-432,504-544,
Myco,22,0-16,400-464,,,
Myco,23,216-248,328-544,,,
Myco,24,0-32,80-88,112-120,312-488,
Myco,25,368-416,496-544,,,
Myco,26,8-120,248-344,488-560,,
Myco,27,280-440,,,,
Myco,28,320-504,,,,
Myco,29,216-472,,,,
Myco,30,0-16,144-280,424-552,,
Myco,31,208-240,496-528,,,
Myco,32,24-56,320-472,,,
Myco,33,48-88,216-304,400-512,,
Myco,34,184-224,376-440,,,
Myco,35,144-272,360-472,,,
Myco,36,0-24,376-448,,,
Myco,37,176-288,392-440,,,
Myco,38,112-200,384-464,,,
Myco,39,32-64,240-296,328-560,,
Myco,40,0-16,312-448,,,
Myco,41,0-88,288-496,,,
Myco,42,248-416,480-560,,,
Myco,43,0-16,360-456,,,
Myco,44,264-560,,,,
Myco,45,24-80,120-208,296-416,,
Myco,46,48-96,256-544,,,
Myco,47,336-464,,,,
Myco,48,200-448,,,,
Myco,49,336-488,,,,
Myco,50,0-136,200-272,520-552,,
Myco,51,224-264,352-448,,,
Myco,52,320-440,512-552,,,
Myco,53,32-56,128-176,344-488,,
Myco,54,328-464,,,,
Myco,55,208-232,360-480,536-552,,
Myco,56,0-48,304-400,480-552,,
Myco,57,0-16,360-536,,,
Myco,58,64-312,400-504,,,
Myco,59,352-440,536-560,,,
Myco,60,280-432,,,,
Myco,61,216-368,,,,
Myco,62,88-256,368-432,,,
Myco,63,256-408,440-512,,,
Myco,64,304-408,,,,
Myco,65,16-48,392-440,528-560,,
Myco,66,280-312,376-448,,,
Myco,67,0-16,376-440,,,
Myco,68,336-512,,,,
Myco,69,104-376,,,,
Myco,70,0-48,184-248,368-456,,
Myco,71,344-512,,,,
Myco,72,16-64,288-488,,,
Myco,73,248-488,,,,
Myco,74,0-64,264-416,,,
Myco,75,272-480,,,,
Myco,76,0-456,,,,
Myco,77,128-208,264-560,,,
Myco,78,360-416,504-536,,,
Myco,79,320-472,,,,
Myco,80,216-336,488-560,,,
Myco,81,88-304,,,,
Myco,82,24-72,216-408,,,
Myco,83,184-232,288-456,,,
Myco,84,40-120,400-488,,,
Myco,85,72-104,480-560,,,
Myco,86,0-160,280-384,,,
Myco,87,0-104,,,,
Myco,88,0-32,160-200,392-424,,
Myco,89,32-72,344-408,472-536,,
Myco,90,0-32,352-536,,,
Myco,91,0-40,216-400,,,
Myco,92,16-56,208-288,376-560,,
Myco,93,96-248,360-560,,,
Myco,94,40-552,,,,
Myco,95,184-248,376-416,,,
Myco,96,64-184,376-400,,,
Myco,97,304-440,,,,
Myco,98,,,,,
Myco,99,136-216,328-416,488-552,,
Myco,100,320-560,,,,
Myco,101,192-280,376-560,,,
Myco,102,384-488,,,,
Myco,103,72-120,168-192,280-360,440-560,
Myco,104,0-192,280-296,384-528,,
Myco,105,104-168,288-392,,,
Myco,106,88-152,216-272,368-432,528-560,
Myco,107,0-40,152-208,352-520,,
Myco,108,64-136,344-368,536-560,,
Myco,109,72-144,248-440,520-544,,
Myco,110,136-152,192-208,304-392,416-504,
Myco,111,392-440,,,,
Myco,112,368-464,,,,
Myco,113,112-560,,,,
Myco,114,0-8,328-408,472-560,,
Myco,115,72-136,216-256,464-552,,
Myco,116,360-440,,,,
Myco,117,0-64,120-168,184-264,488-536,
Myco,118,0-40,88-176,368-416,,
Myco,119,104-312,504-560,,,
Myco,120,56-112,336-424,,,
Myco,121,136-168,320-432,,,
Myco,122,0-16,128-168,312-368,,
Myco,123,296-424,512-560,,,
Myco,124,8-16,416-488,,,
Myco,125,72-224,328-560,,,
Myco,126,368-552,,,,
Myco,127,40-224,296-448,528-560,,
Myco,128,520-560,,,,
Myco,129,224-408,,,,
Myco,130,360-448,,,,
Myco,131,0-216,336-560,,,
Myco,132,0-192,352-432,504-560,,
Myco,133,0-88,184-240,336-424,512-560,
Myco,134,400-432,,,,
Myco,135,0-40,352-504,,,
Myco,136,168-256,328-560,,,
Myco,137,360-424,,,,
Myco,138,168-288,392-464,,,
Myco,139,288-352,488-552,,,
Myco,140,240-504,,,,
Myco,141,344-448,,,,
Myco,142,40-320,,,,
Myco,143,176-312,,,,
Myco,144,0-40,304-464,,,
Myco,145,320-544,,,,
Myco,146,344-416,,,,
Myco,147,312-456,,,,
Myco,148,0-88,216-264,,,
Myco,149,96-152,224-416,,,
Myco,150,0-152,376-504,,,
Myco,151,16-336,472-488,,,
Myco,152,144-184,376-496,,,
Myco,153,344-552,,,,
Myco,154,104-128,328-520,,,
Myco,155,288-448,,,,
Myco,156,328-560,,,,
Myco,157,0-160,424-560,,,
Myco,158,200-440,,,,
Myco,159,24-504,,,,
Myco,160,136-504,,,,
Myco,161,88-128,360-400,,,
Myco,162,8-48,,,,
Myco,163,72-168,312-520,,,
Myco,164,0-120,424-528,,,
Myco,165,368-416,,,,
Myco,166,0-48,304-416,,,
Myco,167,64-456,,,,
Myco,168,264-360,,,,
Myco,169,48-80,280-400,448-512,,
Myco,170,88-112,296-504,,,
Myco,171,0-48,192-208,392-544,,
Myco,172,128-152,296-536,,,
Myco,173,0-40,424-448,,,
Myco,174,208-288,368-456,,,
Myco,175,0-24,168-200,232-552,,
Myco,176,320-384,,,,
Myco,177,104-560,,,,
Myco,178,0-32,160-192,400-424,504-560,
Myco,179,40-144,240-312,384-464,,
Myco,180,176-440,,,,
Myco,181,176-208,352-456,520-560,,
Myco,182,192-464,,,,
Myco,183,0-40,128-160,248-520,,
Myco,184,184-248,376-456,496-560,,
Myco,185,40-112,240-480,,,
Myco,186,368-496,,,,
Myco,187,368-408,,,,
Myco,188,96-416,512-528,,,
Myco,189,240-400,,,,
Myco,190,0-280,,,,
Myco,191,0-136,248-504,,,
Myco,192,256-536,,,,
Myco,193,0-16,536-560,,,
Myco,194,112-496,,,,
Myco,195,160-208,376-408,,,
Myco,196,64-176,320-472,,,
Myco,197,0-56,,,,
Myco,198,0-24,392-512,,,
Myco,199,336-488,,,,
Myco,200,192-256,472-488,528-536,,
Myco,201,328-536,,,,
Myco,202,416-456,,,,
Myco,203,32-64,216-488,,,
Myco,204,256-288,376-472,,,
Myco,205,192-256,368-464,,,
Myco,206,240-256,296-360,,,
Myco,207,0-8,376-424,,,
Myco,208,240-440,,,,
Myco,209,296-560,,,,
Myco,210,168-224,400-472,,,
Myco,211,120-168,,,,
Myco,212,0-24,104-144,224-456,,
Myco,213,0-216,280-560,,,
Myco,214,80-424,536-552,,,
Myco,215,32-80,168-200,312-480,,
Myco,216,72-280,392-560,,,
Myco,217,24-264,408-512,,,
Myco,218,152-408,536-544,,,
Myco,219,0-136,408-544,,,
Myco,220,56-104,168-224,392-560,,
Myco,221,336-408,448-464,,,
Myco,222,240-504,,,,
Myco,223,280-320,456-512,,,
Myco,224,48-480,,,,
Myco,225,0-152,240-456,,,
Myco,226,296-456,520-552,,,
Myco,227,48-136,168-208,336-552,,
Myco,228,216-432,,,,
Myco,229,64-168,384-432,,,
Myco,230,0-16,392-560,,,
Myco,231,312-392,,,,
Myco,232,376-408,,,,
Myco,233,24-72,,,,
Myco,234,312-560,,,,
Myco,235,352-408,,,,
Myco,236,0-8,200-224,304-432,528-560,
Myco,237,0-224,272-480,528-536,,
Myco,238,160-336,456-536,,,
Myco,239,24-152,272-328,392-560,,
Myco,240,96-144,216-240,352-368,456-544,
Myco,241,16-88,176-208,368-440,,
Myco,242,0-120,184-240,376-408,,
Myco,243,8-96,192-240,,,
Myco,244,88-432,,,,
Myco,245,0-152,232-288,,,
Myco,246,32-120,392-472,,,
Myco,247,328-448,,,,
Myco,248,488-560,,,,
Myco,249,0-136,,,,
Myco,250,,,,,
Myco,251,352-560,,,,
Myco,252,72-128,456-464,,,
Myco,253,40-56,328-488,,,
Myco,254,24-64,248-280,360-560,,
Myco,255,32-112,184-240,384-472,,
Myco,256,8-88,368-560,,,
Myco,257,0-16,,,,
Myco,258,72-144,288-552,,,
Myco,259,0-40,152-296,408-416,528-552,
Myco,260,120-192,488-536,,,
Myco,261,224-256,536-560,,,
Myco,262,96-224,312-432,,,
Myco,263,24-128,224-248,360-464,512-552,
Myco,264,320-360,,,,
Myco,265,32-80,192-288,400-416,464-480,
Myco,266,0-56,288-296,392-400,,
Myco,267,96-416,472-544,,,
Myco,268,152-176,256-320,400-424,,
Myco,269,208-216,352-432,,,
Myco,270,0-136,272-392,464-504,,
Myco,271,168-264,376-416,,,
Myco,272,200-240,272-448,,,
Myco,273,240-296,376-536,,,
Myco,274,0-16,232-256,272-296,336-368,528-560
Myco,275,0-400,,,,
Myco,276,168-384,,,,
Myco,277,0-520,,,,
Myco,278,216-288,376-432,,,
Myco,279,328-408,,,,
Myco,280,40-56,376-448,,,
Myco,281,64-256,416-464,,,
Myco,282,0-200,352-432,496-560,,
Myco,283,192-312,496-560,,,
Myco,284,0-96,384-440,,,
Myco,285,104-192,328-416,504-552,,
Myco,286,72-240,376-472,536-560,,
Myco,287,280-432,,,,
Myco,288,320-376,,,,
Myco,289,0-112,200-272,488-560,,
Myco,290,136-216,376-416,,,
Myco,291,328-440,,,,
Myco,292,24-48,288-384,,,
Myco,293,160-208,,,,
Myco,294,112-168,272-464,,,
Myco,295,360-416,,,,
Myco,296,144-176,352-424,,,
Myco,297,240-272,360-472,528-560,,
Myco,298,32-72,200-504,,,
Myco,299,320-424,,,,
Myco,300,264-456,,,,
Myco,301,0-32,376-464,,,
Myco,302,168-208,272-328,440-544,,
Myco,303,40-64,472-512,,,
Myco,304,160-208,352-488,,,
Myco,305,0-88,152-312,456-480,,
Myco,306,0-56,152-296,,,
Myco,307,320-400,528-560,,,
Myco,308,272-560,,,,
Myco,309,360-472,,,,
Myco,310,72-120,240-272,,,
Myco,311,0-88,168-192,272-368,,
Myco,312,0-136,288-552,,,
Myco,313,160-392,,,,
Myco,314,320-480,,,,
Myco,315,440-552,,,,
Myco,316,0-72,160-288,400-432,520-536,
Myco,317,296-560,,,,
Myco,318,8-104,384-416,,,
Myco,319,360-560,,,,
Myco,320,,,,,
Myco,321,152-280,,,,
Myco,322,376-448,,,,
Myco,323,0-48,400-448,,,
Myco,324,0-176,328-376,,,
Myco,325,0-24,184-432,504-536,,
Myco,326,0-32,328-560,,,
Myco,327,144-176,280-400,,,
Myco,328,104-224,504-560,,,
Myco,329,288-344,400-416,,,
Myco,330,72-328,432-544,,,
Myco,331,96-456,,,,
Myco,332,16-112,,,,
Myco,333,,,,,
Myco,334,8-48,368-408,,,
Myco,335,256-496,,,,
Myco,336,0-56,312-376,,,
Myco,337,320-472,,,,
Myco,338,248-560,,,,
Myco,339,128-464,,,,
Myco,340,0-96,392-424,,,
Myco,341,112-216,328-488,520-536,,
Myco,342,88-536,,,,
Myco,343,104-120,312-400,,,
Myco,344,80-144,256-328,416-544,,
Myco,345,176-224,304-472,,,
Myco,346,360-456,,,,
Myco,347,80-192,312-352,,,
Myco,348,360-472,,,,
Myco,349,96-112,208-232,368-552,,
Myco,350,8-32,128-232,264-480,,
Myco,351,304-472,,,,
Myco,352,248-560,,,,
Myco,353,272-368,488-544,,,
Myco,354,0-392,,,,
Myco,355,0-24,,,,
Myco,356,208-352,,,,
Myco,357,64-128,328-504,,,
Myco,358,0-40,384-440,,,
Myco,359,248-520,,,,
Myco,360,136-176,264-288,368-424,,
Myco,361,0-8,336-560,,,
Myco,362,128-216,408-488,,,
Myco,363,0-160,432-552,,,
Myco,364,32-56,400-448,464-472,504-512,
Myco,365,0-32,128-240,320-464,,
Myco,366,376-432,,,,
Myco,367,88-112,368-440,,,
Myco,368,0-136,152-288,368-488,,
Myco,369,256-304,328-464,,,
Myco,370,144-240,,,,
Myco,371,0-96,336-424,,,
Myco,372,280-472,,,,
Myco,373,0-32,168-216,,,
Myco,374,216-304,376-496,,,
Myco,375,0-8,160-208,376-456,,
Myco,376,0-56,160-240,384-400,,
Myco,377,160-328,,,,
Myco,378,0-168,240-264,368-552,,
Myco,379,192-440,,,,
Myco,380,24-192,328-560,,,
Myco,381,16-32,400-520,,,
Myco,382,0-8,104-192,248-400,488-560,
Myco,383,256-376,,,,
Myco,384,216-248,264-456,,,
Myco,385,24-320,416-488,,,
Myco,386,16-56,392-416,536-560,,
Myco,387,40-440,,,,
Myco,388,0-504,,,,
Myco,389,0-8,136-168,272-424,,
Myco,390,192-440,512-560,,,
Myco,391,48-104,184-248,,,
Myco,392,104-152,320-448,,,
Myco,393,336-504,,,,
Myco,394,320-480,,,,
Myco,395,24-64,384-528,,,
Myco,396,0-216,344-360,456-552,,
Myco,397,352-496,,,,
Myco,398,448-536,,,,
Myco,399,0-40,200-264,352-432,,
Myco,400,368-416,480-528,,,
Myco,401,0-240,376-440,,,
Myco,402,0-88,320-416,,,
Myco,403,288-328,,,,
Myco,404,0-24,464-552,,,
Myco,405,0-368,,,,
Myco,406,24-408,,,,
Myco,407,312-560,,,,
Myco,408,184-296,384-424,,,
Myco,409,352-408,,,,
Myco,410,40-96,240-472,,,
Myco,411,0-336,504-552,,,
Myco,412,392-440,,,,
Myco,413,272-424,,,,
Myco,414,120-144,312-432,464-544,,
Myco,415,320-392,,,,
Myco,416,280-344,480-560,,,
Myco,417,336-408,,,,
Myco,418,368-448,,,,
Myco,419,104-416,,,,
Myco,420,304-512,,,,
Myco,421,376-424,504-512,,,
Myco,422,96-280,536-552,,,
Myco,423,72-200,336-488,,,
Myco,424,80-216,312-360,,,
Myco,425,0-16,328-504,,,
Myco,426,24-64,392-424,,,
Myco,427,24-48,152-248,336-440,520-552,
Myco,428,352-416,,,,
Myco,429,0-32,192-208,,,
Myco,430,72-144,216-264,472-552,,
Myco,431,8-16,56-184,,,
Myco,432,272-296,400-528,,,
Myco,433,360-520,,,,
Myco,434,248-440,,,,
Myco,435,0-40,360-416,,,
Myco,436,0-128,344-424,,,
Myco,437,0-64,184-248,,,
Myco,438,104-352,,,,
Myco,439,24-56,328-456,,,
Myco,440,352-464,,,,
Myco,441,0-24,200-224,408-504,,
Myco,442,368-440,536-560,,,
Myco,443,56-136,,,,
Myco,444,240-272,344-408,,,
Myco,445,296-352,,,,
Myco,446,216-448,,,,
