Organism,Seq,Positions,,,
Helico,1,404-514,,,
Helico,2,,,,
Helico,3,,,,
Helico,4,0-40,332-371,384-486,
Helico,5,2-50,368-552,,
Helico,6,318-391,529-585,,
Helico,7,,,,
Helico,8,,,,
Helico,9,464-525,533-613,,
Helico,10,249-300,,,
Helico,11,318-454,,,
Helico,12,228-291,,,
Helico,13,256-341,474-521,,
Helico,14,539-613,,,
Helico,15,355-462,,,
Helico,16,325-442,,,
Helico,17,235-317,387-514,,
Helico,18,278-457,,,
Helico,19,237-367,396-506,,
Helico,20,,,,
Helico,21,,,,
Helico,22,234-400,415-513,,
Helico,23,331-465,477-561,,
Helico,24,215-271,,,
Helico,25,208-316,327-366,383-487,
Helico,26,411-505,551-613,,
Helico,27,310-356,425-472,,
Helico,28,370-498,,,
Helico,29,403-447,476-530,576-613,
Helico,30,297-435,488-542,,
Helico,31,349-476,,,
Helico,32,243-285,361-452,,
Helico,33,206-329,334-481,,
Helico,34,,,,
Helico,35,210-308,,,
Helico,36,325-518,,,
Helico,37,378-489,,,
Helico,38,275-332,,,
Helico,39,232-294,311-401,,
Helico,40,,,,
Helico,41,397-484,,,
Helico,42,,,,
Helico,43,,,,
Helico,44,350-387,,,
Helico,45,425-487,,,
Helico,46,228-322,392-433,,
Helico,47,0-61,367-526,,
Helico,48,363-444,456-508,,
Helico,49,408-469,,,
Helico,50,260-486,,,
Helico,51,221-302,358-479,,
Helico,52,362-541,,,
Helico,53,,,,
Helico,54,12-85,255-291,,
Helico,55,376-456,460-516,,
Helico,56,205-258,326-466,,
Helico,57,378-421,,,
Helico,58,235-350,,,
Helico,59,337-426,,,
Helico,60,116-168,,,
Helico,61,374-425,,,
Helico,62,308-587,,,
Helico,63,177-261,,,
Helico,64,447-531,,,
Helico,65,332-525,,,
Helico,66,0-70,379-478,,
Helico,67,361-458,,,
Helico,68,471-553,,,
Helico,69,,,,
Helico,70,333-411,421-485,563-612,
Helico,71,237-372,459-516,,
Helico,72,280-500,,,
Helico,73,416-479,525-561,,
Helico,74,175-237,414-454,,
Helico,75,424-466,,,
Helico,76,259-313,,,
Helico,77,281-368,407-536,,
Helico,78,175-247,417-454,,
Helico,79,430-487,543-613,,
Helico,80,293-345,404-494,,
Helico,81,220-318,367-410,,
Helico,82,,,,
Helico,83,241-344,374-475,,
Helico,84,,,,
Helico,85,253-291,295-345,,
Helico,86,320-462,531-585,,
Helico,87,372-541,565-604,,
Helico,88,,,,
Helico,89,195-277,380-474,,
Helico,90,384-432,482-613,,
Helico,91,225-269,413-469,,
Helico,92,260-316,380-436,,
Helico,93,209-303,353-469,,
Helico,94,228-366,425-497,,
Helico,95,275-386,498-534,,
Helico,96,388-468,536-613,,
Helico,97,,,,
Helico,98,409-489,,,
Helico,99,358-450,455-523,,
Helico,100,371-422,551-602,,
Helico,101,343-474,,,
Helico,102,0-43,324-402,429-489,
Helico,103,293-477,,,
Helico,104,,,,
Helico,105,190-236,301-338,,
Helico,106,278-314,,,
Helico,107,336-504,,,
Helico,108,,,,
Helico,109,10-60,393-431,518-557,
Helico,110,78-120,451-496,,
Helico,111,254-306,336-483,,
Helico,112,216-299,411-495,,
Helico,113,375-477,,,
Helico,114,185-236,304-464,,
Helico,115,220-453,,,
Helico,116,353-396,402-472,574-613,
Helico,117,210-297,324-484,,
Helico,118,,,,
Helico,119,198-258,271-477,,
Helico,120,235-363,369-455,,
Helico,121,283-512,,,
Helico,122,342-413,430-503,,
Helico,123,,,,
Helico,124,321-487,,,
Helico,125,396-446,,,
Helico,126,330-407,,,
Helico,127,352-459,521-563,,
Helico,128,384-544,,,
Helico,129,,,,
Helico,130,,,,
Helico,131,187-223,527-587,,
Helico,132,352-430,,,
Helico,133,233-276,395-454,,
Helico,134,242-395,453-508,,
Helico,135,304-533,,,
Helico,136,290-522,,,
Helico,137,338-443,510-613,,
Helico,138,,,,
Helico,139,379-434,,,
Helico,140,459-503,,,
Helico,141,363-472,496-593,,
Helico,142,544-594,,,
Helico,143,339-458,,,
Helico,144,411-508,,,
Helico,145,350-505,,,
Helico,146,217-491,,,
Helico,147,149-341,,,
Helico,148,259-328,376-538,,
Helico,149,404-613,,,
Helico,150,63-99,412-537,,
Helico,151,386-436,530-601,,
Helico,152,312-512,,,
Helico,153,371-512,,,
Helico,154,0-98,,,
Helico,155,328-376,,,
Helico,156,,,,
Helico,157,332-439,529-611,,
Helico,158,382-517,545-613,,
Helico,159,278-439,,,
Helico,160,405-551,,,
Helico,161,147-193,531-613,,
Helico,162,534-613,,,
Helico,163,412-455,530-613,,
Helico,164,153-190,494-532,,
Helico,165,158-241,365-437,,
Helico,166,259-296,314-388,455-492,
Helico,167,,,,
Helico,168,362-560,,,
Helico,169,275-326,431-481,,
Helico,170,293-345,404-494,,
Helico,171,399-441,531-570,,
Helico,172,346-467,,,
Helico,173,281-368,407-536,,
Helico,174,298-348,,,
Helico,175,380-439,549-596,,
Helico,176,447-500,,,
Helico,177,362-467,,,
Helico,178,282-401,419-485,,
Helico,179,335-465,,,
Helico,180,340-444,530-613,,
Helico,181,287-358,367-406,,
Helico,182,47-117,,,
Helico,183,385-477,,,
Helico,184,192-255,264-320,345-392,
Helico,185,274-361,413-496,,
Helico,186,370-436,469-547,,
Helico,187,361-440,,,
Helico,188,,,,
Helico,189,336-465,513-550,,
Helico,190,299-465,,,
Helico,191,250-474,,,
Helico,192,507-548,,,
Helico,193,343-390,,,
Helico,194,312-363,430-519,,
Helico,195,333-506,,,
Helico,196,,,,
Helico,197,377-467,,,
Helico,198,374-610,,,
Helico,199,0-60,530-613,,
Helico,200,0-69,359-418,484-595,
Helico,201,410-465,,,
Helico,202,,,,
Helico,203,311-377,381-426,,
Helico,204,0-86,413-475,,
Helico,205,378-459,,,
Helico,206,406-523,,,
Helico,207,,,,
Helico,208,386-426,,,
Helico,209,284-537,,,
Helico,210,,,,
Helico,211,261-338,,,
Helico,212,390-472,,,
Helico,213,560-613,,,
Helico,214,205-246,373-458,,
Helico,215,20-125,189-238,,
Helico,216,379-454,,,
Helico,217,198-302,,,
Helico,218,19-88,550-613,,
Helico,219,276-431,444-491,,
Helico,220,237-336,428-481,,
Helico,221,,,,
Helico,222,205-266,331-484,547-610,
Helico,223,63-114,120-207,488-524,
Helico,224,329-367,495-553,,
Helico,225,255-367,,,
Helico,226,192-251,407-471,,
Helico,227,374-564,,,
Helico,228,448-546,564-613,,
Helico,229,294-377,,,
Helico,230,295-366,391-482,,
Helico,231,368-440,,,
Helico,232,295-381,523-564,,
Helico,233,384-512,,,
Helico,234,4-48,413-493,,
Helico,235,194-236,346-393,,
Helico,236,221-262,347-399,,
Helico,237,478-531,,,
Helico,238,342-391,,,
Helico,239,555-613,,,
Helico,240,460-500,525-600,,
Helico,241,65-115,250-337,464-529,
Helico,242,314-371,391-431,438-526,
Helico,243,317-366,520-563,,
Helico,244,254-296,300-468,,
Helico,245,443-483,553-609,,
Helico,246,183-347,385-452,,
Helico,247,253-366,414-520,,
Helico,248,237-516,,,
Helico,249,192-264,336-471,551-606,
Helico,250,270-412,487-549,,
Helico,251,250-473,,,
Helico,252,365-422,,,
Helico,253,0-41,347-469,,
Helico,254,216-253,274-353,390-476,
Helico,255,342-541,,,
Helico,256,26-102,392-490,,
Helico,257,379-482,,,
Helico,258,306-360,403-462,,
Helico,259,345-426,,,
Helico,260,3-40,178-219,382-457,
Helico,261,,,,
Helico,262,315-495,,,
Helico,263,393-517,,,
Helico,264,381-445,,,
Helico,265,281-431,480-546,,
Helico,266,313-404,408-463,,
Helico,267,337-446,503-575,,
Helico,268,389-527,,,
Helico,269,295-387,427-510,538-574,
Helico,270,,,,
Helico,271,191-240,267-365,409-460,
Helico,272,294-366,,,
Helico,273,237-345,400-477,,
Helico,274,342-514,,,
Helico,275,365-421,480-519,,
Helico,276,274-340,377-507,,
Helico,277,233-288,340-399,,
Helico,278,287-421,427-530,,
Helico,279,0-64,378-475,,
Helico,280,0-43,436-511,518-554,
Helico,281,289-346,409-464,,
Helico,282,261-478,,,
Helico,283,340-408,444-484,,
Helico,284,,,,
Helico,285,366-426,,,
Helico,286,303-497,,,
Helico,287,220-318,348-452,,
Helico,288,227-380,440-506,,
Helico,289,350-417,,,
Helico,290,483-545,,,
Helico,291,247-485,,,
Helico,292,237-277,330-397,,
Helico,293,384-437,,,
Helico,294,0-38,,,
Helico,295,348-386,,,
Helico,296,283-407,433-557,,
Helico,297,402-474,,,
Helico,298,229-280,448-486,574-613,
Helico,299,225-281,433-504,,
Helico,300,281-327,350-403,,
Helico,301,337-460,,,
Helico,302,0-55,,,
Helico,303,310-455,486-525,534-573,
Helico,304,378-552,,,
Helico,305,223-265,381-502,,
Helico,306,352-514,,,
Helico,307,215-447,,,
Helico,308,247-283,381-483,,
Helico,309,276-332,340-477,481-555,
Helico,310,49-105,408-504,,
Helico,311,344-430,503-599,,
Helico,312,65-116,122-209,490-526,
Helico,313,,,,
Helico,314,361-485,,,
Helico,315,209-346,409-488,,
Helico,316,181-226,,,
Helico,317,189-229,301-345,352-401,544-580
Helico,318,226-505,,,
Helico,319,,,,
Helico,320,240-358,411-469,,
Helico,321,437-505,518-613,,
Helico,322,259-295,378-538,,
Helico,323,136-216,497-601,,
Helico,324,0-108,175-221,,
Helico,325,392-466,496-613,,
Helico,326,,,,
Helico,327,70-116,,,
Helico,328,192-288,424-471,,
Helico,329,190-241,268-404,,
Helico,330,,,,
Helico,331,439-481,489-554,,
Helico,332,344-468,,,
Helico,333,326-442,468-573,,
Helico,334,230-370,397-509,,
Helico,335,373-538,,,
Helico,336,,,,
Helico,337,302-352,357-580,,
Helico,338,,,,
Helico,339,260-425,430-496,,
Helico,340,439-605,,,
Helico,341,,,,
Helico,342,,,,
Helico,343,286-389,,,
Helico,344,,,,
Helico,345,0-38,380-505,,
Helico,346,395-480,,,
Helico,347,326-462,,,
Helico,348,278-322,331-375,397-481,
Helico,349,,,,
Helico,350,,,,
Helico,351,343-450,,,
Helico,352,308-539,,,
Helico,353,314-422,,,
Helico,354,217-478,,,
Helico,355,281-342,346-421,,
Helico,356,18-58,339-484,,
Helico,357,286-416,,,
Helico,358,348-525,,,
Helico,359,280-361,,,
Helico,360,4-86,205-244,,
Helico,361,394-430,,,
Helico,362,86-136,,,
Helico,363,285-482,,,
Helico,364,179-284,409-458,,
Helico,365,,,,
Helico,366,334-429,,,
Helico,367,366-504,549-613,,
Helico,368,453-531,,,
Helico,369,,,,
Helico,370,37-84,221-316,386-500,
Helico,371,298-485,,,
Helico,372,135-199,,,
Helico,373,461-501,,,
Helico,374,48-130,447-487,,
Helico,375,403-557,,,
Helico,376,248-296,319-378,427-507,
Helico,377,0-90,,,
Helico,378,,,,
Helico,379,366-443,448-501,,
Helico,380,366-470,,,
Helico,381,275-321,364-478,490-531,
Helico,382,0-79,480-522,548-613,
Helico,383,0-52,194-241,,
Helico,384,401-485,,,
Helico,385,370-427,478-547,,
Helico,386,,,,
Helico,387,312-433,442-482,543-591,
Helico,388,263-448,,,
Helico,389,288-430,,,
Helico,390,208-428,,,
Helico,391,230-292,338-387,396-455,
Helico,392,450-514,,,
Helico,393,354-453,573-609,,
Helico,394,348-478,,,
Helico,395,,,,
Helico,396,,,,
Helico,397,309-361,384-532,,
Helico,398,,,,
Helico,399,272-440,,,
Helico,400,216-315,395-483,,
Helico,401,362-555,,,
Helico,402,,,,
Helico,403,419-476,,,
Helico,404,367-427,,,
Helico,405,376-493,,,
Helico,406,0-51,,,
Helico,407,295-347,406-496,,
Helico,408,242-320,466-502,,
Helico,409,344-430,506-599,,
Helico,410,0-143,174-258,,
Helico,411,306-433,,,
Helico,412,28-72,,,
Helico,413,411-514,,,
Helico,414,369-430,,,
Helico,415,514-566,,,
Helico,416,334-390,458-519,566-613,
Helico,417,284-333,367-435,509-555,
Helico,418,393-436,497-613,,
Helico,419,294-354,440-484,,
Helico,420,257-308,316-487,,
Helico,421,,,,
Helico,422,21-68,562-613,,
Helico,423,484-613,,,
Helico,424,401-469,562-613,,
Helico,425,295-347,406-496,,
Helico,426,450-547,,,
Helico,427,234-339,348-451,,
Helico,428,337-380,,,
Helico,429,296-474,,,
Helico,430,210-306,,,
Helico,431,314-416,427-526,,
Helico,432,317-523,,,
Helico,433,358-432,492-564,,
Helico,434,0-101,,,
Helico,435,,,,
Helico,436,302-397,,,
Helico,437,301-346,351-418,481-563,
Helico,438,0-47,429-478,,
Helico,439,297-346,427-489,,
Helico,440,323-602,,,
Helico,441,345-419,,,
Helico,442,149-253,,,
Helico,443,356-404,,,
Helico,444,240-343,388-519,,
Helico,445,346-470,511-590,,
Helico,446,300-378,388-464,499-579,
Helico,447,210-261,267-379,386-489,
Helico,448,339-459,,,
Helico,449,341-453,564-611,,
Helico,450,376-417,559-613,,
Helico,451,356-528,,,
Helico,452,27-74,421-526,,
Helico,453,342-513,,,
Helico,454,0-50,356-538,569-613,
Helico,455,,,,
Helico,456,392-477,,,
Helico,457,272-328,383-441,,
Helico,458,12-70,123-187,206-283,
Helico,459,,,,
Helico,460,54-100,,,
Helico,461,359-479,,,
Helico,462,461-613,,,
Helico,463,,,,
Helico,464,278-408,419-557,,
Helico,465,,,,
Helico,466,373-454,,,
Helico,467,,,,
Helico,468,240-311,,,
Helico,469,320-423,492-533,,
Helico,470,222-287,344-403,459-501,568-613
Helico,471,388-474,,,
Helico,472,313-504,,,
Helico,473,274-503,,,
Helico,474,292-429,447-490,,
Helico,475,423-460,,,
Helico,476,321-466,,,
Helico,477,,,,
Helico,478,330-464,,,
Helico,479,307-350,,,
Helico,480,,,,
Helico,481,412-510,,,
Helico,482,291-420,,,
Helico,483,432-551,,,
Helico,484,565-609,,,
Helico,485,96-142,425-514,,
Helico,486,369-495,,,
Helico,487,,,,
Helico,488,424-552,,,
Helico,489,267-480,,,
Helico,490,471-613,,,
Helico,491,432-489,545-613,,
Helico,492,488-530,,,
Helico,493,,,,
Helico,494,268-366,378-431,,
Helico,495,39-88,147-236,240-290,
Helico,496,,,,
Helico,497,385-421,484-541,,
Helico,498,289-325,334-415,,
Helico,499,393-439,,,
Helico,500,354-426,442-613,,
Helico,501,410-490,,,
Helico,502,306-470,,,
Helico,503,442-508,,,
Helico,504,517-600,,,
Helico,505,438-512,525-572,,
Helico,506,359-492,,,
Helico,507,311-514,,,
Helico,508,417-472,,,
Helico,509,21-84,,,
Helico,510,421-492,,,
Helico,511,357-397,461-512,,
Helico,512,46-100,401-472,545-613,
Helico,513,,,,
Helico,514,350-421,572-613,,
Helico,515,369-412,,,
Helico,516,84-186,,,
Helico,517,295-347,406-496,,
Helico,518,329-385,,,
Helico,519,385-424,491-597,,
Helico,520,,,,
Helico,521,232-309,,,
Helico,522,71-118,408-551,,
Helico,523,342-418,511-613,,
Helico,524,207-291,342-486,,
Helico,525,460-510,,,
Helico,526,249-300,314-356,,
Helico,527,416-542,,,
Helico,528,216-279,358-455,,
Helico,529,283-334,,,
Helico,530,368-448,456-522,,
